* Measurement data measured by REW V5.20
* Source: Microphone (Sound Blaster Play! 3), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 4, 2022 3:49:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 64Audio Trio L
* Measurement: 64Audio Trio L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.3	-0.3893
20.299999	96.4	-2.4347
20.600000	96.4	-4.4542
20.900000	96.5	-6.4501
21.200001	96.5	-8.4224
21.400000	96.5	-9.7230
21.799999	96.6	-12.2888
22.000000	96.6	-13.5532
22.400000	96.7	-16.0452
22.700001	96.7	-17.8838
23.000000	96.7	-19.6983
23.299999	96.8	-21.4899
23.600000	96.8	-23.2585
24.000000	96.8	-25.5797
24.299999	96.8	-27.2914
24.700001	96.9	-29.5338
25.000000	96.9	-31.1869
25.400000	96.9	-33.3572
25.799999	96.9	-35.4951
26.200001	97.0	-37.6057
26.500000	97.0	-39.1711
26.900000	97.0	-41.2328
27.200001	97.0	-42.7574
27.600000	97.0	-44.7585
28.000000	97.0	-46.7227
28.500000	97.0	-49.1279
29.000000	97.0	-51.4825
29.500000	97.0	-53.7916
30.000000	97.0	-56.0606
30.400000	97.0	-57.8503
30.700001	97.0	-59.1783
31.100000	97.0	-60.9292
31.500000	97.0	-62.6544
32.000000	97.0	-64.7703
32.500000	97.0	-66.8392
33.000000	97.0	-68.8662
33.500000	97.0	-70.8593
34.000000	97.0	-72.8238
34.500000	97.0	-74.7598
35.000000	96.9	-76.6647
35.500000	96.9	-78.5388
36.000000	96.9	-80.3863
36.500000	96.9	-82.2123
37.000000	96.9	-84.0176
37.500000	96.9	-85.7971
38.200001	96.8	-88.2299
38.700001	96.8	-89.9192
39.500000	96.8	-92.5408
40.000000	96.7	-94.1313
40.599998	96.7	-95.9911
41.200001	96.7	-97.7965
41.799999	96.7	-99.5538
42.500000	96.6	-101.5645
43.099998	96.6	-103.2739
43.700001	96.6	-104.9774
44.400002	96.5	-106.9460
45.000000	96.5	-108.6008
45.500000	96.4	-109.9510
46.200001	96.4	-111.8055
46.799999	96.3	-113.3820
47.500000	96.3	-115.2324
48.200001	96.2	-117.1075
48.700001	96.2	-118.4587
49.400002	96.2	-120.3522
50.000000	96.1	-121.9617
50.799999	96.1	-124.0757
51.500000	96.1	-125.8940
52.200001	96.1	-127.6721
53.000000	96.0	-129.6192
53.799999	96.0	-131.4423
54.500000	95.9	-132.9366
55.200001	95.9	-134.3571
56.000000	95.8	-135.9255
57.000000	95.7	-137.8499
58.000000	95.7	-139.7303
59.000000	95.6	-141.5493
60.000000	95.5	-143.3385
60.799999	95.4	-144.7616
61.500000	95.3	-145.9943
62.200001	95.3	-147.2152
63.000000	95.2	-148.6108
64.000000	95.2	-150.3861
65.000000	95.1	-152.2103
66.000000	95.0	-154.0557
67.000000	94.9	-155.8763
68.000000	94.9	-157.6384
69.000000	94.8	-159.3164
70.000000	94.8	-160.9161
71.000000	94.7	-162.4586
72.000000	94.7	-163.9131
73.000000	94.6	-165.2500
74.000000	94.6	-166.5126
75.000000	94.5	-167.7733
76.199997	94.5	-169.3486
77.500000	94.4	-171.0933
78.800003	94.3	-172.8226
80.000000	94.3	-174.4253
81.199997	94.2	-176.0295
82.500000	94.2	-177.7467
83.800003	94.1	-179.3879
85.000000	94.0	179.1959
86.199997	93.9	177.8490
87.500000	93.8	176.4064
88.500000	93.8	175.3044
90.000000	93.7	173.7171
91.199997	93.6	172.5112
92.500000	93.5	171.2077
93.800003	93.5	169.8448
95.000000	93.4	168.5531
96.199997	93.4	167.2845
97.500000	93.3	165.9658
98.800003	93.2	164.6902
100.000000	93.1	163.5330
101.500000	93.0	162.1126
103.000000	93.0	160.7440
104.400002	92.9	159.5297
106.000000	92.8	158.1855
107.500000	92.7	156.9148
109.000000	92.7	155.6157
110.599998	92.6	154.2372
112.000000	92.5	153.0960
113.800003	92.4	151.7720
115.000000	92.3	150.9727
117.199997	92.1	149.6293
118.000000	92.1	149.1710
120.599998	91.9	147.5069
122.000000	91.9	146.2537
124.099998	91.9	144.2083
125.000000	91.9	143.4457
126.500000	91.8	142.3754
128.000000	91.8	141.4493
131.500000	91.6	139.3178
132.000000	91.6	139.0011
134.000000	91.5	137.7351
136.000000	91.4	136.5153
138.000000	91.4	135.3371
140.000000	91.3	134.1633
143.000000	91.2	132.4141
145.000000	91.1	131.2864
147.500000	91.0	129.9155
150.000000	90.9	128.5756
152.500000	90.8	127.2864
155.000000	90.7	126.0513
157.500000	90.6	124.8304
160.000000	90.6	123.5895
162.500000	90.5	122.3408
165.000000	90.4	121.1000
167.500000	90.3	119.9054
170.000000	90.3	118.7747
172.500000	90.2	117.6650
175.000000	90.1	116.5646
177.500000	90.0	115.4996
180.000000	89.9	114.4694
182.500000	89.8	113.4377
185.000000	89.8	112.3434
187.500000	89.7	111.1506
190.000000	89.6	109.9382
192.500000	89.5	108.8997
195.000000	89.5	108.1202
197.500000	89.4	107.4539
200.000000	89.4	106.7410
203.000000	89.3	105.7844
206.000000	89.2	104.7889
209.000000	89.2	103.7959
212.000000	89.1	102.8096
214.000000	89.1	102.1597
218.000000	89.0	100.8802
220.000000	89.0	100.2440
224.000000	88.9	98.9611
227.000000	88.8	97.9877
230.000000	88.8	97.0153
233.000000	88.7	96.0514
236.000000	88.7	95.0922
240.000000	88.6	93.7986
243.000000	88.6	92.8176
247.000000	88.5	91.5790
250.000000	88.5	90.7552
254.000000	88.4	89.7340
258.000000	88.3	88.7068
262.000000	88.3	87.6649
265.000000	88.2	86.8847
269.000000	88.2	85.8554
272.000000	88.1	85.0939
276.000000	88.1	84.0929
280.000000	88.0	83.1089
285.000000	88.0	81.9048
290.000000	87.9	80.7299
295.000000	87.9	79.5779
300.000000	87.8	78.4470
304.000000	87.8	77.5596
307.000000	87.8	76.9033
311.000000	87.7	76.0401
315.000000	87.7	75.1909
320.000000	87.7	74.1471
325.000000	87.6	73.1198
330.000000	87.6	72.1088
335.000000	87.6	71.1133
340.000000	87.6	70.1332
345.000000	87.5	69.1671
350.000000	87.5	68.2148
