* Measurement data measured by REW V5.20
* Source: Microphone (Sound Blaster Play! 3), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 4, 2022 3:51:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 64Audio Trio R
* Measurement: 64Audio Trio R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.7	3.7220
20.299999	96.7	1.5980
20.600000	96.8	-0.4954
20.900000	96.8	-2.5586
21.200001	96.9	-4.5916
21.400000	96.9	-5.9295
21.799999	97.0	-8.5635
22.000000	97.0	-9.8602
22.400000	97.0	-12.4160
22.700001	97.1	-14.3045
23.000000	97.1	-16.1730
23.299999	97.1	-18.0238
23.600000	97.2	-19.8560
24.000000	97.2	-22.2656
24.299999	97.2	-24.0430
24.700001	97.3	-26.3680
25.000000	97.3	-28.0784
25.400000	97.3	-30.3195
25.799999	97.3	-32.5247
26.200001	97.3	-34.7009
26.500000	97.4	-36.3146
26.900000	97.4	-38.4385
27.200001	97.4	-40.0077
27.600000	97.4	-42.0657
28.000000	97.4	-44.0856
28.500000	97.4	-46.5625
29.000000	97.4	-48.9937
29.500000	97.4	-51.3821
30.000000	97.4	-53.7275
30.400000	97.4	-55.5717
30.700001	97.4	-56.9360
31.100000	97.4	-58.7305
31.500000	97.4	-60.4987
32.000000	97.4	-62.6765
32.500000	97.4	-64.8232
33.000000	97.4	-66.9405
33.500000	97.4	-69.0247
34.000000	97.4	-71.0707
34.500000	97.4	-73.0778
35.000000	97.4	-75.0499
35.500000	97.3	-76.9908
36.000000	97.3	-78.9011
36.500000	97.3	-80.7798
37.000000	97.3	-82.6276
37.500000	97.3	-84.4475
38.200001	97.2	-86.9529
38.700001	97.2	-88.7108
39.500000	97.2	-91.4628
40.000000	97.1	-93.1458
40.599998	97.1	-95.1327
41.200001	97.1	-97.0877
41.799999	97.1	-99.0085
42.500000	97.0	-101.1943
43.099998	97.0	-103.0123
43.700001	96.9	-104.7841
44.400002	96.9	-106.8124
45.000000	96.9	-108.5300
45.500000	96.8	-109.9448
46.200001	96.8	-111.8909
46.799999	96.8	-113.5258
47.500000	96.7	-115.4052
48.200001	96.7	-117.2631
48.700001	96.6	-118.5775
49.400002	96.6	-120.3996
50.000000	96.6	-121.9447
50.799999	96.5	-123.9718
51.500000	96.5	-125.7004
52.200001	96.4	-127.3882
53.000000	96.3	-129.2896
53.799999	96.3	-131.1720
54.500000	96.2	-132.7872
55.200001	96.2	-134.3577
56.000000	96.1	-136.1025
57.000000	96.1	-138.2294
58.000000	96.0	-140.2997
59.000000	95.9	-142.3147
60.000000	95.8	-144.2853
60.799999	95.8	-145.8367
61.500000	95.7	-147.1816
62.200001	95.7	-148.5170
63.000000	95.6	-150.0249
64.000000	95.6	-151.8713
65.000000	95.5	-153.6734
66.000000	95.4	-155.4292
67.000000	95.3	-157.1252
68.000000	95.3	-158.7639
69.000000	95.2	-160.3701
70.000000	95.1	-161.9703
71.000000	95.1	-163.5627
72.000000	95.0	-165.1035
73.000000	94.9	-166.5740
74.000000	94.9	-168.0156
75.000000	94.8	-169.4545
76.199997	94.7	-171.1595
77.500000	94.6	-172.9749
78.800003	94.5	-174.7521
80.000000	94.4	-176.3152
81.199997	94.3	-177.8010
82.500000	94.3	-179.3869
83.800003	94.2	179.0560
85.000000	94.1	177.6973
86.199997	94.1	176.4213
87.500000	94.0	175.0936
88.500000	94.0	174.0414
90.000000	93.9	172.3217
91.199997	93.8	170.9244
92.500000	93.7	169.5197
93.800003	93.6	168.2081
95.000000	93.5	166.9875
96.199997	93.4	165.6987
97.500000	93.4	164.2614
98.800003	93.3	162.8689
100.000000	93.2	161.6755
101.500000	93.1	160.3186
103.000000	93.0	159.0526
104.400002	93.0	157.8698
106.000000	92.9	156.4707
107.500000	92.8	155.1486
109.000000	92.8	153.8686
110.599998	92.7	152.5486
112.000000	92.6	151.3937
113.800003	92.5	149.8990
115.000000	92.5	148.9225
117.199997	92.4	147.2047
118.000000	92.4	146.5878
120.599998	92.3	144.5620
122.000000	92.2	143.5289
124.099998	92.1	142.0659
125.000000	92.0	141.4482
126.500000	91.9	140.4332
128.000000	91.8	139.4529
131.500000	91.7	137.2617
132.000000	91.6	136.9451
134.000000	91.6	135.6617
136.000000	91.5	134.4104
