* Measurement data measured by REW V5.20.11
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 9, 2022 12:45:56 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 7HZ Salnotes Dioko L
* Measurement: 7HZ Salnotes Dioko L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.661	-172.6496
20.299999	107.628	-173.2993
20.600000	107.592	-173.9311
20.900000	107.552	-174.5485
21.200001	107.512	-175.1538
21.400000	107.485	-175.5508
21.799999	107.435	-176.3273
22.000000	107.411	-176.7054
22.400000	107.366	-177.4381
22.700001	107.333	-177.9660
23.000000	107.302	-178.4763
23.299999	107.272	-178.9720
23.600000	107.243	-179.4567
24.000000	107.205	179.9091
24.299999	107.176	179.4400
24.700001	107.134	178.8232
25.000000	107.100	178.3687
25.400000	107.053	177.7759
25.799999	107.005	177.1997
26.200001	106.958	176.6389
26.500000	106.922	176.2271
26.900000	106.873	175.6893
27.200001	106.834	175.2947
27.600000	106.781	174.7817
28.000000	106.727	174.2861
28.500000	106.661	173.6926
29.000000	106.599	173.1266
29.500000	106.539	172.5840
30.000000	106.480	172.0602
30.400000	106.434	171.6525
30.700001	106.400	171.3532
31.100000	106.354	170.9637
31.500000	106.308	170.5858
32.000000	106.247	170.1302
32.500000	106.181	169.6932
33.000000	106.113	169.2772
33.500000	106.046	168.8884
34.000000	105.982	168.5296
34.500000	105.924	168.1895
35.000000	105.873	167.8475
35.500000	105.826	167.4887
36.000000	105.780	167.1187
36.500000	105.734	166.7564
37.000000	105.687	166.4149
37.500000	105.638	166.0905
38.200001	105.563	165.6480
38.700001	105.502	165.3429
39.500000	105.400	164.9072
40.000000	105.339	164.6721
40.599998	105.275	164.4091
41.200001	105.221	164.1412
41.799999	105.171	163.8527
42.500000	105.114	163.4888
43.099998	105.063	163.1672
43.700001	105.007	162.8549
44.400002	104.938	162.5155
45.000000	104.874	162.2472
45.500000	104.821	162.0367
46.200001	104.745	161.7596
46.799999	104.680	161.5374
47.500000	104.602	161.2958
48.200001	104.522	161.0738
48.700001	104.464	160.9272
49.400002	104.384	160.7357
50.000000	104.320	160.5818
50.799999	104.240	160.3946
51.500000	104.175	160.2568
52.200001	104.111	160.1516
53.000000	104.038	160.0734
53.799999	103.970	160.0302
54.500000	103.919	160.0005
55.200001	103.874	159.9562
56.000000	103.828	159.8721
57.000000	103.770	159.7201
58.000000	103.707	159.5353
59.000000	103.638	159.3258
60.000000	103.564	159.1095
60.799999	103.499	158.9558
61.500000	103.443	158.8412
62.200001	103.388	158.7413
63.000000	103.327	158.6443
64.000000	103.252	158.5542
65.000000	103.178	158.4977
66.000000	103.104	158.4663
67.000000	103.030	158.4613
68.000000	102.959	158.4878
69.000000	102.890	158.5458
70.000000	102.824	158.6296
71.000000	102.763	158.7179
72.000000	102.710	158.7898
73.000000	102.664	158.8414
74.000000	102.626	158.8730
75.000000	102.592	158.8898
76.199997	102.550	158.8926
77.500000	102.501	158.8601
78.800003	102.445	158.8024
80.000000	102.390	158.7382
81.199997	102.335	158.6517
82.500000	102.274	158.5292
83.800003	102.212	158.3953
85.000000	102.152	158.2874
86.199997	102.088	158.2182
87.500000	102.014	158.1992
88.500000	101.956	158.2209
90.000000	101.869	158.2993
91.199997	101.801	158.3931
92.500000	101.735	158.5132
93.800003	101.676	158.6310
95.000000	101.628	158.7260
96.199997	101.583	158.8086
97.500000	101.534	158.8926
98.800003	101.483	158.9820
100.000000	101.433	159.0775
101.500000	101.372	159.2175
103.000000	101.317	159.3646
104.400002	101.272	159.4884
106.000000	101.223	159.6073
107.500000	101.174	159.7093
109.000000	101.120	159.8129
110.599998	101.060	159.9126
112.000000	101.009	159.9672
113.800003	100.951	159.9715
115.000000	100.920	159.9407
117.199997	100.882	159.8660
118.000000	100.869	159.8455
120.599998	100.796	159.9971
122.000000	100.740	160.3265
124.099998	100.668	160.9254
125.000000	100.642	161.1327
126.500000	100.602	161.3787
128.000000	100.566	161.5433
131.500000	100.498	162.0166
132.000000	100.492	162.1111
134.000000	100.474	162.4812
136.000000	100.445	162.6929
138.000000	100.380	162.7444
140.000000	100.294	162.8123
143.000000	100.190	163.1349
145.000000	100.149	163.4940
147.500000	100.114	163.9934
150.000000	100.074	164.4041
152.500000	100.032	164.7151
155.000000	100.009	164.9138
157.500000	100.002	165.0095
160.000000	99.995	165.0814
162.500000	99.977	165.1815
165.000000	99.942	165.3140
167.500000	99.889	165.4692
170.000000	99.818	165.6518
172.500000	99.739	165.8699
175.000000	99.661	166.1104
177.500000	99.593	166.3501
180.000000	99.543	166.5777
182.500000	99.515	166.7940
185.000000	99.502	167.0020
187.500000	99.497	167.2050
190.000000	99.491	167.4089
192.500000	99.481	167.6194
195.000000	99.465	167.8372
197.500000	99.442	168.0613
200.000000	99.415	168.2957
203.000000	99.383	168.5917
206.000000	99.355	168.8844
209.000000	99.327	169.1489
212.000000	99.294	169.3890
214.000000	99.269	169.5507
218.000000	99.216	169.9177
220.000000	99.192	170.1243
224.000000	99.154	170.5436
227.000000	99.134	170.8359
230.000000	99.118	171.1059
233.000000	99.101	171.3613
236.000000	99.084	171.6072
240.000000	99.057	171.9194
243.000000	99.034	172.1473
247.000000	99.000	172.4666
250.000000	98.974	172.7357
254.000000	98.945	173.1433
258.000000	98.929	173.5649
262.000000	98.920	173.9304
265.000000	98.911	174.1641
269.000000	98.893	174.4659
272.000000	98.877	174.7090
276.000000	98.857	175.0588
280.000000	98.843	175.4219
285.000000	98.839	175.8565
290.000000	98.845	176.2038
295.000000	98.846	176.4516
300.000000	98.834	176.6885
304.000000	98.823	176.9095
307.000000	98.815	177.0891
311.000000	98.805	177.3327
315.000000	98.790	177.5745
320.000000	98.769	177.8913
325.000000	98.749	178.2425
330.000000	98.735	178.6122
335.000000	98.723	178.9719
340.000000	98.710	179.3077
345.000000	98.698	179.6273
350.000000	98.688	179.9474
355.000000	98.683	-179.7265
360.000000	98.677	-179.3977
365.000000	98.668	-179.0693
370.000000	98.658	-178.7419
375.000000	98.648	-178.4144
382.000000	98.639	-177.9559
387.000000	98.636	-177.6293
395.000000	98.631	-177.1086
400.000000	98.628	-176.7861
406.000000	98.624	-176.4090
412.000000	98.619	-176.0449
418.000000	98.613	-175.6772
425.000000	98.610	-175.2195
431.000000	98.613	-174.8103
437.000000	98.622	-174.4113
444.000000	98.636	-173.9761
450.000000	98.651	-173.6440
455.000000	98.664	-173.4124
462.000000	98.675	-173.1431
468.000000	98.675	-172.9102
475.000000	98.673	-172.5955
482.000000	98.671	-172.2539
487.000000	98.669	-172.0076
494.000000	98.663	-171.6450
500.000000	98.659	-171.3042
508.000000	98.661	-170.8395
515.000000	98.665	-170.4536
522.000000	98.668	-170.0779
530.000000	98.668	-169.6315
538.000000	98.672	-169.1657
545.000000	98.679	-168.7580
552.000000	98.688	-168.3539
560.000000	98.701	-167.9054
570.000000	98.717	-167.3724
580.000000	98.730	-166.8436
590.000000	98.739	-166.3013
600.000000	98.748	-165.7352
608.000000	98.762	-165.2770
615.000000	98.776	-164.8819
622.000000	98.789	-164.4821
630.000000	98.804	-163.9998
640.000000	98.827	-163.3665
650.000000	98.858	-162.7288
660.000000	98.902	-162.1141
670.000000	98.956	-161.5796
680.000000	99.007	-161.1292
690.000000	99.047	-160.7034
700.000000	99.078	-160.2558
710.000000	99.109	-159.7773
720.000000	99.144	-159.2880
730.000000	99.180	-158.7988
740.000000	99.217	-158.3058
750.000000	99.255	-157.8062
762.000000	99.301	-157.1977
775.000000	99.355	-156.5323
788.000000	99.415	-155.8654
800.000000	99.477	-155.2380
812.000000	99.548	-154.6020
825.000000	99.638	-153.9639
838.000000	99.732	-153.4397
850.000000	99.811	-153.0298
862.000000	99.880	-152.6338
875.000000	99.950	-152.1878
885.000000	100.005	-151.8314
900.000000	100.090	-151.2950
912.000000	100.159	-150.8642
925.000000	100.239	-150.3999
938.000000	100.323	-149.9579
950.000000	100.403	-149.5811
962.000000	100.483	-149.2278
975.000000	100.569	-148.8572
988.000000	100.656	-148.4916
1000.000000	100.737	-148.1513
1015.000000	100.840	-147.7063
1030.000000	100.954	-147.2596
1044.000000	101.070	-146.9021
1060.000000	101.208	-146.6200
1075.000000	101.332	-146.4483
1090.000000	101.449	-146.3127
1106.000000	101.573	-146.1868
1120.000000	101.680	-146.0882
1138.000000	101.812	-145.9682
1150.000000	101.897	-145.8884
1172.000000	102.049	-145.7346
1180.000000	102.106	-145.6756
1206.000000	102.307	-145.5407
1220.000000	102.420	-145.5574
1241.000000	102.578	-145.6844
1250.000000	102.640	-145.7530
1265.000000	102.736	-145.8630
1280.000000	102.825	-145.9573
1315.000000	103.025	-146.0983
1320.000000	103.054	-146.1127
1340.000000	103.171	-146.1633
1360.000000	103.290	-146.1920
1380.000000	103.414	-146.1816
1400.000000	103.552	-146.1345
1430.000000	103.799	-146.1552
