* Measurement data measured by REW V5.20.11
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 9, 2022 12:47:56 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 7HZ Salnotes Dioko R
* Measurement: 7HZ Salnotes Dioko R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.294	-172.9027
20.299999	107.261	-173.4921
20.600000	107.226	-174.0588
20.900000	107.191	-174.6149
21.200001	107.158	-175.1730
21.400000	107.137	-175.5500
21.799999	107.099	-176.3141
22.000000	107.080	-176.6979
22.400000	107.042	-177.4573
22.700001	107.012	-178.0101
23.000000	106.982	-178.5430
23.299999	106.951	-179.0564
23.600000	106.921	-179.5539
24.000000	106.881	179.8013
24.299999	106.850	179.3279
24.700001	106.805	178.7102
25.000000	106.768	178.2599
25.400000	106.716	177.6815
25.799999	106.664	177.1309
26.200001	106.613	176.6049
26.500000	106.576	176.2221
26.900000	106.527	175.7209
27.200001	106.489	175.3494
27.600000	106.437	174.8605
28.000000	106.385	174.3839
28.500000	106.322	173.8114
29.000000	106.265	173.2602
29.500000	106.212	172.7152
30.000000	106.159	172.1664
30.400000	106.116	171.7303
30.700001	106.083	171.4114
31.100000	106.038	171.0043
31.500000	105.994	170.6190
32.000000	105.936	170.1599
32.500000	105.875	169.7149
33.000000	105.812	169.2835
33.500000	105.750	168.8757
34.000000	105.690	168.4962
34.500000	105.635	168.1340
35.000000	105.585	167.7695
35.500000	105.538	167.3911
36.000000	105.490	167.0064
36.500000	105.441	166.6349
37.000000	105.389	166.2925
37.500000	105.334	165.9796
38.200001	105.252	165.5723
38.700001	105.189	165.2938
39.500000	105.086	164.8727
40.000000	105.024	164.6277
40.599998	104.956	164.3494
41.200001	104.895	164.0855
41.799999	104.839	163.8333
42.500000	104.781	163.5410
43.099998	104.736	163.2771
43.700001	104.690	163.0006
44.400002	104.630	162.6812
45.000000	104.574	162.4247
45.500000	104.526	162.2248
46.200001	104.458	161.9608
46.799999	104.399	161.7452
47.500000	104.326	161.5038
48.200001	104.250	161.2765
48.700001	104.193	161.1279
49.400002	104.113	160.9445
50.000000	104.050	160.8074
50.799999	103.977	160.6415
51.500000	103.920	160.4999
52.200001	103.866	160.3532
53.000000	103.802	160.1852
53.799999	103.734	160.0386
54.500000	103.678	159.9336
55.200001	103.627	159.8365
56.000000	103.573	159.7183
57.000000	103.505	159.5513
58.000000	103.434	159.3595
59.000000	103.359	159.1509
60.000000	103.278	158.9556
60.799999	103.211	158.8247
61.500000	103.153	158.7299
62.200001	103.097	158.6516
63.000000	103.035	158.5818
64.000000	102.961	158.5258
65.000000	102.888	158.5043
66.000000	102.816	158.5132
67.000000	102.749	158.5502
68.000000	102.687	158.6124
69.000000	102.631	158.6855
70.000000	102.576	158.7537
71.000000	102.521	158.8094
72.000000	102.468	158.8529
73.000000	102.420	158.8873
74.000000	102.381	158.8942
75.000000	102.346	158.8398
76.199997	102.296	158.7115
77.500000	102.233	158.5724
78.800003	102.168	158.4595
80.000000	102.111	158.3679
81.199997	102.053	158.2770
82.500000	101.990	158.1730
83.800003	101.924	158.0715
85.000000	101.858	157.9980
86.199997	101.789	157.9589
87.500000	101.710	157.9596
88.500000	101.648	157.9871
90.000000	101.556	158.0627
91.199997	101.487	158.1423
92.500000	101.419	158.2354
93.800003	101.359	158.3284
95.000000	101.307	158.4151
96.199997	101.257	158.5081
97.500000	101.201	158.6234
98.800003	101.140	158.7570
100.000000	101.081	158.8936
101.500000	101.011	159.0751
103.000000	100.951	159.2644
104.400002	100.905	159.4463
106.000000	100.857	159.6552
107.500000	100.810	159.8397
109.000000	100.759	159.9946
110.599998	100.706	160.1169
112.000000	100.666	160.2122
113.800003	100.628	160.4014
115.000000	100.607	160.6249
117.199997	100.568	161.2972
118.000000	100.556	161.5811
120.599998	100.513	162.1085
122.000000	100.467	162.0551
124.099998	100.378	161.8544
125.000000	100.345	161.7895
126.500000	100.300	161.7406
128.000000	100.264	161.7711
131.500000	100.172	162.0189
132.000000	100.157	162.0580
134.000000	100.103	162.1992
136.000000	100.055	162.3186
138.000000	100.009	162.4420
140.000000	99.961	162.5992
143.000000	99.890	162.9185
145.000000	99.845	163.1567
147.500000	99.787	163.4358
150.000000	99.726	163.6725
152.500000	99.671	163.9174
155.000000	99.630	164.2290
157.500000	99.599	164.5716
160.000000	99.569	164.8822
162.500000	99.537	165.1460
165.000000	99.497	165.3942
167.500000	99.440	165.6642
170.000000	99.362	165.9810
172.500000	99.275	166.3464
175.000000	99.192	166.7455
177.500000	99.120	167.1652
180.000000	99.071	167.6010
182.500000	99.049	168.0475
185.000000	99.056	168.4901
187.500000	99.081	168.9026
190.000000	99.114	169.2524
192.500000	99.149	169.5152
195.000000	99.176	169.6912
197.500000	99.192	169.8060
