* Measurement data measured by REW V5.20.11
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 16, 2022 12:58:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Dioko Tape on Vent
* Measurement: KZ EDX Ultra Aug 16
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	108.881	171.8787
20.299999	108.826	171.3280
20.600000	108.767	170.7991
20.900000	108.706	170.2892
21.200001	108.646	169.7950
21.400000	108.608	169.4727
21.799999	108.536	168.8435
22.000000	108.503	168.5354
22.400000	108.442	167.9302
22.700001	108.398	167.4844
23.000000	108.356	167.0446
23.299999	108.313	166.6114
23.600000	108.270	166.1860
24.000000	108.212	165.6350
24.299999	108.167	165.2369
24.700001	108.103	164.7283
25.000000	108.053	164.3631
25.400000	107.985	163.8947
25.799999	107.918	163.4427
26.200001	107.851	163.0031
26.500000	107.801	162.6805
26.900000	107.733	162.2596
27.200001	107.681	161.9510
27.600000	107.609	161.5485
28.000000	107.538	161.1557
28.500000	107.451	160.6783
29.000000	107.367	160.2180
29.500000	107.286	159.7780
30.000000	107.206	159.3593
30.400000	107.144	159.0379
30.700001	107.100	158.8030
31.100000	107.043	158.4957
31.500000	106.986	158.1935
32.000000	106.913	157.8234
32.500000	106.837	157.4641
33.000000	106.760	157.1185
33.500000	106.685	156.7864
34.000000	106.611	156.4664
34.500000	106.540	156.1584
35.000000	106.470	155.8632
35.500000	106.402	155.5804
36.000000	106.338	155.3089
36.500000	106.275	155.0504
37.000000	106.210	154.8107
37.500000	106.143	154.5937
38.200001	106.044	154.3190
38.700001	105.972	154.1287
39.500000	105.854	153.8167
40.000000	105.781	153.6221
40.599998	105.699	153.3962
41.200001	105.622	153.1780
41.799999	105.547	152.9667
42.500000	105.463	152.7374
43.099998	105.393	152.5654
43.700001	105.325	152.4163
44.400002	105.246	152.2616
45.000000	105.179	152.1366
45.500000	105.124	152.0339
46.200001	105.046	151.8896
46.799999	104.979	151.7658
47.500000	104.897	151.6253
48.200001	104.812	151.4921
48.700001	104.749	151.4016
49.400002	104.662	151.2815
50.000000	104.589	151.1871
50.799999	104.500	151.0783
51.500000	104.427	151.0029
52.200001	104.356	150.9482
53.000000	104.276	150.9074
53.799999	104.200	150.8768
54.500000	104.137	150.8495
55.200001	104.078	150.8208
56.000000	104.012	150.7849
57.000000	103.930	150.7263
58.000000	103.843	150.6529
59.000000	103.750	150.5833
60.000000	103.654	150.5445
60.799999	103.579	150.5413
61.500000	103.515	150.5494
62.200001	103.456	150.5601
63.000000	103.393	150.5755
64.000000	103.318	150.6053
65.000000	103.247	150.6455
66.000000	103.179	150.6884
67.000000	103.113	150.7301
68.000000	103.050	150.7657
69.000000	102.985	150.7903
70.000000	102.915	150.8076
71.000000	102.840	150.8222
72.000000	102.764	150.8331
73.000000	102.691	150.8403
74.000000	102.620	150.8566
75.000000	102.552	150.9083
76.199997	102.478	151.0184
77.500000	102.407	151.1231
78.800003	102.335	151.1787
80.000000	102.264	151.2180
81.199997	102.189	151.2539
82.500000	102.105	151.2824
83.800003	102.018	151.3179
85.000000	101.935	151.3869
86.199997	101.852	151.5162
87.500000	101.761	151.7417
88.500000	101.693	151.9776
90.000000	101.601	152.4073
91.199997	101.538	152.7719
92.500000	101.482	153.1403
93.800003	101.438	153.4544
95.000000	101.410	153.6624
96.199997	101.386	153.7568
97.500000	101.350	153.7638
98.800003	101.300	153.7654
100.000000	101.243	153.8225
101.500000	101.169	153.9835
103.000000	101.097	154.2253
104.400002	101.034	154.5154
106.000000	100.972	154.9111
107.500000	100.927	155.2998
109.000000	100.894	155.6603
110.599998	100.869	155.9760
112.000000	100.852	156.1516
113.800003	100.826	156.2058
115.000000	100.802	156.1590
117.199997	100.749	156.0109
118.000000	100.726	155.9676
120.599998	100.639	156.0900
122.000000	100.594	156.3784
124.099998	100.541	156.9081
125.000000	100.522	157.1114
126.500000	100.491	157.3878
128.000000	100.460	157.5945
131.500000	100.380	157.9724
132.000000	100.368	158.0271
134.000000	100.321	158.2449
136.000000	100.279	158.4275
138.000000	100.239	158.5613
140.000000	100.198	158.6888
143.000000	100.133	158.9287
145.000000	100.089	159.0811
147.500000	100.034	159.2210
150.000000	99.979	159.3566
152.500000	99.919	159.5961
155.000000	99.861	159.9688
157.500000	99.820	160.3588
160.000000	99.792	160.6823
162.500000	99.766	160.9546
165.000000	99.732	161.1985
167.500000	99.678	161.4334
170.000000	99.605	161.6920
172.500000	99.522	161.9872
175.000000	99.442	162.2956
177.500000	99.372	162.5898
180.000000	99.321	162.8646
182.500000	99.291	163.1263
185.000000	99.277	163.3775
187.500000	99.271	163.6179
190.000000	99.263	163.8513
192.500000	99.252	164.0843
195.000000	99.235	164.3239
197.500000	99.211	164.5760
200.000000	99.181	164.8444
203.000000	99.146	165.1820
206.000000	99.117	165.5121
209.000000	99.087	165.8107
212.000000	99.052	166.0837
214.000000	99.026	166.2668
218.000000	98.971	166.6761
220.000000	98.946	166.9039
224.000000	98.907	167.3651
227.000000	98.885	167.6871
230.000000	98.867	167.9857
233.000000	98.849	168.2693
236.000000	98.830	168.5415
240.000000	98.802	168.8863
243.000000	98.778	169.1386
247.000000	98.742	169.4911
250.000000	98.715	169.7849
254.000000	98.685	170.2238
258.000000	98.668	170.6755
262.000000	98.657	171.0696
265.000000	98.647	171.3234
269.000000	98.628	171.6512
272.000000	98.611	171.9137
276.000000	98.590	172.2900
280.000000	98.575	172.6799
285.000000	98.569	173.1465
290.000000	98.575	173.5237
295.000000	98.574	173.7998
300.000000	98.562	174.0635
304.000000	98.550	174.3047
307.000000	98.542	174.4994
311.000000	98.530	174.7632
315.000000	98.515	175.0255
320.000000	98.493	175.3670
325.000000	98.473	175.7422
330.000000	98.457	176.1346
335.000000	98.445	176.5163
340.000000	98.432	176.8729
345.000000	98.419	177.2125
350.000000	98.409	177.5522
355.000000	98.403	177.8977
360.000000	98.396	178.2457
365.000000	98.387	178.5929
370.000000	98.376	178.9389
375.000000	98.367	179.2845
382.000000	98.358	179.7677
387.000000	98.354	-179.8887
395.000000	98.349	-179.3419
400.000000	98.346	-179.0038
406.000000	98.342	-178.6090
412.000000	98.337	-178.2281
418.000000	98.331	-177.8445
425.000000	98.328	-177.3704
431.000000	98.333	-176.9490
437.000000	98.342	-176.5388
444.000000	98.356	-176.0911
450.000000	98.371	-175.7486
455.000000	98.384	-175.5085
462.000000	98.395	-175.2277
468.000000	98.395	-174.9848
475.000000	98.393	-174.6588
482.000000	98.392	-174.3062
487.000000	98.389	-174.0526
494.000000	98.383	-173.6800
500.000000	98.379	-173.3311
508.000000	98.381	-172.8563
515.000000	98.386	-172.4623
522.000000	98.388	-172.0787
530.000000	98.389	-171.6229
538.000000	98.393	-171.1472
545.000000	98.400	-170.7308
552.000000	98.409	-170.3183
560.000000	98.422	-169.8606
570.000000	98.439	-169.3173
580.000000	98.452	-168.7791
590.000000	98.461	-168.2277
600.000000	98.471	-167.6526
608.000000	98.485	-167.1874
