* Measurement data measured by REW V5.20.9
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 3, 2022 10:56:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 7hz Zero L
* Measurement: 7hz Zero L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.899	-155.2002
20.299999	102.895	-155.9166
20.600000	102.887	-156.6071
20.900000	102.876	-157.2753
21.200001	102.866	-157.9276
21.400000	102.861	-158.3579
21.799999	102.855	-159.2128
22.000000	102.853	-159.6387
22.400000	102.850	-160.4852
22.700001	102.846	-161.1087
23.000000	102.841	-161.7147
23.299999	102.834	-162.2980
23.600000	102.827	-162.8569
24.000000	102.817	-163.5664
24.299999	102.810	-164.0781
24.700001	102.799	-164.7443
25.000000	102.791	-165.2405
25.400000	102.778	-165.9059
25.799999	102.763	-166.5781
26.200001	102.746	-167.2504
26.500000	102.729	-167.7459
26.900000	102.703	-168.3836
27.200001	102.681	-168.8397
27.600000	102.650	-169.4190
28.000000	102.621	-169.9754
28.500000	102.590	-170.6596
29.000000	102.562	-171.3456
29.500000	102.534	-172.0290
30.000000	102.503	-172.6950
30.400000	102.477	-173.2086
30.700001	102.458	-173.5822
31.100000	102.432	-174.0669
31.500000	102.406	-174.5383
32.000000	102.368	-175.1094
32.500000	102.323	-175.6536
33.000000	102.275	-176.1576
33.500000	102.229	-176.6107
34.000000	102.190	-177.0182
34.500000	102.160	-177.4061
35.000000	102.140	-177.8072
35.500000	102.126	-178.2413
36.000000	102.116	-178.7032
36.500000	102.105	-179.1748
37.000000	102.093	-179.6435
37.500000	102.079	179.8887
38.200001	102.050	179.2218
38.700001	102.021	178.7386
39.500000	101.962	177.9860
40.000000	101.922	177.5454
40.599998	101.876	177.0544
41.200001	101.833	176.6025
41.799999	101.791	176.1822
42.500000	101.746	175.7167
43.099998	101.709	175.3279
43.700001	101.670	174.9464
44.400002	101.620	174.5177
45.000000	101.575	174.1686
45.500000	101.536	173.8863
46.200001	101.482	173.4926
46.799999	101.434	173.1538
47.500000	101.374	172.7688
48.200001	101.309	172.4101
48.700001	101.260	172.1755
49.400002	101.193	171.8817
50.000000	101.142	171.6601
50.799999	101.085	171.3883
51.500000	101.043	171.1570
52.200001	101.002	170.9391
53.000000	100.955	170.7217
53.799999	100.912	170.5282
54.500000	100.881	170.3611
55.200001	100.856	170.1843
56.000000	100.833	169.9559
57.000000	100.804	169.6145
58.000000	100.769	169.2170
59.000000	100.723	168.7967
60.000000	100.667	168.4083
60.799999	100.619	168.1374
61.500000	100.579	167.9217
62.200001	100.540	167.7175
63.000000	100.497	167.4927
64.000000	100.445	167.2245
65.000000	100.392	166.9765
66.000000	100.339	166.7424
67.000000	100.286	166.5118
68.000000	100.234	166.2900
69.000000	100.182	166.0853
70.000000	100.130	165.8854
71.000000	100.077	165.6780
72.000000	100.024	165.4726
73.000000	99.975	165.2789
74.000000	99.932	165.0919
75.000000	99.892	164.9062
76.199997	99.844	164.6866
77.500000	99.787	164.4570
78.800003	99.728	164.2416
80.000000	99.674	164.0458
81.199997	99.621	163.8334
82.500000	99.562	163.5821
83.800003	99.497	163.3328
85.000000	99.434	163.1299
86.199997	99.366	162.9666
87.500000	99.288	162.8381
88.500000	99.227	162.7691
90.000000	99.139	162.6974
91.199997	99.073	162.6524
92.500000	99.007	162.6096
