* Measurement data measured by REW V5.20.9
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 3, 2022 11:02:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 7hz Zero Tape R
* Measurement: 7hz Zero Tape R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	108.040	171.4860
20.299999	107.994	170.9142
20.600000	107.942	170.3571
20.900000	107.887	169.8142
21.200001	107.832	169.2846
21.400000	107.796	168.9385
21.799999	107.728	168.2631
22.000000	107.695	167.9338
22.400000	107.635	167.2925
22.700001	107.591	166.8260
23.000000	107.549	166.3714
23.299999	107.507	165.9281
23.600000	107.465	165.4964
24.000000	107.409	164.9403
24.299999	107.366	164.5391
24.700001	107.307	164.0253
25.000000	107.262	163.6533
25.400000	107.201	163.1687
25.799999	107.141	162.6896
26.200001	107.081	162.2124
26.500000	107.035	161.8575
26.900000	106.970	161.3942
27.200001	106.919	161.0583
27.600000	106.849	160.6288
28.000000	106.779	160.2184
28.500000	106.696	159.7235
29.000000	106.617	159.2401
29.500000	106.540	158.7674
30.000000	106.464	158.3098
30.400000	106.404	157.9563
30.700001	106.361	157.6979
31.100000	106.305	157.3601
31.500000	106.249	157.0290
32.000000	106.177	156.6248
32.500000	106.103	156.2342
33.000000	106.027	155.8584
33.500000	105.955	155.4950
34.000000	105.886	155.1398
34.500000	105.819	154.7897
35.000000	105.753	154.4449
35.500000	105.690	154.1064
36.000000	105.629	153.7769
36.500000	105.569	153.4602
37.000000	105.507	153.1606
37.500000	105.441	152.8799
38.200001	105.344	152.5131
38.700001	105.270	152.2614
39.500000	105.149	151.8650
40.000000	105.074	151.6227
40.599998	104.989	151.3425
41.200001	104.908	151.0763
41.799999	104.831	150.8231
42.500000	104.745	150.5427
43.099998	104.675	150.3154
43.700001	104.607	150.0997
44.400002	104.526	149.8587
45.000000	104.456	149.6578
45.500000	104.396	149.4946
46.200001	104.312	149.2758
46.799999	104.238	149.1001
47.500000	104.151	148.9095
48.200001	104.060	148.7316
48.700001	103.994	148.6110
49.400002	103.903	148.4503
50.000000	103.828	148.3200
50.799999	103.736	148.1562
51.500000	103.662	148.0203
52.200001	103.589	147.8925
53.000000	103.504	147.7627
53.799999	103.420	147.6564
54.500000	103.349	147.5800
55.200001	103.284	147.5104
56.000000	103.212	147.4272
57.000000	103.123	147.3070
58.000000	103.029	147.1740
59.000000	102.931	147.0408
60.000000	102.832	146.9164
60.799999	102.753	146.8264
61.500000	102.684	146.7556
62.200001	102.617	146.6938
63.000000	102.544	146.6370
64.000000	102.454	146.5868
65.000000	102.364	146.5533
66.000000	102.273	146.5249
67.000000	102.180	146.4971
68.000000	102.086	146.4709
69.000000	101.990	146.4414
70.000000	101.890	146.4117
71.000000	101.784	146.4099
72.000000	101.676	146.4954
73.000000	101.582	146.6932
74.000000	101.512	146.9269
75.000000	101.456	147.1187
76.199997	101.389	147.3184
77.500000	101.322	147.5404
78.800003	101.270	147.6967
80.000000	101.226	147.7410
81.199997	101.181	147.7148
82.500000	101.125	147.6409
83.800003	101.059	147.5591
85.000000	100.990	147.4992
86.199997	100.912	147.4544
87.500000	100.820	147.4241
88.500000	100.745	147.4217
90.000000	100.631	147.4667
91.199997	100.545	147.5434
92.500000	100.459	147.6516
93.800003	100.383	147.7677
95.000000	100.318	147.8753
96.199997	100.256	147.9854
97.500000	100.188	148.1038
98.800003	100.113	148.2262
100.000000	100.036	148.3539
101.500000	99.934	148.5280
103.000000	99.838	148.7005
104.400002	99.758	148.8619
106.000000	99.674	149.0809
107.500000	99.594	149.3528
109.000000	99.505	149.6705
110.599998	99.401	149.9900
112.000000	99.313	150.2343
113.800003	99.240	150.6095
115.000000	99.238	151.0018
117.199997	99.352	152.0743
118.000000	99.415	152.4854
120.599998	99.491	153.4922
122.000000	99.402	154.0811
124.099998	99.235	155.0091
125.000000	99.185	155.2362
126.500000	99.132	155.2924
128.000000	99.104	155.0649
131.500000	99.059	154.4376
132.000000	99.051	154.3846
134.000000	99.012	154.2521
136.000000	98.962	154.2010
138.000000	98.905	154.1896
140.000000	98.843	154.2155
143.000000	98.754	154.3915
145.000000	98.698	154.5668
147.500000	98.617	154.7670
150.000000	98.532	154.8868
152.500000	98.453	154.9432
155.000000	98.382	155.1054
157.500000	98.322	155.4074
160.000000	98.274	155.7161
162.500000	98.229	155.9567
165.000000	98.175	156.1819
167.500000	98.100	156.4507
170.000000	98.006	156.7739
172.500000	97.904	157.1321
175.000000	97.800	157.4672
177.500000	97.698	157.7118
180.000000	97.613	157.8687
182.500000	97.559	158.0650
185.000000	97.537	158.3965
187.500000	97.529	158.8037
190.000000	97.513	159.1943
192.500000	97.488	159.5368
195.000000	97.458	159.8497
197.500000	97.422	160.1589
200.000000	97.380	160.4790
203.000000	97.329	160.8815
206.000000	97.283	161.2802
209.000000	97.237	161.6476
212.000000	97.185	161.9954
214.000000	97.148	162.2341
218.000000	97.076	162.7635
220.000000	97.043	163.0540
224.000000	96.986	163.6399
227.000000	96.950	164.0468
230.000000	96.917	164.4260
233.000000	96.888	164.7918
236.000000	96.860	165.1487
240.000000	96.823	165.6108
243.000000	96.796	165.9494
247.000000	96.760	166.4025
250.000000	96.735	166.7577
254.000000	96.707	167.2614
258.000000	96.691	167.7626
262.000000	96.679	168.1975
265.000000	96.667	168.4803
269.000000	96.644	168.8502
272.000000	96.624	169.1459
276.000000	96.596	169.5550
280.000000	96.572	169.9575
285.000000	96.555	170.4412
290.000000	96.549	170.8571
295.000000	96.538	171.1829
300.000000	96.515	171.4969
304.000000	96.495	171.7779
307.000000	96.481	172.0024
311.000000	96.462	172.3066
315.000000	96.440	172.6099
320.000000	96.409	173.0046
325.000000	96.381	173.4338
330.000000	96.358	173.8798
335.000000	96.338	174.3138
340.000000	96.318	174.7219
345.000000	96.298	175.1114
350.000000	96.280	175.4993
355.000000	96.267	175.8911
360.000000	96.254	176.2833
365.000000	96.238	176.6726
370.000000	96.221	177.0595
375.000000	96.204	177.4461
382.000000	96.186	177.9842
387.000000	96.176	178.3647
395.000000	96.160	178.9683
400.000000	96.151	179.3405
406.000000	96.139	179.7750
412.000000	96.125	-179.8052
418.000000	96.111	-179.3829
425.000000	96.098	-178.8629
431.000000	96.093	-178.4019
437.000000	96.093	-177.9527
444.000000	96.097	-177.4604
450.000000	96.103	-177.0796
455.000000	96.108	-176.8072
462.000000	96.108	-176.4806
468.000000	96.099	-176.1981
475.000000	96.085	-175.8256
482.000000	96.072	-175.4262
487.000000	96.062	-175.1383
494.000000	96.044	-174.7170
500.000000	96.030	-174.3257
508.000000	96.019	-173.7934
515.000000	96.012	-173.3477
522.000000	96.003	-172.9113
530.000000	95.990	-172.3944
538.000000	95.981	-171.8569
545.000000	95.975	-171.3849
552.000000	95.973	-170.9150
560.000000	95.972	-170.3896
570.000000	95.972	-169.7596
580.000000	95.968	-169.1333
590.000000	95.960	-168.4917
600.000000	95.953	-167.8239
608.000000	95.953	-167.2828
615.000000	95.956	-166.8143
622.000000	95.958	-166.3401
630.000000	95.960	-165.7715
640.000000	95.967	-165.0282
650.000000	95.983	-164.2791
660.000000	96.011	-163.5515
670.000000	96.050	-162.9025
680.000000	96.086	-162.3362
690.000000	96.111	-161.7933
700.000000	96.128	-161.2276
710.000000	96.145	-160.6293
720.000000	96.165	-160.0182
730.000000	96.188	-159.4052
740.000000	96.211	-158.7874
750.000000	96.236	-158.1618
762.000000	96.266	-157.4009
775.000000	96.304	-156.5692
788.000000	96.348	-155.7353
800.000000	96.396	-154.9528
812.000000	96.453	-154.1605
825.000000	96.528	-153.3521
838.000000	96.607	-152.6579
850.000000	96.673	-152.0917
862.000000	96.729	-151.5398
875.000000	96.785	-150.9252
885.000000	96.828	-150.4391
900.000000	96.895	-149.7079
912.000000	96.949	-149.1199
925.000000	97.009	-148.4796
938.000000	97.071	-147.8451
950.000000	97.126	-147.2583
962.000000	97.178	-146.6338
975.000000	97.237	-145.8545
988.000000	97.317	-144.9389
1000.000000	97.427	-144.0415
1015.000000	97.616	-143.1165
1030.000000	97.817	-142.6578
1044.000000	97.974	-142.5594
1060.000000	98.108	-142.5625
1075.000000	98.207	-142.5201
1090.000000	98.295	-142.3968
1106.000000	98.388	-142.2043
1120.000000	98.469	-142.0068
1138.000000	98.569	-141.7210
1150.000000	98.633	-141.5077
1172.000000	98.749	-141.0546
1180.000000	98.794	-140.8673
1206.000000	98.967	-140.2491
1220.000000	99.075	-139.9825
1241.000000	99.242	-139.7146
1250.000000	99.312	-139.6430
1265.000000	99.424	-139.5747
1280.000000	99.528	-139.5603
1315.000000	99.738	-139.6299
1320.000000	99.765	-139.6443
1340.000000	99.867	-139.6985
1360.000000	99.958	-139.7207
1380.000000	100.043	-139.6759
1400.000000	100.132	-139.5452
1430.000000	100.292	-139.2988
1450.000000	100.411	-139.2011
1475.000000	100.565	-139.1441
1500.000000	100.727	-139.1034
1525.000000	100.899	-139.0376
1550.000000	101.082	-138.9187
1575.000000	101.264	-138.7613
1600.000000	101.416	-138.6582
1625.000000	101.495	-138.6634
1650.000000	101.487	-138.7333
1675.000000	101.423	-138.8182
1700.000000	101.350	-138.9043
1725.000000	101.307	-138.9955
1750.000000	101.310	-139.0687
1775.000000	101.360	-139.0810
1800.000000	101.449	-139.0363
1825.000000	101.561	-139.0026
1850.000000	101.679	-139.0175
1875.000000	101.794	-139.0607
1900.000000	101.902	-139.0894
1925.000000	102.005	-139.0612
1950.000000	102.111	-138.9608
1975.000000	102.226	-138.8302
2000.000000	102.350	-138.7347
2030.000000	102.502	-138.7115
2060.000000	102.649	-138.7938
2090.000000	102.783	-138.9715
2120.000000	102.899	-139.2048
2140.000000	102.965	-139.3510
2180.000000	103.090	-139.5475
2200.000000	103.157	-139.6219
2240.000000	103.295	-139.8313
2270.000000	103.388	-140.0405
2300.000000	103.465	-140.2097
2330.000000	103.533	-140.2444
2360.000000	103.612	-140.1224
2400.000000	103.758	-139.8344
2430.000000	103.904	-139.6586
2470.000000	104.136	-139.6820
2500.000000	104.313	-139.9720
2540.000000	104.525	-140.6495
2580.000000	104.701	-141.4726
2620.000000	104.852	-142.3414
2650.000000	104.953	-143.0107
2690.000000	105.073	-143.9103
2720.000000	105.154	-144.5781
2760.000000	105.255	-145.4761
2800.000000	105.344	-146.4125
2850.000000	105.436	-147.6274
2900.000000	105.501	-148.8497
2950.000000	105.538	-150.0008
3000.000000	105.558	-151.0625
3040.000000	105.565	-151.8745
3070.000000	105.566	-152.4498
3110.000000	105.564	-153.1381
3150.000000	105.566	-153.7335
3200.000000	105.580	-154.3940
3250.000000	105.604	-155.0049
3300.000000	105.631	-155.5744
3350.000000	105.662	-156.0859
3400.000000	105.697	-156.5787
3450.000000	105.727	-157.1010
3500.000000	105.746	-157.6250
3550.000000	105.758	-158.1241
3600.000000	105.774	-158.6263
3650.000000	105.795	-159.1688
3700.000000	105.820	-159.7528
3750.000000	105.849	-160.3522
3820.000000	105.904	-161.2194
3870.000000	105.950	-161.8410
3950.000000	106.036	-162.7541
4000.000000	106.101	-163.3157
4060.000000	106.178	-164.0737
4120.000000	106.238	-164.9498
4180.000000	106.271	-165.9287
4250.000000	106.267	-167.1750
4310.000000	106.230	-168.2714
4370.000000	106.176	-169.3770
4440.000000	106.103	-170.7429
4500.000000	106.026	-172.0087
4550.000000	105.949	-173.1099
4620.000000	105.813	-174.6662
4680.000000	105.670	-175.9223
4750.000000	105.484	-177.1864
4820.000000	105.300	-178.2292
4870.000000	105.178	-178.8771
4940.000000	105.023	-179.7003
5000.000000	104.904	179.6306
5080.000000	104.750	178.7765
5150.000000	104.617	178.0885
5220.000000	104.485	177.4309
5300.000000	104.328	176.6462
5380.000000	104.150	175.7751
5450.000000	103.961	174.9487
5520.000000	103.732	174.1332
5600.000000	103.425	173.2996
5700.000000	102.997	172.4401
5800.000000	102.530	171.7601
5900.000000	102.008	171.4089
6000.000000	101.433	171.7862
6080.000000	100.974	172.7559
6150.000000	100.603	174.0295
6220.000000	100.276	175.5874
6300.000000	99.960	177.6082
6400.000000	99.652	-179.6077
6500.000000	99.440	-176.6515
6600.000000	99.323	-173.6683
6700.000000	99.291	-170.7651
6800.000000	99.337	-167.9779
6900.000000	99.459	-165.3466
7000.000000	99.655	-162.9547
7100.000000	99.917	-160.8840
7200.000000	100.240	-159.1877
7300.000000	100.627	-157.9444
7400.000000	101.078	-157.2964
7500.000000	101.572	-157.4060
7620.000000	102.184	-158.7360
7750.000000	102.799	-161.9200
7880.000000	103.260	-167.1332
8000.000000	103.450	-173.5511
8120.000000	103.352	179.1430
8250.000000	102.899	171.2578
8380.000000	102.103	164.5115
8500.000000	101.124	160.0183
8620.000000	99.998	157.4315
8750.000000	98.707	156.6793
8850.000000	97.713	157.4232
9000.000000	96.287	160.4736
9120.000000	95.248	164.4047
9250.000000	94.264	170.0279
9380.000000	93.491	176.9482
9500.000000	93.052	-175.7874
9620.000000	92.959	-168.1755
9750.000000	93.279	-160.3288
9880.000000	93.946	-153.8434
10000.000000	94.710	-149.7036
10150.000000	95.646	-147.1829
10300.000000	96.418	-146.9547
10440.000000	96.960	-147.8488
10600.000000	97.422	-149.1086
10750.000000	97.801	-149.9363
10900.000000	98.247	-150.3812
11060.000000	98.916	-150.8477
11200.000000	99.707	-151.8954
11380.000000	100.934	-155.4182
11500.000000	101.770	-159.9569
11720.000000	102.942	-174.2403
11800.000000	103.147	178.7913
12060.000000	102.692	154.2183
12200.000000	101.745	143.1317
12410.000000	99.663	132.5364
12500.000000	98.630	130.1684
12650.000000	96.851	128.5101
12800.000000	95.115	128.9593
13150.000000	91.670	134.5409
13200.000000	91.262	135.6288
13400.000000	89.822	140.3411
13600.000000	88.634	145.3936
13800.000000	87.637	150.5684
14000.000000	86.822	155.7357
14300.000000	86.023	163.2945
14500.000000	85.814	168.0768
14750.000000	85.906	173.5035
15000.000000	86.337	177.8644
15250.000000	87.003	-179.6257
15500.000000	87.746	179.8757
15750.000000	88.349	175.0965
16000.000000	88.580	165.5248
16250.000000	88.250	152.5972
16500.000000	87.290	139.6778
16750.000000	85.786	129.9726
17000.000000	83.940	124.5486
17250.000000	81.985	122.4695
17500.000000	80.113	122.1768
17750.000000	78.389	122.6074
18000.000000	76.766	123.4229
18250.000000	75.183	124.6281
18500.000000	73.600	126.2419
18750.000000	71.990	128.2269
19000.000000	70.326	130.5200
19250.000000	68.584	133.1399
19500.000000	66.720	136.5001
19750.000000	64.665	141.6738
20000.000000	62.387	149.6765
