* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 11, 2022 2:04:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Timeless R 75ohm
* Measurement: Timeless R 75ohm
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	72.024	27.6241
20.299999	72.029	27.0590
20.600000	72.031	26.4858
20.900000	72.029	25.8977
21.200001	72.025	25.2916
21.400000	72.022	24.8800
21.799999	72.014	24.0509
22.000000	72.010	23.6400
22.400000	72.003	22.8374
22.700001	72.000	22.2535
23.000000	71.999	21.6791
23.299999	72.002	21.1044
23.600000	72.006	20.5222
24.000000	72.012	19.7291
24.299999	72.015	19.1249
24.700001	72.013	18.3201
25.000000	72.007	17.7312
25.400000	71.994	16.9838
25.799999	71.980	16.2942
26.200001	71.970	15.6630
26.500000	71.965	15.2190
26.900000	71.963	14.6511
27.200001	71.962	14.2339
27.600000	71.962	13.6830
28.000000	71.963	13.1366
28.500000	71.968	12.4521
29.000000	71.972	11.7501
29.500000	71.967	11.0414
30.000000	71.948	10.3899
30.400000	71.928	9.9532
30.700001	71.916	9.6755
31.100000	71.908	9.3335
31.500000	71.908	8.9716
32.000000	71.904	8.4437
32.500000	71.883	7.8718
33.000000	71.848	7.3494
33.500000	71.813	6.9081
34.000000	71.787	6.4958
34.500000	71.767	6.0587
35.000000	71.749	5.6031
35.500000	71.735	5.1516
36.000000	71.733	4.6757
36.500000	71.737	4.1136
37.000000	71.735	3.4508
37.500000	71.715	2.7508
38.200001	71.663	1.8519
38.700001	71.623	1.2797
39.500000	71.569	0.3590
40.000000	71.537	-0.2499
40.599998	71.496	-0.9789
41.200001	71.450	-1.6403
41.799999	71.401	-2.1688
42.500000	71.353	-2.5695
43.099998	71.333	-2.7554
43.700001	71.334	-2.8691
44.400002	71.356	-3.0057
45.000000	71.381	-3.1947
45.500000	71.396	-3.4189
46.200001	71.392	-3.7723
46.799999	71.365	-4.0182
47.500000	71.320	-4.2100
48.200001	71.270	-4.3973
48.700001	71.228	-4.5697
49.400002	71.160	-4.8389
50.000000	71.107	-5.0703
50.799999	71.066	-5.4661
51.500000	71.060	-6.0428
52.200001	71.056	-6.8805
53.000000	71.025	-7.9791
53.799999	70.967	-8.8979
54.500000	70.920	-9.3932
55.200001	70.897	-9.6379
56.000000	70.896	-9.7510
57.000000	70.902	-9.7720
58.000000	70.901	-9.7401
59.000000	70.892	-9.9189
60.000000	70.843	-10.5129
60.799999	70.765	-11.1302
61.500000	70.688	-11.6416
62.200001	70.625	-12.1129
63.000000	70.583	-12.6426
64.000000	70.559	-13.3406
65.000000	70.521	-14.0129
66.000000	70.439	-14.4808
67.000000	70.323	-14.7867
68.000000	70.191	-15.3008
69.000000	70.054	-16.5376
70.000000	69.892	-18.9651
71.000000	69.604	-22.3561
72.000000	69.096	-24.7845
73.000000	68.585	-24.3884
74.000000	68.455	-22.2189
75.000000	68.692	-20.5226
76.199997	69.060	-19.5262
77.500000	69.396	-18.4217
78.800003	69.686	-17.5006
80.000000	69.828	-17.4352
81.199997	69.797	-17.7633
82.500000	69.656	-17.9670
83.800003	69.529	-18.1641
85.000000	69.457	-18.6318
86.199997	69.441	-19.3506
87.500000	69.517	-20.4403
88.500000	69.608	-21.6354
90.000000	69.623	-23.4707
91.199997	69.500	-23.9552
92.500000	69.342	-23.6597
93.800003	69.168	-23.5814
95.000000	68.962	-23.8665
96.199997	68.777	-24.1704
97.500000	68.707	-24.4327
98.800003	68.739	-24.6271
100.000000	68.741	-24.3878
101.500000	68.615	-23.3119
103.000000	68.337	-22.2849
104.400002	67.986	-22.4429
106.000000	67.602	-23.7392
107.500000	67.435	-24.0411
109.000000	67.601	-22.2055
110.599998	68.023	-19.5566
112.000000	68.535	-18.5503
113.800003	69.977	-20.7531
115.000000	71.631	-24.8323
