* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 9, 2022 12:08:42 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: AXS Audio Pro L
* Measurement: AXS Audio Pro L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.420	65.5036
20.299999	101.505	64.9506
20.600000	101.582	64.4000
20.900000	101.653	63.8573
21.200001	101.721	63.3269
21.400000	101.765	62.9811
21.799999	101.856	62.3080
22.000000	101.902	61.9804
22.400000	101.996	61.3427
22.700001	102.067	60.8796
23.000000	102.137	60.4299
23.299999	102.206	59.9932
23.600000	102.276	59.5683
24.000000	102.367	59.0166
24.299999	102.435	58.6106
24.700001	102.521	58.0759
25.000000	102.583	57.6786
25.400000	102.661	57.1532
25.799999	102.738	56.6326
26.200001	102.812	56.1164
26.500000	102.866	55.7320
26.900000	102.934	55.2232
27.200001	102.982	54.8456
27.600000	103.042	54.3493
28.000000	103.099	53.8642
28.500000	103.169	53.2758
29.000000	103.241	52.7074
29.500000	103.313	52.1562
30.000000	103.384	51.6187
30.400000	103.441	51.1968
30.700001	103.484	50.8849
31.100000	103.541	50.4759
31.500000	103.597	50.0756
32.000000	103.662	49.5887
32.500000	103.724	49.1156
33.000000	103.783	48.6530
33.500000	103.843	48.1993
34.000000	103.903	47.7552
34.500000	103.964	47.3226
35.000000	104.024	46.9027
35.500000	104.087	46.4961
36.000000	104.151	46.1036
36.500000	104.216	45.7243
37.000000	104.281	45.3543
37.500000	104.342	44.9877
38.200001	104.418	44.4738
38.700001	104.465	44.1093
39.500000	104.533	43.5457
40.000000	104.577	43.2087
40.599998	104.634	42.8168
41.200001	104.695	42.4356
41.799999	104.760	42.0643
42.500000	104.839	41.6432
43.099998	104.909	41.2908
43.700001	104.981	40.9443
44.400002	105.064	40.5471
45.000000	105.133	40.2120
45.500000	105.191	39.9353
46.200001	105.272	39.5491
46.799999	105.342	39.2169
47.500000	105.422	38.8249
48.200001	105.500	38.4249
48.700001	105.556	38.1328
49.400002	105.635	37.7126
50.000000	105.708	37.3395
50.799999	105.813	36.8186
51.500000	105.911	36.3371
52.200001	106.011	35.8285
53.000000	106.122	35.2093
53.799999	106.233	34.5431
54.500000	106.330	33.9178
55.200001	106.426	33.2516
56.000000	106.534	32.4370
57.000000	106.661	31.3338
58.000000	106.772	30.1409
59.000000	106.867	28.8728
60.000000	106.944	27.5483
60.799999	106.992	26.4640
61.500000	107.024	25.5076
62.200001	107.049	24.5524
63.000000	107.067	23.4717
64.000000	107.075	22.1519
65.000000	107.065	20.8834
66.000000	107.038	19.6838
67.000000	106.997	18.5697
68.000000	106.948	17.5504
69.000000	106.891	16.6252
70.000000	106.828	15.7904
71.000000	106.760	15.0410
72.000000	106.693	14.3701
73.000000	106.630	13.7699
74.000000	106.572	13.2327
75.000000	106.519	12.7509
76.199997	106.457	12.2357
77.500000	106.391	11.7427
78.800003	106.329	11.3065
80.000000	106.276	10.9463
81.199997	106.228	10.6202
82.500000	106.182	10.2986
83.800003	106.143	10.0022
85.000000	106.113	9.7456
86.199997	106.084	9.5016
87.500000	106.052	9.2473
88.500000	106.027	9.0571
90.000000	105.991	8.7797
91.199997	105.965	8.5641
92.500000	105.941	8.3379
93.800003	105.923	8.1203
95.000000	105.911	7.9250
96.199997	105.900	7.7314
97.500000	105.888	7.5214
