* Measurement data measured by REW V5.20.11
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 23, 2022 11:58:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Akros Erasmus L
* Measurement: AKROS 00 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.995	-164.3154
20.299999	106.004	-164.7458
20.600000	106.008	-165.1812
20.900000	106.008	-165.6163
21.200001	106.005	-166.0444
21.400000	106.004	-166.3231
21.799999	106.003	-166.8640
22.000000	106.005	-167.1266
22.400000	106.012	-167.6400
22.700001	106.020	-168.0179
23.000000	106.028	-168.3914
23.299999	106.036	-168.7603
23.600000	106.044	-169.1242
24.000000	106.054	-169.6008
24.299999	106.060	-169.9523
24.700001	106.066	-170.4145
25.000000	106.067	-170.7575
25.400000	106.066	-171.2104
25.799999	106.063	-171.6573
26.200001	106.060	-172.0958
26.500000	106.056	-172.4180
26.900000	106.048	-172.8378
27.200001	106.041	-173.1458
27.600000	106.029	-173.5486
28.000000	106.017	-173.9444
28.500000	106.004	-174.4320
29.000000	105.993	-174.9124
29.500000	105.983	-175.3842
30.000000	105.972	-175.8447
30.400000	105.964	-176.2044
30.700001	105.959	-176.4696
31.100000	105.953	-176.8183
31.500000	105.947	-177.1622
32.000000	105.936	-177.5859
32.500000	105.921	-178.0036
33.000000	105.905	-178.4179
33.500000	105.891	-178.8323
34.000000	105.877	-179.2466
34.500000	105.863	-179.6553
35.000000	105.849	179.9482
35.500000	105.836	179.5673
36.000000	105.827	179.1998
36.500000	105.819	178.8424
37.000000	105.809	178.4941
37.500000	105.795	178.1554
38.200001	105.767	177.6982
38.700001	105.740	177.3843
39.500000	105.690	176.9125
40.000000	105.660	176.6393
40.599998	105.630	176.3259
41.200001	105.606	176.0146
41.799999	105.585	175.6994
42.500000	105.562	175.3337
43.099998	105.545	175.0283
43.700001	105.529	174.7254
44.400002	105.510	174.3629
45.000000	105.491	174.0413
45.500000	105.472	173.7722
46.200001	105.443	173.4050
46.799999	105.417	173.1016
47.500000	105.384	172.7551
48.200001	105.347	172.4172
48.700001	105.317	172.1855
49.400002	105.276	171.8771
50.000000	105.244	171.6239
50.799999	105.209	171.2973
51.500000	105.182	171.0241
52.200001	105.156	170.7630
53.000000	105.124	170.4732
53.799999	105.091	170.1901
54.500000	105.063	169.9517
55.200001	105.037	169.7219
56.000000	105.009	169.4632
57.000000	104.974	169.1384
58.000000	104.935	168.8087
59.000000	104.893	168.4691
60.000000	104.847	168.1265
60.799999	104.807	167.8625
61.500000	104.771	167.6451
62.200001	104.736	167.4424
63.000000	104.699	167.2263
64.000000	104.655	166.9747
65.000000	104.610	166.7386
66.000000	104.565	166.5116
67.000000	104.520	166.2902
68.000000	104.476	166.0773
69.000000	104.432	165.8722
70.000000	104.389	165.6652
71.000000	104.346	165.4472
72.000000	104.303	165.2322
73.000000	104.265	165.0404
74.000000	104.235	164.8625
75.000000	104.207	164.6895
76.199997	104.171	164.4955
77.500000	104.127	164.2895
78.800003	104.076	164.1026
80.000000	104.028	163.9529
81.199997	103.983	163.7960
82.500000	103.936	163.5975
83.800003	103.889	163.3711
85.000000	103.843	163.1554
86.199997	103.793	162.9530
87.500000	103.734	162.7601
88.500000	103.687	162.6306
90.000000	103.618	162.4622
91.199997	103.565	162.3527
92.500000	103.510	162.2651
93.800003	103.457	162.2057
95.000000	103.411	162.1692
96.199997	103.365	162.1386
