* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 28, 2022 10:54:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Astrotec Vesna L
* Measurement: EJ07M R Apr 28
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.378	-108.9839
20.299999	87.475	-109.6927
20.600000	87.564	-110.3883
20.900000	87.648	-111.0704
21.200001	87.729	-111.7398
21.400000	87.783	-112.1797
21.799999	87.893	-113.0445
22.000000	87.948	-113.4693
22.400000	88.060	-114.3027
22.700001	88.144	-114.9126
23.000000	88.229	-115.5097
23.299999	88.313	-116.0963
23.600000	88.397	-116.6760
24.000000	88.509	-117.4448
24.299999	88.590	-118.0224
24.700001	88.693	-118.7939
25.000000	88.766	-119.3694
25.400000	88.857	-120.1249
25.799999	88.944	-120.8608
26.200001	89.030	-121.5800
26.500000	89.093	-122.1142
26.900000	89.174	-122.8266
27.200001	89.231	-123.3616
27.600000	89.301	-124.0697
28.000000	89.366	-124.7595
28.500000	89.448	-125.5851
29.000000	89.534	-126.3823
29.500000	89.622	-127.1800
30.000000	89.710	-127.9982
30.400000	89.778	-128.6639
30.700001	89.828	-129.1633
31.100000	89.892	-129.8215
31.500000	89.954	-130.4682
32.000000	90.027	-131.2620
32.500000	90.094	-132.0435
33.000000	90.160	-132.8130
33.500000	90.226	-133.5708
34.000000	90.293	-134.3210
34.500000	90.359	-135.0679
35.000000	90.425	-135.8088
35.500000	90.489	-136.5332
36.000000	90.553	-137.2331
36.500000	90.618	-137.9111
37.000000	90.681	-138.5777
37.500000	90.739	-139.2405
38.200001	90.807	-140.1592
38.700001	90.848	-140.8061
39.500000	90.906	-141.8481
40.000000	90.940	-142.5175
40.599998	90.980	-143.3288
41.200001	91.018	-144.1213
41.799999	91.056	-144.8863
42.500000	91.103	-145.7576
43.099998	91.146	-146.4847
43.700001	91.190	-147.1810
44.400002	91.246	-147.9774
45.000000	91.293	-148.6877
45.500000	91.326	-149.2977
46.200001	91.358	-150.1160
46.799999	91.377	-150.7314
47.500000	91.400	-151.3597
48.200001	91.425	-151.9492
48.700001	91.443	-152.3695
49.400002	91.469	-152.9745
50.000000	91.494	-153.5240
50.799999	91.529	-154.3035
51.500000	91.558	-155.0025
52.200001	91.584	-155.6973
53.000000	91.611	-156.4862
53.799999	91.636	-157.2658
54.500000	91.659	-157.9300
55.200001	91.685	-158.5752
56.000000	91.714	-159.2929
57.000000	91.745	-160.1614
58.000000	91.768	-161.0069
59.000000	91.784	-161.8596
60.000000	91.791	-162.7336
60.799999	91.793	-163.4337
61.500000	91.795	-164.0424
62.200001	91.801	-164.6529
63.000000	91.814	-165.3558
64.000000	91.833	-166.2373
65.000000	91.848	-167.0999
66.000000	91.852	-167.8863
67.000000	91.849	-168.5693
68.000000	91.841	-169.1781
69.000000	91.825	-169.7368
70.000000	91.803	-170.2690
71.000000	91.780	-170.7961
72.000000	91.763	-171.3439
73.000000	91.758	-171.9534
74.000000	91.759	-172.6188
75.000000	91.759	-173.2812
