* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 1, 2022 2:00:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Audio Ehiku L
* Measurement: Audio Ehiku L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.701	-152.7847
20.299999	99.725	-153.3631
20.600000	99.748	-153.9318
20.900000	99.769	-154.4903
21.200001	99.789	-155.0379
21.400000	99.802	-155.3965
21.799999	99.826	-156.0987
22.000000	99.838	-156.4424
22.400000	99.859	-157.1157
22.700001	99.874	-157.6085
23.000000	99.889	-158.0915
23.299999	99.903	-158.5653
23.600000	99.917	-159.0310
24.000000	99.934	-159.6413
24.299999	99.947	-160.0926
24.700001	99.962	-160.6865
25.000000	99.973	-161.1258
25.400000	99.986	-161.7026
25.799999	99.998	-162.2679
26.200001	100.008	-162.8215
26.500000	100.015	-163.2292
26.900000	100.024	-163.7631
27.200001	100.030	-164.1563
27.600000	100.037	-164.6708
28.000000	100.044	-165.1742
28.500000	100.052	-165.7891
29.000000	100.059	-166.3905
29.500000	100.065	-166.9806
30.000000	100.070	-167.5601
30.400000	100.074	-168.0151
30.700001	100.076	-168.3504
31.100000	100.077	-168.7886
31.500000	100.079	-169.2168
32.000000	100.081	-169.7415
32.500000	100.083	-170.2618
33.000000	100.084	-170.7839
33.500000	100.082	-171.3060
34.000000	100.078	-171.8192
34.500000	100.072	-172.3160
35.000000	100.065	-172.7976
35.500000	100.058	-173.2713
36.000000	100.049	-173.7403
36.500000	100.039	-174.1997
37.000000	100.028	-174.6416
37.500000	100.017	-175.0653
38.200001	100.004	-175.6428
38.700001	99.995	-176.0548
39.500000	99.980	-176.7132
40.000000	99.969	-177.1172
40.599998	99.955	-177.5910
41.200001	99.940	-178.0526
41.799999	99.924	-178.5005
42.500000	99.904	-179.0045
43.099998	99.888	-179.4237
43.700001	99.872	-179.8362
44.400002	99.852	179.6898
45.000000	99.834	179.2920
45.500000	99.819	178.9684
46.200001	99.796	178.5284
46.799999	99.777	178.1618
47.500000	99.755	177.7422
48.200001	99.732	177.3282
48.700001	99.715	177.0368
49.400002	99.691	176.6360
50.000000	99.669	176.2973
50.799999	99.640	175.8505
51.500000	99.612	175.4728
52.200001	99.583	175.1197
53.000000	99.552	174.7465
53.799999	99.525	174.3907
54.500000	99.503	174.0820
55.200001	99.483	173.7710
56.000000	99.460	173.4120
57.000000	99.430	172.9606
58.000000	99.398	172.5060
59.000000	99.362	172.0500
60.000000	99.324	171.6006
60.799999	99.291	171.2493
61.500000	99.261	170.9496
62.200001	99.231	170.6599
63.000000	99.196	170.3427
64.000000	99.154	169.9672
65.000000	99.114	169.6115
66.000000	99.074	169.2686
67.000000	99.035	168.9266
68.000000	98.991	168.5888
69.000000	98.941	168.2906
70.000000	98.894	168.0496
71.000000	98.854	167.8232
72.000000	98.820	167.5630
73.000000	98.786	167.2730
74.000000	98.751	166.9771
75.000000	98.717	166.6855
76.199997	98.675	166.3462
77.500000	98.631	165.9993
78.800003	98.590	165.6669
80.000000	98.552	165.3497
81.199997	98.513	165.0122
82.500000	98.466	164.6294
83.800003	98.412	164.2429
85.000000	98.355	163.9019
86.199997	98.295	163.5960
87.500000	98.229	163.3159
88.500000	98.180	163.1303
90.000000	98.112	162.8691
91.199997	98.061	162.6599
92.500000	98.005	162.4366
93.800003	97.950	162.2224
95.000000	97.900	162.0343
96.199997	97.849	161.8560
97.500000	97.794	161.6745
98.800003	97.739	161.5070
100.000000	97.688	161.3655
101.500000	97.624	161.2064
103.000000	97.564	161.0634
104.400002	97.511	160.9357
106.000000	97.454	160.7858
107.500000	97.403	160.6383
109.000000	97.349	160.4822
110.599998	97.290	160.2997
112.000000	97.236	160.1234
113.800003	97.170	159.9013
115.000000	97.133	159.7950
117.199997	97.095	159.7614
118.000000	97.091	159.7867
120.599998	97.068	159.8849
122.000000	97.026	160.0029
124.099998	96.938	160.1327
125.000000	96.889	160.0948
126.500000	96.787	159.9509
128.000000	96.681	159.8046
131.500000	96.513	159.5114
132.000000	96.497	159.4709
134.000000	96.436	159.3271
136.000000	96.363	159.2367
138.000000	96.273	159.2385
140.000000	96.185	159.3297
143.000000	96.091	159.5690
145.000000	96.058	159.6830
147.500000	96.029	159.6727
150.000000	95.983	159.5380
152.500000	95.910	159.4961
155.000000	95.827	159.6523
157.500000	95.746	159.9388
160.000000	95.687	160.1863
162.500000	95.646	160.1972
165.000000	95.595	160.0556
167.500000	95.527	159.9644
170.000000	95.456	159.9747
172.500000	95.391	160.0307
175.000000	95.333	160.1024
177.500000	95.278	160.1851
180.000000	95.223	160.2661
182.500000	95.169	160.3340
185.000000	95.116	160.3958
187.500000	95.062	160.4740
190.000000	95.006	160.5848
192.500000	94.947	160.7213
195.000000	94.887	160.8759
197.500000	94.826	161.0577
200.000000	94.766	161.2733
203.000000	94.698	161.5361
206.000000	94.639	161.7242
209.000000	94.584	161.8373
212.000000	94.527	161.9463
214.000000	94.486	162.0420
218.000000	94.402	162.3133
220.000000	94.361	162.4893
224.000000	94.289	162.8853
227.000000	94.242	163.1752
230.000000	94.200	163.4411
233.000000	94.160	163.6899
236.000000	94.122	163.9254
240.000000	94.067	164.2216
