* Measurement data measured by REW V5.20.11
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 25, 2022 11:34:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Audio Hekili L
* Measurement: KZ EDX Ultra Aug 25
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.860	-166.5601
20.299999	106.870	-166.9712
20.600000	106.880	-167.3783
20.900000	106.891	-167.7853
21.200001	106.901	-168.1930
21.400000	106.908	-168.4643
21.799999	106.919	-169.0034
22.000000	106.924	-169.2704
22.400000	106.933	-169.7978
22.700001	106.938	-170.1873
23.000000	106.943	-170.5708
23.299999	106.947	-170.9473
23.600000	106.951	-171.3161
24.000000	106.955	-171.7957
24.299999	106.959	-172.1479
24.700001	106.963	-172.6113
25.000000	106.967	-172.9569
25.400000	106.971	-173.4164
25.799999	106.974	-173.8715
26.200001	106.976	-174.3164
26.500000	106.976	-174.6405
26.900000	106.977	-175.0598
27.200001	106.977	-175.3668
27.600000	106.978	-175.7710
28.000000	106.979	-176.1731
28.500000	106.979	-176.6730
29.000000	106.977	-177.1635
29.500000	106.974	-177.6387
30.000000	106.970	-178.0997
30.400000	106.967	-178.4624
30.700001	106.965	-178.7327
31.100000	106.962	-179.0920
31.500000	106.958	-179.4496
32.000000	106.953	-179.8929
32.500000	106.947	179.6686
33.000000	106.941	179.2340
33.500000	106.935	178.8022
34.000000	106.927	178.3738
34.500000	106.919	177.9505
35.000000	106.910	177.5343
35.500000	106.900	177.1266
36.000000	106.888	176.7292
36.500000	106.875	176.3448
37.000000	106.862	175.9758
37.500000	106.848	175.6208
38.200001	106.828	175.1403
38.700001	106.814	174.8063
39.500000	106.789	174.2952
40.000000	106.775	173.9921
40.599998	106.759	173.6362
41.200001	106.745	173.2760
41.799999	106.732	172.9076
42.500000	106.716	172.4731
43.099998	106.702	172.1014
43.700001	106.689	171.7326
44.400002	106.673	171.3098
45.000000	106.661	170.9529
45.500000	106.651	170.6521
46.200001	106.639	170.2131
46.799999	106.625	169.8206
47.500000	106.604	169.3622
48.200001	106.577	168.9226
48.700001	106.557	168.6229
49.400002	106.527	168.2194
50.000000	106.501	167.8871
50.799999	106.465	167.4677
51.500000	106.436	167.1208
52.200001	106.410	166.7814
53.000000	106.382	166.3907
53.799999	106.355	165.9971
54.500000	106.332	165.6531
55.200001	106.307	165.3105
56.000000	106.278	164.9252
57.000000	106.240	164.4567
58.000000	106.203	163.9821
59.000000	106.162	163.4911
60.000000	106.116	163.0113
60.799999	106.078	162.6520
61.500000	106.044	162.3572
62.200001	106.010	162.0813
63.000000	105.971	161.7900
64.000000	105.922	161.4550
65.000000	105.874	161.1340
66.000000	105.823	160.8141
67.000000	105.772	160.4866
68.000000	105.723	160.1453
69.000000	105.682	159.7791
70.000000	105.651	159.3560
71.000000	105.624	158.8486
72.000000	105.585	158.3169
73.000000	105.531	157.9217
74.000000	105.481	157.7375
75.000000	105.448	157.6559
76.199997	105.418	157.5309
77.500000	105.376	157.3536
78.800003	105.330	157.1647
80.000000	105.293	156.9363
81.199997	105.265	156.6175
82.500000	105.241	156.1666
83.800003	105.214	155.6331
85.000000	105.180	155.1103
86.199997	105.135	154.5990
87.500000	105.074	154.0848
88.500000	105.022	153.7188
90.000000	104.942	153.2061
91.199997	104.878	152.8167
92.500000	104.807	152.4225
93.800003	104.734	152.0723
95.000000	104.665	151.7812
96.199997	104.595	151.5034
97.500000	104.517	151.2117
98.800003	104.436	150.9396
100.000000	104.364	150.7149
101.500000	104.277	150.4751
103.000000	104.196	150.2773
104.400002	104.125	150.1183
106.000000	104.051	149.9501
107.500000	103.988	149.7896
109.000000	103.931	149.6166
110.599998	103.876	149.4021
112.000000	103.825	149.1680
113.800003	103.749	148.7996
115.000000	103.690	148.5246
117.199997	103.569	148.0114
118.000000	103.523	147.8436
120.599998	103.381	147.4796
122.000000	103.316	147.3849
124.099998	103.226	147.2607
125.000000	103.186	147.1983
126.500000	103.119	147.0801
128.000000	103.050	146.9454
131.500000	102.887	146.6038
132.000000	102.863	146.5564
134.000000	102.764	146.3732
136.000000	102.662	146.2036
138.000000	102.561	146.0582
140.000000	102.461	145.9440
143.000000	102.313	145.8250
145.000000	102.214	145.7613
147.500000	102.091	145.6840
150.000000	101.965	145.6313
152.500000	101.836	145.6370
155.000000	101.711	145.7062
157.500000	101.595	145.8079
160.000000	101.489	145.9029
162.500000	101.386	145.9767
165.000000	101.280	146.0403
167.500000	101.171	146.1212
170.000000	101.061	146.2441
172.500000	100.954	146.4100
175.000000	100.852	146.5987
177.500000	100.755	146.7928
180.000000	100.660	146.9864
182.500000	100.567	147.1791
185.000000	100.475	147.3719
187.500000	100.384	147.5655
190.000000	100.294	147.7647
192.500000	100.203	147.9783
195.000000	100.113	148.2130
197.500000	100.024	148.4711
200.000000	99.937	148.7531
203.000000	99.835	149.1170
206.000000	99.740	149.4866
209.000000	99.651	149.8362
212.000000	99.562	150.1694
214.000000	99.501	150.3985
218.000000	99.379	150.9225
220.000000	99.320	151.2222
224.000000	99.212	151.8499
227.000000	99.140	152.3077
230.000000	99.071	152.7465
233.000000	99.005	153.1714
236.000000	98.941	153.5875
240.000000	98.858	154.1370
243.000000	98.796	154.5515
247.000000	98.712	155.1263
250.000000	98.650	155.5909
254.000000	98.574	156.2636
258.000000	98.512	156.9543
262.000000	98.462	157.5894
265.000000	98.425	158.0236
269.000000	98.375	158.5920
