* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 29, 2022 12:33:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: BGVP Melody Balanced R
* Measurement: BGVP Melody Balanced R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.856	-139.6443
20.299999	96.894	-140.2225
20.600000	96.930	-140.7891
20.900000	96.964	-141.3434
21.200001	96.997	-141.8843
21.400000	97.018	-142.2367
21.799999	97.058	-142.9212
22.000000	97.077	-143.2532
22.400000	97.115	-143.8981
22.700001	97.143	-144.3678
23.000000	97.171	-144.8288
23.299999	97.199	-145.2841
23.600000	97.226	-145.7351
24.000000	97.261	-146.3299
24.299999	97.285	-146.7693
24.700001	97.316	-147.3432
25.000000	97.338	-147.7632
25.400000	97.367	-148.3098
25.799999	97.394	-148.8441
26.200001	97.421	-149.3687
26.500000	97.439	-149.7553
26.900000	97.462	-150.2590
27.200001	97.479	-150.6255
27.600000	97.500	-151.0976
28.000000	97.521	-151.5527
28.500000	97.548	-152.1062
29.000000	97.574	-152.6518
29.500000	97.599	-153.1903
30.000000	97.621	-153.7143
30.400000	97.639	-154.1196
30.700001	97.651	-154.4161
31.100000	97.669	-154.8059
31.500000	97.686	-155.1941
32.000000	97.706	-155.6797
32.500000	97.724	-156.1605
33.000000	97.740	-156.6269
33.500000	97.755	-157.0759
34.000000	97.770	-157.5141
34.500000	97.786	-157.9504
35.000000	97.800	-158.3864
35.500000	97.812	-158.8160
36.000000	97.822	-159.2310
36.500000	97.832	-159.6288
37.000000	97.842	-160.0130
37.500000	97.852	-160.3892
38.200001	97.867	-160.9092
38.700001	97.876	-161.2751
39.500000	97.888	-161.8419
40.000000	97.895	-162.1800
40.599998	97.903	-162.5700
41.200001	97.911	-162.9508
41.799999	97.920	-163.3302
42.500000	97.928	-163.7706
43.099998	97.932	-164.1375
43.700001	97.936	-164.4896
44.400002	97.940	-164.8861
45.000000	97.944	-165.2196
45.500000	97.947	-165.4942
46.200001	97.950	-165.8708
46.799999	97.951	-166.1820
47.500000	97.951	-166.5235
48.200001	97.953	-166.8370
48.700001	97.955	-167.0486
49.400002	97.961	-167.3419
50.000000	97.966	-167.5969
50.799999	97.972	-167.9344
51.500000	97.978	-168.2215
52.200001	97.983	-168.5086
53.000000	97.988	-168.8433
53.799999	97.992	-169.1775
54.500000	97.994	-169.4644
55.200001	97.997	-169.7483
56.000000	98.002	-170.0724
57.000000	98.008	-170.4831
58.000000	98.014	-170.9003
59.000000	98.017	-171.3072
60.000000	98.018	-171.7022
60.799999	98.015	-172.0116
61.500000	98.009	-172.2679
62.200001	98.002	-172.5035
63.000000	97.993	-172.7523
64.000000	97.983	-173.0526
65.000000	97.976	-173.3543
66.000000	97.972	-173.6646
67.000000	97.971	-174.0065
68.000000	97.966	-174.3641
69.000000	97.957	-174.6632
70.000000	97.957	-174.8938
71.000000	97.966	-175.1286
72.000000	97.975	-175.3993
73.000000	97.978	-175.6699
74.000000	97.978	-175.9217
75.000000	97.979	-176.1742
76.199997	97.980	-176.4879
77.500000	97.983	-176.8355
78.800003	97.990	-177.2076
80.000000	97.997	-177.5766
81.199997	98.003	-177.9580
82.500000	98.003	-178.3717
83.800003	97.995	-178.7706
85.000000	97.981	-179.1214
86.199997	97.962	-179.4645
87.500000	97.935	-179.8222
88.500000	97.914	179.9216
90.000000	97.886	179.5668
91.199997	97.868	179.3043
92.500000	97.852	179.0381
93.800003	97.838	178.7832
95.000000	97.823	178.5516
96.199997	97.807	178.3211
97.500000	97.787	178.0728
98.800003	97.767	177.8283
100.000000	97.750	177.6131
101.500000	97.731	177.3721
103.000000	97.714	177.1667
104.400002	97.701	176.9916
106.000000	97.687	176.7835
107.500000	97.676	176.5700
109.000000	97.670	176.3292
110.599998	97.664	176.0249
112.000000	97.652	175.7190
113.800003	97.618	175.2731
115.000000	97.584	174.9302
117.199997	97.504	174.2177
118.000000	97.473	173.9730
120.599998	97.400	173.5722
122.000000	97.404	173.6017
124.099998	97.438	173.6747
125.000000	97.447	173.6839
126.500000	97.446	173.6670
128.000000	97.428	173.5963
131.500000	97.374	173.1851
132.000000	97.367	173.1086
134.000000	97.346	172.8050
136.000000	97.325	172.5340
138.000000	97.302	172.2956
140.000000	97.275	172.0686
143.000000	97.233	171.7116
145.000000	97.203	171.4675
147.500000	97.165	171.1848
150.000000	97.127	170.9305
152.500000	97.087	170.7096
155.000000	97.048	170.5466
157.500000	97.016	170.4116
160.000000	96.989	170.2483
162.500000	96.962	170.0452
165.000000	96.931	169.8217
167.500000	96.896	169.5977
170.000000	96.858	169.3958
172.500000	96.818	169.2273
175.000000	96.782	169.0817
177.500000	96.749	168.9432
180.000000	96.718	168.8007
182.500000	96.687	168.6427
185.000000	96.656	168.4683
187.500000	96.625	168.2925
190.000000	96.593	168.1328
192.500000	96.557	167.9883
195.000000	96.520	167.8405
197.500000	96.480	167.6838
200.000000	96.440	167.5388
203.000000	96.393	167.4001
206.000000	96.354	167.2950
209.000000	96.317	167.2179
212.000000	96.273	167.1458
214.000000	96.240	167.0769
218.000000	96.176	166.8740
220.000000	96.145	166.7728
224.000000	96.090	166.6318
227.000000	96.054	166.5602
230.000000	96.019	166.4941
233.000000	95.982	166.4144
236.000000	95.944	166.3092
