* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2022 2:45:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: BGVP Scale Pro R
* Measurement: BGVP Scale Pro R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.208	-115.9944
20.299999	97.297	-116.6733
20.600000	97.383	-117.3461
20.900000	97.468	-118.0139
21.200001	97.550	-118.6763
21.400000	97.603	-119.1140
21.799999	97.705	-119.9776
22.000000	97.754	-120.4021
22.400000	97.850	-121.2344
22.700001	97.920	-121.8437
23.000000	97.988	-122.4411
23.299999	98.055	-123.0283
23.600000	98.121	-123.6073
24.000000	98.207	-124.3683
24.299999	98.269	-124.9316
24.700001	98.351	-125.6728
25.000000	98.410	-126.2215
25.400000	98.487	-126.9444
25.799999	98.562	-127.6592
26.200001	98.634	-128.3671
26.500000	98.686	-128.8925
26.900000	98.752	-129.5828
27.200001	98.799	-130.0900
27.600000	98.860	-130.7499
28.000000	98.920	-131.3911
28.500000	98.993	-132.1718
29.000000	99.064	-132.9384
29.500000	99.134	-133.6958
30.000000	99.200	-134.4425
30.400000	99.252	-135.0293
30.700001	99.290	-135.4623
31.100000	99.339	-136.0316
31.500000	99.388	-136.5939
32.000000	99.448	-137.2908
32.500000	99.505	-137.9821
33.000000	99.559	-138.6641
33.500000	99.610	-139.3320
34.000000	99.659	-139.9830
34.500000	99.706	-140.6173
35.000000	99.751	-141.2356
35.500000	99.794	-141.8388
36.000000	99.837	-142.4299
36.500000	99.879	-143.0148
37.000000	99.920	-143.6006
37.500000	99.959	-144.1894
38.200001	100.007	-145.0083
38.700001	100.038	-145.5780
39.500000	100.082	-146.4506
40.000000	100.108	-146.9715
40.599998	100.140	-147.5741
41.200001	100.172	-148.1574
41.799999	100.207	-148.7325
42.500000	100.247	-149.4094
43.099998	100.280	-149.9964
43.700001	100.310	-150.5772
44.400002	100.342	-151.2318
45.000000	100.368	-151.7719
45.500000	100.390	-152.2138
46.200001	100.421	-152.8275
46.799999	100.445	-153.3486
47.500000	100.471	-153.9462
48.200001	100.496	-154.5322
48.700001	100.513	-154.9459
49.400002	100.536	-155.5194
50.000000	100.553	-156.0037
50.799999	100.574	-156.6329
51.500000	100.591	-157.1652
52.200001	100.608	-157.6823
53.000000	100.627	-158.2596
53.799999	100.647	-158.8271
54.500000	100.665	-159.3182
55.200001	100.683	-159.8056
56.000000	100.703	-160.3595
57.000000	100.727	-161.0500
58.000000	100.750	-161.7399
59.000000	100.768	-162.4258
60.000000	100.782	-163.0971
60.799999	100.790	-163.6154
61.500000	100.796	-164.0539
62.200001	100.801	-164.4804
63.000000	100.806	-164.9570
64.000000	100.812	-165.5408
65.000000	100.816	-166.1132
66.000000	100.821	-166.6742
67.000000	100.826	-167.2268
68.000000	100.831	-167.7720
69.000000	100.835	-168.3080
70.000000	100.839	-168.8339
71.000000	100.841	-169.3490
72.000000	100.842	-169.8529
73.000000	100.842	-170.3457
74.000000	100.841	-170.8269
75.000000	100.840	-171.2966
76.199997	100.841	-171.8517
77.500000	100.844	-172.4546
78.800003	100.847	-173.0648
80.000000	100.850	-173.6364
81.199997	100.850	-174.2198
82.500000	100.846	-174.8674
83.800003	100.834	-175.5213
85.000000	100.816	-176.1079
86.199997	100.795	-176.6572
87.500000	100.770	-177.2003
88.500000	100.752	-177.5855
90.000000	100.729	-178.1278
91.199997	100.711	-178.5467
92.500000	100.690	-178.9959
93.800003	100.668	-179.4387
95.000000	100.647	-179.8411
96.199997	100.625	179.7593
97.500000	100.602	179.3306
98.800003	100.580	178.9121
100.000000	100.560	178.5381
101.500000	100.536	178.0895
103.000000	100.514	177.6611
104.400002	100.495	177.2689
106.000000	100.476	176.8116
107.500000	100.458	176.3670
109.000000	100.438	175.9131
110.599998	100.415	175.4247
112.000000	100.393	174.9933
113.800003	100.357	174.4434
115.000000	100.327	174.0963
117.199997	100.265	173.5443
118.000000	100.243	173.3736
120.599998	100.180	172.8664
122.000000	100.153	172.5861
124.099998	100.117	172.1490
125.000000	100.102	171.9588
126.500000	100.077	171.6400
128.000000	100.053	171.3187
131.500000	99.992	170.5594
132.000000	99.983	170.4503
134.000000	99.946	170.0173
136.000000	99.906	169.5972
138.000000	99.864	169.1938
140.000000	99.820	168.8063
143.000000	99.754	168.2432
145.000000	99.709	167.8712
147.500000	99.650	167.4113
150.000000	99.586	166.9857
152.500000	99.520	166.6321
155.000000	99.454	166.3531
157.500000	99.395	166.0779
160.000000	99.344	165.7313
162.500000	99.292	165.3401
165.000000	99.235	164.9620
167.500000	99.167	164.6262
170.000000	99.091	164.3605
172.500000	99.015	164.1842
175.000000	98.944	164.0811
177.500000	98.883	164.0042
180.000000	98.829	163.9257
182.500000	98.786	163.8599
185.000000	98.755	163.8081
187.500000	98.733	163.7346
190.000000	98.716	163.6006
192.500000	98.699	163.3939
195.000000	98.678	163.1285
197.500000	98.651	162.8338
200.000000	98.617	162.5407
203.000000	98.570	162.2064
206.000000	98.522	161.8752
209.000000	98.472	161.5300
212.000000	98.416	161.1825
214.000000	98.374	160.9662
218.000000	98.284	160.6098
220.000000	98.239	160.4695
224.000000	98.155	160.2136
227.000000	98.095	160.0128
230.000000	98.035	159.8020
233.000000	97.973	159.5894
236.000000	97.912	159.3903
240.000000	97.834	159.1597
243.000000	97.774	159.0027
247.000000	97.688	158.8164
250.000000	97.620	158.7116
254.000000	97.533	158.6308
258.000000	97.457	158.5764
262.000000	97.391	158.4814
265.000000	97.340	158.3806
269.000000	97.265	158.2513
272.000000	97.207	158.1820
276.000000	97.131	158.1285
280.000000	97.060	158.1005
285.000000	96.982	158.0632
290.000000	96.911	157.9589
295.000000	96.833	157.7750
300.000000	96.741	157.5967
304.000000	96.663	157.4979
307.000000	96.605	157.4471
311.000000	96.527	157.3961
315.000000	96.449	157.3552
320.000000	96.351	157.3346
325.000000	96.253	157.3690
330.000000	96.160	157.4434
335.000000	96.071	157.5306
340.000000	95.985	157.6175
345.000000	95.900	157.7100
350.000000	95.816	157.8196
355.000000	95.734	157.9456
360.000000	95.655	158.0815
365.000000	95.577	158.2225
370.000000	95.500	158.3654
375.000000	95.424	158.5115
382.000000	95.319	158.7320
387.000000	95.246	158.9057
395.000000	95.133	159.2123
400.000000	95.067	159.4121
406.000000	94.992	159.6425
412.000000	94.918	159.8544
418.000000	94.842	160.0638
425.000000	94.753	160.3354
431.000000	94.681	160.5921
437.000000	94.613	160.8497
444.000000	94.540	161.1321
450.000000	94.481	161.3402
455.000000	94.432	161.4731
462.000000	94.355	161.6132
468.000000	94.279	161.7457
475.000000	94.185	161.9556
482.000000	94.092	162.2068
487.000000	94.024	162.3973
494.000000	93.928	162.6944
500.000000	93.847	162.9904
508.000000	93.745	163.4121
515.000000	93.660	163.7760
522.000000	93.573	164.1440
530.000000	93.472	164.5985
538.000000	93.376	165.0895
545.000000	93.294	165.5322
552.000000	93.216	165.9814
560.000000	93.129	166.4931
570.000000	93.022	167.1261
580.000000	92.912	167.7796
590.000000	92.803	168.4694
600.000000	92.694	169.2048
608.000000	92.610	169.8145
615.000000	92.538	170.3541
622.000000	92.466	170.9099
630.000000	92.383	171.5848
640.000000	92.287	172.4808
650.000000	92.200	173.4062
660.000000	92.124	174.3354
670.000000	92.057	175.2122
680.000000	91.986	176.0341
690.000000	91.906	176.8626
700.000000	91.820	177.7474
710.000000	91.734	178.7013
720.000000	91.651	179.7066
730.000000	91.571	-179.2457
740.000000	91.493	-178.1498
750.000000	91.418	-176.9992
762.000000	91.335	-175.5416
775.000000	91.254	-173.8681
788.000000	91.186	-172.0966
800.000000	91.136	-170.3610
812.000000	91.106	-168.5329
825.000000	91.102	-166.5136
838.000000	91.122	-164.5234
850.000000	91.150	-162.6952
862.000000	91.190	-160.8276
875.000000	91.251	-158.7340
885.000000	91.315	-157.0725
900.000000	91.448	-154.5110
912.000000	91.593	-152.4031
925.000000	91.805	-150.1033
938.000000	92.088	-147.9262
950.000000	92.406	-146.2134
962.000000	92.754	-144.9435
975.000000	93.131	-144.1287
988.000000	93.474	-143.8125
1000.000000	93.748	-143.8072
1015.000000	94.039	-143.9718
1030.000000	94.290	-144.2020
1044.000000	94.498	-144.4719
1060.000000	94.702	-144.8635
1075.000000	94.857	-145.2477
1090.000000	94.980	-145.5611
1106.000000	95.091	-145.7736
1120.000000	95.178	-145.8552
1138.000000	95.286	-145.8387
1150.000000	95.357	-145.7698
1172.000000	95.494	-145.5590
1180.000000	95.546	-145.4624
1206.000000	95.732	-145.1641
1220.000000	95.836	-145.0731
1241.000000	95.981	-145.0190
1250.000000	96.038	-145.0039
1265.000000	96.128	-144.9687
1280.000000	96.214	-144.9129
1315.000000	96.407	-144.7018
1320.000000	96.435	-144.6671
1340.000000	96.544	-144.5259
1360.000000	96.648	-144.3663
1380.000000	96.751	-144.1581
1400.000000	96.859	-143.8818
1430.000000	97.047	-143.4451
1450.000000	97.182	-143.2366
1475.000000	97.348	-143.0585
1500.000000	97.508	-142.9163
1525.000000	97.666	-142.7699
1550.000000	97.827	-142.5942
1575.000000	98.001	-142.4064
1600.000000	98.190	-142.3018
1625.000000	98.381	-142.3360
1650.000000	98.564	-142.4661
1675.000000	98.740	-142.6432
1700.000000	98.913	-142.8555
1725.000000	99.081	-143.1109
1750.000000	99.244	-143.3914
1775.000000	99.404	-143.6593
1800.000000	99.571	-143.9236
1825.000000	99.748	-144.2571
1850.000000	99.925	-144.7029
1875.000000	100.095	-145.2476
1900.000000	100.255	-145.8572
1925.000000	100.408	-146.4969
1950.000000	100.559	-147.1552
1975.000000	100.711	-147.8695
2000.000000	100.861	-148.6882
2030.000000	101.027	-149.8114
2060.000000	101.171	-151.0428
2090.000000	101.292	-152.3447
2120.000000	101.388	-153.6886
2140.000000	101.438	-154.5813
2180.000000	101.514	-156.2983
2200.000000	101.545	-157.1349
2240.000000	101.589	-158.8246
2270.000000	101.601	-160.0945
2300.000000	101.591	-161.3146
2330.000000	101.567	-162.4424
2360.000000	101.536	-163.4890
2400.000000	101.486	-164.8319
2430.000000	101.437	-165.8141
2470.000000	101.352	-167.0593
2500.000000	101.271	-167.9180
2540.000000	101.143	-168.8980
2580.000000	101.005	-169.6479
2620.000000	100.869	-170.2232
2650.000000	100.767	-170.5695
2690.000000	100.629	-170.8976
2720.000000	100.528	-171.0233
2760.000000	100.406	-171.0617
2800.000000	100.301	-171.0258
2850.000000	100.183	-170.9346
2900.000000	100.069	-170.7815
2950.000000	99.958	-170.4862
3000.000000	99.863	-170.0364
3040.000000	99.800	-169.6091
3070.000000	99.759	-169.2490
3110.000000	99.716	-168.6980
3150.000000	99.692	-168.0826
3200.000000	99.693	-167.3020
3250.000000	99.720	-166.5798
3300.000000	99.762	-165.9235
3350.000000	99.817	-165.2814
3400.000000	99.890	-164.6475
3450.000000	99.982	-164.0451
3500.000000	100.095	-163.4564
3550.000000	100.238	-162.8949
3600.000000	100.417	-162.4467
3650.000000	100.626	-162.2084
3700.000000	100.852	-162.2280
3750.000000	101.088	-162.5072
3820.000000	101.424	-163.3614
3870.000000	101.655	-164.2982
3950.000000	102.004	-166.3045
4000.000000	102.206	-167.9159
4060.000000	102.415	-170.2737
4120.000000	102.564	-173.0537
4180.000000	102.635	-176.1376
4250.000000	102.606	-179.9117
4310.000000	102.485	176.9403
4370.000000	102.293	174.0382
4440.000000	102.007	171.0164
4500.000000	101.725	168.7180
4550.000000	101.475	166.9709
4620.000000	101.104	164.6796
4680.000000	100.759	162.8089
4750.000000	100.310	160.7678
4820.000000	99.801	158.9793
4870.000000	99.397	157.9444
4940.000000	98.779	156.9730
5000.000000	98.216	156.6557
5080.000000	97.442	157.0203
5150.000000	96.773	158.0613
5220.000000	96.138	159.6679
5300.000000	95.475	162.0158
5380.000000	94.882	164.7451
5450.000000	94.417	167.3628
5520.000000	93.996	170.1799
5600.000000	93.572	173.6227
5700.000000	93.130	178.1586
5800.000000	92.782	-177.1687
5900.000000	92.510	-172.3872
6000.000000	92.318	-167.4424
6080.000000	92.233	-163.4196
6150.000000	92.210	-159.9457
6220.000000	92.225	-156.5770
6300.000000	92.270	-152.8236
6400.000000	92.365	-148.1155
6500.000000	92.528	-143.3018
6600.000000	92.779	-138.4535
6700.000000	93.124	-133.6654
6800.000000	93.569	-128.9769
6900.000000	94.129	-124.4407
7000.000000	94.818	-120.1670
7100.000000	95.646	-116.2884
7200.000000	96.625	-112.9458
7300.000000	97.763	-110.3646
7400.000000	99.043	-108.9231
7500.000000	100.402	-109.1279
7620.000000	101.996	-112.3157
7750.000000	103.432	-120.1398
7880.000000	104.285	-132.0716
8000.000000	104.409	-144.4763
8120.000000	103.932	-155.2703
8250.000000	102.948	-163.0602
8380.000000	101.769	-166.6014
8500.000000	100.731	-166.9078
8620.000000	99.887	-165.3133
8750.000000	99.274	-162.3322
8850.000000	99.033	-159.5682
9000.000000	99.065	-155.2039
9120.000000	99.439	-151.9836
9250.000000	100.191	-149.3143
9380.000000	101.260	-148.1983
9500.000000	102.419	-149.4197
9620.000000	103.573	-153.7318
9750.000000	104.582	-162.5608
9880.000000	105.115	-175.2473
10000.000000	105.054	171.4597
10150.000000	104.224	156.3978
10300.000000	102.744	145.9689
10440.000000	101.045	140.7808
10600.000000	99.041	138.9161
10750.000000	97.322	139.6124
10900.000000	95.876	141.5356
11060.000000	94.660	144.1058
11200.000000	93.840	146.3248
11380.000000	93.030	148.7893
11500.000000	92.596	150.1299
11720.000000	91.943	151.8896
11800.000000	91.735	152.3040
12060.000000	91.113	152.8911
12200.000000	90.792	152.7714
12410.000000	90.303	152.1016
12500.000000	90.083	151.6714
12650.000000	89.697	150.8624
12800.000000	89.286	150.0598
13150.000000	88.322	148.7079
13200.000000	88.197	148.5887
13400.000000	87.786	148.2027
13600.000000	87.596	147.6473
13800.000000	87.742	146.1424
14000.000000	88.269	142.3007
14300.000000	89.401	127.6833
14500.000000	89.818	109.9012
14750.000000	89.256	82.0688
15000.000000	87.249	57.8222
15250.000000	84.087	43.5783
15500.000000	80.284	37.9542
15750.000000	76.345	37.1261
16000.000000	72.706	38.3800
16250.000000	69.665	40.4578
16500.000000	67.320	42.9145
16750.000000	65.581	45.9345
17000.000000	64.337	50.3991
17250.000000	63.731	56.6607
17500.000000	63.995	63.1290
17750.000000	64.943	67.4971
18000.000000	66.168	68.5413
18250.000000	67.353	65.7412
18500.000000	68.220	58.8795
18750.000000	68.511	49.0884
19000.000000	68.088	39.5334
19250.000000	67.012	33.7359
19500.000000	65.514	33.2254
19750.000000	63.912	37.2262
20000.000000	62.516	43.8548
