* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jul 29, 2021 7:27:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: BLON BL-A8
* Measurement: Jul 29 19:27:24
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	73.623	-117.370
20.586	73.702	-117.799
20.885	73.856	-118.665
21.189	73.978	-119.700
21.497	74.049	-120.795
21.810	74.075	-121.809
22.127	74.069	-122.605
22.449	74.058	-123.097
22.776	74.069	-123.314
23.107	74.127	-123.413
23.443	74.234	-123.621
23.784	74.364	-124.123
24.130	74.483	-124.951
24.481	74.563	-125.976
24.837	74.599	-126.981
25.198	74.607	-127.789
25.565	74.617	-128.360
25.937	74.655	-128.822
26.314	74.720	-129.376
26.697	74.789	-130.149
27.085	74.831	-131.098
27.479	74.834	-132.027
27.879	74.816	-132.743
28.284	74.811	-133.204
28.696	74.848	-133.572
29.113	74.927	-134.089
29.537	75.020	-134.895
29.966	75.095	-135.932
30.402	75.143	-137.026
30.844	75.171	-138.032
31.293	75.194	-138.894
31.748	75.222	-139.612
32.210	75.265	-140.208
32.678	75.327	-140.736
33.154	75.404	-141.289
33.636	75.479	-141.909
34.125	75.538	-142.515
34.621	75.593	-143.025
35.125	75.658	-143.551
35.636	75.715	-144.319
36.154	75.712	-145.294
36.680	75.633	-146.038
37.214	75.541	-146.219
37.755	75.525	-146.222
38.304	75.567	-146.689
38.861	75.558	-147.703
39.427	75.449	-148.515
40.000	75.347	-148.437
40.582	75.412	-147.764
41.172	75.691	-147.622
41.771	76.054	-148.927
42.379	76.296	-151.753
42.995	76.271	-154.940
43.620	76.009	-156.763
44.255	75.751	-156.400
44.898	75.743	-155.078
45.552	75.918	-154.446
46.214	76.082	-154.773
46.886	76.167	-155.546
47.568	76.157	-156.541
48.260	76.022	-157.185
48.962	75.886	-156.762
49.674	75.945	-156.058
50.397	76.125	-156.588
51.130	76.206	-158.213
51.874	76.174	-159.724
52.628	76.137	-160.817
53.394	76.125	-161.724
54.170	76.144	-162.446
54.958	76.203	-163.187
55.758	76.252	-164.089
56.569	76.260	-164.886
57.391	76.242	-165.382
58.226	76.228	-165.511
59.073	76.270	-165.497
59.932	76.343	-165.899
60.804	76.360	-166.642
61.688	76.337	-167.263
62.586	76.321	-167.858
63.496	76.297	-168.541
64.420	76.262	-169.136
65.357	76.240	-169.588
66.307	76.245	-169.926
67.272	76.285	-170.299
68.250	76.323	-170.911
69.243	76.314	-171.597
70.250	76.278	-172.196
71.272	76.231	-172.859
72.309	76.183	-173.797
73.360	76.077	-175.212
74.427	75.859	-176.098
75.510	75.755	-175.759
76.608	75.877	-175.704
77.723	76.016	-176.422
78.853	76.082	-177.069
80.000	76.117	-177.342
81.164	76.122	-177.608
82.344	76.065	-177.826
83.542	76.022	-178.039
84.757	76.007	-178.677
85.990	75.997	-179.559
87.241	76.010	179.619
88.510	76.037	178.937
89.797	76.049	178.503
91.103	76.037	178.286
92.428	76.031	178.056
93.773	76.023	177.187
95.137	75.942	176.058
96.520	75.910	175.383
97.924	75.991	174.503
99.349	76.009	173.341
100.794	75.898	173.043
102.260	75.793	173.707
103.747	75.734	174.295
105.256	75.663	174.157
106.787	75.544	173.416
108.340	75.433	172.459
109.916	75.402	171.544
111.515	75.454	170.807
113.137	75.488	170.612
114.783	75.431	171.243
116.452	75.203	172.349
118.146	74.806	174.325
119.865	74.674	176.672
121.608	74.896	175.118
123.377	74.998	171.171
125.171	75.040	168.395
126.992	75.014	167.507
128.839	74.916	167.714
130.713	74.797	167.668
132.615	74.688	166.894
134.543	74.649	166.370
136.500	74.685	166.311
138.486	74.686	166.419
140.500	74.607	166.164
142.544	74.489	165.582
144.617	74.418	165.128
146.721	74.398	165.404
148.855	74.469	166.295
151.020	74.547	166.371
153.217	74.505	165.636
155.445	74.369	164.438
157.706	74.183	163.578
160.000	74.090	163.197
162.327	74.111	163.078
164.688	74.112	163.080
167.084	74.057	163.513
169.514	73.994	163.350
171.980	73.892	162.490
174.481	73.779	161.848
177.019	73.739	161.918
179.594	73.730	162.075
182.206	73.659	161.942
184.856	73.536	161.510
187.545	73.499	161.404
190.273	73.579	162.365
193.041	73.669	164.599
195.849	73.778	165.564
198.697	73.711	163.190
201.587	73.420	160.813
204.520	73.204	160.241
207.494	73.102	160.005
210.512	73.054	159.606
213.574	73.016	159.403
216.681	72.943	159.327
219.833	72.846	159.198
223.030	72.756	159.131
226.274	72.681	159.072
229.565	72.612	158.968
232.905	72.548	158.855
236.292	72.479	158.740
239.729	72.401	158.659
243.216	72.324	158.532
246.754	72.245	158.399
250.343	72.160	158.334
253.984	72.072	158.354
257.678	71.995	158.453
261.426	71.934	158.511
265.229	71.873	158.488
269.087	71.804	158.443
273.001	71.734	158.415
276.972	71.672	158.432
281.000	71.606	158.478
285.088	71.543	158.569
289.234	71.500	158.650
293.441	71.457	158.618
297.710	71.389	158.517
302.040	71.295	158.521
306.433	71.203	158.608
310.890	71.119	158.678
315.412	71.039	158.675
320.000	70.955	158.705
324.655	70.869	158.855
329.377	70.787	159.068
334.168	70.708	159.249
339.028	70.630	159.394
343.959	70.555	159.558
348.962	70.480	159.753
354.038	70.403	159.931
359.188	70.326	160.096
364.412	70.248	160.276
369.713	70.170	160.453
375.090	70.094	160.664
380.546	70.022	160.910
386.081	69.950	161.179
391.697	69.875	161.476
397.395	69.797	161.746
403.175	69.726	162.008
409.039	69.659	162.233
414.989	69.582	162.453
421.025	69.497	162.767
427.149	69.417	163.173
433.362	69.354	163.607
439.665	69.294	164.009
446.060	69.230	164.364
452.548	69.177	164.680
459.131	69.124	164.915
465.809	69.054	165.131
472.584	68.973	165.444
479.458	68.894	165.829
486.432	68.818	166.167
493.507	68.733	166.552
500.686	68.653	167.086
507.968	68.586	167.595
515.357	68.520	168.041
522.853	68.451	168.507
530.458	68.375	169.015
538.174	68.303	169.576
546.002	68.238	170.154
553.943	68.180	170.739
562.001	68.125	171.306
570.175	68.064	171.874
578.469	68.000	172.477
586.883	67.940	173.079
595.419	67.879	173.726
604.080	67.824	174.435
612.866	67.773	175.104
621.780	67.717	175.742
630.824	67.656	176.491
640.000	67.609	177.314
649.309	67.570	178.155
658.753	67.543	179.049
668.335	67.537	179.856
678.056	67.529	-179.487
687.919	67.505	-178.852
697.925	67.469	-178.146
708.076	67.431	-177.319
718.376	67.397	-176.465
728.825	67.367	-175.670
739.426	67.345	-174.850
750.181	67.325	-173.978
761.093	67.306	-173.070
772.163	67.292	-172.133
783.394	67.286	-171.191
794.789	67.280	-170.220
806.349	67.277	-169.194
818.078	67.294	-168.135
829.977	67.338	-167.121
842.050	67.382	-166.274
854.297	67.408	-165.462
866.724	67.427	-164.606
879.330	67.445	-163.689
892.120	67.473	-162.756
905.097	67.503	-161.819
918.262	67.539	-160.841
931.618	67.588	-159.852
945.169	67.645	-158.907
958.917	67.704	-157.998
972.864	67.764	-157.084
987.015	67.829	-156.169
1001.371	67.892	-155.291
1015.937	67.960	-154.353
1030.714	68.046	-153.331
1045.706	68.158	-152.368
1060.916	68.274	-151.617
1076.347	68.374	-150.976
1092.003	68.468	-150.317
1107.887	68.555	-149.651
1124.001	68.631	-148.959
1140.350	68.694	-148.152
1156.937	68.766	-147.091
1173.765	68.900	-145.875
1190.838	69.090	-144.973
1208.159	69.267	-144.474
1225.732	69.405	-144.109
1243.561	69.516	-143.672
1261.649	69.618	-143.099
1280.000	69.723	-142.431
1298.618	69.832	-141.685
1317.507	69.953	-140.877
1336.670	70.085	-140.062
1356.113	70.224	-139.212
1375.838	70.377	-138.255
1395.850	70.561	-137.133
1416.153	70.796	-135.911
1436.751	71.080	-134.832
1457.649	71.386	-133.971
1478.851	71.706	-133.249
1500.362	72.038	-132.677
1522.185	72.370	-132.285
