* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 4, 2021 4:18:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: BLON BLA8
* Measurement: Sep 4
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.4	61.3792
20.299999	97.5	60.6142
20.600000	97.6	59.8644
20.900000	97.6	59.1302
21.200001	97.7	58.4124
21.400000	97.7	57.9441
21.799999	97.8	57.0340
22.000000	97.9	56.5929
22.400000	97.9	55.7378
22.700001	98.0	55.1158
23.000000	98.0	54.5036
23.299999	98.1	53.8944
23.600000	98.2	53.2845
24.000000	98.2	52.4691
24.299999	98.3	51.8598
24.700001	98.3	51.0576
25.000000	98.4	50.4670
25.400000	98.5	49.6927
25.799999	98.5	48.9256
26.200001	98.6	48.1581
26.500000	98.6	47.5836
26.900000	98.7	46.8278
27.200001	98.7	46.2779
27.600000	98.7	45.5766
28.000000	98.8	44.9122
28.500000	98.8	44.1150
29.000000	98.9	43.3252
29.500000	98.9	42.5320
30.000000	99.0	41.7513
30.400000	99.0	41.1502
30.700001	99.1	40.7142
31.100000	99.1	40.1430
31.500000	99.1	39.5674
32.000000	99.2	38.8202
32.500000	99.3	38.0409
33.000000	99.3	37.2564
33.500000	99.3	36.4991
34.000000	99.4	35.7854
34.500000	99.4	35.1094
35.000000	99.4	34.4558
35.500000	99.5	33.8116
36.000000	99.5	33.1704
36.500000	99.5	32.5289
37.000000	99.5	31.8853
37.500000	99.6	31.2429
38.200001	99.6	30.3660
38.700001	99.6	29.7693
39.500000	99.7	28.8647
40.000000	99.7	28.3184
40.599998	99.7	27.6765
41.200001	99.7	27.0542
41.799999	99.7	26.4476
42.500000	99.7	25.7350
43.099998	99.8	25.1022
43.700001	99.8	24.4595
44.400002	99.8	23.7278
45.000000	99.8	23.1298
45.500000	99.8	22.6483
46.200001	99.8	21.9916
46.799999	99.8	21.4440
47.500000	99.8	20.8251
48.200001	99.8	20.2263
48.700001	99.8	19.8110
49.400002	99.8	19.2495
50.000000	99.8	18.7877
50.799999	99.8	18.1965
51.500000	99.9	17.6965
52.200001	99.9	17.2031
53.000000	99.9	16.6392
53.799999	99.9	16.0865
54.500000	99.9	15.6237
55.200001	99.9	15.1678
56.000000	99.9	14.6311
57.000000	99.9	13.9422
58.000000	99.9	13.2830
59.000000	99.9	12.6807
60.000000	99.9	12.1097
60.799999	99.9	11.6434
61.500000	99.9	11.2212
62.200001	99.9	10.7891
63.000000	99.9	10.2858
64.000000	99.9	9.6411
65.000000	100.0	8.9811
66.000000	100.0	8.3162
67.000000	100.0	7.6620
68.000000	99.9	7.0261
69.000000	99.9	6.4087
70.000000	99.9	5.8110
71.000000	99.9	5.2329
72.000000	99.9	4.6648
73.000000	99.9	4.0983
74.000000	99.9	3.5430
75.000000	99.8	3.0155
76.199997	99.8	2.4163
77.500000	99.8	1.7866
78.800003	99.8	1.1600
80.000000	99.7	0.5764
81.199997	99.7	-0.0143
82.500000	99.7	-0.6535
83.800003	99.6	-1.2692
85.000000	99.6	-1.7919
86.199997	99.5	-2.2549
87.500000	99.5	-2.6909
88.500000	99.5	-2.9928
90.000000	99.4	-3.4243
91.199997	99.4	-3.7747
92.500000	99.4	-4.1745
93.800003	99.4	-4.5977
95.000000	99.3	-5.0006
96.199997	99.3	-5.4048
97.500000	99.3	-5.8341
98.800003	99.2	-6.2451
100.000000	99.2	-6.5979
101.500000	99.1	-6.9909
103.000000	99.1	-7.3250
104.400002	99.0	-7.5892
106.000000	99.0	-7.8492
107.500000	99.0	-8.0706
109.000000	98.9	-8.2964
110.599998	98.9	-8.5756
112.000000	98.9	-8.8622
113.800003	98.9	-9.2482
115.000000	98.9	-9.4765
117.199997	98.9	-9.7793
118.000000	98.9	-9.8688
120.599998	98.8	-10.3343
122.000000	98.8	-10.7491
124.099998	98.8	-11.4562
125.000000	98.8	-11.7594
126.500000	98.7	-12.2460
128.000000	98.7	-12.7004
131.500000	98.6	-13.6428
132.000000	98.6	-13.7648
134.000000	98.6	-14.2256
136.000000	98.5	-14.6688
138.000000	98.4	-15.1203
140.000000	98.4	-15.5608
143.000000	98.3	-16.1589
145.000000	98.2	-16.5283
147.500000	98.1	-16.9777
150.000000	98.1	-17.3866
152.500000	98.0	-17.7240
155.000000	97.9	-17.9796
157.500000	97.8	-18.2040
160.000000	97.8	-18.4722
162.500000	97.7	-18.7859
165.000000	97.6	-19.1109
167.500000	97.6	-19.4211
170.000000	97.5	-19.6973
172.500000	97.4	-19.9351
175.000000	97.4	-20.1498
177.500000	97.3	-20.3602
180.000000	97.2	-20.5748
182.500000	97.2	-20.7937
185.000000	97.1	-21.0162
187.500000	97.0	-21.2388
190.000000	97.0	-21.4532
192.500000	96.9	-21.6513
195.000000	96.8	-21.8284
197.500000	96.8	-21.9828
200.000000	96.7	-22.1140
203.000000	96.6	-22.2469
206.000000	96.6	-22.3752
209.000000	96.5	-22.5222
212.000000	96.4	-22.6830
214.000000	96.4	-22.7824
218.000000	96.3	-22.9181
220.000000	96.2	-22.9516
224.000000	96.1	-22.9958
227.000000	96.1	-23.0414
230.000000	96.0	-23.1003
233.000000	95.9	-23.1635
236.000000	95.9	-23.2275
240.000000	95.8	-23.3151
243.000000	95.7	-23.3765
247.000000	95.6	-23.4295
250.000000	95.5	-23.4300
254.000000	95.4	-23.3705
258.000000	95.4	-23.2837
262.000000	95.3	-23.2394
265.000000	95.2	-23.2380
269.000000	95.2	-23.2340
272.000000	95.1	-23.2056
