* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 28, 2021 10:40:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Blon BL-Max
* Measurement: edx L Oct 28
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.2	31.8483
20.299999	104.2	31.1467
20.600000	104.2	30.4622
20.900000	104.2	29.7946
21.200001	104.2	29.1421
21.400000	104.2	28.7142
21.799999	104.2	27.8728
22.000000	104.2	27.4585
22.400000	104.3	26.6426
22.700001	104.3	26.0442
23.000000	104.3	25.4616
23.299999	104.3	24.8981
23.600000	104.3	24.3548
24.000000	104.3	23.6599
24.299999	104.3	23.1559
24.700001	104.3	22.4995
25.000000	104.3	22.0145
25.400000	104.3	21.3757
25.799999	104.3	20.7464
26.200001	104.3	20.1266
26.500000	104.3	19.6659
26.900000	104.3	19.0529
27.200001	104.3	18.5923
27.600000	104.3	17.9780
28.000000	104.3	17.3697
28.500000	104.3	16.6293
29.000000	104.3	15.9171
29.500000	104.3	15.2288
30.000000	104.3	14.5568
30.400000	104.3	14.0298
30.700001	104.3	13.6415
31.100000	104.3	13.1340
31.500000	104.3	12.6381
32.000000	104.3	12.0327
32.500000	104.2	11.4421
33.000000	104.2	10.8680
33.500000	104.2	10.3129
34.000000	104.2	9.7773
34.500000	104.2	9.2598
35.000000	104.2	8.7587
35.500000	104.2	8.2715
36.000000	104.2	7.7946
36.500000	104.2	7.3221
37.000000	104.1	6.8481
37.500000	104.1	6.3699
38.200001	104.1	5.7004
38.700001	104.1	5.2302
39.500000	104.1	4.4973
40.000000	104.1	4.0477
40.599998	104.0	3.5158
41.200001	104.0	2.9990
41.799999	104.0	2.5026
42.500000	104.0	1.9432
43.099998	104.0	1.4694
43.700001	103.9	0.9977
44.400002	103.9	0.4572
45.000000	103.9	0.0074
45.500000	103.9	-0.3582
46.200001	103.8	-0.8557
46.799999	103.8	-1.2637
47.500000	103.8	-1.7143
48.200001	103.7	-2.1455
48.700001	103.7	-2.4470
49.400002	103.7	-2.8563
50.000000	103.7	-3.1884
50.799999	103.6	-3.6055
51.500000	103.6	-3.9525
52.200001	103.6	-4.2763
53.000000	103.5	-4.6095
53.799999	103.5	-4.9192
54.500000	103.5	-5.1918
55.200001	103.5	-5.4752
56.000000	103.5	-5.8181
57.000000	103.5	-6.2908
58.000000	103.5	-6.8292
59.000000	103.4	-7.4238
60.000000	103.4	-8.0336
60.799999	103.4	-8.5073
61.500000	103.4	-8.9078
62.200001	103.3	-9.2967
63.000000	103.3	-9.7263
64.000000	103.3	-10.2366
65.000000	103.2	-10.7127
66.000000	103.2	-11.1522
67.000000	103.1	-11.5569
68.000000	103.1	-11.9375
69.000000	103.0	-12.3138
70.000000	103.0	-12.7041
71.000000	103.0	-13.0979
72.000000	102.9	-13.4739
73.000000	102.9	-13.8391
74.000000	102.8	-14.2089
75.000000	102.8	-14.5771
76.199997	102.7	-14.9977
77.500000	102.7	-15.4261
78.800003	102.6	-15.8423
80.000000	102.6	-16.2264
81.199997	102.5	-16.6214
82.500000	102.5	-17.0677
83.800003	102.4	-17.5209
85.000000	102.4	-17.9237
86.199997	102.3	-18.2998
87.500000	102.2	-18.6895
88.500000	102.2	-18.9822
90.000000	102.1	-19.3811
91.199997	102.0	-19.6638
92.500000	102.0	-19.9540
93.800003	101.9	-20.2080
95.000000	101.8	-20.3845
96.199997	101.8	-20.5145
97.500000	101.7	-20.6397
98.800003	101.7	-20.7568
100.000000	101.6	-20.8354
101.500000	101.6	-20.8816
103.000000	101.5	-20.8986
104.400002	101.5	-20.9353
106.000000	101.5	-21.0568
107.500000	101.4	-21.2745
109.000000	101.4	-21.5760
110.599998	101.4	-21.9512
112.000000	101.4	-22.3085
113.800003	101.3	-22.7777
115.000000	101.3	-23.0690
117.199997	101.2	-23.5027
118.000000	101.1	-23.6248
120.599998	101.0	-23.9523
122.000000	101.0	-24.1329
124.099998	100.9	-24.4199
125.000000	100.9	-24.5399
126.500000	100.8	-24.7313
128.000000	100.8	-24.9148
131.500000	100.6	-25.3328
132.000000	100.6	-25.3917
134.000000	100.5	-25.6251
136.000000	100.5	-25.8513
138.000000	100.4	-26.0612
140.000000	100.3	-26.2452
143.000000	100.2	-26.4724
145.000000	100.1	-26.6094
147.500000	100.0	-26.7797
150.000000	100.0	-26.9380
152.500000	99.9	-27.0557
155.000000	99.8	-27.1210
157.500000	99.7	-27.1605
160.000000	99.6	-27.2185
162.500000	99.5	-27.3145
165.000000	99.4	-27.4288
167.500000	99.3	-27.5250
170.000000	99.3	-27.5776
172.500000	99.2	-27.5914
175.000000	99.1	-27.5907
177.500000	99.0	-27.5932
180.000000	98.9	-27.6017
182.500000	98.9	-27.6172
185.000000	98.8	-27.6439
187.500000	98.7	-27.6825
190.000000	98.6	-27.7205
192.500000	98.6	-27.7367
195.000000	98.5	-27.7228
197.500000	98.4	-27.6832
200.000000	98.4	-27.6240
203.000000	98.3	-27.5363
206.000000	98.2	-27.4506
209.000000	98.1	-27.3873
212.000000	98.1	-27.3417
214.000000	98.0	-27.3051
218.000000	97.9	-27.1715
220.000000	97.8	-27.0753
224.000000	97.7	-26.8728
227.000000	97.7	-26.7386
230.000000	97.6	-26.6187
233.000000	97.5	-26.5045
236.000000	97.5	-26.3937
240.000000	97.4	-26.2509
243.000000	97.3	-26.1409
247.000000	97.2	-25.9678
250.000000	97.1	-25.8005
254.000000	97.0	-25.5190
258.000000	97.0	-25.2147
262.000000	96.9	-24.9597
265.000000	96.8	-24.8036
269.000000	96.8	-24.5949
272.000000	96.7	-24.4124
276.000000	96.6	-24.1315
280.000000	96.6	-23.8264
285.000000	96.5	-23.4530
290.000000	96.4	-23.1633
295.000000	96.4	-22.9729
300.000000	96.3	-22.7836
304.000000	96.2	-22.5894
307.000000	96.2	-22.4231
311.000000	96.1	-22.1891
315.000000	96.0	-21.9496
320.000000	95.9	-21.6296
325.000000	95.8	-21.2701
330.000000	95.8	-20.8834
335.000000	95.7	-20.4940
340.000000	95.6	-20.1198
345.000000	95.6	-19.7560
350.000000	95.5	-19.3849
355.000000	95.4	-19.0005
360.000000	95.3	-18.6058
365.000000	95.3	-18.2035
370.000000	95.2	-17.7928
375.000000	95.1	-17.3729
382.000000	95.1	-16.7739
387.000000	95.0	-16.3462
395.000000	94.9	-15.6701
400.000000	94.9	-15.2526
406.000000	94.8	-14.7594
412.000000	94.8	-14.2733
418.000000	94.7	-13.7756
425.000000	94.6	-13.1577
431.000000	94.6	-12.6060
437.000000	94.5	-12.0602
444.000000	94.5	-11.4482
450.000000	94.4	-10.9598
455.000000	94.4	-10.5946
462.000000	94.4	-10.1337
468.000000	94.3	-9.7329
475.000000	94.3	-9.2192
482.000000	94.2	-8.6760
487.000000	94.2	-8.2852
494.000000	94.1	-7.7215
500.000000	94.1	-7.2114
508.000000	94.0	-6.5267
515.000000	94.0	-5.9556
522.000000	94.0	-5.4040
530.000000	93.9	-4.7756
538.000000	93.9	-4.1667
545.000000	93.9	-3.6917
552.000000	93.9	-3.3107
560.000000	93.9	-3.0580
570.000000	93.9	-3.0926
580.000000	93.7	-3.3238
590.000000	93.5	-3.0729
600.000000	93.2	-1.6628
608.000000	93.0	0.1824
615.000000	92.9	1.9025
622.000000	92.9	3.4321
630.000000	93.0	4.8613
640.000000	93.0	6.2836
650.000000	93.1	7.4815
