* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 24, 2021 6:57:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: BLON BL03 with Tanchjim filter
* Measurement: Jun 24 18:57:02
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	72.993	32.825
20.586	73.014	32.291
20.885	73.039	31.792
21.189	73.040	31.256
21.497	73.040	30.690
21.810	73.048	30.103
22.127	73.055	29.503
22.449	73.053	28.890
22.776	73.055	28.254
23.107	73.064	27.591
23.443	73.065	26.904
23.784	73.067	26.206
24.130	73.074	25.512
24.481	73.086	24.830
24.837	73.096	24.157
25.198	73.095	23.485
25.565	73.103	22.813
25.937	73.121	22.144
26.314	73.134	21.483
26.697	73.152	20.836
27.085	73.158	20.212
27.479	73.147	19.623
27.879	73.147	19.081
28.284	73.139	18.579
28.696	73.140	18.094
29.113	73.156	17.593
29.537	73.160	17.067
29.966	73.157	16.531
30.402	73.147	16.001
30.844	73.145	15.464
31.293	73.156	14.890
31.748	73.154	14.281
32.210	73.140	13.689
32.678	73.104	13.160
33.154	73.095	12.666
33.636	73.112	12.113
34.125	73.119	11.459
34.621	73.114	10.770
35.125	73.099	10.161
35.636	73.089	9.652
36.154	73.101	9.162
36.680	73.119	8.623
37.214	73.124	8.065
37.755	73.110	7.548
38.304	73.086	7.069
38.861	73.068	6.584
39.427	73.027	6.087
40.000	72.984	5.589
40.582	72.975	5.080
41.172	72.963	4.548
41.771	72.938	4.016
42.379	72.916	3.512
42.995	72.911	3.027
43.620	72.915	2.543
44.255	72.913	2.045
44.898	72.902	1.519
45.552	72.881	0.981
46.214	72.858	0.496
46.886	72.835	0.103
47.568	72.817	-0.274
48.260	72.806	-0.747
48.962	72.768	-1.306
49.674	72.707	-1.818
50.397	72.673	-2.240
51.130	72.664	-2.687
51.874	72.654	-3.187
52.628	72.634	-3.657
53.394	72.597	-4.125
54.170	72.561	-4.582
54.958	72.550	-4.951
55.758	72.551	-5.408
56.569	72.530	-5.963
57.391	72.501	-6.366
58.226	72.482	-6.829
59.073	72.437	-7.399
59.932	72.392	-7.759
60.804	72.364	-8.171
61.688	72.310	-8.684
62.586	72.265	-9.077
63.496	72.241	-9.546
64.420	72.203	-10.001
65.357	72.171	-10.430
66.307	72.129	-10.972
67.272	72.085	-11.340
68.250	72.077	-11.679
69.243	72.046	-12.164
70.250	71.999	-12.494
71.272	71.940	-12.910
72.309	71.868	-13.183
73.360	71.827	-13.719
74.427	71.746	-14.212
75.510	71.725	-14.457
76.608	71.686	-15.144
77.723	71.633	-15.295
78.853	71.680	-15.794
80.000	71.568	-16.283
81.164	71.555	-16.338
82.344	71.319	-16.645
83.542	71.398	-15.382
84.757	71.407	-17.728
85.990	71.164	-17.980
87.241	71.106	-18.483
88.510	71.039	-18.630
89.797	70.970	-18.350
91.103	71.018	-18.543
92.428	70.825	-18.276
93.773	70.972	-17.679
95.137	70.942	-19.226
96.520	70.934	-19.318
97.924	70.934	-20.535
99.349	70.815	-20.648
100.794	70.700	-20.971
102.260	70.583	-21.337
103.747	70.482	-22.141
105.256	70.444	-22.641
106.787	70.459	-22.794
108.340	70.358	-22.613
109.916	70.261	-21.859
111.515	69.836	-22.903
113.137	69.896	-23.503
114.783	69.970	-23.545
116.452	69.797	-21.368
118.146	69.699	-20.725
119.865	73.040	-7.466
121.608	70.344	-22.743
123.377	70.148	-19.323
125.171	70.470	-18.113
126.992	70.083	-21.208
128.839	69.967	-24.074
130.713	69.952	-23.191
132.615	69.697	-23.528
134.543	69.515	-23.698
136.500	69.754	-25.649
138.486	69.713	-25.750
140.500	69.620	-25.505
142.544	69.485	-25.723
144.617	69.439	-25.947
146.721	69.434	-26.638
148.855	69.372	-25.223
151.020	69.124	-26.563
153.217	68.882	-26.225
155.445	68.967	-27.510
157.706	68.888	-27.375
160.000	69.208	-26.905
162.327	68.870	-27.198
164.688	68.768	-28.020
167.084	68.684	-28.601
169.514	68.575	-28.289
171.980	68.423	-28.170
174.481	68.267	-28.349
177.019	68.161	-28.379
179.594	68.032	-28.474
182.206	67.937	-28.551
184.856	67.931	-28.617
187.545	67.943	-28.648
190.273	67.798	-28.564
193.041	67.765	-28.673
195.849	67.710	-28.916
198.697	67.651	-28.669
201.587	67.512	-28.460
204.520	67.433	-28.380
207.494	67.458	-28.268
210.512	67.356	-28.256
213.574	67.257	-28.601
216.681	67.174	-28.584
