* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 4, 2021 4:28:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: BLO5S
* Measurement: Sep 4
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	99.0	36.9458
20.299999	99.0	36.2669
20.600000	99.0	35.6199
20.900000	99.0	34.9955
21.200001	99.0	34.3804
21.400000	99.0	33.9693
21.799999	99.1	33.1420
22.000000	99.1	32.7264
22.400000	99.1	31.9000
22.700001	99.1	31.2938
23.000000	99.1	30.7057
23.299999	99.2	30.1361
23.600000	99.2	29.5812
24.000000	99.2	28.8568
24.299999	99.2	28.3204
24.700001	99.2	27.6155
25.000000	99.2	27.1000
25.400000	99.2	26.4389
25.799999	99.2	25.8118
26.200001	99.3	25.2123
26.500000	99.3	24.7723
26.900000	99.3	24.1892
27.200001	99.3	23.7518
27.600000	99.3	23.1715
28.000000	99.3	22.6030
28.500000	99.3	21.9194
29.000000	99.3	21.2663
29.500000	99.3	20.6345
30.000000	99.3	20.0159
30.400000	99.3	19.5287
30.700001	99.3	19.1675
31.100000	99.3	18.6902
31.500000	99.3	18.2161
32.000000	99.3	17.6257
32.500000	99.3	17.0377
33.000000	99.3	16.4560
33.500000	99.3	15.8859
34.000000	99.3	15.3326
34.500000	99.3	14.7985
35.000000	99.3	14.2791
35.500000	99.3	13.7666
36.000000	99.3	13.2560
36.500000	99.3	12.7507
37.000000	99.3	12.2598
37.500000	99.3	11.7887
38.200001	99.3	11.1545
38.700001	99.3	10.7069
39.500000	99.3	9.9856
40.000000	99.3	9.5385
40.599998	99.3	9.0176
41.200001	99.2	8.5179
41.799999	99.2	8.0336
42.500000	99.2	7.4767
43.099998	99.2	7.0049
43.700001	99.2	6.5435
44.400002	99.2	6.0240
45.000000	99.2	5.5940
45.500000	99.1	5.2430
46.200001	99.1	4.7605
46.799999	99.1	4.3553
47.500000	99.1	3.8931
48.200001	99.1	3.4406
48.700001	99.0	3.1220
49.400002	99.0	2.6827
50.000000	99.0	2.3137
50.799999	99.0	1.8380
51.500000	99.0	1.4482
52.200001	98.9	1.0879
53.000000	98.9	0.6940
53.799999	98.9	0.2894
54.500000	98.9	-0.0808
55.200001	98.9	-0.4575
56.000000	98.8	-0.8842
57.000000	98.8	-1.3993
58.000000	98.8	-1.8903
59.000000	98.7	-2.3678
60.000000	98.7	-2.8514
60.799999	98.7	-3.2428
61.500000	98.6	-3.5673
62.200001	98.6	-3.8500
63.000000	98.5	-4.1060
64.000000	98.5	-4.3298
65.000000	98.4	-4.4711
66.000000	98.4	-4.5668
67.000000	98.4	-4.6619
68.000000	98.4	-4.8013
69.000000	98.4	-5.0193
70.000000	98.4	-5.3196
71.000000	98.4	-5.6768
72.000000	98.4	-6.0571
73.000000	98.4	-6.4413
74.000000	98.4	-6.8472
75.000000	98.4	-7.2886
76.199997	98.4	-7.8207
77.500000	98.4	-8.3631
78.800003	98.3	-8.8846
80.000000	98.3	-9.3621
81.199997	98.3	-9.8504
82.500000	98.2	-10.3901
83.800003	98.2	-10.9131
85.000000	98.1	-11.3609
86.199997	98.1	-11.7689
87.500000	98.0	-12.1647
88.500000	98.0	-12.4415
90.000000	97.9	-12.8265
91.199997	97.9	-13.1238
92.500000	97.9	-13.4498
93.800003	97.8	-13.7773
95.000000	97.8	-14.0717
96.199997	97.7	-14.3530
97.500000	97.7	-14.6425
98.800003	97.7	-14.9196
100.000000	97.6	-15.1676
101.500000	97.6	-15.4672
103.000000	97.5	-15.7516
104.400002	97.5	-16.0066
106.000000	97.4	-16.2960
107.500000	97.4	-16.5744
109.000000	97.3	-16.8682
110.599998	97.3	-17.1986
112.000000	97.2	-17.4862
113.800003	97.2	-17.8107
115.000000	97.1	-17.9683
117.199997	97.0	-18.1006
