* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 6, 2022 11:34:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: BLON BL07 R
* Measurement: BLON BL07 R Jan 6
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.1	30.5743
20.299999	101.1	29.9719
20.600000	101.1	29.3816
20.900000	101.1	28.8037
21.200001	101.2	28.2390
21.400000	101.2	27.8701
21.799999	101.2	27.1488
22.000000	101.2	26.7953
22.400000	101.2	26.0996
22.700001	101.2	25.5858
23.000000	101.2	25.0798
23.299999	101.2	24.5859
23.600000	101.2	24.1092
24.000000	101.2	23.5077
24.299999	101.2	23.0837
24.700001	101.2	22.5485
25.000000	101.3	22.1595
25.400000	101.3	21.6419
25.799999	101.3	21.1124
26.200001	101.3	20.5681
26.500000	101.3	20.1545
26.900000	101.3	19.6046
27.200001	101.3	19.1989
27.600000	101.3	18.6714
28.000000	101.3	18.1593
28.500000	101.3	17.5363
29.000000	101.3	16.9280
29.500000	101.3	16.3369
30.000000	101.3	15.7690
30.400000	101.3	15.3332
30.700001	101.3	15.0151
31.100000	101.3	14.5968
31.500000	101.3	14.1790
32.000000	101.3	13.6514
32.500000	101.3	13.1207
33.000000	101.3	12.5969
33.500000	101.3	12.0875
34.000000	101.3	11.5928
34.500000	101.3	11.1084
35.000000	101.3	10.6315
35.500000	101.3	10.1622
36.000000	101.3	9.7012
36.500000	101.3	9.2487
37.000000	101.3	8.8053
37.500000	101.3	8.3728
38.200001	101.3	7.7925
38.700001	101.3	7.4020
39.500000	101.2	6.8293
40.000000	101.2	6.5042
40.599998	101.2	6.1350
41.200001	101.2	5.7645
41.799999	101.2	5.3715
42.500000	101.2	4.8805
43.099998	101.2	4.4478
43.700001	101.2	4.0189
44.400002	101.2	3.5289
45.000000	101.2	3.1189
45.500000	101.2	2.7857
46.200001	101.2	2.3298
46.799999	101.2	1.9413
47.500000	101.2	1.4849
48.200001	101.1	1.0331
48.700001	101.1	0.7194
49.400002	101.1	0.2954
50.000000	101.1	-0.0530
50.799999	101.1	-0.4968
51.500000	101.1	-0.8748
52.200001	101.1	-1.2512
53.000000	101.0	-1.6712
53.799999	101.0	-2.0651
54.500000	101.0	-2.3917
55.200001	101.0	-2.7140
56.000000	101.0	-3.0910
57.000000	101.0	-3.5929
58.000000	100.9	-4.1221
59.000000	100.9	-4.6346
60.000000	100.9	-5.1119
60.799999	100.9	-5.4922
61.500000	100.9	-5.8363
62.200001	100.9	-6.1866
63.000000	100.8	-6.5795
64.000000	100.8	-7.0460
65.000000	100.8	-7.4980
66.000000	100.7	-7.9606
67.000000	100.7	-8.4547
68.000000	100.7	-8.9972
69.000000	100.6	-9.5284
70.000000	100.6	-9.9277
71.000000	100.5	-10.1833
72.000000	100.5	-10.3836
73.000000	100.5	-10.5743
74.000000	100.5	-10.7673
75.000000	100.5	-10.9780
76.199997	100.4	-11.2739
77.500000	100.4	-11.6597
78.800003	100.4	-12.1057
80.000000	100.4	-12.5604
81.199997	100.4	-13.0497
82.500000	100.3	-13.6042
83.800003	100.3	-14.1617
85.000000	100.3	-14.6410
86.199997	100.2	-15.0488
87.500000	100.1	-15.4094
88.500000	100.1	-15.6451
90.000000	100.1	-15.9613
91.199997	100.0	-16.1997
92.500000	100.0	-16.4586
93.800003	99.9	-16.7336
95.000000	99.9	-17.0079
96.199997	99.9	-17.3000
97.500000	99.9	-17.6307
98.800003	99.8	-17.9670
100.000000	99.8	-18.2711
101.500000	99.8	-18.6367
103.000000	99.7	-18.9954
104.400002	99.7	-19.3318
106.000000	99.6	-19.7135
107.500000	99.6	-20.0664
109.000000	99.5	-20.4232
110.599998	99.5	-20.8146
112.000000	99.5	-21.1667
113.800003	99.4	-21.6234
115.000000	99.4	-21.9161
117.199997	99.3	-22.3858
118.000000	99.2	-22.5296
120.599998	99.1	-22.9064
122.000000	99.1	-23.0706
124.099998	99.0	-23.3212
125.000000	99.0	-23.4399
126.500000	99.0	-23.6532
128.000000	98.9	-23.8805
131.500000	98.8	-24.4334
132.000000	98.8	-24.5118
134.000000	98.8	-24.8144
136.000000	98.7	-25.0972
138.000000	98.6	-25.3662
140.000000	98.6	-25.6364
143.000000	98.5	-26.0563
145.000000	98.4	-26.3235
147.500000	98.3	-26.6228
150.000000	98.2	-26.8850
152.500000	98.2	-27.1155
155.000000	98.1	-27.3176
157.500000	98.0	-27.5011
160.000000	97.9	-27.6976
162.500000	97.9	-27.9270
165.000000	97.8	-28.1786
167.500000	97.7	-28.4224
170.000000	97.6	-28.6277
172.500000	97.5	-28.7876
175.000000	97.5	-28.9268
177.500000	97.4	-29.0712
180.000000	97.3	-29.2241
182.500000	97.3	-29.3796
185.000000	97.2	-29.5402
187.500000	97.1	-29.7114
190.000000	97.0	-29.8895
192.500000	97.0	-30.0562
195.000000	96.9	-30.1919
197.500000	96.8	-30.2944
200.000000	96.8	-30.3772
203.000000	96.7	-30.4802
206.000000	96.6	-30.6172
209.000000	96.6	-30.7715
212.000000	96.5	-30.8835
214.000000	96.4	-30.9233
218.000000	96.3	-30.9480
220.000000	96.2	-30.9438
224.000000	96.1	-30.9268
227.000000	96.1	-30.9290
230.000000	96.0	-30.9528
233.000000	95.9	-30.9921
236.000000	95.8	-31.0383
240.000000	95.7	-31.1036
243.000000	95.7	-31.1446
247.000000	95.6	-31.1617
250.000000	95.5	-31.1295
254.000000	95.4	-31.0204
258.000000	95.3	-30.8796
262.000000	95.2	-30.7809
265.000000	95.2	-30.7433
269.000000	95.1	-30.7015
272.000000	95.0	-30.6530
276.000000	94.9	-30.5627
280.000000	94.8	-30.4382
285.000000	94.8	-30.2370
290.000000	94.7	-30.0812
295.000000	94.6	-30.0255
300.000000	94.5	-29.9856
304.000000	94.5	-29.9277
307.000000	94.4	-29.8815
311.000000	94.3	-29.8295
315.000000	94.3	-29.7852
320.000000	94.2	-29.7119
325.000000	94.1	-29.5920
330.000000	94.0	-29.4375
335.000000	93.9	-29.2745
340.000000	93.8	-29.1184
345.000000	93.7	-28.9651
350.000000	93.6	-28.7990
355.000000	93.5	-28.6121
360.000000	93.4	-28.4081
365.000000	93.3	-28.1925
370.000000	93.3	-27.9686
375.000000	93.2	-27.7372
382.000000	93.0	-27.3975
387.000000	93.0	-27.1438
395.000000	92.8	-26.7204
400.000000	92.8	-26.4474
406.000000	92.7	-26.1199
412.000000	92.6	-25.7957
418.000000	92.5	-25.4607
425.000000	92.4	-25.0312
431.000000	92.3	-24.6346
437.000000	92.2	-24.2395
444.000000	92.2	-23.8013
450.000000	92.1	-23.4604
455.000000	92.0	-23.2161
462.000000	91.9	-22.9186
468.000000	91.9	-22.6522
475.000000	91.8	-22.2899
482.000000	91.7	-21.8904
487.000000	91.6	-21.5958
494.000000	91.5	-21.1534
500.000000	91.4	-20.7321
508.000000	91.3	-20.1472
515.000000	91.3	-19.6489
522.000000	91.2	-19.1537
530.000000	91.1	-18.5601
538.000000	91.0	-17.9355
545.000000	90.9	-17.3802
552.000000	90.8	-16.8218
560.000000	90.8	-16.1902
570.000000	90.7	-15.4171
580.000000	90.6	-14.6362
590.000000	90.5	-13.8330
600.000000	90.4	-13.0021
608.000000	90.3	-12.3284
615.000000	90.3	-11.7401
622.000000	90.2	-11.1423
630.000000	90.2	-10.4296
640.000000	90.1	-9.5031
650.000000	90.0	-8.5670
660.000000	90.0	-7.6488
670.000000	89.9	-6.8040
680.000000	89.9	-6.0325
690.000000	89.8	-5.2725
700.000000	89.8	-4.4755
710.000000	89.7	-3.6307
720.000000	89.6	-2.7561
730.000000	89.6	-1.8595
740.000000	89.5	-0.9353
750.000000	89.5	0.0200
762.000000	89.4	1.2084
775.000000	89.3	2.5466
788.000000	89.3	3.9388
800.000000	89.2	5.2871
812.000000	89.2	6.6968
825.000000	89.2	8.2366
