* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 29, 2022 12:11:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: BLON Fat Girl L
* Measurement: BLON Fat Girl L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.053	-159.8087
20.299999	102.056	-160.3335
20.600000	102.053	-160.8513
20.900000	102.047	-161.3612
21.200001	102.039	-161.8620
21.400000	102.034	-162.1904
21.799999	102.027	-162.8329
22.000000	102.026	-163.1461
22.400000	102.025	-163.7552
22.700001	102.026	-164.1969
23.000000	102.029	-164.6270
23.299999	102.033	-165.0484
23.600000	102.038	-165.4639
24.000000	102.044	-166.0125
24.299999	102.048	-166.4206
24.700001	102.049	-166.9584
25.000000	102.047	-167.3537
25.400000	102.041	-167.8663
25.799999	102.035	-168.3609
26.200001	102.029	-168.8403
26.500000	102.025	-169.1932
26.900000	102.018	-169.6583
27.200001	102.010	-170.0037
27.600000	101.998	-170.4579
28.000000	101.984	-170.8998
28.500000	101.967	-171.4293
29.000000	101.955	-171.9365
29.500000	101.946	-172.4339
30.000000	101.939	-172.9334
30.400000	101.933	-173.3348
30.700001	101.928	-173.6339
31.100000	101.923	-174.0260
31.500000	101.916	-174.4086
32.000000	101.907	-174.8761
32.500000	101.894	-175.3380
33.000000	101.880	-175.7974
33.500000	101.868	-176.2526
34.000000	101.857	-176.6997
34.500000	101.847	-177.1361
35.000000	101.839	-177.5610
35.500000	101.834	-177.9753
36.000000	101.833	-178.3833
36.500000	101.833	-178.7910
37.000000	101.831	-179.2003
37.500000	101.823	-179.6049
38.200001	101.798	179.8563
38.700001	101.775	179.4969
39.500000	101.734	178.9473
40.000000	101.710	178.6069
40.599998	101.685	178.2000
41.200001	101.664	177.7995
41.799999	101.646	177.4056
42.500000	101.629	176.9499
43.099998	101.616	176.5627
43.700001	101.603	176.1819
44.400002	101.587	175.7467
45.000000	101.570	175.3800
45.500000	101.555	175.0793
