* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 4, 2021 3:45:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: BLON Mini
* Measurement: Sep 4
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.2	21.2927
20.299999	97.2	20.8474
20.600000	97.2	20.4175
20.900000	97.2	19.9977
21.200001	97.2	19.5833
21.400000	97.2	19.3083
21.799999	97.3	18.7632
22.000000	97.3	18.4943
22.400000	97.3	17.9673
22.700001	97.3	17.5827
23.000000	97.3	17.2048
23.299999	97.3	16.8281
23.600000	97.3	16.4486
24.000000	97.3	15.9363
24.299999	97.3	15.5522
24.700001	97.3	15.0531
25.000000	97.3	14.6975
25.400000	97.3	14.2531
25.799999	97.3	13.8354
26.200001	97.3	13.4297
26.500000	97.3	13.1270
26.900000	97.3	12.7246
27.200001	97.3	12.4281
27.600000	97.3	12.0462
28.000000	97.3	11.6827
28.500000	97.3	11.2513
29.000000	97.3	10.8424
29.500000	97.3	10.4615
30.000000	97.3	10.1051
30.400000	97.3	9.8173
30.700001	97.3	9.5834
31.100000	97.3	9.2296
31.500000	97.4	8.8234
32.000000	97.4	8.2646
32.500000	97.4	7.6967
33.000000	97.4	7.1596
33.500000	97.3	6.6605
34.000000	97.3	6.1879
34.500000	97.3	5.7354
35.000000	97.3	5.3090
35.500000	97.3	4.9159
36.000000	97.3	4.5507
36.500000	97.3	4.1973
37.000000	97.3	3.8395
37.500000	97.3	3.4730
38.200001	97.3	2.9617
38.700001	97.3	2.6132
39.500000	97.2	2.0925
40.000000	97.2	1.7822
40.599998	97.2	1.4177
41.200001	97.2	1.0602
41.799999	97.2	0.7086
42.500000	97.2	0.2998
43.099998	97.2	-0.0535
43.700001	97.1	-0.4093
44.400002	97.1	-0.8259
45.000000	97.1	-1.1833
45.500000	97.1	-1.4785
46.200001	97.1	-1.8796
46.799999	97.1	-2.2052
47.500000	97.0	-2.5635
48.200001	97.0	-2.9061
48.700001	97.0	-3.1457
49.400002	97.0	-3.4749
50.000000	97.0	-3.7498
50.799999	96.9	-4.1020
51.500000	96.9	-4.3942
52.200001	96.9	-4.6738
53.000000	96.9	-4.9935
53.799999	96.8	-5.3371
54.500000	96.8	-5.6611
55.200001	96.8	-5.9902
56.000000	96.8	-6.3536
57.000000	96.7	-6.8005
58.000000	96.7	-7.2462
59.000000	96.7	-7.6304
60.000000	96.6	-7.9208
60.799999	96.6	-8.1035
61.500000	96.6	-8.2397
62.200001	96.5	-8.3619
63.000000	96.5	-8.4858
64.000000	96.4	-8.5999
65.000000	96.4	-8.6392
66.000000	96.4	-8.5876
67.000000	96.4	-8.4506
68.000000	96.4	-8.2706
69.000000	96.5	-8.1592
70.000000	96.6	-8.2805
71.000000	96.7	-8.7688
72.000000	96.8	-9.5515
73.000000	96.8	-10.3749
74.000000	96.8	-11.0891
75.000000	96.8	-11.6971
76.199997	96.7	-12.3480
77.500000	96.7	-13.0415
78.800003	96.6	-13.7329
80.000000	96.6	-14.3330
81.199997	96.5	-14.8909
82.500000	96.5	-15.4644
83.800003	96.4	-16.0083
85.000000	96.3	-16.4698
86.199997	96.3	-16.8843
87.500000	96.2	-17.2903
88.500000	96.2	-17.5781
90.000000	96.1	-17.9741
91.199997	96.1	-18.2684
92.500000	96.0	-18.5729
93.800003	95.9	-18.8632
95.000000	95.9	-19.1242
96.199997	95.9	-19.3824
97.500000	95.8	-19.6509
98.800003	95.8	-19.8994
100.000000	95.7	-20.1155
101.500000	95.7	-20.3749
103.000000	95.6	-20.6115
104.400002	95.5	-20.8153
106.000000	95.5	-21.0748
107.500000	95.5	-21.3533
109.000000	95.4	-21.6032
110.599998	95.4	-21.8286
112.000000	95.3	-22.0681
113.800003	95.3	-22.4786
115.000000	95.2	-22.7583
117.199997	95.1	-23.1531
118.000000	95.1	-23.2623
120.599998	95.0	-23.5757
122.000000	95.0	-23.7323
124.099998	94.9	-23.9485
125.000000	94.9	-24.0363
126.500000	94.8	-24.1852
128.000000	94.8	-24.3475
131.500000	94.7	-24.7803
132.000000	94.7	-24.8448
134.000000	94.6	-25.0979
