* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 28, 2021 7:41:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: BQEYZ KB1
* Measurement: Jun 28 19:41:02
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	70.217	51.438
20.586	70.253	50.964
20.885	70.303	50.557
21.189	70.335	50.096
21.497	70.366	49.564
21.810	70.404	48.991
22.127	70.433	48.422
22.449	70.450	47.894
22.776	70.475	47.407
23.107	70.517	46.919
23.443	70.561	46.376
23.784	70.609	45.752
24.130	70.655	45.073
24.481	70.696	44.394
24.837	70.728	43.760
25.198	70.749	43.171
25.565	70.784	42.584
25.937	70.829	41.961
26.314	70.864	41.305
26.697	70.893	40.671
27.085	70.905	40.126
27.479	70.905	39.688
27.879	70.930	39.311
28.284	70.958	38.913
28.696	70.996	38.443
29.113	71.040	37.910
29.537	71.065	37.362
29.966	71.081	36.833
30.402	71.092	36.328
30.844	71.108	35.844
31.293	71.139	35.382
31.748	71.171	34.929
32.210	71.206	34.440
32.678	71.219	33.874
33.154	71.237	33.261
33.636	71.254	32.697
34.125	71.262	32.242
34.621	71.285	31.844
35.125	71.316	31.405
35.636	71.340	30.942
36.154	71.365	30.566
36.680	71.408	30.290
37.214	71.469	29.948
37.755	71.513	29.407
38.304	71.516	28.782
38.861	71.499	28.301
39.427	71.472	27.978
40.000	71.465	27.616
40.582	71.488	27.145
41.172	71.499	26.685
41.771	71.505	26.281
42.379	71.520	25.848
42.995	71.542	25.402
43.620	71.566	25.037
44.255	71.596	24.712
44.898	71.622	24.298
45.552	71.632	23.859
46.214	71.643	23.506
46.886	71.661	23.178
47.568	71.671	22.787
48.260	71.670	22.411
48.962	71.659	22.086
49.674	71.647	21.732
50.397	71.656	21.337
51.130	71.674	20.963
51.874	71.696	20.614
52.628	71.713	20.283
53.394	71.712	19.971
54.170	71.721	19.654
54.958	71.745	19.346
55.758	71.771	19.063
56.569	71.803	18.707
57.391	71.821	18.276
58.226	71.822	17.910
59.073	71.834	17.548
59.932	71.847	17.105
60.804	71.836	16.759
61.688	71.834	16.525
62.586	71.855	16.189
63.496	71.866	15.804
64.420	71.866	15.562
65.357	71.876	15.376
66.307	71.894	15.025
67.272	71.896	14.555
68.250	71.883	14.281
69.243	71.900	14.083
70.250	71.909	13.673
71.272	71.891	13.397
72.309	71.899	13.127
73.360	71.902	12.765
74.427	71.941	12.473
75.510	71.952	11.899
76.608	71.916	11.710
77.723	71.946	11.482
78.853	71.965	11.129
80.000	71.998	10.593
81.164	71.966	10.140
82.344	71.981	10.027
83.542	72.004	9.635
84.757	72.007	9.138
85.990	71.963	8.897
87.241	71.954	8.678
88.510	71.928	8.275
89.797	71.885	8.010
91.103	71.901	7.825
92.428	71.917	7.308
93.773	71.910	7.242
95.137	71.929	6.815
96.520	71.880	6.693
97.924	71.879	6.370
99.349	71.837	5.512
100.794	71.719	5.306
102.260	71.843	5.801
103.747	71.932	5.375
105.256	71.912	5.338
106.787	71.890	8.092
108.340	72.152	5.490
109.916	71.824	5.020
111.515	71.787	3.830
113.137	71.870	3.578
114.783	71.882	3.177
116.452	71.702	3.257
118.146	71.828	3.071
119.865	71.024	8.199
121.608	71.799	2.597
123.377	71.696	2.744
125.171	71.640	2.087
126.992	71.631	1.500
128.839	71.732	1.483
130.713	71.645	2.249
132.615	71.202	1.445
134.543	71.921	2.076
136.500	71.607	2.755
138.486	71.602	-0.178
140.500	71.431	0.276
142.544	71.344	-0.760
144.617	71.462	0.916
146.721	71.464	0.782
148.855	71.355	0.461
151.020	71.121	2.658
153.217	71.908	-0.503
155.445	71.510	-0.881
157.706	71.479	0.470
160.000	71.610	-1.324
162.327	71.623	0.103
164.688	71.469	-0.867
167.084	71.461	-0.806
169.514	71.391	-1.130
171.980	71.288	-1.753
174.481	71.313	-2.082
177.019	71.238	-2.132
179.594	71.159	-2.651
182.206	71.146	-2.654
184.856	71.184	-2.798
187.545	71.158	-3.013
190.273	71.136	-3.211
193.041	71.178	-3.757
195.849	71.170	-4.057
198.697	71.132	-3.948
201.587	71.060	-4.244
204.520	71.055	-4.258
207.494	71.060	-4.267
210.512	70.991	-4.598
213.574	70.799	-4.796
216.681	70.890	-5.144
219.833	70.856	-5.022
223.030	70.806	-5.041
226.274	70.790	-5.155
229.565	70.787	-5.124
232.905	70.726	-5.342
236.292	70.689	-5.413
239.729	70.665	-5.153
243.216	70.628	-5.695
246.754	70.558	-5.840
250.343	70.504	-5.951
253.984	70.436	-5.940
257.678	70.391	-5.666
261.426	70.420	-5.709
265.229	70.364	-5.928
269.087	70.321	-6.099
273.001	70.259	-6.028
276.972	70.200	-5.974
281.000	70.143	-5.925
285.088	70.115	-5.806
289.234	70.104	-5.601
293.441	70.084	-5.865
297.710	70.031	-6.186
302.040	69.978	-5.958
306.433	69.925	-5.884
310.890	69.913	-5.717
315.412	69.865	-5.711
320.000	69.732	-6.082
324.655	69.773	-5.531
329.377	69.743	-5.455
334.168	69.710	-5.346
339.028	69.682	-5.349
343.959	69.628	-5.410
348.962	69.563	-5.363
354.038	69.536	-5.251
359.188	69.499	-5.129
364.412	69.447	-5.091
369.713	69.388	-4.927
375.090	69.335	-4.830
380.546	69.286	-4.676
386.081	69.240	-4.531
391.697	69.200	-4.346
397.395	69.146	-4.174
403.175	69.093	-3.902
409.039	69.063	-3.683
414.989	68.999	-3.574
421.025	68.938	-3.366
427.149	68.891	-2.996
433.362	68.865	-2.625
439.665	68.827	-2.460
446.060	68.784	-2.146
452.548	68.748	-1.714
459.131	68.787	-1.783
465.809	68.690	-1.769
472.584	68.637	-1.532
479.458	68.580	-1.157
486.432	68.575	-0.803
493.507	68.477	-0.936
500.686	68.422	-0.286
507.968	68.404	0.083
515.357	68.377	0.253
522.853	68.337	0.289
530.458	68.161	0.013
538.174	68.066	1.127
546.002	68.006	1.790
553.943	67.981	2.608
562.001	67.962	3.181
570.175	67.927	3.544
578.469	67.861	4.049
586.883	67.847	4.596
595.419	67.727	5.037
604.080	67.680	5.722
612.866	67.619	6.432
621.780	67.551	6.972
630.824	67.358	7.948
640.000	67.323	9.860
649.309	67.304	11.926
658.753	67.474	13.817
668.335	67.791	14.515
678.056	67.894	14.176
687.919	67.931	14.239
697.925	67.913	14.258
708.076	67.889	14.746
718.376	67.898	15.236
728.825	67.884	15.771
739.426	67.880	16.397
750.181	67.877	17.047
761.093	67.875	17.764
772.163	67.874	18.527
783.394	67.893	19.404
794.789	67.906	20.060
806.349	67.907	21.055
818.078	67.963	21.899
829.977	68.021	23.190
842.050	68.117	23.361
854.297	68.131	24.151
866.724	68.223	24.583
879.330	68.206	25.703
892.120	68.292	26.498
905.097	68.324	26.989
918.262	68.414	28.033
931.618	68.461	28.984
945.169	68.579	29.774
958.917	68.648	30.605
972.864	68.716	31.189
987.015	68.832	32.107
1001.371	68.965	32.488
1015.937	69.057	33.598
1030.714	69.131	34.210
1045.706	69.327	35.328
1060.916	69.466	35.722
1076.347	69.602	35.965
1092.003	69.750	36.550
1107.887	69.883	36.886
1124.001	70.049	37.239
1140.350	70.194	37.584
1156.937	70.316	38.007
1173.765	70.471	38.114
1190.838	70.598	38.549
1208.159	70.808	39.335
1225.732	70.977	38.811
1243.561	71.167	38.598
1261.649	71.282	38.863
1280.000	71.417	38.431
1298.618	71.545	38.503
1317.507	71.684	38.605
1336.670	71.821	38.454
1356.113	71.930	38.051
1375.838	72.091	37.638
1395.850	72.133	37.398
1416.153	72.174	37.772
1436.751	72.260	37.412
1457.649	72.360	37.767
1478.851	72.563	37.840
1500.362	72.722	37.459
1522.185	72.860	37.095
1544.326	73.011	36.894
1566.789	73.114	36.783
1589.578	73.312	37.207
1612.699	73.417	37.445
1636.156	73.359	37.126
1659.955	73.185	37.165
1684.099	72.980	37.568
1708.595	72.842	38.159
1733.447	72.789	38.560
1758.661	72.798	38.998
1784.241	72.895	39.608
1810.193	73.106	41.144
1836.523	73.321	41.835
1863.236	73.568	42.562
1890.338	73.829	43.081
1917.833	74.104	43.604
1945.729	74.345	43.804
1974.030	74.685	44.620
2002.743	74.995	44.585
2031.873	75.319	44.504
2061.428	75.595	44.627
2091.412	75.977	44.794
2121.832	76.344	44.810
2152.695	76.768	43.812
2184.007	77.148	43.006
2215.774	77.581	41.384
2248.003	77.954	39.235
2280.701	78.232	36.815
2313.874	78.468	34.284
2347.530	78.629	32.404
2381.676	78.788	29.895
2416.318	78.930	27.657
2451.464	79.023	25.068
2487.122	79.045	22.748
2523.298	79.091	20.389
2560.000	78.983	18.319
2597.236	78.962	16.729
2635.014	78.925	15.072
2673.341	78.885	13.557
2712.226	78.752	12.054
2751.676	78.739	11.030
2791.700	78.695	10.136
2832.306	78.661	8.853
2873.503	78.655	8.215
2915.299	78.654	6.341
2957.703	78.649	5.764
3000.724	78.644	4.949
3044.370	78.679	3.982
3088.652	78.701	2.543
3133.577	78.785	1.579
3179.156	78.929	0.415
3225.398	79.061	-1.202
3272.312	79.239	-3.099
