* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 12, 2022 2:27:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Summer L
* Measurement: Summer L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.349	39.7599
20.299999	97.380	39.1684
20.600000	97.406	38.5899
20.900000	97.426	38.0227
21.200001	97.442	37.4666
21.400000	97.453	37.1021
21.799999	97.475	36.3882
22.000000	97.486	36.0388
22.400000	97.509	35.3553
22.700001	97.525	34.8559
23.000000	97.541	34.3676
23.299999	97.557	33.8895
23.600000	97.573	33.4193
24.000000	97.594	32.7997
24.299999	97.609	32.3353
24.700001	97.628	31.7108
25.000000	97.640	31.2367
25.400000	97.653	30.5985
25.799999	97.665	29.9604
26.200001	97.675	29.3316
26.500000	97.682	28.8702
26.900000	97.690	28.2712
27.200001	97.695	27.8337
27.600000	97.701	27.2643
28.000000	97.707	26.7094
28.500000	97.718	26.0369
29.000000	97.730	25.3918
29.500000	97.744	24.7770
30.000000	97.757	24.1913
30.400000	97.769	23.7407
30.700001	97.778	23.4113
31.100000	97.790	22.9813
31.500000	97.802	22.5596
32.000000	97.813	22.0410
32.500000	97.819	21.5300
33.000000	97.823	21.0253
33.500000	97.827	20.5257
34.000000	97.832	20.0296
34.500000	97.839	19.5361
35.000000	97.846	19.0463
35.500000	97.856	18.5627
36.000000	97.868	18.0884
36.500000	97.880	17.6251
37.000000	97.892	17.1741
37.500000	97.900	16.7357
38.200001	97.903	16.1426
38.700001	97.899	15.7320
39.500000	97.886	15.0949
40.000000	97.878	14.7089
40.599998	97.872	14.2573
41.200001	97.868	13.8168
41.799999	97.867	13.3866
42.500000	97.867	12.9005
43.099998	97.869	12.4984
43.700001	97.873	12.1064
44.400002	97.876	11.6554
