* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 16, 2022 9:02:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: CCA CA10 R
* Measurement: CCA CA10 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.064	-169.1966
20.299999	104.070	-169.7720
20.600000	104.076	-170.3390
20.900000	104.081	-170.8981
21.200001	104.087	-171.4493
21.400000	104.091	-171.8124
21.799999	104.099	-172.5282
22.000000	104.103	-172.8809
22.400000	104.112	-173.5769
22.700001	104.118	-174.0911
23.000000	104.123	-174.5994
23.299999	104.127	-175.1013
23.600000	104.130	-175.5963
24.000000	104.131	-176.2434
24.299999	104.131	-176.7180
24.700001	104.130	-177.3363
25.000000	104.128	-177.7901
25.400000	104.126	-178.3842
25.799999	104.123	-178.9682
26.200001	104.119	-179.5430
26.500000	104.116	-179.9676
26.900000	104.112	179.4749
27.200001	104.109	179.0624
27.600000	104.106	178.5172
28.000000	104.103	177.9732
28.500000	104.099	177.2893
29.000000	104.094	176.6007
29.500000	104.087	175.9134
30.000000	104.078	175.2356
30.400000	104.070	174.7037
30.700001	104.064	174.3111
31.100000	104.056	173.7951
31.500000	104.048	173.2863
32.000000	104.037	172.6592
32.500000	104.026	172.0414
33.000000	104.013	171.4327
33.500000	104.000	170.8322
34.000000	103.986	170.2393
34.500000	103.970	169.6543
35.000000	103.953	169.0789
35.500000	103.935	168.5133
36.000000	103.917	167.9565
36.500000	103.898	167.4075
37.000000	103.878	166.8677
37.500000	103.858	166.3397
38.200001	103.830	165.6194
38.700001	103.812	165.1118
39.500000	103.784	164.2954
40.000000	103.765	163.7816
40.599998	103.741	163.1700
41.200001	103.713	162.5748
41.799999	103.685	162.0014
42.500000	103.651	161.3584
43.099998	103.621	160.8262
43.700001	103.590	160.3118
44.400002	103.555	159.7354
45.000000	103.526	159.2572
45.500000	103.503	158.8634
46.200001	103.472	158.3151
46.799999	103.445	157.8527
47.500000	103.415	157.3275
48.200001	103.390	156.8047
48.700001	103.374	156.4197
49.400002	103.351	155.8582
50.000000	103.329	155.3645
50.799999	103.297	154.7010
51.500000	103.267	154.1139
52.200001	103.234	153.5230
53.000000	103.191	152.8650
53.799999	103.148	152.2406
54.500000	103.112	151.7138
55.200001	103.079	151.1935
56.000000	103.045	150.5963
57.000000	103.003	149.8381
58.000000	102.958	149.0961
59.000000	102.910	148.4050
60.000000	102.864	147.7503
60.799999	102.826	147.2406
61.500000	102.789	146.8051
62.200001	102.749	146.3870
63.000000	102.699	145.9530
64.000000	102.639	145.5011
65.000000	102.598	145.0819
66.000000	102.573	144.5362
67.000000	102.537	143.8127
68.000000	102.474	143.0587
69.000000	102.395	142.3992
70.000000	102.311	141.8451
71.000000	102.232	141.4022
72.000000	102.173	141.0133
73.000000	102.132	140.5592
74.000000	102.095	140.0124
75.000000	102.056	139.4246
76.199997	102.009	138.7099
77.500000	101.960	137.9411
78.800003	101.911	137.1680
80.000000	101.864	136.4269
81.199997	101.806	135.6584
82.500000	101.728	134.8346
83.800003	101.637	134.0747
85.000000	101.550	133.4368
86.199997	101.465	132.8434
87.500000	101.374	132.2499
88.500000	101.307	131.8323
90.000000	101.211	131.2779
91.199997	101.142	130.8962
92.500000	101.075	130.5257
93.800003	101.017	130.1715
95.000000	100.973	129.8218
96.199997	100.934	129.4127
97.500000	100.892	128.8872
98.800003	100.847	128.2847
100.000000	100.801	127.6746
101.500000	100.734	126.8908
103.000000	100.660	126.1525
104.400002	100.589	125.5154
106.000000	100.506	124.8207
107.500000	100.422	124.1866
109.000000	100.333	123.5560
110.599998	100.233	122.8830
112.000000	100.144	122.3007
113.800003	100.029	121.5928
115.000000	99.951	121.1811
117.199997	99.806	120.6122
118.000000	99.751	120.4604
120.599998	99.569	120.0283
122.000000	99.468	119.7612
124.099998	99.336	119.2949
125.000000	99.294	119.0458
126.500000	99.240	118.5472
128.000000	99.192	118.0021
131.500000	99.056	116.9009
132.000000	99.033	116.7620
134.000000	98.939	116.2095
136.000000	98.842	115.6555
138.000000	98.745	115.1391
140.000000	98.646	114.6750
143.000000	98.487	114.0204
145.000000	98.386	113.5552
147.500000	98.274	112.9418
150.000000	98.168	112.3505
152.500000	98.052	111.7752
155.000000	97.925	111.2425
157.500000	97.802	110.7494
160.000000	97.689	110.2572
162.500000	97.579	109.7495
165.000000	97.467	109.2301
167.500000	97.352	108.7230
170.000000	97.234	108.2571
172.500000	97.114	107.8365
175.000000	96.996	107.4394
177.500000	96.879	107.0411
180.000000	96.764	106.6365
182.500000	96.660	106.2307
185.000000	96.568	105.8163
187.500000	96.482	105.3930
190.000000	96.393	104.9615
192.500000	96.305	104.5193
195.000000	96.219	104.0916
197.500000	96.129	103.7279
200.000000	96.030	103.4484
203.000000	95.906	103.1647
206.000000	95.788	102.8504
209.000000	95.677	102.4763
212.000000	95.565	102.0710
214.000000	95.489	101.8138
218.000000	95.335	101.3932
220.000000	95.262	101.2225
224.000000	95.123	100.8872
227.000000	95.023	100.6113
230.000000	94.925	100.3239
233.000000	94.828	100.0379
236.000000	94.731	99.7529
240.000000	94.603	99.3670
243.000000	94.506	99.0789
247.000000	94.372	98.7216
250.000000	94.272	98.4919
254.000000	94.143	98.2473
258.000000	94.026	98.0363
262.000000	93.918	97.7964
265.000000	93.836	97.5953
269.000000	93.724	97.3344
272.000000	93.641	97.1621
276.000000	93.535	96.9673
280.000000	93.437	96.7965
285.000000	93.328	96.5733
290.000000	93.228	96.2735
295.000000	93.122	95.8912
300.000000	93.003	95.5205
304.000000	92.904	95.2723
307.000000	92.831	95.1098
311.000000	92.734	94.9102
315.000000	92.638	94.7227
320.000000	92.518	94.5197
325.000000	92.400	94.3685
330.000000	92.288	94.2525
335.000000	92.183	94.1434
340.000000	92.081	94.0279
345.000000	91.978	93.9176
350.000000	91.874	93.8336
355.000000	91.773	93.7842
360.000000	91.678	93.7653
365.000000	91.588	93.7674
370.000000	91.505	93.7773
375.000000	91.428	93.7813
382.000000	91.326	93.7621
387.000000	91.255	93.7338
395.000000	91.143	93.6885
400.000000	91.074	93.6704
406.000000	90.993	93.6568
412.000000	90.914	93.6495
418.000000	90.835	93.6634
425.000000	90.745	93.7303
431.000000	90.675	93.8253
437.000000	90.613	93.9302
444.000000	90.550	94.0481
450.000000	90.503	94.1284
455.000000	90.467	94.1615
462.000000	90.414	94.1645
468.000000	90.363	94.1748
475.000000	90.302	94.2312
482.000000	90.244	94.3162
487.000000	90.203	94.3823
494.000000	90.144	94.5008
500.000000	90.097	94.6415
508.000000	90.043	94.8522
515.000000	90.001	95.0276
522.000000	89.961	95.2067
530.000000	89.916	95.4460
538.000000	89.879	95.7184
545.000000	89.853	95.9638
552.000000	89.832	96.2110
560.000000	89.814	96.4860
570.000000	89.796	96.8106
580.000000	89.780	97.1449
590.000000	89.768	97.5080
600.000000	89.763	97.9058
608.000000	89.765	98.2322
615.000000	89.770	98.5120
622.000000	89.776	98.7975
630.000000	89.786	99.1519
640.000000	89.808	99.6313
650.000000	89.843	100.1227
660.000000	89.893	100.5966
670.000000	89.954	100.9932
680.000000	90.014	101.3089
690.000000	90.069	101.6040
700.000000	90.120	101.9251
710.000000	90.174	102.2794
720.000000	90.233	102.6450
730.000000	90.296	103.0110
740.000000	90.363	103.3817
750.000000	90.434	103.7613
762.000000	90.525	104.2269
775.000000	90.633	104.7327
788.000000	90.750	105.2301
800.000000	90.867	105.6910
812.000000	90.997	106.1504
825.000000	91.155	106.5815
838.000000	91.320	106.8821
850.000000	91.467	107.0792
862.000000	91.608	107.2621
875.000000	91.759	107.4739
885.000000	91.878	107.6442
900.000000	92.062	107.8855
912.000000	92.213	108.0621
925.000000	92.382	108.2301
938.000000	92.557	108.3549
950.000000	92.722	108.4219
962.000000	92.887	108.4508
975.000000	93.066	108.4543
988.000000	93.246	108.4356
1000.000000	93.412	108.4050
1015.000000	93.623	108.3641
1030.000000	93.845	108.3020
1044.000000	94.063	108.1646
1060.000000	94.312	107.8580
1075.000000	94.536	107.4622
1090.000000	94.748	107.0251
1106.000000	94.966	106.5427
1120.000000	95.150	106.1161
1138.000000	95.381	105.5748
1150.000000	95.534	105.2228
1172.000000	95.821	104.5891
1180.000000	95.929	104.3543
1206.000000	96.300	103.4561
1220.000000	96.500	102.8192
1241.000000	96.780	101.6907
1250.000000	96.890	101.1766
1265.000000	97.063	100.3148
1280.000000	97.223	99.4655
1315.000000	97.566	97.5654
1320.000000	97.613	97.3004
1340.000000	97.795	96.2508
1360.000000	97.970	95.2352
1380.000000	98.143	94.2874
1400.000000	98.321	93.4294
1430.000000	98.605	92.1994
1450.000000	98.797	91.3151
1475.000000	99.025	90.1517
1500.000000	99.231	88.9877
1525.000000	99.410	87.8688
1550.000000	99.565	86.8225
1575.000000	99.714	85.8312
1600.000000	99.865	84.7962
1625.000000	100.011	83.6635
1650.000000	100.145	82.4820
1675.000000	100.267	81.3047
1700.000000	100.382	80.1429
1725.000000	100.488	78.9872
1750.000000	100.580	77.8579
1775.000000	100.662	76.7957
1800.000000	100.746	75.7947
1825.000000	100.835	74.7861
1850.000000	100.923	73.7343
1875.000000	101.006	72.6632
1900.000000	101.088	71.6163
1925.000000	101.177	70.6307
1950.000000	101.284	69.7084
1975.000000	101.412	68.7895
2000.000000	101.553	67.7919
2030.000000	101.720	66.4421
2060.000000	101.868	64.9587
2090.000000	101.987	63.4226
2120.000000	102.075	61.9282
2140.000000	102.119	61.0060
2180.000000	102.199	59.4107
2200.000000	102.246	58.7018
2240.000000	102.364	57.2692
2270.000000	102.462	56.0635
2300.000000	102.554	54.7144
2330.000000	102.628	53.2675
2360.000000	102.682	51.7722
2400.000000	102.722	49.7603
2430.000000	102.725	48.2967
2470.000000	102.701	46.4886
2500.000000	102.670	45.2716
2540.000000	102.625	43.8677
2580.000000	102.598	42.6731
2620.000000	102.602	41.5134
2650.000000	102.616	40.5814
2690.000000	102.631	39.2661
2720.000000	102.636	38.2799
2760.000000	102.640	37.0080
2800.000000	102.646	35.7745
2850.000000	102.656	34.2578
2900.000000	102.666	32.7396
2950.000000	102.673	31.2386
3000.000000	102.685	29.7244
3040.000000	102.693	28.4421
3070.000000	102.693	27.4350
3110.000000	102.682	26.0526
3150.000000	102.656	24.6261
3200.000000	102.594	22.7693
3250.000000	102.478	20.8981
3300.000000	102.292	19.2118
3350.000000	102.039	18.0023
3400.000000	101.753	17.4949
3450.000000	101.479	17.7960
3500.000000	101.278	18.8983
3550.000000	101.217	20.5712
3600.000000	101.341	22.3409
3650.000000	101.639	23.6390
3700.000000	102.046	23.9923
3750.000000	102.476	23.1534
3820.000000	102.956	20.0415
3870.000000	103.132	16.8907
3950.000000	103.091	11.6055
4000.000000	102.896	8.7500
4060.000000	102.538	6.1603
4120.000000	102.097	4.6964
4180.000000	101.635	4.4328
4250.000000	101.160	5.5069
4310.000000	100.879	7.3591
4370.000000	100.772	9.6639
4440.000000	100.884	12.2413
4500.000000	101.141	13.8582
4550.000000	101.421	14.6028
4620.000000	101.841	14.6685
4680.000000	102.182	13.9582
4750.000000	102.534	12.5095
4820.000000	102.839	10.5883
4870.000000	103.029	8.9882
4940.000000	103.259	6.4844
5000.000000	103.419	4.1145
5080.000000	103.571	0.6989
5150.000000	103.644	-2.4225
5220.000000	103.669	-5.5897
5300.000000	103.646	-9.2098
5380.000000	103.582	-12.8152
5450.000000	103.499	-15.9978
5520.000000	103.397	-19.2598
5600.000000	103.260	-23.2113
5700.000000	103.040	-28.7710
5800.000000	102.696	-35.1832
5900.000000	102.132	-42.1165
