* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 9, 2021 5:42:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: CCA CA16 Pro
* Measurement: edx L Nov 9
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	110.4	4.9910
20.299999	110.4	4.4337
20.600000	110.4	3.8846
20.900000	110.4	3.3454
21.200001	110.4	2.8168
21.400000	110.4	2.4702
21.799999	110.3	1.7900
22.000000	110.3	1.4554
22.400000	110.3	0.7961
22.700001	110.3	0.3095
23.000000	110.3	-0.1698
23.299999	110.3	-0.6412
23.600000	110.2	-1.1042
24.000000	110.2	-1.7082
24.299999	110.2	-2.1519
24.700001	110.2	-2.7325
25.000000	110.1	-3.1609
25.400000	110.1	-3.7234
25.799999	110.1	-4.2760
26.200001	110.1	-4.8183
26.500000	110.0	-5.2181
26.900000	110.0	-5.7423
27.200001	110.0	-6.1290
27.600000	110.0	-6.6363
28.000000	109.9	-7.1341
28.500000	109.9	-7.7422
29.000000	109.9	-8.3348
29.500000	109.8	-8.9136
30.000000	109.8	-9.4812
30.400000	109.8	-9.9286
30.700001	109.7	-10.2603
31.100000	109.7	-10.6967
31.500000	109.7	-11.1257
32.000000	109.6	-11.6519
32.500000	109.6	-12.1678
33.000000	109.6	-12.6759
33.500000	109.5	-13.1775
34.000000	109.5	-13.6729
34.500000	109.5	-14.1613
35.000000	109.4	-14.6417
35.500000	109.4	-15.1129
36.000000	109.3	-15.5735
36.500000	109.3	-16.0227
37.000000	109.3	-16.4603
37.500000	109.2	-16.8868
38.200001	109.2	-17.4678
38.700001	109.1	-17.8730
39.500000	109.1	-18.5062
40.000000	109.0	-18.8925
40.599998	109.0	-19.3455
41.200001	108.9	-19.7864
41.799999	108.9	-20.2161
42.500000	108.8	-20.7058
43.099998	108.8	-21.1180
43.700001	108.7	-21.5242
44.400002	108.7	-21.9896
45.000000	108.6	-22.3802
45.500000	108.6	-22.6992
46.200001	108.5	-23.1355
46.799999	108.5	-23.5005
47.500000	108.4	-23.9163
48.200001	108.4	-24.3201
48.700001	108.3	-24.6006
49.400002	108.3	-24.9828
50.000000	108.2	-25.3018
50.799999	108.2	-25.7167
51.500000	108.1	-26.0710
52.200001	108.0	-26.4169
53.000000	108.0	-26.8003
53.799999	107.9	-27.1687
54.500000	107.9	-27.4797
55.200001	107.8	-27.7838
56.000000	107.8	-28.1283
57.000000	107.7	-28.5605
58.000000	107.6	-28.9933
59.000000	107.5	-29.4200
60.000000	107.5	-29.8382
60.799999	107.4	-30.1655
61.500000	107.4	-30.4456
62.200001	107.3	-30.7191
63.000000	107.2	-31.0239
64.000000	107.2	-31.3906
65.000000	107.1	-31.7338
66.000000	107.0	-32.0474
67.000000	106.9	-32.3363
68.000000	106.8	-32.6106
69.000000	106.8	-32.8754
70.000000	106.7	-33.1310
71.000000	106.6	-33.3799
72.000000	106.6	-33.6263
73.000000	106.5	-33.8732
74.000000	106.4	-34.1234
75.000000	106.4	-34.3792
76.199997	106.3	-34.7018
77.500000	106.2	-35.0411
78.800003	106.1	-35.2996
80.000000	106.0	-35.5073
81.199997	106.0	-35.7550
82.500000	105.9	-36.0712
83.800003	105.8	-36.3986
85.000000	105.7	-36.6740
86.199997	105.6	-36.8955
87.500000	105.5	-37.0513
88.500000	105.4	-37.1047
90.000000	105.3	-37.1045
91.199997	105.2	-37.0742
92.500000	105.2	-37.0482
93.800003	105.1	-37.0638
95.000000	105.1	-37.1461
96.199997	105.0	-37.3052
97.500000	105.0	-37.5485
98.800003	105.0	-37.8353
100.000000	104.9	-38.1068
101.500000	104.8	-38.4171
103.000000	104.7	-38.6810
104.400002	104.7	-38.8980
106.000000	104.6	-39.1302
107.500000	104.5	-39.3349
109.000000	104.4	-39.5250
110.599998	104.3	-39.7175
112.000000	104.2	-39.8864
113.800003	104.1	-40.1055
115.000000	104.0	-40.2394
117.199997	103.9	-40.4175
118.000000	103.9	-40.4590
120.599998	103.7	-40.5089
122.000000	103.6	-40.4708
124.099998	103.5	-40.3903
125.000000	103.5	-40.3708
126.500000	103.4	-40.3672
128.000000	103.3	-40.3879
131.500000	103.2	-40.4426
132.000000	103.1	-40.4484
134.000000	103.0	-40.4720
136.000000	102.9	-40.4984
138.000000	102.8	-40.5165
140.000000	102.7	-40.5114
143.000000	102.6	-40.4509
145.000000	102.5	-40.3813
147.500000	102.4	-40.2577
150.000000	102.2	-40.0671
152.500000	102.1	-39.7683
155.000000	102.0	-39.3247
157.500000	101.8	-38.7491
160.000000	101.8	-38.1274
162.500000	101.7	-37.5612
165.000000	101.7	-37.1391
167.500000	101.7	-36.9154
170.000000	101.7	-36.8839
172.500000	101.7	-36.9894
175.000000	101.6	-37.1636
177.500000	101.6	-37.3576
180.000000	101.5	-37.5398
182.500000	101.5	-37.6910
185.000000	101.4	-37.8045
187.500000	101.3	-37.8809
190.000000	101.2	-37.9212
192.500000	101.1	-37.9254
195.000000	101.0	-37.8924
197.500000	100.9	-37.8235
200.000000	100.9	-37.7224
203.000000	100.8	-37.5695
206.000000	100.7	-37.4074
209.000000	100.6	-37.2604
212.000000	100.5	-37.1241
214.000000	100.5	-37.0249
218.000000	100.3	-36.7675
220.000000	100.3	-36.6088
224.000000	100.2	-36.2729
227.000000	100.1	-36.0298
230.000000	100.0	-35.7970
233.000000	100.0	-35.5724
236.000000	99.9	-35.3567
240.000000	99.8	-35.0786
243.000000	99.7	-34.8669
247.000000	99.6	-34.5565
250.000000	99.5	-34.2854
254.000000	99.5	-33.8677
258.000000	99.4	-33.4401
262.000000	99.3	-33.0786
265.000000	99.3	-32.8475
269.000000	99.2	-32.5417
272.000000	99.1	-32.2904
276.000000	99.1	-31.9229
280.000000	99.0	-31.5347
285.000000	98.9	-31.0591
290.000000	98.9	-30.6610
295.000000	98.8	-30.3535
300.000000	98.7	-30.0498
304.000000	98.7	-29.7705
307.000000	98.6	-29.5439
311.000000	98.6	-29.2335
315.000000	98.5	-28.9205
320.000000	98.4	-28.5109
325.000000	98.3	-28.0644
330.000000	98.3	-27.5976
335.000000	98.2	-27.1386
340.000000	98.2	-26.7012
345.000000	98.1	-26.2766
350.000000	98.0	-25.8481
355.000000	98.0	-25.4105
360.000000	97.9	-24.9674
365.000000	97.9	-24.5220
370.000000	97.8	-24.0750
375.000000	97.8	-23.6251
382.000000	97.7	-22.9910
387.000000	97.6	-22.5365
395.000000	97.6	-21.8066
400.000000	97.5	-21.3505
406.000000	97.5	-20.8103
412.000000	97.4	-20.2805
418.000000	97.4	-19.7452
425.000000	97.3	-19.0908
431.000000	97.3	-18.5116
437.000000	97.2	-17.9405
444.000000	97.2	-17.3019
450.000000	97.2	-16.7935
455.000000	97.2	-16.4139
462.000000	97.1	-15.9362
468.000000	97.1	-15.5237
475.000000	97.1	-14.9985
482.000000	97.0	-14.4453
487.000000	97.0	-14.0476
494.000000	97.0	-13.4728
500.000000	96.9	-12.9501
508.000000	96.9	-12.2426
515.000000	96.9	-11.6440
522.000000	96.8	-11.0551
530.000000	96.8	-10.3638
538.000000	96.8	-9.6518
545.000000	96.7	-9.0281
552.000000	96.7	-8.4077
560.000000	96.7	-7.7125
570.000000	96.7	-6.8721
580.000000	96.7	-6.0369
590.000000	96.7	-5.1894
600.000000	96.6	-4.3196
608.000000	96.6	-3.6185
615.000000	96.6	-3.0099
622.000000	96.6	-2.3953
630.000000	96.6	-1.6665
640.000000	96.6	-0.7247
650.000000	96.6	0.2206
660.000000	96.7	1.1424
670.000000	96.7	1.9830
680.000000	96.7	2.7380
690.000000	96.8	3.4673
700.000000	96.8	4.2181
710.000000	96.8	5.0004
720.000000	96.8	5.7942
730.000000	96.9	6.5893
740.000000	96.9	7.3892
750.000000	96.9	8.1961
762.000000	97.0	9.1704
775.000000	97.0	10.2195
788.000000	97.1	11.2525
800.000000	97.1	12.2101
812.000000	97.2	13.1764
825.000000	97.3	14.1756
838.000000	97.4	15.0649
850.000000	97.5	15.8181
862.000000	97.5	16.5693
875.000000	97.6	17.4238
885.000000	97.7	18.1207
900.000000	97.8	19.2304
912.000000	97.8	20.1814
925.000000	98.0	21.2495
938.000000	98.1	22.2723
950.000000	98.2	23.0924
962.000000	98.4	23.7638
975.000000	98.6	24.3558
988.000000	98.7	24.8705
1000.000000	98.8	25.3297
1015.000000	99.0	25.9340
1030.000000	99.1	26.5652
1044.000000	99.3	27.1171
1060.000000	99.5	27.6394
1075.000000	99.7	28.0430
1090.000000	99.8	28.4045
1106.000000	100.0	28.7548
1120.000000	100.2	29.0332
1138.000000	100.3	29.3664
1150.000000	100.5	29.5819
1172.000000	100.7	29.9805
1180.000000	100.8	30.1284
1206.000000	101.1	30.5512
1220.000000	101.2	30.6866
1241.000000	101.5	30.7783
1250.000000	101.6	30.7985
1265.000000	101.7	30.8279
