* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 9, 2021 5:49:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: CCA CA16 Pro R
* Measurement: edx L Nov 9
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	110.8	7.4034
20.299999	110.7	6.8566
20.600000	110.7	6.3197
20.900000	110.7	5.7926
21.200001	110.7	5.2753
21.400000	110.7	4.9356
21.799999	110.7	4.2676
22.000000	110.7	3.9389
22.400000	110.6	3.2910
22.700001	110.6	2.8130
23.000000	110.6	2.3419
23.299999	110.6	1.8775
23.600000	110.6	1.4198
24.000000	110.6	0.8196
24.299999	110.6	0.3766
24.700001	110.5	-0.2047
25.000000	110.5	-0.6337
25.400000	110.5	-1.1959
25.799999	110.5	-1.7466
26.200001	110.4	-2.2852
26.500000	110.4	-2.6810
26.900000	110.4	-3.1979
27.200001	110.4	-3.5775
27.600000	110.4	-4.0734
28.000000	110.3	-4.5580
28.500000	110.3	-5.1488
29.000000	110.3	-5.7244
29.500000	110.2	-6.2870
30.000000	110.2	-6.8409
30.400000	110.2	-7.2802
30.700001	110.2	-7.6083
31.100000	110.1	-8.0439
31.500000	110.1	-8.4767
32.000000	110.1	-9.0120
32.500000	110.0	-9.5393
33.000000	110.0	-10.0581
33.500000	110.0	-10.5678
34.000000	109.9	-11.0673
34.500000	109.9	-11.5553
35.000000	109.9	-12.0316
35.500000	109.8	-12.4974
36.000000	109.8	-12.9554
36.500000	109.8	-13.4070
37.000000	109.7	-13.8517
37.500000	109.7	-14.2875
38.200001	109.7	-14.8785
38.700001	109.6	-15.2869
39.500000	109.6	-15.9219
40.000000	109.5	-16.3094
40.599998	109.5	-16.7642
41.200001	109.4	-17.2053
41.799999	109.4	-17.6322
42.500000	109.3	-18.1154
43.099998	109.3	-18.5216
43.700001	109.3	-18.9243
44.400002	109.2	-19.3916
45.000000	109.2	-19.7902
45.500000	109.1	-20.1206
46.200001	109.1	-20.5796
46.799999	109.0	-20.9680
