* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 27, 2021 2:48:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: CCA CA2
* Measurement: Jun 27 14:48:23
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	80.343	23.220
20.586	80.344	22.553
20.885	80.346	21.987
21.189	80.326	21.431
21.497	80.308	20.861
21.810	80.306	20.264
22.127	80.301	19.639
22.449	80.287	18.995
22.776	80.275	18.339
23.107	80.272	17.674
23.443	80.265	16.991
23.784	80.262	16.280
24.130	80.263	15.539
24.481	80.266	14.780
24.837	80.259	14.030
25.198	80.236	13.316
25.565	80.222	12.649
25.937	80.222	12.020
26.314	80.223	11.401
26.697	80.234	10.767
27.085	80.233	10.114
27.479	80.212	9.462
27.879	80.196	8.838
28.284	80.167	8.260
28.696	80.145	7.720
29.113	80.138	7.188
29.537	80.122	6.634
29.966	80.102	6.051
30.402	80.074	5.451
30.844	80.049	4.851
31.293	80.037	4.254
31.748	80.021	3.649
32.210	80.002	3.022
32.678	79.961	2.373
33.154	79.935	1.713
33.636	79.920	1.058
34.125	79.896	0.420
34.621	79.874	-0.195
35.125	79.854	-0.781
35.636	79.836	-1.340
36.154	79.828	-1.881
36.680	79.824	-2.411
37.214	79.814	-2.928
37.755	79.789	-3.440
38.304	79.752	-3.967
38.861	79.715	-4.517
39.427	79.651	-5.067
40.000	79.584	-5.593
40.582	79.554	-6.121
41.172	79.525	-6.703
41.771	79.480	-7.323
42.379	79.430	-7.904
42.995	79.398	-8.417
43.620	79.378	-8.918
44.255	79.351	-9.435
44.898	79.313	-9.931
45.552	79.273	-10.395
46.214	79.242	-10.849
46.886	79.207	-11.288
47.568	79.167	-11.717
48.260	79.128	-12.182
