* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jun 8, 2022 7:18:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: CRA Plus Stock
* Measurement: CRA Stock
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.841	44.0867
20.299999	90.872	43.5679
20.600000	90.912	43.0112
20.900000	90.956	42.3778
21.200001	90.996	41.6648
21.400000	91.020	41.1629
21.799999	91.059	40.1375
22.000000	91.075	39.6333
22.400000	91.105	38.6672
22.700001	91.128	37.9784
23.000000	91.152	37.3109
23.299999	91.177	36.6580
23.600000	91.203	36.0181
24.000000	91.238	35.1851
24.299999	91.264	34.5744
24.700001	91.297	33.7726
25.000000	91.320	33.1767
25.400000	91.348	32.3911
25.799999	91.374	31.6285
26.200001	91.399	30.8975
26.500000	91.419	30.3632
26.900000	91.445	29.6495
27.200001	91.461	29.1014
27.600000	91.475	28.3568
28.000000	91.478	27.6305
28.500000	91.473	26.8164
29.000000	91.473	26.1243
29.500000	91.488	25.4794
30.000000	91.514	24.7800
30.400000	91.533	24.1591
30.700001	91.545	23.6699
31.100000	91.555	23.0137
31.500000	91.559	22.3740
32.000000	91.557	21.6138
32.500000	91.552	20.9046
33.000000	91.548	20.2488
33.500000	91.554	19.6318
34.000000	91.572	19.0181
34.500000	91.597	18.3765
35.000000	91.626	17.6985
35.500000	91.654	16.9830
36.000000	91.678	16.2275
36.500000	91.687	15.4537
37.000000	91.674	14.7378
37.500000	91.643	14.1702
38.200001	91.598	13.6552
38.700001	91.584	13.3728
39.500000	91.583	12.7992
40.000000	91.583	12.3515
40.599998	91.585	11.7781
41.200001	91.590	11.1683
41.799999	91.591	10.5064
42.500000	91.581	9.7377
43.099998	91.567	9.1697
43.700001	91.562	8.6714
44.400002	91.565	8.0750
45.000000	91.563	7.5134
45.500000	91.554	7.0393
46.200001	91.533	6.4120
46.799999	91.513	5.9084
47.500000	91.489	5.3258
48.200001	91.464	4.7131
48.700001	91.442	4.2482
49.400002	91.405	3.5844
50.000000	91.370	3.0568
50.799999	91.330	2.4749
51.500000	91.310	2.0647
52.200001	91.302	1.7021
53.000000	91.297	1.3126
53.799999	91.288	0.9594
54.500000	91.278	0.7226
55.200001	91.277	0.5354
56.000000	91.292	0.2277
57.000000	91.301	-0.4893
58.000000	91.265	-1.4683
59.000000	91.188	-2.4902
60.000000	91.092	-3.3423
60.799999	91.026	-3.8294
61.500000	90.992	-4.1594
62.200001	90.978	-4.4668
63.000000	90.978	-4.8438
64.000000	90.977	-5.3736
65.000000	90.958	-5.9518
66.000000	90.914	-6.5316
67.000000	90.870	-7.0927
68.000000	90.848	-7.7791
69.000000	90.828	-8.6520
70.000000	90.799	-9.3903
71.000000	90.801	-9.7169
72.000000	90.878	-9.7091
73.000000	91.022	-9.7966
74.000000	91.112	-10.3524
75.000000	91.043	-10.7888
76.199997	90.868	-10.3780
77.500000	90.754	-9.9023
78.800003	90.662	-10.3791
80.000000	90.542	-11.3151
81.199997	90.432	-12.2698
82.500000	90.368	-13.1842
83.800003	90.356	-13.9530
85.000000	90.356	-14.5231
86.199997	90.337	-14.9062
87.500000	90.301	-15.1621
88.500000	90.267	-15.3565
90.000000	90.209	-15.7599
91.199997	90.159	-16.1248
92.500000	90.111	-16.4646
93.800003	90.074	-16.7527
95.000000	90.042	-17.0231
96.199997	90.002	-17.3086
97.500000	89.951	-17.6425
98.800003	89.896	-18.0336
100.000000	89.843	-18.4329
101.500000	89.771	-18.8923
103.000000	89.695	-19.2439
104.400002	89.623	-19.5186
106.000000	89.541	-19.8643
107.500000	89.475	-20.2852
109.000000	89.422	-20.7863
110.599998	89.366	-21.2673
112.000000	89.307	-21.5347
113.800003	89.213	-21.8096
115.000000	89.138	-22.1351
117.199997	88.979	-23.2264
118.000000	88.917	-23.6844
120.599998	88.768	-24.3073
122.000000	88.769	-23.9835
124.099998	88.823	-23.3950
125.000000	88.835	-23.2438
126.500000	88.829	-23.1973
128.000000	88.798	-23.4022
131.500000	88.678	-24.0494
132.000000	88.654	-24.0559
134.000000	88.552	-23.7765
136.000000	88.461	-23.3679
138.000000	88.397	-23.4343
140.000000	88.339	-24.0430
143.000000	88.245	-25.0356
145.000000	88.186	-25.4266
147.500000	88.115	-25.7080
150.000000	88.047	-25.9345
152.500000	87.972	-26.1678
155.000000	87.888	-26.3534
157.500000	87.815	-26.4368
160.000000	87.760	-26.4769
162.500000	87.705	-26.5477
165.000000	87.640	-26.6798
167.500000	87.559	-26.8464
170.000000	87.457	-26.9803
172.500000	87.338	-27.0549
175.000000	87.220	-27.1199
177.500000	87.119	-27.2148
180.000000	87.042	-27.3269
182.500000	86.985	-27.4159
185.000000	86.940	-27.4498
187.500000	86.897	-27.4526
190.000000	86.852	-27.4849
192.500000	86.801	-27.5671
195.000000	86.743	-27.6622
197.500000	86.682	-27.7237
200.000000	86.619	-27.7411
203.000000	86.548	-27.7301
206.000000	86.481	-27.7236
209.000000	86.412	-27.7477
212.000000	86.332	-27.7886
214.000000	86.273	-27.8029
218.000000	86.149	-27.7568
220.000000	86.091	-27.6959
224.000000	85.992	-27.5345
227.000000	85.930	-27.4310
230.000000	85.870	-27.3740
233.000000	85.808	-27.3411
236.000000	85.739	-27.3026
240.000000	85.645	-27.2397
243.000000	85.583	-27.1876
247.000000	85.509	-27.1085
250.000000	85.450	-27.0173
254.000000	85.367	-26.8182
258.000000	85.291	-26.5649
262.000000	85.223	-26.3593
265.000000	85.172	-26.2596
269.000000	85.100	-26.1426
272.000000	85.046	-26.0195
276.000000	84.975	-25.7884
280.000000	84.905	-25.5184
285.000000	84.828	-25.2253
290.000000	84.758	-25.0968
295.000000	84.685	-25.0918
300.000000	84.629	-24.9986
304.000000	84.595	-24.8429
307.000000	84.568	-24.7094
311.000000	84.523	-24.5300
315.000000	84.469	-24.3569
320.000000	84.394	-24.1359
325.000000	84.320	-23.8828
330.000000	84.251	-23.6038
335.000000	84.187	-23.3311
340.000000	84.124	-23.0784
345.000000	84.061	-22.8387
350.000000	83.999	-22.5967
355.000000	83.942	-22.3467
360.000000	83.884	-22.0921
365.000000	83.823	-21.8318
370.000000	83.761	-21.5610
375.000000	83.701	-21.2803
382.000000	83.621	-20.8697
387.000000	83.568	-20.5625
395.000000	83.488	-20.0526
400.000000	83.439	-19.7232
406.000000	83.381	-19.3271
412.000000	83.323	-18.9417
418.000000	83.266	-18.5553
425.000000	83.205	-18.0741
431.000000	83.161	-17.6359
437.000000	83.122	-17.1958
444.000000	83.081	-16.7031
450.000000	83.049	-16.3207
455.000000	83.024	-16.0472
462.000000	82.983	-15.7170
468.000000	82.941	-15.4287
475.000000	82.890	-15.0479
482.000000	82.840	-14.6354
487.000000	82.803	-14.3332
494.000000	82.751	-13.8869
500.000000	82.710	-13.4727
508.000000	82.663	-12.9075
515.000000	82.624	-12.4287
522.000000	82.584	-11.9534
530.000000	82.537	-11.3856
538.000000	82.496	-10.7935
545.000000	82.465	-10.2693
552.000000	82.437	-9.7457
560.000000	82.408	-9.1648
570.000000	82.374	-8.4690
580.000000	82.339	-7.7700
590.000000	82.302	-7.0496
600.000000	82.268	-6.2996
608.000000	82.247	-5.6912
615.000000	82.231	-5.1617
622.000000	82.215	-4.6245
630.000000	82.198	-3.9814
640.000000	82.183	-3.1416
650.000000	82.178	-2.2935
660.000000	82.188	-1.4687
670.000000	82.210	-0.7250
680.000000	82.230	-0.0637
690.000000	82.241	0.5762
700.000000	82.246	1.2411
710.000000	82.251	1.9393
720.000000	82.262	2.6490
730.000000	82.276	3.3597
740.000000	82.292	4.0756
750.000000	82.311	4.7994
762.000000	82.337	5.6770
775.000000	82.372	6.6302
788.000000	82.416	7.5798
800.000000	82.465	8.4656
812.000000	82.526	9.3571
825.000000	82.607	10.2675
838.000000	82.695	11.0589
850.000000	82.770	11.7092
862.000000	82.838	12.3369
875.000000	82.909	13.0195
885.000000	82.967	13.5460
900.000000	83.058	14.3165
912.000000	83.133	14.9156
925.000000	83.220	15.5413
938.000000	83.311	16.1218
950.000000	83.395	16.6062
962.000000	83.477	17.0494
975.000000	83.563	17.5034
988.000000	83.644	17.9514
1000.000000	83.714	18.3843
1015.000000	83.799	18.9949
1030.000000	83.893	19.6889
1044.000000	84.001	20.3515
1060.000000	84.145	21.0287
1075.000000	84.293	21.5536
1090.000000	84.447	21.9741
1106.000000	84.617	22.3042
1120.000000	84.765	22.4973
1138.000000	84.947	22.6333
1150.000000	85.061	22.6627
1172.000000	85.256	22.6080
1180.000000	85.323	22.5565
1206.000000	85.526	22.2403
1220.000000	85.616	21.9662
1241.000000	85.710	21.5391
1250.000000	85.735	21.4001
1265.000000	85.763	21.2732
1280.000000	85.784	21.2913
1315.000000	85.856	21.8115
1320.000000	85.872	21.9199
1340.000000	85.953	22.3820
1360.000000	86.056	22.8562
1380.000000	86.175	23.3300
1400.000000	86.312	23.8036
1430.000000	86.561	24.4049
1450.000000	86.743	24.6488
1475.000000	86.976	24.8088
1500.000000	87.216	24.8806
1525.000000	87.467	24.9193
1550.000000	87.726	24.9631
