* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 2, 2022 5:13:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: CCA CRA+ L vent
* Measurement: EJ07M R May 2
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.219	40.5912
20.299999	107.248	39.8239
20.600000	107.270	39.0734
20.900000	107.288	38.3417
21.200001	107.304	37.6294
21.400000	107.316	37.1644
21.799999	107.342	36.2552
22.000000	107.357	35.8094
22.400000	107.390	34.9320
22.700001	107.416	34.2851
23.000000	107.441	33.6479
23.299999	107.467	33.0214
23.600000	107.491	32.4066
24.000000	107.523	31.6049
24.299999	107.545	31.0162
24.700001	107.571	30.2451
25.000000	107.588	29.6757
25.400000	107.607	28.9273
25.799999	107.623	28.1931
26.200001	107.638	27.4763
26.500000	107.648	26.9512
26.900000	107.658	26.2675
27.200001	107.663	25.7654
27.600000	107.669	25.1071
28.000000	107.674	24.4589
28.500000	107.680	23.6613
29.000000	107.688	22.8804
29.500000	107.696	22.1196
30.000000	107.703	21.3792
30.400000	107.709	20.7996
30.700001	107.715	20.3709
31.100000	107.723	19.8064
31.500000	107.730	19.2498
32.000000	107.735	18.5660
32.500000	107.736	17.8962
33.000000	107.736	17.2394
33.500000	107.736	16.5936
34.000000	107.738	15.9568
34.500000	107.740	15.3293
35.000000	107.742	14.7125
35.500000	107.747	14.1074
36.000000	107.753	13.5138
36.500000	107.760	12.9310
37.000000	107.765	12.3585
37.500000	107.767	11.7959
38.200001	107.759	11.0244
38.700001	107.748	10.4852
39.500000	107.723	9.6447
40.000000	107.708	9.1340
40.599998	107.694	8.5370
41.200001	107.683	7.9591
41.799999	107.675	7.4001
42.500000	107.669	6.7639
43.099998	107.666	6.2236
43.700001	107.661	5.6877
44.400002	107.650	5.0778
45.000000	107.636	4.5747
45.500000	107.624	4.1682
46.200001	107.605	3.6122
46.799999	107.589	3.1429
47.500000	107.567	2.6014
48.200001	107.542	2.0652
48.700001	107.522	1.6851
49.400002	107.494	1.1581
50.000000	107.472	0.7137
50.799999	107.450	0.1364
51.500000	107.435	-0.3539
52.200001	107.420	-0.8337
53.000000	107.401	-1.3719
53.799999	107.379	-1.8934
54.500000	107.361	-2.3298
55.200001	107.345	-2.7506
56.000000	107.330	-3.2273
57.000000	107.311	-3.8381
58.000000	107.286	-4.4661
59.000000	107.254	-5.0892
60.000000	107.219	-5.6908
60.799999	107.191	-6.1576
61.500000	107.166	-6.5576
62.200001	107.143	-6.9491
63.000000	107.119	-7.3845
64.000000	107.090	-7.9090
65.000000	107.062	-8.4129
66.000000	107.033	-8.9020
67.000000	107.005	-9.3817
68.000000	106.975	-9.8522
69.000000	106.943	-10.3082
70.000000	106.907	-10.7482
71.000000	106.870	-11.1858
72.000000	106.835	-11.6416
73.000000	106.801	-12.1131
