* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jul 3, 2021 7:48:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: CCA CX4
* Measurement: Jul 3 19:48:22
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	77.530	-53.167
20.586	77.556	-57.554
20.885	77.617	-65.788
21.189	77.687	-74.196
21.497	77.755	-82.482
21.810	77.810	-90.912
22.127	77.839	-99.573
22.449	77.840	-108.357
22.776	77.819	-117.111
23.107	77.788	-125.797
23.443	77.763	-134.440
23.784	77.751	-143.100
24.130	77.753	-151.855
24.481	77.758	-160.752
24.837	77.757	-169.793
25.198	77.744	-178.946
25.565	77.726	171.823
25.937	77.712	162.523
26.314	77.708	153.124
26.697	77.712	143.576
27.085	77.719	133.840
27.479	77.722	123.912
27.879	77.718	113.821
28.284	77.709	103.614
28.696	77.701	93.328
29.113	77.698	82.972
29.537	77.699	72.532
29.966	77.704	61.982
30.402	77.709	51.304
30.844	77.715	40.498
31.293	77.720	29.571
31.748	77.719	18.533
32.210	77.710	7.376
32.678	77.696	-3.920
33.154	77.684	-15.379
33.636	77.675	-27.009
34.125	77.664	-38.796
34.621	77.651	-50.715
35.125	77.643	-62.756
35.636	77.644	-74.939
36.154	77.653	-87.291
36.680	77.660	-99.811
37.214	77.656	-112.458
37.755	77.640	-125.186
38.304	77.619	-137.990
38.861	77.600	-150.917
39.427	77.584	-164.026
40.000	77.572	-177.340
40.582	77.565	169.165
41.172	77.561	155.529
41.771	77.558	141.764
42.379	77.562	127.850
42.995	77.574	113.746
43.620	77.586	99.431
44.255	77.584	84.919
44.898	77.568	70.260
45.552	77.547	55.484
46.214	77.532	40.569
46.886	77.520	25.481
47.568	77.505	10.226
48.260	77.490	-5.189
48.962	77.475	-20.829
49.674	77.457	-36.760
50.397	77.429	-52.923
51.130	77.402	-69.184
51.874	77.394	-85.537
52.628	77.407	-102.114
53.394	77.420	-118.958
54.170	77.431	-135.991
54.958	77.444	-153.183
55.758	77.452	-170.567
56.569	77.445	171.880
57.391	77.433	154.163
58.226	77.424	136.196
59.073	77.416	117.930
59.932	77.403	99.430
60.804	77.386	80.758
61.688	77.370	61.917
62.586	77.358	42.884
63.496	77.352	23.625
64.420	77.343	4.112
65.357	77.330	-15.675
66.307	77.315	-35.724
67.272	77.307	-55.997
68.250	77.308	-76.483
69.243	77.307	-97.149
70.250	77.306	-117.975
71.272	77.299	-139.132
72.309	77.255	-160.627
73.360	77.199	177.733
74.427	77.173	155.790
75.510	77.148	133.395
76.608	77.104	110.738
77.723	77.054	87.893
78.853	77.002	64.871
80.000	76.967	41.654
81.164	76.945	18.116
82.344	76.914	-5.684
83.542	76.869	-29.695
84.757	76.814	-53.965
85.990	76.765	-78.568
87.241	76.723	-103.556
88.510	76.670	-128.767
89.797	76.601	-154.134
91.103	76.525	-179.794
92.428	76.451	154.156
93.773	76.386	127.802
95.137	76.323	101.182
96.520	76.232	74.249
97.924	76.124	47.015
99.349	76.026	19.525
100.794	75.917	-8.189
102.260	75.765	-36.132
103.747	75.640	-64.393
105.256	75.607	-93.195
106.787	75.566	-122.195
108.340	75.410	-151.165
109.916	75.197	179.343
