* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 15, 2022 12:14:34 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: CCA Lyra R
* Measurement: CCA Lyra R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.656	25.2526
20.299999	104.659	24.6266
20.600000	104.658	24.0049
20.900000	104.654	23.3855
21.200001	104.647	22.7716
21.400000	104.643	22.3677
21.799999	104.636	21.5751
22.000000	104.634	21.1865
22.400000	104.633	20.4230
22.700001	104.633	19.8610
23.000000	104.633	19.3094
23.299999	104.633	18.7713
23.600000	104.632	18.2486
24.000000	104.633	17.5745
24.299999	104.634	17.0801
24.700001	104.635	16.4246
25.000000	104.634	15.9301
25.400000	104.630	15.2677
25.799999	104.622	14.6136
26.200001	104.612	13.9830
26.500000	104.604	13.5300
26.900000	104.591	12.9500
27.200001	104.581	12.5266
27.600000	104.567	11.9695
28.000000	104.551	11.4184
28.500000	104.532	10.7466
29.000000	104.513	10.1073
29.500000	104.496	9.5006
30.000000	104.482	8.9106
30.400000	104.471	8.4397
30.700001	104.464	8.0852
31.100000	104.455	7.6129
31.500000	104.444	7.1445
32.000000	104.426	6.5685
32.500000	104.404	6.0033
33.000000	104.380	5.4483
33.500000	104.358	4.9045
34.000000	104.338	4.3723
34.500000	104.320	3.8479
35.000000	104.303	3.3285
35.500000	104.289	2.8175
36.000000	104.275	2.3243
36.500000	104.264	1.8556
37.000000	104.252	1.4081
37.500000	104.239	0.9715
38.200001	104.213	0.3629
38.700001	104.188	-0.0698
39.500000	104.139	-0.7465
40.000000	104.109	-1.1571
40.599998	104.076	-1.6385
41.200001	104.045	-2.1075
41.799999	104.017	-2.5630
42.500000	103.987	-3.0784
43.099998	103.964	-3.5102
43.700001	103.942	-3.9370
44.400002	103.914	-4.4308
45.000000	103.888	-4.8486
45.500000	103.864	-5.1907
46.200001	103.830	-5.6588
46.799999	103.799	-6.0486
47.500000	103.759	-6.4883
48.200001	103.716	-6.9126
48.700001	103.683	-7.2087
49.400002	103.637	-7.6173
50.000000	103.601	-7.9620
50.799999	103.557	-8.4101
51.500000	103.523	-8.7880
52.200001	103.490	-9.1515
53.000000	103.451	-9.5510
53.799999	103.413	-9.9397
54.500000	103.382	-10.2750
55.200001	103.353	-10.6074
56.000000	103.320	-10.9841
57.000000	103.274	-11.4449
58.000000	103.221	-11.8849
59.000000	103.162	-12.2994
60.000000	103.099	-12.6769
60.799999	103.050	-12.9473
61.500000	103.012	-13.1705
62.200001	102.978	-13.3936
63.000000	102.945	-13.6543
64.000000	102.910	-13.9850
65.000000	102.876	-14.3121
66.000000	102.842	-14.6356
67.000000	102.808	-14.9589
68.000000	102.773	-15.2897
69.000000	102.733	-15.6439
70.000000	102.684	-16.0249
71.000000	102.625	-16.4016
72.000000	102.564	-16.7226
73.000000	102.519	-16.9967
74.000000	102.492	-17.3033
75.000000	102.472	-17.6849
76.199997	102.437	-18.1960
77.500000	102.374	-18.6978
78.800003	102.300	-19.0709
80.000000	102.232	-19.3538
81.199997	102.167	-19.6370
82.500000	102.096	-19.9646
83.800003	102.023	-20.2946
85.000000	101.953	-20.5684
86.199997	101.879	-20.7872
87.500000	101.799	-20.9586
88.500000	101.740	-21.0565
90.000000	101.660	-21.1722
91.199997	101.612	-21.2865
92.500000	101.571	-21.4847
93.800003	101.534	-21.7401
95.000000	101.501	-21.9905
96.199997	101.467	-22.2380
97.500000	101.426	-22.5040
98.800003	101.375	-22.7628
100.000000	101.320	-22.9757
101.500000	101.247	-23.1964
103.000000	101.178	-23.3849
104.400002	101.119	-23.5511
106.000000	101.056	-23.7410
107.500000	100.997	-23.9200
109.000000	100.936	-24.0939
110.599998	100.868	-24.2707
112.000000	100.807	-24.4232
113.800003	100.724	-24.6167
115.000000	100.668	-24.7394
117.199997	100.565	-24.9499
118.000000	100.529	-25.0144
120.599998	100.422	-25.1587
122.000000	100.369	-25.2120
124.099998	100.293	-25.2926
125.000000	100.259	-25.3327
126.500000	100.203	-25.4109
128.000000	100.146	-25.5079
131.500000	100.009	-25.7612
132.000000	99.990	-25.7939
134.000000	99.913	-25.9121
136.000000	99.835	-26.0074
138.000000	99.755	-26.0749
140.000000	99.673	-26.1122
143.000000	99.552	-26.1217
145.000000	99.473	-26.1252
147.500000	99.370	-26.1469
150.000000	99.267	-26.1493
152.500000	99.165	-26.0859
155.000000	99.067	-25.9307
157.500000	98.973	-25.7003
160.000000	98.890	-25.4185
162.500000	98.816	-25.0748
165.000000	98.744	-24.6434
167.500000	98.673	-24.1462
170.000000	98.611	-23.6511
172.500000	98.566	-23.2413
175.000000	98.540	-23.0005
177.500000	98.522	-22.9598
180.000000	98.507	-23.0758
182.500000	98.493	-23.2710
185.000000	98.479	-23.4865
187.500000	98.457	-23.6912
190.000000	98.426	-23.8630
192.500000	98.386	-23.9817
195.000000	98.337	-24.0422
197.500000	98.279	-24.0546
200.000000	98.214	-24.0291
203.000000	98.137	-23.9611
206.000000	98.064	-23.8757
209.000000	97.993	-23.7974
212.000000	97.917	-23.7268
214.000000	97.864	-23.6717
218.000000	97.757	-23.5031
220.000000	97.706	-23.3879
224.000000	97.615	-23.1393
227.000000	97.555	-22.9655
230.000000	97.499	-22.8019
233.000000	97.443	-22.6381
236.000000	97.388	-22.4744
240.000000	97.311	-22.2650
243.000000	97.251	-22.1088
247.000000	97.168	-21.8761
250.000000	97.107	-21.6658
254.000000	97.031	-21.3298
258.000000	96.969	-20.9722
262.000000	96.914	-20.6632
265.000000	96.872	-20.4668
269.000000	96.810	-20.2068
272.000000	96.761	-19.9892
276.000000	96.699	-19.6671
280.000000	96.643	-19.3262
285.000000	96.588	-18.9119
290.000000	96.546	-18.5769
295.000000	96.497	-18.3362
300.000000	96.439	-18.1001
304.000000	96.391	-17.8741
307.000000	96.356	-17.6881
311.000000	96.309	-17.4344
315.000000	96.260	-17.1799
320.000000	96.195	-16.8425
325.000000	96.133	-16.4657
330.000000	96.077	-16.0665
335.000000	96.024	-15.6736
340.000000	95.973	-15.3016
345.000000	95.922	-14.9426
350.000000	95.874	-14.5800
355.000000	95.832	-14.2080
360.000000	95.790	-13.8298
365.000000	95.745	-13.4482
370.000000	95.698	-13.0634
375.000000	95.653	-12.6738
382.000000	95.597	-12.1227
387.000000	95.560	-11.7288
395.000000	95.504	-11.0967
400.000000	95.469	-10.7007
406.000000	95.428	-10.2318
412.000000	95.387	-9.7723
418.000000	95.346	-9.3061
425.000000	95.303	-8.7312
431.000000	95.274	-8.2201
437.000000	95.251	-7.7172
444.000000	95.229	-7.1573
450.000000	95.214	-6.7157
455.000000	95.202	-6.3914
462.000000	95.179	-5.9912
468.000000	95.152	-5.6448
475.000000	95.119	-5.1966
482.000000	95.087	-4.7207
487.000000	95.064	-4.3783
494.000000	95.030	-3.8807
500.000000	95.003	-3.4243
508.000000	94.975	-2.8060
515.000000	94.955	-2.2866
522.000000	94.933	-1.7781
530.000000	94.908	-1.1809
538.000000	94.888	-0.5658
545.000000	94.875	-0.0300
552.000000	94.866	0.4977
560.000000	94.861	1.0789
570.000000	94.858	1.7581
580.000000	94.856	2.3985
590.000000	94.853	2.9966
600.000000	94.851	3.5310
608.000000	94.853	3.8745
615.000000	94.848	4.0916
622.000000	94.828	4.2493
630.000000	94.777	4.4291
640.000000	94.668	4.8268
650.000000	94.531	5.6392
660.000000	94.420	6.9180
670.000000	94.375	8.3983
680.000000	94.386	9.7910
690.000000	94.422	10.9997
700.000000	94.465	12.0533
710.000000	94.510	13.0038
720.000000	94.556	13.8795
730.000000	94.601	14.7049
740.000000	94.644	15.5045
750.000000	94.685	16.2927
762.000000	94.736	17.2300
775.000000	94.795	18.2300
788.000000	94.862	19.2007
800.000000	94.931	20.0663
812.000000	95.009	20.8779
825.000000	95.096	21.6194
838.000000	95.165	22.1936
850.000000	95.196	22.7170
862.000000	95.203	23.4196
875.000000	95.220	24.4303
885.000000	95.254	25.2999
900.000000	95.339	26.5732
912.000000	95.423	27.5101
925.000000	95.523	28.4437
938.000000	95.628	29.2975
950.000000	95.727	30.0211
962.000000	95.825	30.7003
975.000000	95.930	31.4069
988.000000	96.037	32.0946
1000.000000	96.136	32.7213
1015.000000	96.262	33.5109
1030.000000	96.398	34.2883
1044.000000	96.536	34.9431
1060.000000	96.698	35.5526
1075.000000	96.845	36.0208
1090.000000	96.985	36.4436
1106.000000	97.133	36.8663
1120.000000	97.261	37.2174
1138.000000	97.421	37.6537
1150.000000	97.523	37.9402
1172.000000	97.709	38.4654
1180.000000	97.779	38.6570
1206.000000	98.020	39.2138
1220.000000	98.155	39.4175
1241.000000	98.348	39.6102
1250.000000	98.425	39.6740
1265.000000	98.545	39.7768
1280.000000	98.660	39.8837
1315.000000	98.918	40.1568
1320.000000	98.955	40.1945
1340.000000	99.100	40.3349
1360.000000	99.242	40.4761
1380.000000	99.381	40.6508
1400.000000	99.525	40.8808
1430.000000	99.771	41.2281
1450.000000	99.948	41.3660
1475.000000	100.175	41.4472
1500.000000	100.409	41.4861
1525.000000	100.654	41.5265
1550.000000	100.910	41.5959
1575.000000	101.164	41.6790
1600.000000	101.388	41.6827
1625.000000	101.536	41.5536
1650.000000	101.598	41.3370
1675.000000	101.602	41.0840
1700.000000	101.599	40.8098
1725.000000	101.626	40.5107
1750.000000	101.697	40.2113
1775.000000	101.812	39.9603
1800.000000	101.962	39.7650
1825.000000	102.132	39.5758
1850.000000	102.307	39.3777
1875.000000	102.484	39.2095
1900.000000	102.670	39.1097
1925.000000	102.875	39.0715
1950.000000	103.111	39.0096
1975.000000	103.376	38.7651
2000.000000	103.648	38.2050
2030.000000	103.949	37.1094
2060.000000	104.199	35.7019
2090.000000	104.395	34.1527
2120.000000	104.542	32.5774
2140.000000	104.617	31.5582
2180.000000	104.736	29.6609
2200.000000	104.788	28.7640
2240.000000	104.876	26.9926
2270.000000	104.923	25.6779
2300.000000	104.951	24.4125
2330.000000	104.964	23.2286
2360.000000	104.968	22.1100
2400.000000	104.961	20.6504
2430.000000	104.940	19.5762
2470.000000	104.885	18.2260
2500.000000	104.822	17.3203
2540.000000	104.713	16.3491
2580.000000	104.596	15.7177
2620.000000	104.492	15.3778
2650.000000	104.432	15.2601
2690.000000	104.381	15.2219
2720.000000	104.369	15.2211
2760.000000	104.384	15.1167
2800.000000	104.414	14.7690
2850.000000	104.428	14.0184
2900.000000	104.389	13.1561
2950.000000	104.294	12.4838
3000.000000	104.175	12.1332
3040.000000	104.078	12.0681
3070.000000	104.011	12.1451
3110.000000	103.938	12.4246
3150.000000	103.895	12.8715
3200.000000	103.897	13.5389
3250.000000	103.956	14.1700
3300.000000	104.057	14.6370
3350.000000	104.179	14.8795
3400.000000	104.301	14.8581
3450.000000	104.397	14.6022
3500.000000	104.451	14.2607
3550.000000	104.471	13.9837
3600.000000	104.476	13.8426
3650.000000	104.482	13.8594
3700.000000	104.507	14.0324
3750.000000	104.569	14.3225
3820.000000	104.735	14.7175
3870.000000	104.901	14.8679
3950.000000	105.223	14.7950
4000.000000	105.446	14.4888
4060.000000	105.708	13.7831
4120.000000	105.943	12.7126
4180.000000	106.135	11.3173
4250.000000	106.291	9.3300
4310.000000	106.365	7.4083
4370.000000	106.391	5.3406
4440.000000	106.366	2.7472
4500.000000	106.290	0.4104
4550.000000	106.185	-1.5483
4620.000000	105.974	-4.1913
4680.000000	105.737	-6.2405
4750.000000	105.415	-8.2561
4820.000000	105.070	-9.8658
4870.000000	104.817	-10.8015
4940.000000	104.461	-11.8394
5000.000000	104.152	-12.4856
5080.000000	103.732	-12.9635
5150.000000	103.361	-12.9744
5220.000000	102.997	-12.6282
5300.000000	102.596	-11.8820
5380.000000	102.207	-10.8427
5450.000000	101.871	-9.7229
5520.000000	101.535	-8.3868
5600.000000	101.163	-6.5880
5700.000000	100.742	-4.0142
5800.000000	100.388	-1.2075
5900.000000	100.100	1.7745
6000.000000	99.877	4.9702
6080.000000	99.753	7.6662
6150.000000	99.687	10.0884
6220.000000	99.659	12.5373
6300.000000	99.670	15.3602
6400.000000	99.748	18.9438
6500.000000	99.906	22.5724
6600.000000	100.151	26.1735
6700.000000	100.486	29.6777
6800.000000	100.918	33.0476
6900.000000	101.458	36.2127
7000.000000	102.112	39.0445
7100.000000	102.882	41.4068
7200.000000	103.778	43.1653
7300.000000	104.807	44.0976
7400.000000	105.952	43.8219
7500.000000	107.151	41.8317
7620.000000	108.513	36.4465
7750.000000	109.653	26.3464
7880.000000	110.183	12.5957
8000.000000	110.014	-0.8877
8120.000000	109.272	-12.3700
8250.000000	108.035	-20.8832
8380.000000	106.615	-25.3950
8500.000000	105.340	-26.8636
8620.000000	104.227	-26.6459
8750.000000	103.264	-25.2976
8850.000000	102.696	-23.7640
9000.000000	102.134	-20.8817
9120.000000	101.971	-18.4000
9250.000000	102.101	-16.2314
9380.000000	102.508	-15.3228
9500.000000	103.044	-16.3843
9620.000000	103.576	-19.9542
9750.000000	103.964	-26.6686
9880.000000	104.023	-35.5934
10000.000000	103.719	-44.6415
10150.000000	102.838	-55.1014
10300.000000	101.484	-62.9370
10440.000000	99.931	-67.3348
10600.000000	97.986	-69.1857
10750.000000	96.136	-68.4630
10900.000000	94.351	-65.9987
11060.000000	92.587	-61.9920
11200.000000	91.196	-57.6656
11380.000000	89.628	-51.3413
11500.000000	88.710	-46.7827
11720.000000	87.262	-37.9515
11800.000000	86.804	-34.6256
12060.000000	85.546	-23.5203
12200.000000	85.010	-17.4185
12410.000000	84.386	-8.1975
12500.000000	84.181	-4.2495
12650.000000	83.916	2.2954
12800.000000	83.744	8.7705
13150.000000	83.681	23.4392
13200.000000	83.709	25.4729
13400.000000	83.905	33.4167
13600.000000	84.233	41.0171
13800.000000	84.736	48.1916
14000.000000	85.516	54.7697
14300.000000	87.365	62.6080
14500.000000	88.953	65.3602
14750.000000	90.965	64.1940
15000.000000	92.537	56.6777
15250.000000	93.284	44.1774
15500.000000	93.097	31.0195
15750.000000	92.189	20.8441
16000.000000	90.951	13.7703
16250.000000	89.671	8.5455
16500.000000	88.447	6.1376
16750.000000	87.691	6.3876
17000.000000	87.652	3.3374
17250.000000	87.531	-5.9589
17500.000000	86.673	-16.9843
17750.000000	85.040	-24.2896
18000.000000	82.904	-26.2597
18250.000000	80.604	-24.2421
18500.000000	78.406	-20.0898
18750.000000	76.426	-15.0040
19000.000000	74.656	-9.5649
19250.000000	73.026	-3.9507
19500.000000	71.446	2.0486
19750.000000	69.846	8.9653
20000.000000	68.211	17.3107
