* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 12, 2021 3:54:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: NRA Taped L
* Measurement: NRA Taped
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.0	63.7115
20.299999	101.1	63.0128
20.600000	101.1	62.3265
20.900000	101.2	61.6515
21.200001	101.3	60.9865
21.400000	101.3	60.5488
21.799999	101.4	59.6874
22.000000	101.4	59.2648
22.400000	101.5	58.4377
22.700001	101.6	57.8339
23.000000	101.6	57.2429
23.299999	101.7	56.6614
23.600000	101.7	56.0862
24.000000	101.8	55.3265
24.299999	101.8	54.7638
24.700001	101.9	54.0291
25.000000	101.9	53.4948
25.400000	102.0	52.8076
25.799999	102.0	52.1449
26.200001	102.1	51.4972
26.500000	102.1	51.0168
26.900000	102.2	50.3827
27.200001	102.2	49.9142
27.600000	102.3	49.3016
28.000000	102.3	48.7019
28.500000	102.4	47.9600
29.000000	102.4	47.2159
29.500000	102.5	46.4738
30.000000	102.5	45.7511
30.400000	102.6	45.1950
30.700001	102.6	44.7905
31.100000	102.6	44.2629
31.500000	102.7	43.7435
32.000000	102.7	43.1017
32.500000	102.8	42.4698
33.000000	102.8	41.8502
33.500000	102.8	41.2429
34.000000	102.9	40.6472
34.500000	102.9	40.0638
35.000000	102.9	39.4938
35.500000	103.0	38.9361
36.000000	103.0	38.3895
36.500000	103.0	37.8545
37.000000	103.1	37.3327
37.500000	103.1	36.8244
38.200001	103.1	36.1316
38.700001	103.2	35.6480
39.500000	103.2	34.8957
40.000000	103.2	34.4403
40.599998	103.2	33.9080
41.200001	103.3	33.3882
41.799999	103.3	32.8801
42.500000	103.3	32.3026
43.099998	103.3	31.8217
43.700001	103.4	31.3551
44.400002	103.4	30.8300
45.000000	103.4	30.3937
45.500000	103.4	30.0357
46.200001	103.4	29.5376
46.799999	103.4	29.1130
47.500000	103.5	28.6255
48.200001	103.5	28.1501
48.700001	103.5	27.8180
49.400002	103.5	27.3621
50.000000	103.5	26.9783
50.799999	103.5	26.4755
51.500000	103.6	26.0455
52.200001	103.6	25.6299
53.000000	103.6	25.1797
53.799999	103.6	24.7598
54.500000	103.6	24.4136
55.200001	103.6	24.0806
56.000000	103.7	23.7083
57.000000	103.7	23.2363
58.000000	103.7	22.7231
59.000000	103.7	22.1686
60.000000	103.8	21.6183
60.799999	103.8	21.1980
61.500000	103.8	20.8414
62.200001	103.8	20.4919
63.000000	103.8	20.0997
64.000000	103.8	19.6228
65.000000	103.8	19.1728
66.000000	103.8	18.7560
67.000000	103.8	18.3629
68.000000	103.8	17.9823
69.000000	103.8	17.6095
70.000000	103.8	17.2487
71.000000	103.8	16.9014
72.000000	103.8	16.5520
73.000000	103.9	16.1790
74.000000	103.9	15.7876
75.000000	103.9	15.4039
76.199997	103.9	14.9677
77.500000	103.9	14.5193
78.800003	103.9	14.0834
80.000000	103.9	13.6769
81.199997	103.9	13.2596
82.500000	103.9	12.7865
83.800003	103.9	12.3024
85.000000	103.9	11.8705
86.199997	103.9	11.4748
87.500000	103.9	11.0986
88.500000	103.9	10.8363
90.000000	103.9	10.4589
91.199997	103.9	10.1611
92.500000	103.9	9.8402
93.800003	103.9	9.5226
95.000000	103.9	9.2347
96.199997	103.9	8.9564
97.500000	103.9	8.6686
98.800003	103.9	8.3916
100.000000	103.9	8.1399
101.500000	103.9	7.8307
103.000000	103.9	7.5348
104.400002	103.9	7.2686
106.000000	103.9	6.9622
107.500000	103.9	6.6593
109.000000	103.9	6.3296
110.599998	103.9	5.9506
112.000000	103.9	5.6171
113.800003	103.9	5.2413
115.000000	103.8	5.0603
117.199997	103.8	4.9385
118.000000	103.8	4.9478
120.599998	103.7	4.8105
122.000000	103.7	4.4764
124.099998	103.7	3.8296
125.000000	103.8	3.5776
126.500000	103.8	3.2287
128.000000	103.8	2.9560
131.500000	103.7	2.4208
132.000000	103.7	2.3400
134.000000	103.7	1.9979
136.000000	103.7	1.6575
138.000000	103.7	1.3561
140.000000	103.7	1.0958
143.000000	103.7	0.7342
145.000000	103.7	0.4870
147.500000	103.6	0.1680
150.000000	103.6	-0.1520
152.500000	103.6	-0.4489
155.000000	103.6	-0.6987
157.500000	103.6	-0.9258
160.000000	103.6	-1.1790
162.500000	103.5	-1.4730
165.000000	103.5	-1.7916
167.500000	103.5	-2.1061
170.000000	103.5	-2.3919
172.500000	103.5	-2.6455
175.000000	103.4	-2.8843
177.500000	103.4	-3.1255
180.000000	103.4	-3.3767
182.500000	103.4	-3.6390
185.000000	103.4	-3.9114
187.500000	103.3	-4.1901
190.000000	103.3	-4.4684
192.500000	103.3	-4.7388
195.000000	103.3	-4.9952
197.500000	103.3	-5.2343
200.000000	103.2	-5.4541
203.000000	103.2	-5.6970
206.000000	103.2	-5.9380
209.000000	103.2	-6.1998
212.000000	103.1	-6.4777
214.000000	103.1	-6.6578
218.000000	103.1	-6.9663
220.000000	103.0	-7.0919
224.000000	103.0	-7.3237
227.000000	103.0	-7.5090
230.000000	102.9	-7.7086
233.000000	102.9	-7.9154
236.000000	102.9	-8.1260
240.000000	102.8	-8.4125
243.000000	102.8	-8.6254
247.000000	102.7	-8.8832
250.000000	102.7	-9.0389
254.000000	102.7	-9.1875
258.000000	102.6	-9.3101
262.000000	102.6	-9.4769
265.000000	102.6	-9.6353
269.000000	102.5	-9.8465
272.000000	102.5	-9.9805
276.000000	102.4	-10.1223
280.000000	102.4	-10.2383
285.000000	102.3	-10.3854
290.000000	102.3	-10.6014
295.000000	102.3	-10.9006
300.000000	102.2	-11.1946
304.000000	102.2	-11.3874
307.000000	102.1	-11.5110
311.000000	102.1	-11.6617
315.000000	102.0	-11.8026
320.000000	101.9	-11.9488
325.000000	101.9	-12.0444
330.000000	101.8	-12.1060
335.000000	101.7	-12.1621
340.000000	101.7	-12.2269
345.000000	101.6	-12.2922
350.000000	101.6	-12.3416
355.000000	101.5	-12.3702
360.000000	101.4	-12.3833
365.000000	101.4	-12.3852
370.000000	101.3	-12.3761
375.000000	101.2	-12.3538
382.000000	101.1	-12.2988
387.000000	101.1	-12.2430
395.000000	101.0	-12.1199
400.000000	100.9	-12.0192
406.000000	100.8	-11.8787
412.000000	100.7	-11.7197
418.000000	100.7	-11.5357
425.000000	100.6	-11.2904
431.000000	100.5	-11.0803
437.000000	100.5	-10.8989
444.000000	100.4	-10.7260
450.000000	100.4	-10.6101
455.000000	100.3	-10.5459
462.000000	100.3	-10.4879
468.000000	100.2	-10.4143
475.000000	100.1	-10.2627
482.000000	100.0	-10.0634
487.000000	100.0	-9.9091
494.000000	99.9	-9.6643
500.000000	99.8	-9.4148
508.000000	99.8	-9.0551
515.000000	99.7	-8.7431
522.000000	99.6	-8.4242
530.000000	99.5	-8.0228
538.000000	99.4	-7.5825
545.000000	99.4	-7.1822
552.000000	99.3	-6.7723
560.000000	99.2	-6.3019
570.000000	99.2	-5.7196
580.000000	99.1	-5.1179
590.000000	99.0	-4.4792
600.000000	98.9	-3.7943
608.000000	98.9	-3.2257
615.000000	98.8	-2.7240
622.000000	98.8	-2.2086
630.000000	98.7	-1.5833
640.000000	98.6	-0.7555
650.000000	98.6	0.0933
660.000000	98.6	0.9353
670.000000	98.5	1.7125
680.000000	98.5	2.4200
690.000000	98.5	3.1168
700.000000	98.4	3.8485
710.000000	98.4	4.6240
720.000000	98.4	5.4227
730.000000	98.3	6.2328
740.000000	98.3	7.0558
750.000000	98.3	7.8934
762.000000	98.3	8.9153
775.000000	98.3	10.0326
788.000000	98.3	11.1472
800.000000	98.3	12.1817
812.000000	98.3	13.2302
