* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 3, 2021 11:33:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: CCZ Melody
* Measurement: Sep 3
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.3	49.6450
20.299999	101.3	48.8601
20.600000	101.3	48.1003
20.900000	101.4	47.3665
21.200001	101.4	46.6565
21.400000	101.5	46.1931
21.799999	101.5	45.2822
22.000000	101.5	44.8305
22.400000	101.6	43.9272
22.700001	101.6	43.2479
23.000000	101.7	42.5695
23.299999	101.7	41.8983
23.600000	101.7	41.2414
24.000000	101.8	40.3974
24.299999	101.8	39.7913
24.700001	101.8	39.0139
25.000000	101.9	38.4452
25.400000	101.9	37.6941
25.799999	101.9	36.9457
26.200001	102.0	36.2070
26.500000	102.0	35.6671
26.900000	102.0	34.9713
27.200001	102.0	34.4644
27.600000	102.1	33.7961
28.000000	102.1	33.1202
28.500000	102.1	32.2577
29.000000	102.2	31.4002
29.500000	102.2	30.5833
30.000000	102.2	29.8194
30.400000	102.2	29.2344
30.700001	102.2	28.8022
31.100000	102.3	28.2281
31.500000	102.3	27.6562
32.000000	102.3	26.9495
32.500000	102.3	26.2546
33.000000	102.3	25.5686
33.500000	102.4	24.8893
34.000000	102.4	24.2198
34.500000	102.4	23.5652
35.000000	102.4	22.9266
35.500000	102.4	22.3019
36.000000	102.4	21.6894
36.500000	102.4	21.0898
37.000000	102.4	20.5044
37.500000	102.4	19.9316
38.200001	102.5	19.1417
38.700001	102.5	18.5786
39.500000	102.5	17.6814
40.000000	102.5	17.1371
40.599998	102.5	16.5128
41.200001	102.5	15.9133
41.799999	102.5	15.3184
42.500000	102.5	14.6164
43.099998	102.5	14.0200
43.700001	102.5	13.4441
44.400002	102.5	12.8009
45.000000	102.5	12.2667
45.500000	102.5	11.8314
46.200001	102.4	11.2392
46.799999	102.4	10.7479
47.500000	102.4	10.1876
48.200001	102.4	9.6379
48.700001	102.4	9.2554
49.400002	102.4	8.7406
50.000000	102.4	8.3162
50.799999	102.4	7.7512
51.500000	102.4	7.2364
52.200001	102.4	6.7032
53.000000	102.4	6.0946
53.799999	102.4	5.5089
54.500000	102.4	5.0198
55.200001	102.4	4.5470
56.000000	102.4	4.0129
57.000000	102.3	3.3361
58.000000	102.3	2.6549
59.000000	102.3	1.9847
60.000000	102.3	1.3270
60.799999	102.3	0.8141
61.500000	102.3	0.3804
62.200001	102.3	-0.0392
63.000000	102.2	-0.5074
64.000000	102.2	-1.0845
65.000000	102.2	-1.6494
66.000000	102.2	-2.1819
67.000000	102.1	-2.6755
68.000000	102.1	-3.1632
69.000000	102.1	-3.6658
70.000000	102.1	-4.1818
71.000000	102.0	-4.7183
72.000000	102.0	-5.2584
73.000000	102.0	-5.7646
74.000000	101.9	-6.2281
75.000000	101.9	-6.6668
76.199997	101.9	-7.1869
77.500000	101.8	-7.7502
78.800003	101.8	-8.3059
80.000000	101.8	-8.8229
81.199997	101.8	-9.3586
82.500000	101.7	-9.9615
83.800003	101.7	-10.5765
85.000000	101.6	-11.1346
86.199997	101.6	-11.6574
87.500000	101.5	-12.1718
88.500000	101.5	-12.5380
90.000000	101.4	-13.0596
91.199997	101.4	-13.4586
92.500000	101.3	-13.8693
93.800003	101.3	-14.2614
95.000000	101.2	-14.6156
96.199997	101.2	-14.9683
97.500000	101.2	-15.3530
98.800003	101.1	-15.7372
100.000000	101.1	-16.0809
101.500000	101.0	-16.4846
103.000000	101.0	-16.8674
104.400002	100.9	-17.2219
106.000000	100.9	-17.6355
107.500000	100.8	-18.0358
109.000000	100.8	-18.4485
110.599998	100.7	-18.8969
112.000000	100.7	-19.2858
113.800003	100.6	-19.7643
115.000000	100.5	-20.0615
117.199997	100.4	-20.5338
118.000000	100.4	-20.6730
120.599998	100.2	-21.0345
122.000000	100.2	-21.2495
124.099998	100.1	-21.6317
125.000000	100.1	-21.7961
126.500000	100.1	-22.0529
128.000000	100.0	-22.2898
131.500000	99.9	-22.8086
132.000000	99.9	-22.8795
134.000000	99.8	-23.1559
136.000000	99.7	-23.4338
138.000000	99.6	-23.7239
140.000000	99.6	-24.0076
143.000000	99.4	-24.3398
145.000000	99.4	-24.4731
147.500000	99.3	-24.5900
150.000000	99.2	-24.6992
152.500000	99.1	-24.7646
155.000000	99.0	-24.7339
157.500000	99.0	-24.6476
160.000000	98.9	-24.6128
162.500000	98.9	-24.6788
165.000000	98.8	-24.8334
167.500000	98.8	-25.0603
170.000000	98.7	-25.3251
172.500000	98.7	-25.5972
175.000000	98.6	-25.8744
177.500000	98.6	-26.1612
180.000000	98.5	-26.4559
182.500000	98.4	-26.7496
185.000000	98.4	-27.0306
187.500000	98.3	-27.2905
190.000000	98.2	-27.5267
192.500000	98.2	-27.7410
195.000000	98.1	-27.9357
197.500000	98.0	-28.1068
200.000000	97.9	-28.2396
203.000000	97.9	-28.3305
206.000000	97.8	-28.3800
209.000000	97.7	-28.4531
212.000000	97.6	-28.5600
214.000000	97.6	-28.6338
218.000000	97.5	-28.7443
220.000000	97.4	-28.7773
224.000000	97.3	-28.8313
227.000000	97.2	-28.8860
