* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2022 1:21:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: CCZ Warrior L
* Measurement: CCZ Warrior L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	98.257	-119.3216
20.299999	98.340	-120.0121
20.600000	98.421	-120.6924
20.900000	98.501	-121.3686
21.200001	98.579	-122.0445
21.400000	98.629	-122.4942
21.799999	98.725	-123.3861
22.000000	98.771	-123.8249
22.400000	98.859	-124.6819
22.700001	98.922	-125.3050
23.000000	98.985	-125.9135
23.299999	99.046	-126.5113
23.600000	99.105	-127.1009
24.000000	99.182	-127.8756
24.299999	99.238	-128.4458
24.700001	99.309	-129.1873
25.000000	99.361	-129.7274
25.400000	99.430	-130.4282
25.799999	99.498	-131.1138
26.200001	99.565	-131.7923
26.500000	99.615	-132.2994
26.900000	99.679	-132.9726
27.200001	99.725	-133.4729
27.600000	99.785	-134.1297
28.000000	99.842	-134.7722
28.500000	99.913	-135.5578
29.000000	99.981	-136.3335
29.500000	100.048	-137.1077
30.000000	100.110	-137.8795
30.400000	100.157	-138.4886
30.700001	100.190	-138.9368
31.100000	100.233	-139.5202
31.500000	100.275	-140.0890
32.000000	100.327	-140.7865
32.500000	100.378	-141.4786
33.000000	100.427	-142.1698
33.500000	100.474	-142.8566
34.000000	100.517	-143.5323
34.500000	100.558	-144.1922
35.000000	100.597	-144.8377
35.500000	100.635	-145.4740
36.000000	100.672	-146.1057
36.500000	100.706	-146.7312
37.000000	100.737	-147.3433
37.500000	100.765	-147.9351
38.200001	100.803	-148.7282
38.700001	100.830	-149.2777
39.500000	100.873	-150.1436
40.000000	100.898	-150.6760
40.599998	100.926	-151.3013
41.200001	100.953	-151.9115
41.799999	100.980	-152.5112
42.500000	101.010	-153.2017
43.099998	101.035	-153.7855
43.700001	101.058	-154.3609
44.400002	101.083	-155.0215
45.000000	101.102	-155.5766
45.500000	101.117	-156.0294
46.200001	101.136	-156.6472
46.799999	101.152	-157.1627
47.500000	101.168	-157.7488
48.200001	101.184	-158.3205
48.700001	101.195	-158.7229
49.400002	101.209	-159.2806
50.000000	101.219	-159.7505
50.799999	101.231	-160.3602
51.500000	101.241	-160.8785
52.200001	101.251	-161.3833
53.000000	101.261	-161.9383
53.799999	101.274	-162.4712
54.500000	101.288	-162.9326
55.200001	101.303	-163.4003
56.000000	101.320	-163.9422
57.000000	101.340	-164.6217
58.000000	101.358	-165.3024
59.000000	101.372	-165.9810
60.000000	101.382	-166.6395
60.799999	101.388	-167.1458
61.500000	101.393	-167.5773
62.200001	101.398	-168.0014
63.000000	101.403	-168.4778
64.000000	101.407	-169.0595
65.000000	101.411	-169.6288
66.000000	101.414	-170.1930
67.000000	101.416	-170.7549
68.000000	101.418	-171.3119
69.000000	101.420	-171.8661
70.000000	101.422	-172.4221
71.000000	101.422	-172.9785
72.000000	101.419	-173.5196
73.000000	101.413	-174.0234
74.000000	101.407	-174.4892
75.000000	101.404	-174.9382
76.199997	101.400	-175.4768
77.500000	101.397	-176.0707
78.800003	101.393	-176.6830
80.000000	101.389	-177.2694
81.199997	101.384	-177.8744
82.500000	101.373	-178.5392
83.800003	101.356	-179.1947
85.000000	101.335	-179.7746
86.199997	101.308	179.6798
87.500000	101.276	179.1285
88.500000	101.251	178.7288
90.000000	101.215	178.1617
91.199997	101.190	177.7281
92.500000	101.167	177.2677
93.800003	101.145	176.8163
95.000000	101.124	176.4108
96.199997	101.101	176.0139
97.500000	101.073	175.5880
98.800003	101.044	175.1640
100.000000	101.018	174.7777
101.500000	100.988	174.3127
103.000000	100.962	173.8763
104.400002	100.938	173.4899
106.000000	100.909	173.0511
107.500000	100.878	172.6161
109.000000	100.847	172.1455
110.599998	100.816	171.6244
112.000000	100.788	171.1908
113.800003	100.734	170.7127
115.000000	100.679	170.4525
117.199997	100.530	170.1086
118.000000	100.472	170.0316
120.599998	100.364	169.7817
122.000000	100.370	169.4690
124.099998	100.401	168.8736
125.000000	100.410	168.6491
126.500000	100.414	168.3170
128.000000	100.402	167.9828
131.500000	100.374	167.2726
132.000000	100.377	167.2148
134.000000	100.406	167.1031
136.000000	100.431	166.9526
138.000000	100.395	166.4884
