* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2022 1:23:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: CCZ Warrior R
* Measurement: CCZ Warrior R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.047	-116.2789
20.299999	96.136	-116.9883
20.600000	96.221	-117.6951
20.900000	96.303	-118.3954
21.200001	96.380	-119.0814
21.400000	96.430	-119.5264
21.799999	96.525	-120.3841
22.000000	96.573	-120.7973
22.400000	96.667	-121.5996
22.700001	96.737	-122.1899
23.000000	96.807	-122.7783
23.299999	96.876	-123.3671
23.600000	96.943	-123.9545
24.000000	97.027	-124.7295
24.299999	97.088	-125.2996
24.700001	97.167	-126.0424
25.000000	97.225	-126.5885
25.400000	97.300	-127.3069
25.799999	97.373	-128.0176
26.200001	97.443	-128.7191
26.500000	97.493	-129.2361
26.900000	97.558	-129.9099
27.200001	97.606	-130.4036
27.600000	97.668	-131.0495
28.000000	97.730	-131.6874
28.500000	97.806	-132.4811
29.000000	97.877	-133.2710
29.500000	97.945	-134.0493
30.000000	98.009	-134.8066
30.400000	98.058	-135.3956
30.700001	98.095	-135.8293
31.100000	98.144	-136.4016
31.500000	98.191	-136.9715
32.000000	98.249	-137.6830
32.500000	98.303	-138.3883
33.000000	98.353	-139.0778
33.500000	98.401	-139.7473
34.000000	98.448	-140.4003
34.500000	98.494	-141.0428
35.000000	98.539	-141.6777
35.500000	98.582	-142.3052
36.000000	98.623	-142.9265
36.500000	98.662	-143.5435
37.000000	98.698	-144.1531
37.500000	98.731	-144.7467
38.200001	98.773	-145.5363
38.700001	98.803	-146.0728
39.500000	98.852	-146.9116
40.000000	98.881	-147.4325
40.599998	98.915	-148.0509
41.200001	98.947	-148.6561
41.799999	98.977	-149.2483
42.500000	99.011	-149.9267
43.099998	99.038	-150.4981
43.700001	99.065	-151.0591
44.400002	99.093	-151.7014
45.000000	99.117	-152.2431
45.500000	99.136	-152.6881
46.200001	99.161	-153.3002
46.799999	99.182	-153.8144
47.500000	99.205	-154.4050
48.200001	99.228	-154.9904
48.700001	99.244	-155.4063
49.400002	99.264	-155.9807
50.000000	99.279	-156.4583
50.799999	99.298	-157.0698
51.500000	99.315	-157.5875
52.200001	99.331	-158.0948
53.000000	99.349	-158.6576
53.799999	99.367	-159.1983
54.500000	99.383	-159.6601
55.200001	99.400	-160.1207
56.000000	99.418	-160.6503
57.000000	99.440	-161.3159
58.000000	99.458	-161.9801
59.000000	99.474	-162.6356
60.000000	99.487	-163.2812
60.799999	99.496	-163.7942
61.500000	99.502	-164.2395
62.200001	99.507	-164.6770
63.000000	99.511	-165.1644
64.000000	99.514	-165.7548
65.000000	99.518	-166.3271
66.000000	99.522	-166.8855
67.000000	99.527	-167.4339
68.000000	99.531	-167.9765
69.000000	99.534	-168.5128
70.000000	99.534	-169.0295
71.000000	99.533	-169.5164
72.000000	99.532	-169.9833
73.000000	99.533	-170.4440
74.000000	99.533	-170.9020
75.000000	99.532	-171.3539
76.199997	99.531	-171.8898
77.500000	99.532	-172.4744
78.800003	99.534	-173.0739
80.000000	99.535	-173.6459
81.199997	99.534	-174.2347
82.500000	99.527	-174.8824
83.800003	99.512	-175.5255
85.000000	99.492	-176.0994
86.199997	99.466	-176.6385
87.500000	99.438	-177.1761
88.500000	99.417	-177.5653
90.000000	99.388	-178.1245
91.199997	99.364	-178.5488
92.500000	99.338	-178.9865
93.800003	99.312	-179.4175
95.000000	99.287	-179.8254
96.199997	99.260	179.7590
97.500000	99.229	179.3224
98.800003	99.197	178.9171
100.000000	99.168	178.5758
101.500000	99.131	178.1869
103.000000	99.093	177.8180
104.400002	99.058	177.4715
106.000000	99.023	177.0695
107.500000	98.995	176.7014
109.000000	98.968	176.3558
110.599998	98.932	176.0013
112.000000	98.887	175.6635
113.800003	98.814	175.1234
115.000000	98.762	174.6773
117.199997	98.670	173.7284
118.000000	98.634	173.4052
120.599998	98.505	173.0837
122.000000	98.478	173.4499
124.099998	98.529	174.1176
125.000000	98.571	174.3278
126.500000	98.643	174.5686
128.000000	98.703	174.7496
131.500000	98.795	175.1047
132.000000	98.806	175.0953
134.000000	98.840	174.7254
136.000000	98.843	173.9098
138.000000	98.817	173.0266
140.000000	98.781	172.3390
143.000000	98.729	171.5013
145.000000	98.685	170.8474
147.500000	98.615	169.9648
150.000000	98.543	169.2501
152.500000	98.479	168.7788
155.000000	98.423	168.4713
157.500000	98.379	168.2162
160.000000	98.348	167.9146
162.500000	98.319	167.5298
165.000000	98.280	167.0961
167.500000	98.229	166.6744
170.000000	98.174	166.3008
172.500000	98.119	165.9832
175.000000	98.068	165.6989
177.500000	98.021	165.4186
180.000000	97.976	165.1283
182.500000	97.934	164.8276
185.000000	97.890	164.5214
187.500000	97.844	164.2144
190.000000	97.794	163.9091
192.500000	97.743	163.6106
195.000000	97.690	163.3318
197.500000	97.635	163.0861
200.000000	97.580	162.8760
203.000000	97.516	162.6562
206.000000	97.455	162.4418
209.000000	97.395	162.1966
212.000000	97.330	161.9161
214.000000	97.285	161.7375
218.000000	97.198	161.5107
220.000000	97.159	161.4693
224.000000	97.094	161.4050
227.000000	97.051	161.3030
230.000000	97.010	161.1640
233.000000	96.968	161.0095
236.000000	96.922	160.8406
240.000000	96.854	160.5890
243.000000	96.798	160.3983
247.000000	96.717	160.1773
250.000000	96.655	160.0535
254.000000	96.576	159.9527
258.000000	96.508	159.8879
262.000000	96.447	159.7905
265.000000	96.401	159.6910
269.000000	96.333	159.5649
272.000000	96.279	159.4968
276.000000	96.211	159.4429
280.000000	96.148	159.4153
285.000000	96.080	159.3815
290.000000	96.019	159.2834
295.000000	95.951	159.1082
300.000000	95.872	158.9453
304.000000	95.805	158.8634
307.000000	95.756	158.8247
311.000000	95.692	158.7862
315.000000	95.628	158.7513
320.000000	95.548	158.7224
325.000000	95.468	158.7277
330.000000	95.392	158.7547
335.000000	95.321	158.7805
340.000000	95.250	158.7949
345.000000	95.179	158.8066
350.000000	95.105	158.8300
355.000000	95.030	158.8698
360.000000	94.958	158.9273
365.000000	94.887	159.0023
370.000000	94.818	159.0904
375.000000	94.749	159.1890
382.000000	94.655	159.3449
387.000000	94.589	159.4675
395.000000	94.487	159.6817
400.000000	94.425	159.8243
406.000000	94.352	159.9968
412.000000	94.280	160.1703
418.000000	94.207	160.3613
425.000000	94.124	160.6257
431.000000	94.059	160.8792
437.000000	93.999	161.1327
444.000000	93.936	161.4109
450.000000	93.887	161.6190
455.000000	93.846	161.7544
462.000000	93.782	161.8991
468.000000	93.719	162.0340
475.000000	93.641	162.2445
482.000000	93.566	162.4933
487.000000	93.512	162.6802
494.000000	93.435	162.9688
500.000000	93.372	163.2534
508.000000	93.294	163.6526
515.000000	93.231	163.9898
522.000000	93.166	164.3250
530.000000	93.093	164.7360
538.000000	93.023	165.1779
545.000000	92.966	165.5743
552.000000	92.912	165.9746
560.000000	92.855	166.4264
570.000000	92.784	166.9744
580.000000	92.713	167.5316
590.000000	92.642	168.1157
600.000000	92.574	168.7368
608.000000	92.524	169.2474
615.000000	92.482	169.6937
622.000000	92.440	170.1499
630.000000	92.393	170.7032
640.000000	92.342	171.4355
650.000000	92.303	172.1832
660.000000	92.277	172.9177
670.000000	92.260	173.5805
680.000000	92.240	174.1675
690.000000	92.213	174.7384
700.000000	92.183	175.3394
710.000000	92.153	175.9797
720.000000	92.128	176.6392
730.000000	92.106	177.3064
740.000000	92.087	177.9836
750.000000	92.071	178.6733
762.000000	92.056	179.5177
775.000000	92.048	-179.5519
788.000000	92.047	-178.6104
800.000000	92.054	-177.7214
812.000000	92.072	-176.8172
825.000000	92.109	-175.8828
838.000000	92.154	-175.0576
850.000000	92.191	-174.3665
862.000000	92.223	-173.6858
875.000000	92.256	-172.9279
885.000000	92.283	-172.3275
900.000000	92.330	-171.4131
912.000000	92.373	-170.6639
925.000000	92.429	-169.8373
938.000000	92.499	-169.0323
950.000000	92.573	-168.3492
962.000000	92.649	-167.7336
975.000000	92.731	-167.1208
988.000000	92.812	-166.5390
1000.000000	92.886	-166.0134
1015.000000	92.984	-165.3550
1030.000000	93.092	-164.7196
1044.000000	93.204	-164.2112
1060.000000	93.332	-163.7855
1075.000000	93.440	-163.4988
1090.000000	93.534	-163.2525
1106.000000	93.621	-162.9908
1120.000000	93.689	-162.7396
1138.000000	93.771	-162.3578
1150.000000	93.824	-162.0590
1172.000000	93.930	-161.4234
1180.000000	93.974	-161.1700
1206.000000	94.143	-160.3722
1220.000000	94.245	-160.0313
1241.000000	94.396	-159.6441
1250.000000	94.458	-159.5041
1265.000000	94.559	-159.2851
1280.000000	94.657	-159.0765
1315.000000	94.888	-158.6211
1320.000000	94.921	-158.5634
1340.000000	95.052	-158.3568
1360.000000	95.180	-158.1710
1380.000000	95.306	-157.9717
1400.000000	95.436	-157.7353
1430.000000	95.657	-157.4112
1450.000000	95.813	-157.3106
1475.000000	96.003	-157.3012
1500.000000	96.186	-157.3630
1525.000000	96.365	-157.4536
1550.000000	96.544	-157.5453
1575.000000	96.734	-157.6546
1600.000000	96.936	-157.8757
1625.000000	97.137	-158.2625
1650.000000	97.327	-158.7706
1675.000000	97.506	-159.3501
1700.000000	97.677	-159.9873
1725.000000	97.840	-160.6884
1750.000000	97.991	-161.4330
1775.000000	98.134	-162.1799
1800.000000	98.279	-162.9341
1825.000000	98.427	-163.7642
1850.000000	98.568	-164.7091
1875.000000	98.696	-165.7505
1900.000000	98.808	-166.8488
1925.000000	98.905	-167.9633
1950.000000	98.994	-169.0771
1975.000000	99.078	-170.2218
2000.000000	99.155	-171.4404
2030.000000	99.225	-172.9961
2060.000000	99.267	-174.5988
2090.000000	99.282	-176.2014
2120.000000	99.268	-177.7675
2140.000000	99.244	-178.7632
2180.000000	99.173	179.4193
2200.000000	99.133	178.5797
2240.000000	99.043	176.9606
2270.000000	98.961	175.7963
2300.000000	98.863	174.7165
2330.000000	98.755	173.7579
2360.000000	98.646	172.9054
2400.000000	98.500	171.8542
2430.000000	98.385	171.1114
2470.000000	98.220	170.2054
2500.000000	98.086	169.6099
2540.000000	97.895	168.9834
2580.000000	97.703	168.5806
2620.000000	97.520	168.3377
2650.000000	97.387	168.2281
2690.000000	97.213	168.1965
2720.000000	97.088	168.2781
2760.000000	96.938	168.4959
2800.000000	96.807	168.7640
2850.000000	96.663	169.1085
2900.000000	96.526	169.4670
2950.000000	96.394	169.9107
3000.000000	96.276	170.4426
3040.000000	96.192	170.8867
3070.000000	96.130	171.2353
3110.000000	96.051	171.7529
3150.000000	95.981	172.3384
3200.000000	95.911	173.1295
3250.000000	95.860	173.9446
3300.000000	95.824	174.7643
3350.000000	95.802	175.5999
3400.000000	95.796	176.4297
3450.000000	95.801	177.2379
3500.000000	95.813	178.0776
3550.000000	95.843	178.9770
3600.000000	95.898	179.8872
3650.000000	95.977	-179.2559
3700.000000	96.073	-178.4715
3750.000000	96.185	-177.7412
3820.000000	96.370	-176.8272
3870.000000	96.522	-176.2598
3950.000000	96.809	-175.4908
4000.000000	97.024	-175.1737
4060.000000	97.309	-175.0767
4120.000000	97.612	-175.3384
4180.000000	97.922	-175.9798
4250.000000	98.278	-177.2445
4310.000000	98.568	-178.7643
4370.000000	98.838	179.2897
4440.000000	99.106	176.3942
4500.000000	99.268	173.3678
4550.000000	99.335	170.5288
4620.000000	99.302	166.2567
4680.000000	99.140	162.5850
4750.000000	98.797	158.6876
4820.000000	98.312	155.5571
4870.000000	97.897	153.9446
4940.000000	97.254	152.7184
5000.000000	96.685	152.6885
5080.000000	95.982	154.0860
5150.000000	95.521	156.3753
5220.000000	95.296	158.9471
5300.000000	95.312	161.0060
5380.000000	95.421	161.2775
5450.000000	95.417	160.3209
5520.000000	95.257	159.0811
5600.000000	94.924	158.1237
5700.000000	94.403	157.9938
5800.000000	93.860	158.9047
5900.000000	93.337	160.6703
6000.000000	92.869	163.1763
6080.000000	92.553	165.5907
6150.000000	92.326	167.9056
6220.000000	92.146	170.3423
6300.000000	91.991	173.2361
6400.000000	91.873	176.9937
6500.000000	91.846	-179.1468
6600.000000	91.910	-175.2780
6700.000000	92.062	-171.4649
6800.000000	92.302	-167.7191
6900.000000	92.641	-164.0711
7000.000000	93.092	-160.6074
7100.000000	93.663	-157.4373
7200.000000	94.367	-154.6769
7300.000000	95.215	-152.5096
7400.000000	96.204	-151.2350
7500.000000	97.300	-151.2466
7620.000000	98.667	-153.5981
7750.000000	100.021	-159.9042
7880.000000	100.969	-170.4915
8000.000000	101.278	177.1123
8120.000000	100.981	164.6351
8250.000000	100.068	153.6599
8380.000000	98.735	146.7026
8500.000000	97.336	143.8442
8620.000000	95.969	143.5690
8750.000000	94.669	145.0300
8850.000000	93.824	146.8950
9000.000000	92.803	150.4081
9120.000000	92.180	153.5309
9250.000000	91.672	156.9930
9380.000000	91.315	160.3886
9500.000000	91.105	163.3276
9620.000000	90.990	165.9576
9750.000000	90.953	168.3619
9880.000000	90.986	170.1990
10000.000000	91.052	171.2938
10150.000000	91.143	171.7948
10300.000000	91.193	171.3651
10440.000000	91.162	170.2445
10600.000000	90.991	168.4453
10750.000000	90.684	166.6663
10900.000000	90.240	165.1887
11060.000000	89.638	164.3173
11200.000000	89.039	164.3316
11380.000000	88.225	165.4922
11500.000000	87.688	166.9514
11720.000000	86.792	170.8046
11800.000000	86.509	172.5073
12060.000000	85.822	178.6920
12200.000000	85.624	-177.8791
12410.000000	85.576	-173.2226
12500.000000	85.644	-171.6178
12650.000000	85.845	-169.7964
12800.000000	86.097	-169.3916
13150.000000	86.321	-174.6964
13200.000000	86.258	-175.9689
13400.000000	85.676	179.0251
13600.000000	84.584	176.0532
13800.000000	83.119	176.7074
14000.000000	81.503	-178.8634
14300.000000	79.306	-166.9110
14500.000000	78.257	-156.8531
14750.000000	77.574	-143.3376
15000.000000	77.628	-129.7651
15250.000000	78.425	-116.9050
15500.000000	79.973	-105.4552
15750.000000	82.212	-96.3107
16000.000000	84.898	-90.8944
16250.000000	87.611	-91.4372
16500.000000	89.883	-100.3814
16750.000000	91.328	-118.1685
17000.000000	91.773	-141.4323
17250.000000	91.319	-165.3659
17500.000000	90.185	172.6346
17750.000000	88.479	153.8563
18000.000000	86.201	140.3674
18250.000000	83.386	133.9583
18500.000000	80.185	134.1320
18750.000000	76.876	137.7072
19000.000000	73.840	140.5453
19250.000000	71.278	140.5761
19500.000000	69.004	137.9915
19750.000000	66.746	131.7449
20000.000000	64.363	115.7478
