* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 27, 2021 3:17:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: CVJ CSA
* Measurement: Jun 27 15:17:20
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	60.575	49.776
20.586	60.589	48.913
20.885	60.592	48.323
21.189	60.582	47.864
21.497	60.588	47.424
21.810	60.618	46.931
22.127	60.645	46.379
22.449	60.657	45.818
22.776	60.668	45.315
23.107	60.695	44.892
23.443	60.737	44.486
23.784	60.801	43.980
24.130	60.874	43.303
24.481	60.935	42.494
24.837	60.967	41.676
25.198	60.969	40.972
25.565	60.980	40.412
25.937	61.014	39.924
26.314	61.054	39.409
26.697	61.100	38.849
27.085	61.127	38.312
27.479	61.137	37.857
27.879	61.172	37.440
28.284	61.205	36.945
28.696	61.232	36.327
29.113	61.239	35.722
29.537	61.217	35.338
29.966	61.213	35.212
30.402	61.254	35.095
30.844	61.331	34.684
31.293	61.398	33.939
31.748	61.408	33.134
32.210	61.381	32.550
32.678	61.341	32.194
33.154	61.339	31.884
33.636	61.356	31.525
34.125	61.361	31.184
34.621	61.376	30.874
35.125	61.392	30.513
35.636	61.388	30.182
36.154	61.388	30.127
36.680	61.450	30.293
37.214	61.580	30.148
37.755	61.681	29.353
38.304	61.677	28.337
38.861	61.619	27.758
39.427	61.578	27.574
40.000	61.584	27.215
40.582	61.600	26.615
41.172	61.588	26.206
41.771	61.601	25.981
42.379	61.651	25.517
42.995	61.682	24.815
43.620	61.675	24.267
44.255	61.666	23.972
44.898	61.666	23.695
45.552	61.659	23.405
46.214	61.657	23.211
46.886	61.670	23.041
47.568	61.677	22.738
48.260	61.664	22.402
48.962	61.638	22.190
49.674	61.627	21.926
50.397	61.629	21.517
51.130	61.636	21.254
51.874	61.687	20.970
52.628	61.711	20.357
53.394	61.660	20.038
54.170	61.678	20.095
54.958	61.748	19.674
55.758	61.734	19.211
56.569	61.739	19.194
57.391	61.784	18.849
58.226	61.758	18.331
59.073	61.721	18.100
59.932	61.709	17.819
60.804	61.671	17.616
61.688	61.666	17.636
62.586	61.723	17.346
63.496	61.745	16.731
64.420	61.726	16.421
65.357	61.719	16.297
66.307	61.726	16.332
67.272	61.798	16.122
