* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 6, 2022 1:06:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: DUNU EST112 L
* Measurement: DUNU EST112 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.583	-132.2825
20.299999	106.624	-132.9782
20.600000	106.665	-133.6637
20.900000	106.704	-134.3409
21.200001	106.743	-135.0100
21.400000	106.768	-135.4510
21.799999	106.817	-136.3188
22.000000	106.841	-136.7447
22.400000	106.886	-137.5792
22.700001	106.918	-138.1897
23.000000	106.949	-138.7873
23.299999	106.978	-139.3726
23.600000	107.006	-139.9458
24.000000	107.041	-140.6919
24.299999	107.065	-141.2385
24.700001	107.096	-141.9514
25.000000	107.118	-142.4753
25.400000	107.146	-143.1609
25.799999	107.172	-143.8326
26.200001	107.197	-144.4906
26.500000	107.214	-144.9747
26.900000	107.236	-145.6074
27.200001	107.251	-146.0723
27.600000	107.271	-146.6800
28.000000	107.290	-147.2742
28.500000	107.312	-147.9998
29.000000	107.333	-148.7084
29.500000	107.353	-149.4016
30.000000	107.372	-150.0796
30.400000	107.387	-150.6107
30.700001	107.398	-151.0020
31.100000	107.412	-151.5145
31.500000	107.426	-152.0173
32.000000	107.443	-152.6337
32.500000	107.458	-153.2385
33.000000	107.473	-153.8323
33.500000	107.486	-154.4151
34.000000	107.498	-154.9870
34.500000	107.509	-155.5479
35.000000	107.518	-156.0977
35.500000	107.525	-156.6353
36.000000	107.532	-157.1599
36.500000	107.537	-157.6709
37.000000	107.541	-158.1693
37.500000	107.545	-158.6561
38.200001	107.549	-159.3202
38.700001	107.552	-159.7830
39.500000	107.556	-160.5056
40.000000	107.558	-160.9466
40.599998	107.558	-161.4637
41.200001	107.558	-161.9642
41.799999	107.557	-162.4458
42.500000	107.556	-162.9861
43.099998	107.554	-163.4361
43.700001	107.552	-163.8787
44.400002	107.549	-164.3856
45.000000	107.545	-164.8078
45.500000	107.541	-165.1483
46.200001	107.536	-165.6108
46.799999	107.534	-166.0037
47.500000	107.532	-166.4687
48.200001	107.529	-166.9387
48.700001	107.525	-167.2709
49.400002	107.519	-167.7242
50.000000	107.513	-168.1011
50.799999	107.505	-168.5894
51.500000	107.496	-169.0038
52.200001	107.487	-169.4040
53.000000	107.475	-169.8421
53.799999	107.462	-170.2599
54.500000	107.452	-170.6105
55.200001	107.441	-170.9497
56.000000	107.430	-171.3267
57.000000	107.418	-171.7870
58.000000	107.408	-172.2353
59.000000	107.400	-172.6703
60.000000	107.395	-173.0940
60.799999	107.392	-173.4286
61.500000	107.391	-173.7256
62.200001	107.389	-174.0330
63.000000	107.383	-174.3945
64.000000	107.368	-174.8410
65.000000	107.348	-175.2653
66.000000	107.322	-175.6646
67.000000	107.295	-176.0352
68.000000	107.269	-176.3815
69.000000	107.246	-176.7118
70.000000	107.227	-177.0307
71.000000	107.210	-177.3436
72.000000	107.196	-177.6538
73.000000	107.182	-177.9615
74.000000	107.169	-178.2679
75.000000	107.156	-178.5733
76.199997	107.139	-178.9382
77.500000	107.123	-179.3269
78.800003	107.110	-179.7238
80.000000	107.100	179.8787
81.199997	107.088	179.4520
82.500000	107.070	178.9689
83.800003	107.043	178.4858
85.000000	107.012	178.0666
86.199997	106.976	177.6903
87.500000	106.936	177.3331
88.500000	106.906	177.0867
90.000000	106.864	176.7458
91.199997	106.833	176.4880
92.500000	106.801	176.2157
93.800003	106.772	175.9479
95.000000	106.746	175.7083
96.199997	106.719	175.4772
97.500000	106.689	175.2338
98.800003	106.657	174.9969
100.000000	106.627	174.7841
101.500000	106.589	174.5279
103.000000	106.555	174.2875
104.400002	106.527	174.0793
106.000000	106.496	173.8511
107.500000	106.467	173.6296
109.000000	106.435	173.3839
110.599998	106.399	173.0966
112.000000	106.367	172.8512
113.800003	106.323	172.6038
115.000000	106.287	172.5202
117.199997	106.208	172.5908
118.000000	106.180	172.6638
120.599998	106.120	172.6855
122.000000	106.093	172.4408
124.099998	106.047	171.9611
125.000000	106.027	171.7875
126.500000	105.999	171.5734
128.000000	105.974	171.4302
131.500000	105.914	171.1449
132.000000	105.904	171.0994
134.000000	105.865	170.9184
136.000000	105.825	170.7631
138.000000	105.784	170.6398
140.000000	105.741	170.5242
143.000000	105.676	170.3211
145.000000	105.634	170.1810
147.500000	105.582	170.0332
150.000000	105.528	169.9265
152.500000	105.471	169.8635
155.000000	105.418	169.8475
157.500000	105.372	169.8445
160.000000	105.332	169.8087
162.500000	105.293	169.7355
165.000000	105.249	169.6455
167.500000	105.200	169.5645
170.000000	105.147	169.5139
172.500000	105.096	169.4937
175.000000	105.050	169.4871
177.500000	105.009	169.4820
180.000000	104.969	169.4756
182.500000	104.929	169.4666
185.000000	104.889	169.4565
187.500000	104.850	169.4490
190.000000	104.811	169.4444
192.500000	104.772	169.4397
195.000000	104.734	169.4313
197.500000	104.696	169.4284
200.000000	104.660	169.4514
203.000000	104.620	169.5222
206.000000	104.586	169.6078
209.000000	104.552	169.6684
212.000000	104.516	169.7037
214.000000	104.488	169.7288
218.000000	104.429	169.8256
220.000000	104.400	169.8999
224.000000	104.351	170.0599
227.000000	104.317	170.1615
230.000000	104.285	170.2441
233.000000	104.252	170.3164
236.000000	104.219	170.3833
240.000000	104.174	170.4656
243.000000	104.138	170.5288
247.000000	104.086	170.6382
250.000000	104.045	170.7567
254.000000	103.996	170.9731
258.000000	103.959	171.2143
262.000000	103.930	171.4078
265.000000	103.908	171.5169
269.000000	103.874	171.6593
272.000000	103.846	171.7883
276.000000	103.813	171.9932
280.000000	103.786	172.2188
285.000000	103.764	172.4912
290.000000	103.751	172.6858
295.000000	103.731	172.7879
300.000000	103.697	172.8856
304.000000	103.666	173.0005
307.000000	103.642	173.1044
311.000000	103.612	173.2525
315.000000	103.581	173.4041
320.000000	103.540	173.6128
325.000000	103.501	173.8606
330.000000	103.467	174.1316
335.000000	103.438	174.3973
340.000000	103.411	174.6436
345.000000	103.383	174.8785
350.000000	103.353	175.1191
355.000000	103.323	175.3706
360.000000	103.295	175.6287
365.000000	103.268	175.8898
370.000000	103.242	176.1535
375.000000	103.218	176.4204
382.000000	103.186	176.7990
387.000000	103.164	177.0716
395.000000	103.133	177.5119
400.000000	103.116	177.7881
406.000000	103.097	178.1128
412.000000	103.079	178.4278
418.000000	103.059	178.7491
425.000000	103.037	179.1555
431.000000	103.023	179.5227
437.000000	103.016	179.8818
444.000000	103.014	-179.7268
450.000000	103.016	-179.4305
455.000000	103.018	-179.2274
462.000000	103.014	-178.9957
468.000000	103.000	-178.7928
475.000000	102.980	-178.5110
482.000000	102.962	-178.2002
487.000000	102.949	-177.9748
494.000000	102.928	-177.6398
500.000000	102.912	-177.3216
508.000000	102.897	-176.8860
515.000000	102.887	-176.5248
522.000000	102.877	-176.1725
530.000000	102.863	-175.7508
538.000000	102.853	-175.3072
545.000000	102.848	-174.9172
552.000000	102.845	-174.5297
560.000000	102.845	-174.0996
570.000000	102.846	-173.5894
580.000000	102.844	-173.0815
590.000000	102.841	-172.5562
600.000000	102.839	-172.0037
608.000000	102.841	-171.5551
615.000000	102.844	-171.1683
622.000000	102.846	-170.7762
630.000000	102.850	-170.3013
640.000000	102.861	-169.6739
650.000000	102.882	-169.0388
660.000000	102.915	-168.4243
670.000000	102.954	-167.8888
680.000000	102.990	-167.4364
690.000000	103.016	-167.0062
700.000000	103.035	-166.5507
710.000000	103.055	-166.0608
720.000000	103.077	-165.5572
730.000000	103.101	-165.0514
740.000000	103.126	-164.5400
750.000000	103.152	-164.0191
762.000000	103.186	-163.3806
775.000000	103.227	-162.6783
788.000000	103.272	-161.9706
800.000000	103.319	-161.3015
812.000000	103.375	-160.6200
825.000000	103.452	-159.9294
838.000000	103.533	-159.3505
850.000000	103.601	-158.8881
862.000000	103.662	-158.4369
875.000000	103.723	-157.9291
885.000000	103.771	-157.5246
900.000000	103.847	-156.9158
912.000000	103.909	-156.4269
925.000000	103.982	-155.8997
938.000000	104.060	-155.3948
950.000000	104.134	-154.9604
962.000000	104.208	-154.5499
975.000000	104.288	-154.1180
988.000000	104.369	-153.6915
1000.000000	104.444	-153.2954
1015.000000	104.541	-152.7796
1030.000000	104.647	-152.2577
1044.000000	104.757	-151.8203
1060.000000	104.883	-151.4236
1075.000000	104.992	-151.1026
1090.000000	105.095	-150.7534
1106.000000	105.209	-150.3170
1120.000000	105.321	-149.9072
1138.000000	105.486	-149.4482
1150.000000	105.602	-149.2357
1172.000000	105.806	-149.0120
1180.000000	105.877	-148.9560
1206.000000	106.109	-148.8339
1220.000000	106.232	-148.8409
1241.000000	106.405	-148.9343
1250.000000	106.474	-148.9847
1265.000000	106.582	-149.0629
1280.000000	106.686	-149.1263
1315.000000	106.923	-149.2165
1320.000000	106.957	-149.2278
1340.000000	107.094	-149.2783
1360.000000	107.233	-149.3244
1380.000000	107.378	-149.3371
1400.000000	107.534	-149.2976
1430.000000	107.797	-149.2490
1450.000000	107.981	-149.3232
1475.000000	108.205	-149.5248
1500.000000	108.415	-149.7908
1525.000000	108.605	-150.0821
1550.000000	108.776	-150.3752
1575.000000	108.945	-150.6883
1600.000000	109.120	-151.1176
1625.000000	109.292	-151.7197
1650.000000	109.453	-152.4540
1675.000000	109.603	-153.2744
1700.000000	109.744	-154.1718
1725.000000	109.871	-155.1550
1750.000000	109.977	-156.1998
1775.000000	110.062	-157.2500
1800.000000	110.134	-158.2775
1825.000000	110.197	-159.3005
1850.000000	110.250	-160.3032
1875.000000	110.300	-161.2382
1900.000000	110.363	-162.0946
1925.000000	110.453	-162.9285
1950.000000	110.577	-163.8520
1975.000000	110.723	-164.9977
2000.000000	110.866	-166.4417
2030.000000	110.998	-168.5161
2060.000000	111.069	-170.7966
2090.000000	111.077	-173.1174
2120.000000	111.025	-175.3580
2140.000000	110.958	-176.7518
2180.000000	110.765	-179.1841
2200.000000	110.646	179.7897
2240.000000	110.379	178.1202
2270.000000	110.162	177.2436
2300.000000	109.947	176.7184
2330.000000	109.757	176.4994
2360.000000	109.607	176.4406
2400.000000	109.463	176.3201
2430.000000	109.376	176.0990
2470.000000	109.258	175.6597
2500.000000	109.159	175.2778
2540.000000	109.008	174.7964
2580.000000	108.843	174.4270
2620.000000	108.670	174.1739
2650.000000	108.533	174.0672
2690.000000	108.344	174.0890
2720.000000	108.204	174.2607
2760.000000	108.034	174.6716
2800.000000	107.892	175.2040
2850.000000	107.753	175.9166
2900.000000	107.647	176.5719
2950.000000	107.560	177.1407
3000.000000	107.484	177.6135
