* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 9, 2021 10:11:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Dunu Tital R
* Measurement: edx L Nov 9
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.9	45.5747
20.299999	94.0	44.8448
20.600000	94.0	44.1230
20.900000	94.0	43.4096
21.200001	94.1	42.7072
21.400000	94.1	42.2468
21.799999	94.1	41.3466
22.000000	94.2	40.9069
22.400000	94.2	40.0460
22.700001	94.2	39.4135
23.000000	94.3	38.7905
23.299999	94.3	38.1768
23.600000	94.3	37.5737
24.000000	94.3	36.7885
24.299999	94.4	36.2147
24.700001	94.4	35.4691
25.000000	94.4	34.9220
25.400000	94.4	34.2046
25.799999	94.5	33.4978
26.200001	94.5	32.8019
26.500000	94.5	32.2899
26.900000	94.5	31.6260
27.200001	94.5	31.1453
27.600000	94.5	30.5285
28.000000	94.6	29.9335
28.500000	94.6	29.2031
29.000000	94.6	28.4684
29.500000	94.6	27.7277
30.000000	94.6	26.9977
30.400000	94.6	26.4331
30.700001	94.6	26.0227
31.100000	94.7	25.4884
31.500000	94.7	24.9628
32.000000	94.7	24.3112
32.500000	94.7	23.6659
33.000000	94.7	23.0310
33.500000	94.7	22.4072
34.000000	94.7	21.7914
34.500000	94.7	21.1826
35.000000	94.7	20.5833
35.500000	94.7	19.9967
36.000000	94.7	19.4245
36.500000	94.7	18.8672
37.000000	94.7	18.3247
37.500000	94.7	17.7970
38.200001	94.7	17.0817
38.700001	94.7	16.5862
39.500000	94.7	15.8177
40.000000	94.7	15.3510
40.599998	94.7	14.8030
41.200001	94.7	14.2682
41.799999	94.7	13.7469
42.500000	94.7	13.1542
43.099998	94.7	12.6556
43.700001	94.6	12.1628
44.400002	94.6	11.5975
45.000000	94.6	11.1277
45.500000	94.6	10.7501
46.200001	94.6	10.2400
46.799999	94.6	9.8135
47.500000	94.6	9.3251
48.200001	94.6	8.8523
48.700001	94.5	8.5264
49.400002	94.5	8.0829
50.000000	94.5	7.7086
50.799999	94.5	7.2117
51.500000	94.5	6.7769
52.200001	94.5	6.3450
53.000000	94.4	5.8656
53.799999	94.4	5.4144
54.500000	94.4	5.0444
55.200001	94.4	4.6913
56.000000	94.4	4.2971
57.000000	94.4	3.8014
58.000000	94.3	3.2817
59.000000	94.3	2.7180
60.000000	94.3	2.1338
60.799999	94.3	1.6945
61.500000	94.2	1.3414
62.200001	94.2	1.0104
63.000000	94.2	0.6550
64.000000	94.2	0.2585
65.000000	94.1	-0.0751
66.000000	94.1	-0.3539
67.000000	94.1	-0.6245
68.000000	94.0	-0.9752
69.000000	94.0	-1.4500
70.000000	93.9	-2.0331
71.000000	93.8	-2.6917
72.000000	93.8	-3.3444
73.000000	93.7	-3.8147
74.000000	93.6	-4.0059
75.000000	93.6	-4.0785
76.199997	93.6	-4.2440
77.500000	93.7	-4.4960
78.800003	93.7	-4.7659
80.000000	93.6	-5.0286
81.199997	93.6	-5.3315
82.500000	93.6	-5.7509
83.800003	93.5	-6.2419
85.000000	93.5	-6.6938
86.199997	93.4	-7.0891
87.500000	93.4	-7.4205
88.500000	93.3	-7.6204
90.000000	93.2	-7.8885
91.199997	93.2	-8.0875
92.500000	93.1	-8.2849
93.800003	93.1	-8.4885
95.000000	93.1	-8.6857
96.199997	93.0	-8.8729
97.500000	93.0	-9.0525
98.800003	92.9	-9.2191
100.000000	92.9	-9.3768
101.500000	92.8	-9.5809
103.000000	92.8	-9.7640
104.400002	92.7	-9.8800
106.000000	92.6	-9.9112
107.500000	92.6	-9.8231
109.000000	92.5	-9.6584
110.599998	92.5	-9.5042
112.000000	92.5	-9.4274
113.800003	92.4	-9.3751
115.000000	92.4	-9.3517
117.199997	92.3	-9.2800
118.000000	92.3	-9.2454
120.599998	92.3	-9.3602
122.000000	92.3	-9.6956
124.099998	92.2	-10.3215
125.000000	92.2	-10.5397
126.500000	92.2	-10.7963
128.000000	92.2	-10.9510
131.500000	92.1	-11.2136
132.000000	92.1	-11.2567
134.000000	92.1	-11.4456
136.000000	92.0	-11.6255
138.000000	92.0	-11.7564
140.000000	91.9	-11.8411
143.000000	91.8	-11.9145
145.000000	91.8	-11.9519
147.500000	91.7	-12.0002
150.000000	91.7	-12.0386
152.500000	91.6	-12.0443
155.000000	91.5	-12.0016
157.500000	91.5	-11.9315
160.000000	91.4	-11.8794
162.500000	91.4	-11.8604
165.000000	91.3	-11.8575
167.500000	91.3	-11.8459
170.000000	91.2	-11.8047
172.500000	91.1	-11.7349
175.000000	91.1	-11.6576
177.500000	91.0	-11.5906
