* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 13, 2021 12:41:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Titan Tanya
* Measurement: edx L Nov 13
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.8	35.8508
20.299999	94.8	35.1324
20.600000	94.8	34.4237
20.900000	94.9	33.7309
21.200001	94.9	33.0590
21.400000	94.9	32.6234
21.799999	94.9	31.7772
22.000000	94.9	31.3632
22.400000	94.9	30.5451
22.700001	95.0	29.9373
23.000000	95.0	29.3364
23.299999	95.0	28.7480
23.600000	95.0	28.1766
24.000000	95.0	27.4440
24.299999	95.0	26.9122
24.700001	95.0	26.2158
25.000000	95.0	25.6952
25.400000	95.0	24.9996
25.799999	95.1	24.3090
26.200001	95.1	23.6348
26.500000	95.1	23.1447
26.900000	95.1	22.5112
27.200001	95.1	22.0461
27.600000	95.1	21.4312
28.000000	95.1	20.8170
28.500000	95.1	20.0546
29.000000	95.1	19.3145
29.500000	95.1	18.6089
30.000000	95.1	17.9338
30.400000	95.1	17.4052
30.700001	95.1	17.0106
31.100000	95.1	16.4865
31.500000	95.1	15.9691
32.000000	95.1	15.3428
32.500000	95.1	14.7451
33.000000	95.0	14.1680
33.500000	95.0	13.5984
34.000000	95.0	13.0328
34.500000	95.0	12.4802
35.000000	95.0	11.9502
35.500000	95.0	11.4418
36.000000	95.0	10.9473
36.500000	95.0	10.4622
37.000000	95.0	9.9865
37.500000	95.0	9.5176
38.200001	94.9	8.8527
38.700001	94.9	8.3635
39.500000	94.9	7.5898
40.000000	94.9	7.1356
40.599998	94.9	6.6115
41.200001	94.9	6.0797
41.799999	94.8	5.5416
42.500000	94.8	4.9530
43.099998	94.8	4.4963
43.700001	94.8	4.0450
44.400002	94.8	3.4935
45.000000	94.8	3.0225
45.500000	94.7	2.6470
46.200001	94.7	2.1241
46.799999	94.7	1.6595
47.500000	94.7	1.1500
48.200001	94.6	0.7515
48.700001	94.6	0.5311
49.400002	94.5	0.2438
50.000000	94.5	-0.0392
50.799999	94.5	-0.5015
51.500000	94.4	-0.9534
52.200001	94.4	-1.3663
53.000000	94.3	-1.7051
53.799999	94.2	-1.9200
54.500000	94.2	-2.0728
55.200001	94.2	-2.2338
56.000000	94.2	-2.4647
57.000000	94.2	-2.8749
58.000000	94.2	-3.3768
59.000000	94.2	-3.8529
60.000000	94.2	-4.2780
60.799999	94.1	-4.6320
61.500000	94.1	-4.9775
62.200001	94.1	-5.3579
63.000000	94.1	-5.8151
64.000000	94.1	-6.3414
65.000000	94.1	-6.7491
66.000000	94.0	-7.0673
67.000000	94.0	-7.3495
68.000000	94.0	-7.6598
69.000000	93.9	-8.0311
70.000000	93.9	-8.4565
71.000000	93.8	-8.8982
72.000000	93.7	-9.2766
73.000000	93.6	-9.6169
74.000000	93.6	-9.9871
75.000000	93.5	-10.3492
76.199997	93.5	-10.7206
77.500000	93.5	-11.0541
78.800003	93.4	-11.2969
80.000000	93.4	-11.5286
81.199997	93.4	-11.8793
82.500000	93.3	-12.3662
83.800003	93.3	-12.8931
85.000000	93.2	-13.3591
86.199997	93.2	-13.7360
87.500000	93.1	-14.0312
88.500000	93.0	-14.1798
90.000000	92.9	-14.2594
91.199997	92.9	-14.2607
92.500000	92.8	-14.3341
93.800003	92.8	-14.5828
95.000000	92.8	-14.9032
96.199997	92.7	-15.1826
97.500000	92.7	-15.3823
98.800003	92.6	-15.4893
100.000000	92.6	-15.5520
101.500000	92.5	-15.6377
103.000000	92.5	-15.7680
104.400002	92.4	-15.9118
106.000000	92.3	-15.9636
107.500000	92.3	-15.8995
109.000000	92.2	-15.9374
110.599998	92.1	-16.2540
112.000000	92.1	-16.7706
113.800003	92.0	-17.5874
115.000000	92.0	-18.0057
117.199997	92.0	-17.8787
118.000000	92.0	-17.5366
120.599998	92.1	-16.5507
122.000000	92.0	-16.4658
124.099998	91.9	-16.7131
125.000000	91.8	-16.8884
126.500000	91.7	-17.1814
128.000000	91.7	-17.3820
131.500000	91.6	-17.5209
132.000000	91.6	-17.5436
134.000000	91.5	-17.6943
136.000000	91.5	-17.8879
138.000000	91.4	-18.0323
140.000000	91.3	-18.1055
143.000000	91.3	-18.1425
145.000000	91.2	-18.1431
147.500000	91.1	-18.1151
150.000000	91.0	-18.0567
152.500000	91.0	-17.9940
155.000000	90.9	-17.9418
157.500000	90.8	-17.8985
160.000000	90.8	-17.8724
162.500000	90.7	-17.8704
165.000000	90.7	-17.8675
167.500000	90.6	-17.8512
170.000000	90.6	-17.8101
172.500000	90.5	-17.7249
175.000000	90.4	-17.6105
177.500000	90.4	-17.5050
180.000000	90.3	-17.4354
182.500000	90.3	-17.4044
185.000000	90.2	-17.3882
187.500000	90.2	-17.3655
190.000000	90.1	-17.3331
192.500000	90.1	-17.2888
195.000000	90.1	-17.2263
197.500000	90.0	-17.1412
200.000000	90.0	-17.0325
203.000000	89.9	-16.8833
206.000000	89.9	-16.7428
209.000000	89.8	-16.6335
212.000000	89.8	-16.5504
214.000000	89.7	-16.4930
218.000000	89.7	-16.3203
220.000000	89.6	-16.2034
224.000000	89.6	-15.9597
227.000000	89.5	-15.7977
230.000000	89.5	-15.6510
233.000000	89.4	-15.5071
236.000000	89.4	-15.3643
240.000000	89.4	-15.1865
243.000000	89.3	-15.0590
247.000000	89.3	-14.8722
250.000000	89.2	-14.6996
254.000000	89.2	-14.4148
258.000000	89.1	-14.1109
262.000000	89.1	-13.8618
265.000000	89.1	-13.7149
269.000000	89.0	-13.5272
272.000000	89.0	-13.3682
276.000000	88.9	-13.1241
280.000000	88.9	-12.8533
285.000000	88.9	-12.5254
290.000000	88.9	-12.2834
295.000000	88.8	-12.1346
300.000000	88.8	-11.9933
304.000000	88.8	-11.8484
307.000000	88.7	-11.7245
311.000000	88.7	-11.5516
315.000000	88.7	-11.3759
320.000000	88.6	-11.1374
325.000000	88.6	-10.8630
330.000000	88.5	-10.5706
335.000000	88.5	-10.2858
340.000000	88.5	-10.0214
345.000000	88.4	-9.7703
350.000000	88.4	-9.5164
355.000000	88.4	-9.2538
360.000000	88.3	-8.9863
365.000000	88.3	-8.7176
370.000000	88.3	-8.4478
375.000000	88.2	-8.1761
382.000000	88.2	-7.7930
387.000000	88.2	-7.5177
395.000000	88.1	-7.0760
400.000000	88.1	-6.8027
406.000000	88.1	-6.4848
412.000000	88.0	-6.1785
418.000000	88.0	-5.8652
425.000000	88.0	-5.4661
431.000000	87.9	-5.1035
437.000000	87.9	-4.7480
444.000000	87.9	-4.3615
450.000000	87.9	-4.0714
455.000000	87.9	-3.8754
462.000000	87.9	-3.6545
468.000000	87.9	-3.4592
