* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 27, 2021 1:37:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Etynmotic ER4XR
* Measurement: Jun 27 13:37:43
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	65.359	27.854
20.586	65.393	27.535
20.885	65.422	27.241
21.189	65.420	26.950
21.497	65.416	26.668
21.810	65.425	26.389
22.127	65.434	26.107
22.449	65.436	25.810
22.776	65.443	25.488
23.107	65.458	25.134
23.443	65.468	24.747
23.784	65.478	24.330
24.130	65.493	23.895
24.481	65.509	23.456
24.837	65.521	23.028
25.198	65.521	22.618
25.565	65.532	22.224
25.937	65.555	21.836
26.314	65.577	21.445
26.697	65.605	21.051
27.085	65.621	20.670
27.479	65.620	20.318
27.879	65.631	20.006
28.284	65.633	19.727
28.696	65.644	19.461
29.113	65.669	19.186
29.537	65.682	18.887
29.966	65.690	18.565
30.402	65.689	18.232
30.844	65.690	17.904
31.293	65.702	17.589
31.748	65.711	17.280
32.210	65.719	16.953
32.678	65.708	16.589
33.154	65.712	16.187
33.636	65.724	15.775
34.125	65.727	15.383
34.621	65.734	15.024
35.125	65.746	14.682
35.636	65.761	14.340
36.154	65.785	13.999
36.680	65.810	13.679
37.214	65.830	13.395
37.755	65.838	13.131
38.304	65.836	12.859
38.861	65.834	12.570
39.427	65.805	12.287
40.000	65.774	12.030
40.582	65.779	11.778
41.172	65.785	11.491
41.771	65.780	11.171
42.379	65.775	10.852
42.995	65.784	10.545
43.620	65.799	10.239
44.255	65.805	9.940
44.898	65.805	9.661
45.552	65.805	9.385
46.214	65.811	9.097
46.886	65.812	8.817
47.568	65.804	8.557
48.260	65.796	8.302
48.962	65.774	8.043
49.674	65.745	7.773
50.397	65.737	7.495
51.130	65.740	7.234
51.874	65.749	6.987
52.628	65.751	6.741
53.394	65.733	6.522
54.170	65.728	6.320
54.958	65.740	6.098
55.758	65.748	5.872
56.569	65.755	5.625
57.391	65.754	5.351
58.226	65.742	5.107
59.073	65.734	4.828
59.932	65.724	4.525
60.804	65.706	4.309
61.688	65.695	4.059
62.586	65.686	3.762
63.496	65.685	3.540
64.420	65.689	3.302
65.357	65.676	3.053
66.307	65.658	2.844
67.272	65.652	2.631
68.250	65.647	2.420
69.243	65.635	2.221
70.250	65.619	2.037
71.272	65.600	1.842
72.309	65.578	1.602
73.360	65.559	1.390
