* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 22, 2021 1:53:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Fearless Roland R
* Measurement: ZEX Pro R Dec 22
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.3	4.0053
20.299999	106.3	3.5364
20.600000	106.3	3.0795
20.900000	106.2	2.6345
21.200001	106.2	2.2014
21.400000	106.2	1.9194
21.799999	106.1	1.3715
22.000000	106.1	1.1056
22.400000	106.1	0.5894
22.700001	106.1	0.2157
23.000000	106.0	-0.1470
23.299999	106.0	-0.4991
23.600000	106.0	-0.8409
24.000000	105.9	-1.2805
24.299999	105.9	-1.5983
24.700001	105.8	-2.0058
25.000000	105.8	-2.2999
25.400000	105.8	-2.6782
25.799999	105.7	-3.0424
26.200001	105.7	-3.3938
26.500000	105.7	-3.6489
26.900000	105.6	-3.9776
27.200001	105.6	-4.2152
27.600000	105.5	-4.5211
28.000000	105.5	-4.8162
28.500000	105.4	-5.1716
29.000000	105.4	-5.5121
29.500000	105.3	-5.8356
30.000000	105.3	-6.1428
30.400000	105.3	-6.3793
30.700001	105.2	-6.5526
31.100000	105.2	-6.7793
31.500000	105.2	-6.9998
32.000000	105.1	-7.2638
32.500000	105.1	-7.5128
33.000000	105.0	-7.7479
33.500000	105.0	-7.9725
34.000000	104.9	-8.1882
34.500000	104.9	-8.3944
35.000000	104.8	-8.5902
35.500000	104.8	-8.7753
36.000000	104.7	-8.9501
36.500000	104.7	-9.1136
37.000000	104.7	-9.2645
37.500000	104.6	-9.4021
38.200001	104.6	-9.5748
38.700001	104.5	-9.6863
39.500000	104.5	-9.8480
40.000000	104.4	-9.9403
40.599998	104.4	-10.0455
41.200001	104.3	-10.1477
41.799999	104.3	-10.2470
42.500000	104.2	-10.3555
43.099998	104.2	-10.4402
43.700001	104.2	-10.5192
44.400002	104.1	-10.6061
45.000000	104.1	-10.6743
45.500000	104.0	-10.7253
46.200001	104.0	-10.7886
46.799999	104.0	-10.8374
47.500000	103.9	-10.8875
48.200001	103.9	-10.9289
48.700001	103.8	-10.9545
49.400002	103.8	-10.9877
50.000000	103.8	-11.0125
50.799999	103.7	-11.0361
51.500000	103.7	-11.0490
52.200001	103.7	-11.0574
53.000000	103.6	-11.0600
53.799999	103.6	-11.0507
54.500000	103.6	-11.0322
55.200001	103.5	-11.0075
56.000000	103.5	-10.9799
57.000000	103.5	-10.9617
58.000000	103.4	-10.9668
59.000000	103.4	-10.9865
60.000000	103.4	-11.0062
60.799999	103.3	-11.0127
61.500000	103.3	-11.0098
62.200001	103.3	-11.0026
63.000000	103.3	-10.9949
64.000000	103.2	-10.9801
65.000000	103.2	-10.9362
66.000000	103.1	-10.8684
67.000000	103.1	-10.8093
68.000000	103.1	-10.7640
69.000000	103.0	-10.7118
70.000000	103.0	-10.6343
71.000000	103.0	-10.5270
72.000000	103.0	-10.4077
73.000000	102.9	-10.2964
74.000000	102.9	-10.1979
75.000000	102.9	-10.1080
76.199997	102.9	-10.0167
77.500000	102.9	-9.9465
78.800003	102.8	-9.8900
80.000000	102.8	-9.8408
81.199997	102.8	-9.8366
82.500000	102.8	-9.9078
83.800003	102.8	-9.9966
85.000000	102.8	-10.0406
86.199997	102.7	-10.0352
87.500000	102.7	-9.9807
88.500000	102.7	-9.9131
90.000000	102.6	-9.7832
91.199997	102.6	-9.6604
92.500000	102.6	-9.5143
93.800003	102.6	-9.3605
95.000000	102.6	-9.2169
96.199997	102.5	-9.0834
97.500000	102.5	-8.9661
98.800003	102.5	-8.8806
100.000000	102.5	-8.8214
101.500000	102.5	-8.7562
103.000000	102.5	-8.6859
104.400002	102.5	-8.6143
106.000000	102.5	-8.5468
107.500000	102.5	-8.5309
109.000000	102.5	-8.5769
110.599998	102.5	-8.6700
112.000000	102.5	-8.7311
113.800003	102.5	-8.6661
115.000000	102.5	-8.4871
117.199997	102.4	-7.8632
118.000000	102.3	-7.5774
120.599998	102.3	-7.0848
122.000000	102.3	-7.3467
124.099998	102.3	-7.9681
125.000000	102.3	-8.1632
126.500000	102.3	-8.3337
128.000000	102.3	-8.3582
131.500000	102.3	-8.3035
132.000000	102.3	-8.3065
134.000000	102.3	-8.3319
136.000000	102.3	-8.3361
138.000000	102.3	-8.2977
140.000000	102.3	-8.2461
143.000000	102.3	-8.2102
145.000000	102.3	-8.2175
147.500000	102.3	-8.2487
150.000000	102.2	-8.2877
152.500000	102.2	-8.2964
155.000000	102.2	-8.2480
157.500000	102.2	-8.1703
160.000000	102.1	-8.1146
162.500000	102.1	-8.0974
165.000000	102.1	-8.1004
167.500000	102.1	-8.0954
170.000000	102.1	-8.0594
172.500000	102.0	-7.9897
175.000000	102.0	-7.9065
177.500000	102.0	-7.8315
180.000000	102.0	-7.7732
182.500000	102.0	-7.7281
185.000000	102.0	-7.6866
187.500000	101.9	-7.6393
190.000000	101.9	-7.5875
192.500000	101.9	-7.5464
195.000000	101.9	-7.5280
197.500000	101.9	-7.5168
200.000000	101.9	-7.4891
203.000000	101.9	-7.4286
206.000000	101.9	-7.3673
209.000000	101.9	-7.3372
212.000000	101.8	-7.3345
214.000000	101.8	-7.3297
218.000000	101.8	-7.2654
220.000000	101.8	-7.2050
224.000000	101.8	-7.0750
227.000000	101.7	-6.9995
230.000000	101.7	-6.9438
233.000000	101.7	-6.8981
236.000000	101.7	-6.8588
240.000000	101.7	-6.8196
243.000000	101.7	-6.7962
247.000000	101.6	-6.7504
250.000000	101.6	-6.6870
254.000000	101.6	-6.5540
258.000000	101.6	-6.4017
262.000000	101.6	-6.2971
265.000000	101.6	-6.2573
269.000000	101.6	-6.2137
272.000000	101.5	-6.1615
276.000000	101.5	-6.0594
280.000000	101.5	-5.9370
285.000000	101.5	-5.7979
290.000000	101.5	-5.7422
295.000000	101.5	-5.7818
300.000000	101.5	-5.8272
304.000000	101.5	-5.8284
307.000000	101.5	-5.8129
311.000000	101.5	-5.7841
315.000000	101.4	-5.7526
320.000000	101.4	-5.6937
325.000000	101.4	-5.5967
330.000000	101.4	-5.4800
335.000000	101.3	-5.3721
340.000000	101.3	-5.2854
345.000000	101.3	-5.2100
350.000000	101.3	-5.1276
355.000000	101.2	-5.0341
360.000000	101.2	-4.9337
365.000000	101.2	-4.8291
370.000000	101.2	-4.7195
375.000000	101.1	-4.6050
382.000000	101.1	-4.4395
387.000000	101.1	-4.3187
395.000000	101.1	-4.1191
400.000000	101.0	-3.9912
406.000000	101.0	-3.8424
412.000000	101.0	-3.7015
418.000000	101.0	-3.5515
425.000000	100.9	-3.3409
431.000000	100.9	-3.1381
437.000000	100.9	-2.9415
444.000000	100.9	-2.7379
450.000000	100.9	-2.6006
455.000000	100.9	-2.5284
462.000000	100.8	-2.4767
468.000000	100.8	-2.4230
475.000000	100.8	-2.3085
482.000000	100.7	-2.1587
487.000000	100.7	-2.0454
494.000000	100.7	-1.8638
500.000000	100.7	-1.6742
508.000000	100.6	-1.4064
515.000000	100.6	-1.1882
522.000000	100.6	-0.9746
530.000000	100.5	-0.7057
538.000000	100.5	-0.4102
545.000000	100.5	-0.1461
552.000000	100.4	0.1196
560.000000	100.4	0.4160
570.000000	100.4	0.7667
580.000000	100.4	1.1224
590.000000	100.3	1.5017
600.000000	100.3	1.9148
608.000000	100.3	2.2572
615.000000	100.3	2.5553
622.000000	100.2	2.8629
630.000000	100.2	3.2471
640.000000	100.2	3.7708
650.000000	100.2	4.3145
660.000000	100.2	4.8447
670.000000	100.2	5.2896
680.000000	100.2	5.6366
690.000000	100.2	5.9545
700.000000	100.2	6.3033
710.000000	100.2	6.6946
720.000000	100.2	7.1040
730.000000	100.2	7.5157
740.000000	100.2	7.9297
750.000000	100.2	8.3472
762.000000	100.2	8.8505
775.000000	100.2	9.3894
788.000000	100.2	9.9143
800.000000	100.2	10.4012
812.000000	100.2	10.8990
825.000000	100.2	11.4145
838.000000	100.2	11.8792
850.000000	100.2	12.3180
862.000000	100.2	12.8323
875.000000	100.2	13.4897
885.000000	100.2	14.0446
900.000000	100.2	14.8937
912.000000	100.2	15.5621
925.000000	100.3	16.2573
938.000000	100.3	16.8993
950.000000	100.4	17.4344
962.000000	100.4	17.9247
975.000000	100.5	18.4236
988.000000	100.6	18.9003
1000.000000	100.6	19.3306
1015.000000	100.7	19.8736
1030.000000	100.8	20.4045
1044.000000	100.9	20.8297
1060.000000	101.0	21.1776
1075.000000	101.1	21.4039
1090.000000	101.2	21.5908
1106.000000	101.2	21.7706
1120.000000	101.3	21.9169
1138.000000	101.4	22.0992
1150.000000	101.5	22.2224
1172.000000	101.5	22.4635
1180.000000	101.6	22.5570
1206.000000	101.7	22.8143
1220.000000	101.8	22.8694
1241.000000	101.9	22.8585
1250.000000	101.9	22.8429
1265.000000	102.0	22.8247
1280.000000	102.0	22.8251
1315.000000	102.2	22.9011
1320.000000	102.2	22.9162
1340.000000	102.2	22.9805
1360.000000	102.3	23.0679
1380.000000	102.4	23.2112
1400.000000	102.4	23.4326
1430.000000	102.6	23.8098
1450.000000	102.7	23.9942
1475.000000	102.8	24.1573
1500.000000	102.9	24.3061
1525.000000	103.0	24.4991
1550.000000	103.1	24.7623
1575.000000	103.2	25.0497
1600.000000	103.3	25.2354
1625.000000	103.4	25.2619
1650.000000	103.5	25.1940
1675.000000	103.5	25.1016
1700.000000	103.6	25.0060
1725.000000	103.7	24.9011
1750.000000	103.7	24.8033
1775.000000	103.8	24.7478
1800.000000	103.9	24.7217
1825.000000	104.0	24.6487
1850.000000	104.0	24.4855
1875.000000	104.1	24.2477
1900.000000	104.2	23.9727
1925.000000	104.3	23.6976
1950.000000	104.4	23.4369
1975.000000	104.5	23.1581
2000.000000	104.6	22.8189
2030.000000	104.8	22.3339
2060.000000	105.0	21.7972
2090.000000	105.1	21.2019
2120.000000	105.3	20.5044
2140.000000	105.4	19.9744
2180.000000	105.5	18.7688
2200.000000	105.6	18.0835
2240.000000	105.7	16.5362
2270.000000	105.8	15.2797
2300.000000	105.8	14.0332
2330.000000	105.9	12.8621
2360.000000	105.9	11.7654
2400.000000	105.8	10.3497
2430.000000	105.8	9.3096
2470.000000	105.8	7.9823
2500.000000	105.7	7.0587
2540.000000	105.6	5.9941
2580.000000	105.5	5.1783
2620.000000	105.4	4.5698
2650.000000	105.3	4.2218
2690.000000	105.2	3.9169
2720.000000	105.1	3.8211
2760.000000	105.0	3.8261
2800.000000	105.0	3.8863
2850.000000	105.0	3.9255
2900.000000	105.0	3.8622
