* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 21, 2021 7:24:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Final_E_AutoEQ
* Measurement: Final_E_AutoEQ
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	64.625	-102.861
20.586	64.662	-103.319
20.885	64.758	-104.343
21.189	64.866	-105.556
21.497	64.980	-106.862
21.810	65.092	-108.210
22.127	65.202	-109.585
22.449	65.308	-110.989
22.776	65.410	-112.424
23.107	65.508	-113.887
23.443	65.601	-115.369
23.784	65.692	-116.862
24.130	65.779	-118.366
24.481	65.862	-119.878
24.837	65.939	-121.398
25.198	66.012	-122.919
25.565	66.078	-124.435
25.937	66.139	-125.941
26.314	66.194	-127.436
26.697	66.241	-128.917
27.085	66.279	-130.378
27.479	66.308	-131.812
27.879	66.329	-133.214
28.284	66.344	-134.589
28.696	66.356	-135.950
29.113	66.364	-137.307
29.537	66.365	-138.661
29.966	66.361	-140.007
30.402	66.352	-141.339
30.844	66.341	-142.662
31.293	66.328	-143.985
31.748	66.312	-145.313
32.210	66.289	-146.639
32.678	66.262	-147.949
33.154	66.231	-149.232
33.636	66.200	-150.484
34.125	66.169	-151.705
34.621	66.139	-152.889
35.125	66.108	-154.033
35.636	66.079	-155.137
36.154	66.050	-156.212
36.680	66.016	-157.263
37.214	65.974	-158.281
37.755	65.921	-159.247
38.304	65.859	-160.151
38.861	65.792	-161.001
39.427	65.725	-161.818
40.000	65.660	-162.625
40.582	65.599	-163.436
41.172	65.540	-164.252
41.771	65.482	-165.066
42.379	65.425	-165.867
42.995	65.368	-166.646
43.620	65.312	-167.396
44.255	65.256	-168.114
44.898	65.199	-168.804
45.552	65.143	-169.472
46.214	65.086	-170.127
46.886	65.027	-170.776
47.568	64.964	-171.417
48.260	64.895	-172.041
48.962	64.824	-172.641
49.674	64.753	-173.216
50.397	64.686	-173.771
51.130	64.625	-174.311
51.874	64.568	-174.843
52.628	64.512	-175.370
53.394	64.457	-175.885
54.170	64.403	-176.382
54.958	64.351	-176.862
55.758	64.303	-177.333
56.569	64.256	-177.807
57.391	64.208	-178.286
58.226	64.155	-178.769
59.073	64.099	-179.250
59.932	64.037	-179.728
60.804	63.971	179.809
61.688	63.902	179.371
62.586	63.834	178.963
63.496	63.769	178.578
64.420	63.708	178.204
65.357	63.649	177.832
66.307	63.591	177.456
67.272	63.533	177.080
68.250	63.474	176.713
69.243	63.411	176.366
70.250	63.348	176.048
71.272	63.286	175.758
72.309	63.229	175.478
73.360	63.179	175.190
74.427	63.131	174.881
75.510	63.082	174.558
76.608	63.028	174.239
77.723	62.971	173.935
78.853	62.914	173.644
80.000	62.858	173.352
81.164	62.803	173.052
82.344	62.746	172.742
83.542	62.686	172.432
84.757	62.621	172.133
85.990	62.552	171.855
87.241	62.480	171.605
88.510	62.406	171.386
89.797	62.335	171.203
91.103	62.266	171.052
92.428	62.201	170.925
93.773	62.138	170.811
95.137	62.073	170.700
96.520	62.008	170.580
97.924	61.941	170.442
99.349	61.874	170.283
100.794	61.807	170.117
102.260	61.740	169.968
103.747	61.676	169.851
105.256	61.614	169.761
106.787	61.554	169.680
108.340	61.493	169.593
109.916	61.428	169.502
111.515	61.356	169.420
113.137	61.278	169.348
114.783	61.195	169.281
116.452	61.110	169.218
118.146	61.028	169.187
119.865	60.954	169.220
121.608	60.893	169.323
123.377	60.841	169.461
125.171	60.791	169.588
126.992	60.737	169.677
128.839	60.677	169.730
130.713	60.614	169.772
132.615	60.551	169.832
134.543	60.488	169.927
136.500	60.424	170.058
138.486	60.358	170.215
140.500	60.292	170.385
142.544	60.229	170.553
144.617	60.170	170.710
146.721	60.115	170.862
148.855	60.061	171.024
151.020	60.008	171.219
153.217	59.955	171.452
155.445	59.904	171.715
157.706	59.857	171.992
160.000	59.815	172.263
162.327	59.774	172.515
164.688	59.727	172.751
167.084	59.667	172.990
169.514	59.594	173.249
171.980	59.513	173.534
174.481	59.431	173.841
177.019	59.357	174.160
179.594	59.299	174.486
182.206	59.259	174.816
184.856	59.235	175.151
187.545	59.220	175.488
190.273	59.207	175.822
193.041	59.191	176.150
195.849	59.171	176.477
198.697	59.148	176.809
201.587	59.121	177.152
204.520	59.095	177.499
207.494	59.067	177.841
210.512	59.037	178.180
213.574	59.004	178.536
216.681	58.970	178.930
219.833	58.942	179.365
223.030	58.921	179.815
226.274	58.909	-179.752
229.565	58.902	-179.353
232.905	58.896	-178.981
236.292	58.888	-178.624
239.729	58.878	-178.272
243.216	58.865	-177.917
246.754	58.852	-177.549
250.343	58.840	-177.161
253.984	58.833	-176.750
257.678	58.831	-176.334
261.426	58.832	-175.938
265.229	58.833	-175.576
269.087	58.832	-175.235
273.001	58.829	-174.900
276.972	58.825	-174.563
281.000	58.825	-174.226
285.088	58.828	-173.904
289.234	58.833	-173.618
293.441	58.834	-173.371
297.710	58.829	-173.144
302.040	58.817	-172.903
306.433	58.797	-172.621
310.890	58.771	-172.275
