* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Aug 12, 2021 10:24:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: GK10 right
* Measurement: GK10 Right
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	72.182	64.553
20.586	72.215	64.183
20.885	72.286	63.499
21.189	72.356	62.820
21.497	72.424	62.139
21.810	72.491	61.387
22.127	72.549	60.535
22.449	72.587	59.626
22.776	72.599	58.780
23.107	72.593	58.150
23.443	72.594	57.847
23.784	72.641	57.822
24.130	72.758	57.858
24.481	72.934	57.666
24.837	73.130	57.066
25.198	73.301	56.103
25.565	73.420	55.018
25.937	73.495	54.085
26.314	73.561	53.423
26.697	73.647	52.921
27.085	73.754	52.350
27.479	73.853	51.575
27.879	73.911	50.687
28.284	73.922	49.935
28.696	73.915	49.504
29.113	73.935	49.338
29.537	74.001	49.177
29.966	74.095	48.790
30.402	74.186	48.139
30.844	74.259	47.337
31.293	74.317	46.479
31.748	74.365	45.577
32.210	74.396	44.658
32.678	74.410	43.843
33.154	74.426	43.244
33.636	74.477	42.782
34.125	74.561	42.206
34.621	74.640	41.398
35.125	74.676	40.568
35.636	74.684	40.058
36.154	74.721	39.917
36.680	74.822	39.795
37.214	74.957	39.333
37.755	75.070	38.505
38.304	75.137	37.546
38.861	75.173	36.641
39.427	75.194	35.810
40.000	75.205	35.034
40.582	75.210	34.340
41.172	75.222	33.731
41.771	75.248	33.148
42.379	75.284	32.513
42.995	75.315	31.810
43.620	75.328	31.138
44.255	75.335	30.647
44.898	75.373	30.291
45.552	75.446	29.757
46.214	75.501	28.875
46.886	75.494	27.954
47.568	75.462	27.391
48.260	75.473	27.057
48.962	75.523	26.567
49.674	75.572	25.865
50.397	75.608	25.108
51.130	75.635	24.337
51.874	75.645	23.617
52.628	75.650	23.075
53.394	75.671	22.657
54.170	75.704	22.241
54.958	75.742	21.819
55.758	75.789	21.323
56.569	75.825	20.686
57.391	75.835	20.053
58.226	75.847	19.567
59.073	75.891	19.056
59.932	75.943	18.280
60.804	75.958	17.366
61.688	75.948	16.637
62.586	75.954	16.071
63.496	75.972	15.430
64.420	75.969	14.784
65.357	75.961	14.347
66.307	75.987	13.993
67.272	76.031	13.412
68.250	76.041	12.661
69.243	76.019	12.073
70.250	76.007	11.665
71.272	76.007	11.282
72.309	76.026	10.951
73.360	76.076	10.417
74.427	76.101	9.604
75.510	76.097	8.841
76.608	76.089	8.151
77.723	76.075	7.551
78.853	76.070	7.049
80.000	76.080	6.540
81.164	76.095	5.910
82.344	76.094	5.139
83.542	76.072	4.388
84.757	76.053	3.709
85.990	76.034	2.984
87.241	75.998	2.337
88.510	75.970	1.883
89.797	75.967	1.437
91.103	75.972	0.873
92.428	75.970	0.244
93.773	75.961	-0.356
95.137	75.949	-0.889
96.520	75.944	-1.365
97.924	75.943	-1.910
99.349	75.927	-2.509
100.794	75.904	-3.012
102.260	75.883	-3.417
103.747	75.861	-3.729
105.256	75.841	-4.059
106.787	75.833	-4.487
108.340	75.861	-5.251
109.916	75.884	-6.295
111.515	75.874	-7.191
113.137	75.801	-7.654
114.783	75.683	-7.864
116.452	75.537	-8.854
118.146	75.258	-10.822
119.865	74.927	-11.299
121.608	75.027	-10.419
123.377	75.327	-10.702
125.171	75.489	-11.046
126.992	75.524	-11.114
128.839	75.497	-11.427
130.713	75.460	-12.107
132.615	75.441	-12.791
134.543	75.428	-13.312
136.500	75.389	-13.741
138.486	75.337	-14.157
140.500	75.297	-14.590
142.544	75.252	-14.967
144.617	75.196	-15.197
146.721	75.160	-15.529
148.855	75.135	-15.990
151.020	75.121	-16.469
153.217	75.061	-17.079
155.445	74.964	-17.719
157.706	74.890	-18.397
160.000	74.848	-18.914
162.327	74.820	-19.213
164.688	74.788	-19.682
167.084	74.733	-20.422
169.514	74.667	-21.109
171.980	74.587	-21.453
174.481	74.490	-21.565
177.019	74.364	-21.756
179.594	74.230	-22.162
182.206	74.145	-22.555
184.856	74.142	-22.595
187.545	74.132	-22.201
190.273	74.077	-21.801
193.041	74.029	-22.073
195.849	74.031	-22.727
198.697	74.058	-23.243
201.587	74.060	-23.622
204.520	74.059	-24.018
207.494	74.066	-24.492
210.512	74.042	-25.077
213.574	73.987	-25.748
216.681	73.927	-26.354
219.833	73.858	-26.762
223.030	73.782	-27.064
226.274	73.721	-27.435
229.565	73.667	-27.885
232.905	73.605	-28.307
236.292	73.541	-28.686
239.729	73.479	-29.052
243.216	73.407	-29.476
246.754	73.317	-29.964
250.343	73.226	-30.322
253.984	73.146	-30.504
257.678	73.077	-30.618
261.426	73.021	-30.862
265.229	72.954	-31.234
269.087	72.882	-31.568
273.001	72.815	-31.814
276.972	72.749	-32.042
281.000	72.681	-32.272
285.088	72.623	-32.467
289.234	72.580	-32.737
293.441	72.530	-33.166
297.710	72.455	-33.615
302.040	72.369	-33.938
306.433	72.282	-34.171
310.890	72.197	-34.429
315.412	72.113	-34.748
320.000	72.024	-35.022
324.655	71.939	-35.201
329.377	71.855	-35.346
334.168	71.766	-35.497
339.028	71.680	-35.678
343.959	71.595	-35.877
348.962	71.505	-36.058
354.038	71.414	-36.209
359.188	71.323	-36.328
364.412	71.231	-36.434
369.713	71.138	-36.530
375.090	71.046	-36.620
380.546	70.957	-36.704
386.081	70.869	-36.772
391.697	70.776	-36.829
397.395	70.682	-36.874
403.175	70.594	-36.916
409.039	70.506	-36.980
414.989	70.413	-37.033
421.025	70.316	-37.040
427.149	70.219	-36.977
433.362	70.130	-36.884
439.665	70.047	-36.826
446.060	69.968	-36.773
452.548	69.900	-36.745
459.131	69.830	-36.840
465.809	69.734	-36.968
472.584	69.626	-36.983
479.458	69.527	-36.907
486.432	69.432	-36.857
493.507	69.321	-36.824
500.686	69.209	-36.663
507.968	69.114	-36.475
515.357	69.024	-36.357
522.853	68.926	-36.243
530.458	68.823	-36.037
538.174	68.726	-35.775
546.002	68.629	-35.537
553.943	68.535	-35.273
562.001	68.450	-35.016
570.175	68.363	-34.781
578.469	68.271	-34.506
586.883	68.178	-34.210
595.419	68.081	-33.884
604.080	67.989	-33.500
612.866	67.904	-33.131
621.780	67.814	-32.771
630.824	67.721	-32.323
640.000	67.639	-31.805
649.309	67.562	-31.264
658.753	67.499	-30.668
668.335	67.455	-30.151
678.056	67.404	-29.784
687.919	67.337	-29.429
697.925	67.257	-29.007
708.076	67.178	-28.492
718.376	67.109	-27.931
728.825	67.041	-27.366
739.426	66.976	-26.783
750.181	66.913	-26.167
761.093	66.852	-25.510
772.163	66.794	-24.819
783.394	66.741	-24.126
794.789	66.691	-23.415
806.349	66.645	-22.621
818.078	66.619	-21.784
829.977	66.618	-21.026
842.050	66.614	-20.417
854.297	66.594	-19.817
866.724	66.566	-19.173
879.330	66.538	-18.472
892.120	66.520	-17.745
905.097	66.505	-17.014
918.262	66.497	-16.240
931.618	66.499	-15.439
945.169	66.509	-14.661
958.917	66.521	-13.927
972.864	66.533	-13.192
987.015	66.551	-12.432
1001.371	66.567	-11.654
1015.937	66.585	-10.769
1030.714	66.623	-9.781
1045.706	66.699	-8.817
1060.916	66.799	-8.049
1076.347	66.899	-7.461
1092.003	66.994	-6.977
1107.887	67.082	-6.569
1124.001	67.158	-6.206
1140.350	67.225	-5.859
1156.937	67.288	-5.506
1173.765	67.344	-5.127
1190.838	67.403	-4.672
1208.159	67.479	-4.236
1225.732	67.551	-3.945
1243.561	67.598	-3.676
1261.649	67.626	-3.294
1280.000	67.650	-2.766
1298.618	67.676	-2.039
1317.507	67.718	-1.109
1336.670	67.790	-0.014
1356.113	67.914	1.201
1375.838	68.106	2.381
1395.850	68.354	3.345
1416.153	68.640	3.954
1436.751	68.927	4.093
1457.649	69.172	3.906
1478.851	69.375	3.640
1500.362	69.546	3.398
1522.185	69.685	3.231
1544.326	69.796	3.152
1566.789	69.897	3.196
1589.578	70.019	3.259
1612.699	70.149	3.162
1636.156	70.266	2.948
1659.955	70.373	2.698
1684.099	70.474	2.448
1708.595	70.575	2.173
1733.447	70.663	1.840
1758.661	70.724	1.507
1784.241	70.766	1.328
1810.193	70.820	1.279
1836.523	70.877	1.204
1863.236	70.924	1.173
1890.338	70.968	1.313
1917.833	71.035	1.715
1945.729	71.174	2.394
1974.030	71.420	3.071
2002.743	71.740	3.266
2031.873	72.063	2.853
2061.428	72.343	2.024
2091.412	72.574	1.022
2121.832	72.763	-0.009
2152.695	72.919	-0.923
2184.007	73.076	-1.672
2215.774	73.248	-2.491
2248.003	73.414	-3.528
2280.701	73.550	-4.720
2313.874	73.646	-5.900
2347.530	73.722	-6.926
2381.676	73.797	-7.882
2416.318	73.858	-8.813
2451.464	73.907	-9.638
2487.122	73.955	-10.348
2523.298	74.006	-10.968
2560.000	74.070	-11.441
2597.236	74.166	-11.904
2635.014	74.275	-12.518
2673.341	74.379	-13.210
2712.226	74.487	-13.881
2751.676	74.620	-14.634
2791.700	74.759	-15.635
2832.306	74.883	-16.857
2873.503	74.982	-18.249
2915.299	75.043	-19.755
2957.703	75.069	-21.195
3000.724	75.082	-22.583
3044.370	75.077	-24.025
3088.652	75.036	-25.440
3133.577	74.973	-26.684
3179.156	74.903	-27.829
3225.398	74.820	-28.933
3272.312	74.715	-30.006
3319.909	74.575	-30.941
3368.198	74.418	-31.585
3417.190	74.265	-32.019
3466.894	74.109	-32.287
3517.321	73.953	-32.261
3568.482	73.825	-31.978
3620.387	73.729	-31.588
3673.046	73.649	-31.213
3726.472	73.566	-30.787
3780.675	73.493	-30.226
3835.666	73.427	-29.607
3891.457	73.354	-28.844
3948.060	73.298	-27.875
4005.486	73.280	-26.851
4063.747	73.282	-25.929
4122.855	73.275	-25.006
4182.824	73.270	-23.891
4243.664	73.285	-22.584
4305.390	73.329	-21.050
4368.013	73.432	-19.345
4431.547	73.602	-17.679
4496.005	73.827	-16.185
4561.401	74.111	-14.853
4627.749	74.457	-13.828
4695.061	74.853	-13.164
4763.352	75.315	-12.956
4832.637	75.834	-13.558
4902.929	76.351	-15.283
4974.244	76.798	-18.222
5046.596	77.086	-22.262
5120.000	77.148	-26.830
5194.472	76.986	-31.232
5270.027	76.629	-34.971
5346.682	76.127	-37.672
5424.451	75.542	-39.255
5503.352	74.913	-39.694
5583.399	74.295	-39.016
5664.612	73.741	-37.472
5747.006	73.271	-35.316
5830.598	72.887	-32.799
5915.406	72.567	-29.985
6001.447	72.316	-26.845
6088.740	72.149	-23.451
6177.303	72.073	-19.944
6267.154	72.075	-16.480
6358.312	72.140	-13.020
6450.796	72.280	-9.544
6544.625	72.510	-6.152
6639.818	72.828	-3.030
6736.397	73.220	-0.269
6834.380	73.685	2.074
6933.789	74.215	3.837
7034.643	74.775	4.770
7136.964	75.318	4.776
7240.773	75.804	3.914
7346.093	76.185	2.388
7452.944	76.441	0.743
7561.350	76.665	-0.435
7671.332	77.005	-1.561
7782.915	77.451	-4.007
7896.120	77.776	-8.710
8010.971	77.738	-14.903
8127.493	77.266	-20.672
8245.711	76.468	-24.567
8365.647	75.499	-26.143
8487.328	74.506	-25.522
8610.779	73.609	-23.179
8736.026	72.867	-19.726
8863.095	72.281	-15.501
8992.011	71.867	-10.731
9122.803	71.627	-5.818
9255.497	71.524	-0.973
9390.121	71.556	3.854
9526.704	71.750	8.451
9665.273	72.103	12.467
9805.857	72.612	15.624
9948.487	73.237	17.317
10093.191	73.835	16.991
10240.000	74.243	14.783
10388.944	74.330	11.525
10540.055	74.044	8.882
10693.363	73.535	8.480
10848.902	73.102	10.382
11006.703	72.968	13.193
11166.799	73.118	15.120
11329.224	73.328	15.217
11494.012	73.404	13.918
11661.195	73.286	12.128
11830.812	72.995	10.693
12002.895	72.634	10.037
12177.480	72.306	9.903
12354.606	72.070	9.649
12534.309	71.905	8.319
12716.624	71.670	5.317
12901.592	71.185	0.867
13089.250	70.304	-3.820
13279.637	69.012	-7.057
13472.794	67.415	-7.736
13668.760	65.681	-5.588
13867.577	63.974	-1.039
14069.285	62.397	5.383
14273.928	61.016	13.150
14481.547	59.866	21.860
14692.186	58.972	31.121
14905.889	58.353	40.618
15122.700	58.042	50.020
15342.664	58.110	58.958
15565.829	58.675	66.663
15792.239	59.772	71.446
16021.942	61.119	70.231
16254.986	62.018	60.242
16491.422	61.725	44.110
16731.295	59.976	30.780
