* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Oct 15, 2022 7:41:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: HZSOUND HMPro R
* Measurement: HZSOUND HMPro R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.991	38.0926
20.299999	94.032	37.3727
20.600000	94.071	36.6612
20.900000	94.108	35.9573
21.200001	94.142	35.2617
21.400000	94.164	34.8045
21.799999	94.204	33.9104
22.000000	94.222	33.4756
22.400000	94.256	32.6334
22.700001	94.281	32.0245
23.000000	94.306	31.4317
23.299999	94.330	30.8498
23.600000	94.354	30.2748
24.000000	94.385	29.5141
24.299999	94.407	28.9475
24.700001	94.433	28.2006
25.000000	94.450	27.6510
25.400000	94.470	26.9377
25.799999	94.489	26.2500
26.200001	94.506	25.5867
26.500000	94.520	25.1019
26.900000	94.538	24.4672
27.200001	94.552	23.9960
27.600000	94.570	23.3705
28.000000	94.588	22.7467
28.500000	94.608	21.9716
29.000000	94.625	21.2090
29.500000	94.639	20.4669
30.000000	94.651	19.7494
30.400000	94.659	19.1925
30.700001	94.666	18.7836
31.100000	94.673	18.2479
31.500000	94.681	17.7209
32.000000	94.689	17.0725
32.500000	94.695	16.4348
33.000000	94.700	15.8088
33.500000	94.703	15.1946
34.000000	94.705	14.5909
34.500000	94.706	13.9966
35.000000	94.705	13.4127
35.500000	94.702	12.8430
36.000000	94.699	12.2899
36.500000	94.695	11.7535
37.000000	94.690	11.2343
37.500000	94.686	10.7343
38.200001	94.680	10.0683
38.700001	94.677	9.6130
39.500000	94.673	8.9080
40.000000	94.669	8.4788
40.599998	94.663	7.9728
41.200001	94.653	7.4829
41.799999	94.636	7.0389
42.500000	94.617	6.6157
43.099998	94.612	6.3026
43.700001	94.621	5.9445
44.400002	94.635	5.3909
45.000000	94.637	4.8185
45.500000	94.629	4.3223
46.200001	94.606	3.6531
46.799999	94.582	3.1179
47.500000	94.555	2.5287
48.200001	94.530	1.9719
48.700001	94.513	1.5960
49.400002	94.496	1.0919
50.000000	94.487	0.6534
50.799999	94.476	0.0248
51.500000	94.458	-0.5380
52.200001	94.430	-1.0502
53.000000	94.397	-1.5495
53.799999	94.368	-2.0009
54.500000	94.345	-2.3919
55.200001	94.322	-2.7872
56.000000	94.295	-3.2437
57.000000	94.261	-3.8293
58.000000	94.226	-4.4369
59.000000	94.189	-5.0426
60.000000	94.152	-5.6135
60.799999	94.125	-6.0375
61.500000	94.104	-6.3903
62.200001	94.085	-6.7352
63.000000	94.060	-7.1220
64.000000	94.023	-7.5704
65.000000	93.981	-7.9517
66.000000	93.940	-8.3031
67.000000	93.896	-8.6975
68.000000	93.841	-9.1248
69.000000	93.775	-9.5193
70.000000	93.708	-9.8467
71.000000	93.653	-10.1130
72.000000	93.615	-10.3644
73.000000	93.591	-10.6312
74.000000	93.578	-10.9132
75.000000	93.573	-11.2138
76.199997	93.570	-11.6199
77.500000	93.561	-12.1185
78.800003	93.541	-12.6420
80.000000	93.516	-13.1473
81.199997	93.484	-13.6754
82.500000	93.441	-14.2537
83.800003	93.387	-14.8105
85.000000	93.330	-15.2876
86.199997	93.267	-15.7228
87.500000	93.196	-16.1436
88.500000	93.145	-16.4406
90.000000	93.077	-16.8708
91.199997	93.027	-17.2034
92.500000	92.973	-17.5406
93.800003	92.914	-17.8586
95.000000	92.853	-18.1462
96.199997	92.787	-18.4359
97.500000	92.716	-18.7599
98.800003	92.648	-19.0808
100.000000	92.587	-19.3209
101.500000	92.511	-19.4474
103.000000	92.433	-19.3639
104.400002	92.359	-19.2079
106.000000	92.276	-19.1149
107.500000	92.214	-19.2194
109.000000	92.178	-19.4918
110.599998	92.169	-19.8088
112.000000	92.177	-20.0532
113.800003	92.177	-20.4337
115.000000	92.156	-20.8114
117.199997	92.074	-21.7902
118.000000	92.036	-22.1521
120.599998	91.925	-22.4870
122.000000	91.906	-21.9605
124.099998	91.920	-20.8329
125.000000	91.928	-20.4778
126.500000	91.921	-20.3525
128.000000	91.867	-20.7950
131.500000	91.651	-22.0867
132.000000	91.628	-22.1896
134.000000	91.564	-22.4902
136.000000	91.523	-22.8821
138.000000	91.485	-23.4931
140.000000	91.440	-24.1559
143.000000	91.335	-24.7082
145.000000	91.243	-24.7032
147.500000	91.130	-24.6405
150.000000	91.032	-24.6896
152.500000	90.947	-24.8229
155.000000	90.855	-25.0409
157.500000	90.763	-25.2762
160.000000	90.694	-25.4227
162.500000	90.657	-25.4701
165.000000	90.622	-25.5134
167.500000	90.567	-25.5950
170.000000	90.494	-25.6957
172.500000	90.416	-25.7692
175.000000	90.344	-25.8104
177.500000	90.278	-25.8361
180.000000	90.220	-25.8472
182.500000	90.166	-25.8527
185.000000	90.109	-25.8760
187.500000	90.044	-25.9255
190.000000	89.975	-25.9873
192.500000	89.908	-26.0326
195.000000	89.846	-26.0297
197.500000	89.787	-25.9753
200.000000	89.727	-25.9139
203.000000	89.652	-25.8955
206.000000	89.577	-25.9260
209.000000	89.507	-25.9602
212.000000	89.438	-25.9688
214.000000	89.390	-25.9507
218.000000	89.293	-25.8558
220.000000	89.248	-25.7919
224.000000	89.164	-25.6659
227.000000	89.107	-25.5808
230.000000	89.051	-25.5015
233.000000	88.997	-25.4265
236.000000	88.942	-25.3574
240.000000	88.867	-25.2766
243.000000	88.809	-25.2178
247.000000	88.730	-25.1155
250.000000	88.669	-25.0012
254.000000	88.594	-24.7897
258.000000	88.530	-24.5527
262.000000	88.476	-24.3611
265.000000	88.435	-24.2534
269.000000	88.374	-24.1166
272.000000	88.326	-23.9936
276.000000	88.265	-23.7970
280.000000	88.211	-23.5813
285.000000	88.154	-23.3256
290.000000	88.107	-23.1471
295.000000	88.055	-23.0572
300.000000	87.989	-22.9689
304.000000	87.933	-22.8610
307.000000	87.891	-22.7634
311.000000	87.837	-22.6249
315.000000	87.783	-22.4823
320.000000	87.714	-22.2815
325.000000	87.647	-22.0405
330.000000	87.586	-21.7773
335.000000	87.530	-21.5198
340.000000	87.478	-21.2822
345.000000	87.425	-21.0560
350.000000	87.372	-20.8224
355.000000	87.319	-20.5753
360.000000	87.268	-20.3206
365.000000	87.218	-20.0656
370.000000	87.170	-19.8103
375.000000	87.123	-19.5509
382.000000	87.062	-19.1793
387.000000	87.020	-18.9094
395.000000	86.955	-18.4717
400.000000	86.917	-18.1990
406.000000	86.873	-17.8804
412.000000	86.830	-17.5721
418.000000	86.786	-17.2560
425.000000	86.736	-16.8535
431.000000	86.700	-16.4883
437.000000	86.670	-16.1302
444.000000	86.640	-15.7388
450.000000	86.619	-15.4410
455.000000	86.603	-15.2357
462.000000	86.573	-15.0004
468.000000	86.538	-14.7944
475.000000	86.493	-14.5093
482.000000	86.450	-14.1943
487.000000	86.420	-13.9652
494.000000	86.376	-13.6244
500.000000	86.341	-13.3018
508.000000	86.300	-12.8610
515.000000	86.268	-12.4950
522.000000	86.235	-12.1368
530.000000	86.196	-11.7072
538.000000	86.161	-11.2544
545.000000	86.135	-10.8552
552.000000	86.111	-10.4574
560.000000	86.088	-10.0156
570.000000	86.058	-9.4913
580.000000	86.026	-8.9684
590.000000	85.994	-8.4260
600.000000	85.964	-7.8556
608.000000	85.943	-7.3932
615.000000	85.926	-6.9935
622.000000	85.908	-6.5876
630.000000	85.888	-6.0972
640.000000	85.869	-5.4516
650.000000	85.859	-4.7979
660.000000	85.858	-4.1614
670.000000	85.861	-3.5943
680.000000	85.856	-3.0842
690.000000	85.837	-2.5339
700.000000	85.812	-1.8396
710.000000	85.802	-0.9598
720.000000	85.832	-0.0031
730.000000	85.902	0.8016
740.000000	85.978	1.3270
750.000000	86.033	1.6699
762.000000	86.069	2.0607
775.000000	86.092	2.5789
788.000000	86.114	3.1805
800.000000	86.137	3.7860
812.000000	86.166	4.4260
825.000000	86.206	5.1174
838.000000	86.249	5.7791
850.000000	86.286	6.3955
862.000000	86.324	7.0488
875.000000	86.371	7.7948
885.000000	86.414	8.3831
900.000000	86.487	9.2635
912.000000	86.551	9.9702
925.000000	86.630	10.7393
938.000000	86.718	11.4951
950.000000	86.806	12.1685
962.000000	86.900	12.8213
975.000000	87.009	13.5125
988.000000	87.125	14.1854
1000.000000	87.241	14.7872
1015.000000	87.399	15.5113
1030.000000	87.577	16.1638
1044.000000	87.759	16.6337
1060.000000	87.971	16.9431
1075.000000	88.158	17.0468
1090.000000	88.330	17.0372
1106.000000	88.497	16.9467
1120.000000	88.630	16.8265
1138.000000	88.782	16.6592
1150.000000	88.875	16.5630
1172.000000	89.035	16.4613
1180.000000	89.094	16.4529
1206.000000	89.301	16.4407
1220.000000	89.421	16.3579
1241.000000	89.593	16.0907
1250.000000	89.661	15.9397
1265.000000	89.766	15.6654
1280.000000	89.860	15.3843
1315.000000	90.051	14.7814
1320.000000	90.076	14.7018
1340.000000	90.170	14.3999
1360.000000	90.255	14.1422
1380.000000	90.334	13.9594
1400.000000	90.415	13.8691
1430.000000	90.558	13.7963
1450.000000	90.662	13.6877
1475.000000	90.786	13.4937
1500.000000	90.902	13.2911
1525.000000	91.012	13.1204
1550.000000	91.123	13.0068
1575.000000	91.244	12.9350
1600.000000	91.378	12.8119
1625.000000	91.512	12.5842
1650.000000	91.636	12.2965
1675.000000	91.753	11.9996
1700.000000	91.865	11.7062
1725.000000	91.972	11.4070
1750.000000	92.072	11.1193
1775.000000	92.169	10.8827
1800.000000	92.273	10.6921
1825.000000	92.385	10.4792
1850.000000	92.498	10.2048
1875.000000	92.605	9.8853
1900.000000	92.704	9.5569
1925.000000	92.798	9.2560
1950.000000	92.893	8.9937
1975.000000	92.994	8.7317
2000.000000	93.098	8.4194
2030.000000	93.216	7.9726
2060.000000	93.320	7.4976
2090.000000	93.410	7.0463
2120.000000	93.489	6.6620
2140.000000	93.538	6.4694
2180.000000	93.646	6.2594
2200.000000	93.712	6.2012
2240.000000	93.863	6.0557
2270.000000	93.985	5.9097
2300.000000	94.114	5.7675
2330.000000	94.258	5.6315
2360.000000	94.424	5.4238
2400.000000	94.663	4.8639
2430.000000	94.833	4.2111
2470.000000	95.032	3.1432
2500.000000	95.158	2.2753
2540.000000	95.303	1.1052
2580.000000	95.433	-0.0704
2620.000000	95.544	-1.3056
2650.000000	95.609	-2.2594
2690.000000	95.666	-3.4733
2720.000000	95.695	-4.2797
2760.000000	95.731	-5.2162
2800.000000	95.773	-6.0665
2850.000000	95.832	-7.1110
2900.000000	95.889	-8.2082
2950.000000	95.931	-9.3398
3000.000000	95.957	-10.4762
3040.000000	95.962	-11.3788
3070.000000	95.954	-12.0215
3110.000000	95.932	-12.7878
3150.000000	95.908	-13.4486
3200.000000	95.878	-14.1852
3250.000000	95.845	-14.8664
3300.000000	95.802	-15.4644
3350.000000	95.754	-15.9053
3400.000000	95.715	-16.1981
3450.000000	95.690	-16.4143
3500.000000	95.678	-16.5822
3550.000000	95.681	-16.7225
3600.000000	95.699	-16.8840
3650.000000	95.726	-17.1062
3700.000000	95.756	-17.3916
3750.000000	95.787	-17.7191
3820.000000	95.830	-18.2650
3870.000000	95.857	-18.7111
3950.000000	95.897	-19.4569
4000.000000	95.926	-19.9813
4060.000000	95.959	-20.7413
4120.000000	95.980	-21.6470
4180.000000	95.982	-22.6718
4250.000000	95.952	-23.9918
4310.000000	95.895	-25.1644
4370.000000	95.813	-26.3405
4440.000000	95.686	-27.7398
4500.000000	95.543	-28.9509
4550.000000	95.395	-29.9266
4620.000000	95.144	-31.1735
4680.000000	94.888	-32.0473
4750.000000	94.555	-32.7521
4820.000000	94.206	-33.1332
4870.000000	93.951	-33.2452
4940.000000	93.587	-33.2076
5000.000000	93.269	-33.0050
5080.000000	92.829	-32.4534
5150.000000	92.436	-31.6492
5220.000000	92.048	-30.5531
5300.000000	91.621	-29.0111
5380.000000	91.213	-27.2264
5450.000000	90.867	-25.4871
5520.000000	90.529	-23.5542
5600.000000	90.162	-21.0923
5700.000000	89.743	-17.7100
5800.000000	89.371	-14.1107
5900.000000	89.035	-10.3334
6000.000000	88.731	-6.3181
6080.000000	88.521	-2.9417
6150.000000	88.365	0.0968
6220.000000	88.233	3.1829
6300.000000	88.108	6.7617
6400.000000	87.991	11.3336
6500.000000	87.926	16.0033
6600.000000	87.916	20.7091
6700.000000	87.959	25.4054
6800.000000	88.057	30.0952
6900.000000	88.217	34.7599
7000.000000	88.446	39.3250
7100.000000	88.747	43.7108
7200.000000	89.123	47.8640
7300.000000	89.580	51.7015
7400.000000	90.124	55.0679
7500.000000	90.746	57.7673
7620.000000	91.569	59.8288
7750.000000	92.491	60.1096
7880.000000	93.308	57.7848
8000.000000	93.817	53.2601
8120.000000	93.969	47.1354
8250.000000	93.667	40.1656
8380.000000	92.901	34.5734
8500.000000	91.874	31.6774
8620.000000	90.664	31.1787
8750.000000	89.280	33.0007
8850.000000	88.227	35.7497
9000.000000	86.741	41.5361
9120.000000	85.665	47.2077
9250.000000	84.620	54.0966
9380.000000	83.695	61.5858
9500.000000	82.942	68.9017
9620.000000	82.279	76.5101
9750.000000	81.650	85.0373
9880.000000	81.109	93.8241
10000.000000	80.684	102.1256
10150.000000	80.246	112.7510
10300.000000	79.911	123.6629
10440.000000	79.697	134.0976
10600.000000	79.578	146.3506
10750.000000	79.619	158.1813
10900.000000	79.858	170.3225
11060.000000	80.414	-176.4722
11200.000000	81.245	-164.9337
11380.000000	82.861	-150.7941
11500.000000	84.257	-142.3866
11720.000000	87.193	-131.0993
11800.000000	88.273	-128.9353
12060.000000	91.239	-131.9061
12200.000000	92.187	-140.1466
12410.000000	92.410	-156.9619
12500.000000	92.050	-163.6156
12650.000000	90.934	-171.4470
12800.000000	89.341	-174.2729
13150.000000	84.947	-165.3771
13200.000000	84.337	-162.9644
13400.000000	82.103	-151.7723
13600.000000	80.265	-138.9913
13800.000000	78.814	-125.3304
14000.000000	77.691	-111.1630
14300.000000	76.505	-89.4177
14500.000000	76.004	-74.8099
14750.000000	75.691	-56.6584
15000.000000	75.752	-38.8918
15250.000000	76.249	-21.9984
15500.000000	77.220	-6.9276
15750.000000	78.552	4.6320
16000.000000	79.894	10.4176
16250.000000	80.749	9.1732
16500.000000	80.699	3.3311
16750.000000	79.607	-1.1867
17000.000000	77.652	0.2571
17250.000000	75.182	8.1309
17500.000000	72.550	20.4930
17750.000000	70.017	35.3822
18000.000000	67.700	51.8517
18250.000000	65.598	69.8289
18500.000000	63.729	89.0680
18750.000000	62.158	108.6907
19000.000000	60.880	127.9438
19250.000000	59.807	146.6105
19500.000000	58.834	164.7870
19750.000000	57.885	-177.3568
20000.000000	56.911	-159.6955
