* Measurement data measured by REW V5.20.13
* Source: EXCL: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 3, 2023 1:30:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: HarmonicDyne Devil L
* Measurement: Devil Stock L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.048	45.7054
20.299999	92.092	45.0205
20.600000	92.135	44.3552
20.900000	92.176	43.7096
21.200001	92.215	43.0830
21.400000	92.241	42.6746
21.799999	92.291	41.8752
22.000000	92.316	41.4812
22.400000	92.364	40.6979
22.700001	92.399	40.1111
23.000000	92.431	39.5247
23.299999	92.461	38.9435
23.600000	92.487	38.3735
24.000000	92.517	37.6408
24.299999	92.538	37.1157
24.700001	92.566	36.4462
25.000000	92.588	35.9604
25.400000	92.617	35.3239
25.799999	92.646	34.6924
26.200001	92.674	34.0662
26.500000	92.693	33.6042
26.900000	92.717	33.0040
27.200001	92.734	32.5671
27.600000	92.757	31.9999
28.000000	92.780	31.4443
28.500000	92.808	30.7575
29.000000	92.834	30.0778
29.500000	92.857	29.4117
30.000000	92.876	28.7675
30.400000	92.889	28.2708
30.700001	92.899	27.9093
31.100000	92.910	27.4423
31.500000	92.921	26.9921
32.000000	92.935	26.4514
32.500000	92.950	25.9297
33.000000	92.967	25.4153
33.500000	92.983	24.8977
34.000000	92.998	24.3740
34.500000	93.009	23.8529
35.000000	93.016	23.3475
35.500000	93.022	22.8649
36.000000	93.026	22.4013
36.500000	93.030	21.9497
37.000000	93.034	21.5078
37.500000	93.035	21.0790
38.200001	93.037	20.5026
38.700001	93.039	20.1009
39.500000	93.039	19.4644
40.000000	93.038	19.0773
40.599998	93.034	18.6351
41.200001	93.031	18.2178
41.799999	93.031	17.8149
42.500000	93.031	17.3480
43.099998	93.031	16.9482
43.700001	93.030	16.5577
44.400002	93.027	16.1254
45.000000	93.025	15.7736
45.500000	93.025	15.4854
46.200001	93.024	15.0794
46.799999	93.022	14.7332
47.500000	93.016	14.3495
48.200001	93.010	13.9946
48.700001	93.006	13.7518
49.400002	93.002	13.4161
50.000000	92.998	13.1331
50.799999	92.994	12.7647
51.500000	92.990	12.4404
52.200001	92.985	12.1125
53.000000	92.977	11.7585
53.799999	92.969	11.4426
54.500000	92.966	11.1814
55.200001	92.966	10.9177
56.000000	92.966	10.6125
57.000000	92.966	10.2402
58.000000	92.968	9.8792
59.000000	92.970	9.4949
60.000000	92.964	9.0786
60.799999	92.950	8.7686
61.500000	92.935	8.5401
62.200001	92.922	8.3456
63.000000	92.913	8.1414
64.000000	92.907	7.8821
65.000000	92.905	7.6033
66.000000	92.904	7.3081
67.000000	92.902	7.0115
68.000000	92.898	6.7242
69.000000	92.893	6.4356
70.000000	92.885	6.1356
71.000000	92.871	5.8365
72.000000	92.854	5.5492
73.000000	92.837	5.2720
74.000000	92.821	5.0050
75.000000	92.809	4.7476
76.199997	92.800	4.4446
77.500000	92.794	4.1279
78.800003	92.792	3.8293
80.000000	92.791	3.5538
81.199997	92.786	3.2650
82.500000	92.771	2.9424
83.800003	92.747	2.6421
85.000000	92.722	2.4053
86.199997	92.702	2.1735
87.500000	92.684	1.8771
88.500000	92.667	1.6342
90.000000	92.641	1.2941
91.199997	92.620	1.0485
92.500000	92.597	0.8127
93.800003	92.574	0.6093
95.000000	92.551	0.4410
96.199997	92.529	0.2791
97.500000	92.506	0.0975
98.800003	92.485	-0.0953
100.000000	92.468	-0.2747
101.500000	92.449	-0.4791
103.000000	92.430	-0.6554
104.400002	92.412	-0.8053
106.000000	92.392	-0.9755
107.500000	92.378	-1.1583
109.000000	92.366	-1.3809
110.599998	92.346	-1.6361
112.000000	92.317	-1.8342
113.800003	92.267	-2.0507
115.000000	92.232	-2.1854
117.199997	92.188	-2.3744
118.000000	92.182	-2.4020
120.599998	92.177	-2.3419
122.000000	92.140	-2.3036
124.099998	91.980	-2.3978
125.000000	91.876	-2.4865
126.500000	91.686	-2.5682
128.000000	91.553	-2.4299
131.500000	91.703	-2.4945
132.000000	91.745	-2.6206
