* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 6, 2022 11:43:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: MM2 Bass L
* Measurement: MM2 Bass L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.185	-120.3789
20.299999	100.210	-120.5745
20.600000	100.255	-120.7356
20.900000	100.321	-120.9124
21.200001	100.405	-121.1407
21.400000	100.469	-121.3307
21.799999	100.613	-121.8033
22.000000	100.690	-122.0838
22.400000	100.847	-122.7218
22.700001	100.965	-123.2553
23.000000	101.081	-123.8234
23.299999	101.191	-124.4156
23.600000	101.296	-125.0225
24.000000	101.425	-125.8411
24.299999	101.512	-126.4527
24.700001	101.614	-127.2554
25.000000	101.680	-127.8430
25.400000	101.754	-128.6040
25.799999	101.816	-129.3399
26.200001	101.867	-130.0556
26.500000	101.899	-130.5833
26.900000	101.930	-131.2799
27.200001	101.946	-131.8004
27.600000	101.960	-132.4957
28.000000	101.967	-133.1972
28.500000	101.973	-134.0914
29.000000	101.980	-135.0136
29.500000	101.988	-135.9666
30.000000	101.999	-136.9448
30.400000	102.014	-137.7388
30.700001	102.030	-138.3378
31.100000	102.057	-139.1394
31.500000	102.092	-139.9431
32.000000	102.143	-140.9482
32.500000	102.197	-141.9449
33.000000	102.256	-142.9141
33.500000	102.317	-143.8341
34.000000	102.380	-144.6870
34.500000	102.443	-145.4657
35.000000	102.505	-146.1725
35.500000	102.565	-146.8161
36.000000	102.623	-147.4080
36.500000	102.675	-147.9600
37.000000	102.718	-148.4851
37.500000	102.751	-148.9944
38.200001	102.778	-149.6996
38.700001	102.785	-150.2089
39.500000	102.786	-151.0514
40.000000	102.787	-151.6005
40.599998	102.791	-152.2816
41.200001	102.802	-152.9788
41.799999	102.817	-153.6794
42.500000	102.842	-154.4834
43.099998	102.869	-155.1504
43.700001	102.898	-155.7924
44.400002	102.931	-156.5085
45.000000	102.956	-157.0948
45.500000	102.973	-157.5648
