* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: May 11, 2022 4:09:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KBEAR Vent MP L
* Measurement: EJ07M R May 11
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.667	55.9903
20.299999	100.727	55.2401
20.600000	100.785	54.4980
20.900000	100.842	53.7484
21.200001	100.898	52.9839
21.400000	100.935	52.4682
21.799999	101.008	51.4316
22.000000	101.044	50.9163
22.400000	101.115	49.9012
22.700001	101.167	49.1561
23.000000	101.218	48.4242
23.299999	101.268	47.7039
23.600000	101.316	46.9954
24.000000	101.378	46.0707
24.299999	101.421	45.3941
24.700001	101.475	44.5146
25.000000	101.513	43.8694
25.400000	101.560	43.0231
25.799999	101.606	42.1881
26.200001	101.650	41.3645
26.500000	101.681	40.7567
26.900000	101.719	39.9624
27.200001	101.745	39.3786
27.600000	101.778	38.6129
28.000000	101.810	37.8558
28.500000	101.850	36.9160
29.000000	101.891	35.9874
29.500000	101.929	35.0800
30.000000	101.966	34.1983
30.400000	101.995	33.5082
30.700001	102.018	32.9965
31.100000	102.048	32.3202
31.500000	102.076	31.6518
32.000000	102.107	30.8315
32.500000	102.133	30.0293
33.000000	102.157	29.2383
33.500000	102.181	28.4484
34.000000	102.205	27.6570
34.500000	102.226	26.8723
35.000000	102.246	26.1055
35.500000	102.266	25.3610
36.000000	102.288	24.6329
36.500000	102.310	23.9132
37.000000	102.329	23.2003
37.500000	102.341	22.5028
38.200001	102.346	21.5754
38.700001	102.344	20.9537
39.500000	102.340	20.0033
40.000000	102.341	19.4156
40.599998	102.349	18.7023
41.200001	102.360	17.9736
41.799999	102.371	17.2274
42.500000	102.381	16.3435
43.099998	102.384	15.5931
43.700001	102.383	14.8660
44.400002	102.376	14.0550
45.000000	102.365	13.3960
45.500000	102.355	12.8750
46.200001	102.343	12.1795
46.799999	102.336	11.5916
47.500000	102.324	10.8931
48.200001	102.302	10.2022
48.700001	102.281	9.7389
49.400002	102.252	9.1489
50.000000	102.233	8.6802
50.799999	102.220	8.0574
51.500000	102.212	7.4935
52.200001	102.198	6.9366
53.000000	102.177	6.3552
53.799999	102.162	5.8247
54.500000	102.157	5.3426
55.200001	102.155	4.8047
56.000000	102.148	4.1424
57.000000	102.126	3.3195
58.000000	102.099	2.5159
59.000000	102.071	1.6977
60.000000	102.039	0.8824
60.799999	102.013	0.2573
61.500000	101.990	-0.2613
62.200001	101.969	-0.7473
63.000000	101.947	-1.2601
64.000000	101.918	-1.8446
65.000000	101.880	-2.3776
66.000000	101.833	-2.8915
67.000000	101.776	-3.4327
68.000000	101.712	-4.0344
69.000000	101.646	-4.7496
70.000000	101.573	-5.6060
71.000000	101.482	-6.4940
72.000000	101.381	-7.1072
73.000000	101.329	-7.3180
74.000000	101.355	-7.4386
75.000000	101.420	-7.7479
76.199997	101.480	-8.3290
77.500000	101.494	-9.0182
78.800003	101.466	-9.6658
80.000000	101.422	-10.2658
81.199997	101.373	-10.9075
82.500000	101.317	-11.6375
83.800003	101.257	-12.3472
85.000000	101.195	-12.9168
86.199997	101.127	-13.3781
87.500000	101.051	-13.8140
88.500000	100.992	-14.1342
90.000000	100.916	-14.6208
91.199997	100.872	-15.0975
92.500000	100.822	-15.6880
93.800003	100.762	-16.1768
95.000000	100.709	-16.4973
96.199997	100.661	-16.7761
97.500000	100.601	-17.0858
98.800003	100.528	-17.3897
100.000000	100.455	-17.6467
101.500000	100.368	-17.9434
103.000000	100.294	-18.2372
104.400002	100.232	-18.5166
106.000000	100.166	-18.8282
107.500000	100.107	-19.1010
109.000000	100.054	-19.3641
110.599998	100.007	-19.6793
112.000000	99.968	-20.0027
113.800003	99.912	-20.4474
115.000000	99.870	-20.7396
117.199997	99.782	-21.2231
118.000000	99.749	-21.3766
120.599998	99.649	-21.8347
122.000000	99.597	-22.0842
124.099998	99.520	-22.4614
125.000000	99.486	-22.6207
126.500000	99.431	-22.8827
128.000000	99.375	-23.1418
131.500000	99.241	-23.7074
132.000000	99.223	-23.7816
134.000000	99.152	-24.0697
136.000000	99.082	-24.3641
138.000000	99.005	-24.6693
140.000000	98.919	-24.9597
143.000000	98.792	-25.3577
145.000000	98.712	-25.6086
147.500000	98.610	-25.8915
150.000000	98.503	-26.1101
152.500000	98.404	-26.2762
155.000000	98.320	-26.4333
157.500000	98.246	-26.5951
160.000000	98.176	-26.7672
162.500000	98.105	-26.9567
165.000000	98.024	-27.1522
167.500000	97.925	-27.3264
170.000000	97.808	-27.4536
172.500000	97.681	-27.5365
175.000000	97.556	-27.6034
177.500000	97.441	-27.6758
180.000000	97.342	-27.7550
182.500000	97.264	-27.8352
185.000000	97.204	-27.9156
187.500000	97.151	-27.9966
190.000000	97.097	-28.0720
192.500000	97.038	-28.1343
195.000000	96.973	-28.1805
197.500000	96.901	-28.2069
200.000000	96.825	-28.2068
203.000000	96.734	-28.1728
206.000000	96.649	-28.1294
209.000000	96.564	-28.1053
212.000000	96.476	-28.0912
214.000000	96.415	-28.0724
218.000000	96.288	-27.9911
220.000000	96.225	-27.9310
224.000000	96.109	-27.7986
227.000000	96.032	-27.7068
230.000000	95.958	-27.6254
233.000000	95.884	-27.5504
236.000000	95.811	-27.4787
240.000000	95.712	-27.3900
243.000000	95.637	-27.3217
247.000000	95.532	-27.2015
250.000000	95.452	-27.0712
