* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 26, 2021 11:58:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KBEAR Diamond
* Measurement: Jun 26 11:58:08
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	77.782	42.647
20.586	77.851	41.876
20.885	77.912	41.104
21.189	77.937	40.293
21.497	77.951	39.482
21.810	77.973	38.695
22.127	77.992	37.935
22.449	78.006	37.181
22.776	78.028	36.402
23.107	78.059	35.576
23.443	78.080	34.705
23.784	78.099	33.815
24.130	78.119	32.937
24.481	78.143	32.088
24.837	78.166	31.260
25.198	78.178	30.437
25.565	78.201	29.606
25.937	78.232	28.772
26.314	78.257	27.952
26.697	78.287	27.156
27.085	78.308	26.385
27.479	78.313	25.632
27.879	78.329	24.893
28.284	78.333	24.171
28.696	78.341	23.466
29.113	78.360	22.770
29.537	78.368	22.070
29.966	78.371	21.355
30.402	78.367	20.634
30.844	78.366	19.918
31.293	78.379	19.208
31.748	78.388	18.490
32.210	78.393	17.744
32.678	78.376	16.969
33.154	78.372	16.181
33.636	78.378	15.398
34.125	78.375	14.631
34.621	78.375	13.885
35.125	78.376	13.162
35.636	78.379	12.453
36.154	78.393	11.748
36.680	78.408	11.041
37.214	78.414	10.347
37.755	78.403	9.680
38.304	78.384	9.024
38.861	78.368	8.339
39.427	78.324	7.618
40.000	78.270	6.919
40.582	78.248	6.286
41.172	78.235	5.672
41.771	78.221	4.995
42.379	78.203	4.262
42.995	78.191	3.565
43.620	78.187	2.919
44.255	78.179	2.253
44.898	78.157	1.560
45.552	78.125	0.911
46.214	78.104	0.308
46.886	78.082	-0.306
47.568	78.048	-0.928
48.260	78.014	-1.524
48.962	77.969	-2.139
49.674	77.912	-2.779
50.397	77.879	-3.386
51.130	77.867	-4.022
51.874	77.848	-4.759
52.628	77.798	-5.430
53.394	77.732	-5.931
54.170	77.692	-6.460
54.958	77.654	-7.043
55.758	77.612	-7.457
56.569	77.608	-7.876
57.391	77.603	-8.636
58.226	77.532	-9.375
59.073	77.470	-9.747
59.932	77.464	-10.235
60.804	77.425	-10.951
61.688	77.360	-11.548
62.586	77.308	-12.141
63.496	77.254	-12.688
64.420	77.214	-13.162
65.357	77.175	-13.770
66.307	77.111	-14.433
67.272	77.052	-14.953
68.250	77.001	-15.419
69.243	76.953	-15.713
70.250	76.938	-16.267
71.272	76.833	-16.856
72.309	76.799	-16.998
73.360	76.756	-17.984
74.427	76.652	-18.161
75.510	76.684	-18.496
76.608	76.613	-19.271
77.723	76.529	-19.684
78.853	76.434	-20.013
80.000	76.364	-20.023
81.164	76.376	-20.600
82.344	76.241	-21.684
83.542	76.096	-21.805
84.757	76.038	-22.042
85.990	75.988	-22.174
87.241	75.941	-22.854
88.510	75.832	-22.487
89.797	75.911	-23.729
91.103	75.675	-23.673
92.428	75.673	-26.017
93.773	75.104	-23.974
95.137	75.435	-24.338
96.520	75.368	-24.809
97.924	75.342	-26.558
99.349	75.279	-26.253
100.794	75.184	-26.271
102.260	75.118	-25.806
103.747	75.002	-25.815
105.256	74.841	-26.231
106.787	74.750	-26.948
108.340	74.870	-27.285
109.916	74.912	-26.469
111.515	74.802	-26.049
113.137	74.449	-26.371
114.783	74.470	-27.498
116.452	74.785	-28.444
118.146	74.465	-28.889
119.865	78.058	-49.409
121.608	73.385	-30.463
123.377	74.542	-30.625
125.171	74.669	-28.484
126.992	74.428	-27.670
128.839	74.125	-31.159
130.713	74.119	-30.520
132.615	74.157	-30.015
134.543	74.055	-30.352
136.500	73.757	-31.485
138.486	73.754	-32.243
140.500	73.633	-32.525
142.544	73.538	-32.260
144.617	73.498	-32.256
146.721	73.395	-32.843
148.855	73.325	-31.466
151.020	73.190	-32.803
153.217	73.017	-32.909
155.445	73.043	-33.738
157.706	72.224	-38.164
160.000	72.837	-34.886
162.327	72.950	-33.300
164.688	72.633	-33.285
167.084	72.562	-34.294
169.514	72.515	-34.046
171.980	72.317	-34.013
174.481	72.166	-33.983
177.019	72.033	-34.160
179.594	71.951	-34.082
182.206	71.818	-34.002
184.856	71.803	-34.183
187.545	71.683	-34.425
190.273	71.682	-34.298
193.041	71.669	-34.201
195.849	71.548	-34.366
198.697	71.435	-34.322
201.587	71.326	-34.134
204.520	71.233	-33.933
207.494	71.183	-33.951
210.512	71.099	-33.993
213.574	70.990	-34.008
216.681	70.881	-34.064
219.833	70.769	-33.889
223.030	70.649	-33.536
226.274	70.584	-33.517
229.565	70.517	-33.540
232.905	70.421	-33.365
236.292	70.342	-33.250
239.729	70.250	-33.262
243.216	70.142	-33.336
246.754	70.060	-33.003
250.343	69.943	-32.907
253.984	69.839	-32.706
257.678	69.751	-32.137
261.426	69.713	-31.987
265.229	69.630	-31.940
269.087	69.526	-31.826
273.001	69.418	-31.573
276.972	69.336	-31.296
281.000	69.236	-31.020
285.088	69.157	-30.656
289.234	69.122	-30.251
293.441	69.078	-30.358
297.710	68.964	-30.325
302.040	68.869	-30.128
306.433	68.792	-29.875
310.890	68.723	-29.584
315.412	68.637	-29.370
320.000	68.516	-29.237
324.655	68.428	-28.837
329.377	68.345	-28.460
334.168	68.261	-28.102
339.028	68.185	-27.749
343.959	68.089	-27.515
348.962	67.994	-27.174
354.038	67.931	-26.812
359.188	67.861	-26.420
364.412	67.774	-26.055
369.713	67.677	-25.658
375.090	67.587	-25.270
380.546	67.513	-24.827
386.081	67.436	-24.425
391.697	67.361	-23.982
397.395	67.284	-23.533
403.175	67.203	-23.066
409.039	67.138	-22.566
414.989	67.049	-22.205
421.025	66.962	-21.725
427.149	66.879	-21.216
433.362	66.830	-20.476
439.665	66.767	-20.060
446.060	66.691	-19.499
452.548	66.637	-18.837
459.131	66.641	-18.627
465.809	66.518	-18.389
472.584	66.440	-17.850
479.458	66.359	-17.204
486.432	66.324	-16.634
493.507	66.200	-16.475
500.686	66.116	-15.541
507.968	66.069	-14.851
515.357	66.011	-14.326
522.853	65.946	-13.763
530.458	65.828	-13.178
538.174	65.796	-12.264
546.002	65.716	-11.767
553.943	65.657	-10.907
562.001	65.607	-10.150
570.175	65.553	-9.575
578.469	65.470	-8.856
586.883	65.444	-8.034
595.419	65.322	-7.361
604.080	65.277	-6.418
612.866	65.239	-5.524
621.780	65.203	-4.862
630.824	65.068	-4.016
640.000	65.093	-2.793
649.309	65.011	-1.974
658.753	64.943	-0.829
668.335	65.009	0.354
678.056	64.975	0.979
687.919	64.937	1.972
697.925	64.879	2.738
708.076	64.831	3.922
718.376	64.820	5.020
728.825	64.793	6.114
739.426	64.776	7.324
750.181	64.760	8.528
761.093	64.755	9.810
772.163	64.754	11.122
783.394	64.781	12.551
794.789	64.810	13.685
806.349	64.823	15.178
818.078	64.892	16.500
829.977	64.955	18.280
842.050	65.009	19.441
854.297	65.226	22.460
866.724	65.664	21.688
879.330	65.662	21.892
892.120	65.750	22.342
905.097	65.788	22.635
918.262	65.880	23.503
931.618	65.926	24.302
945.169	66.034	24.940
958.917	66.091	25.697
972.864	66.144	26.162
987.015	66.236	27.014
1001.371	66.341	27.329
1015.937	66.405	28.397
1030.714	66.448	29.006
1045.706	66.610	30.116
1060.916	66.711	30.511
1076.347	66.809	30.810
1092.003	66.914	31.462
1107.887	67.007	31.872
1124.001	67.122	32.332
1140.350	67.226	32.832
1156.937	67.291	33.409
1173.765	67.395	33.672
1190.838	67.465	34.343
1208.159	67.623	35.378
1225.732	67.739	35.124
1243.561	67.870	35.278
1261.649	67.931	35.858
1280.000	68.008	35.872
1298.618	68.077	36.472
1317.507	68.164	37.148
1336.670	68.253	37.668
1356.113	68.328	38.032
1375.838	68.478	38.460
1395.850	68.534	39.045
1416.153	68.620	40.216
1436.751	68.812	40.435
1457.649	68.952	40.508
1478.851	69.094	40.918
1500.362	69.238	41.228
1522.185	69.395	41.613
1544.326	69.584	42.075
1566.789	69.747	42.554
1589.578	70.014	43.475
1612.699	70.198	44.108
1636.156	70.224	44.085
1659.955	70.134	44.268
1684.099	70.009	44.690
1708.595	69.949	45.203
1733.447	69.950	45.411
1758.661	70.000	45.590
1784.241	70.122	45.871
1810.193	70.334	47.073
1836.523	70.531	47.443
1863.236	70.738	47.857
1890.338	70.941	48.158
1917.833	71.145	48.531
1945.729	71.300	48.683
1974.030	71.552	49.570
2002.743	71.770	49.680
2031.873	72.005	49.760
2061.428	72.187	50.039
2091.412	72.446	50.265
2121.832	72.629	50.412
2152.695	72.806	49.994
2184.007	72.931	50.472
2215.774	73.162	50.707
2248.003	73.394	50.739
2280.701	73.598	50.669
2313.874	73.814	50.578
2347.530	74.013	51.158
2381.676	74.263	51.084
2416.318	74.540	51.182
2451.464	74.804	50.860
2487.122	75.040	50.753
2523.298	75.362	50.535
2560.000	75.593	50.349
2597.236	75.954	50.192
2635.014	76.313	49.489
2673.341	76.664	48.555
2712.226	76.908	47.285
2751.676	77.250	46.261
2791.700	77.541	45.212
2832.306	77.837	43.642
2873.503	78.164	42.577
2915.299	78.507	39.945
2957.703	78.832	38.141
3000.724	79.105	35.635
3044.370	79.326	32.690
3088.652	79.441	29.238
3133.577	79.529	26.440
3179.156	79.608	23.793
3225.398	79.622	21.161
3272.312	79.655	18.795
3319.909	79.594	16.087
3368.198	79.569	13.999
3417.190	79.546	11.980
3466.894	79.497	9.512
3517.321	79.394	7.611
3568.482	79.295	5.825
3620.387	79.162	3.982
3673.046	79.124	2.039
3726.472	78.956	0.393
3780.675	78.862	-0.965
3835.666	78.846	-2.711
3891.457	78.788	-4.390
3948.060	78.741	-5.805
4005.486	78.727	-7.354
4063.747	78.747	-9.984
4122.855	78.596	-12.138
4182.824	78.418	-14.190
4243.664	78.145	-17.071
4305.390	77.675	-19.133
4368.013	76.939	-18.928
4431.547	77.452	-16.328
4496.005	77.271	-21.386
4561.401	76.864	-23.740
4627.749	76.534	-26.096
4695.061	76.075	-28.135
4763.352	75.598	-29.546
4832.637	75.190	-30.335
4902.929	74.735	-31.396
4974.244	74.318	-31.824
5046.596	73.910	-32.613
5120.000	73.525	-32.780
5194.472	73.079	-32.094
5270.027	72.690	-31.789
5346.682	72.312	-30.980
5424.451	71.980	-30.661
5503.352	71.572	-30.161
5583.399	71.127	-28.885
5664.612	70.752	-28.060
5747.006	70.354	-26.966
5830.598	69.994	-26.088
5915.406	69.584	-25.625
6001.447	69.218	-24.529
6088.740	68.731	-23.430
6177.303	68.309	-21.942
6267.154	67.878	-19.878
6358.312	67.372	-17.248
6450.796	66.996	-14.247
6544.625	66.710	-10.227
6639.818	66.540	-6.579
6736.397	66.358	-3.014
6834.380	66.275	0.451
6933.789	66.264	4.421
7034.643	66.348	7.946
7136.964	66.394	11.666
7240.773	66.485	15.029
7346.093	66.653	18.763
7452.944	66.941	21.947
7561.350	67.276	25.504
7671.332	67.563	28.514
7782.915	68.078	31.675
7896.120	68.539	34.107
8010.971	69.156	35.890
8127.493	69.757	38.043
8245.711	70.676	38.854
8365.647	71.705	38.470
8487.328	72.789	35.921
8610.779	73.995	31.572
8736.026	75.109	23.356
8863.095	75.731	10.974
8992.011	75.534	-1.864
9122.803	74.613	-12.706
9255.497	73.304	-20.521
9390.121	71.869	-23.942
9526.704	70.601	-24.702
9665.273	69.415	-24.591
9805.857	68.420	-22.789
9948.487	67.550	-19.369
10093.191	66.851	-16.193
10240.000	66.267	-12.171
10388.944	65.942	-7.459
