* Measurement data measured by REW V5.20.11
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 15, 2022 4:12:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KBEAR Dumpling R
* Measurement: KBEAR Dumpling R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	95.403	-168.4286
20.299999	95.413	-168.9006
20.600000	95.422	-169.3713
20.900000	95.429	-169.8378
21.200001	95.434	-170.2967
21.400000	95.437	-170.5976
21.799999	95.441	-171.1870
22.000000	95.442	-171.4757
22.400000	95.444	-172.0417
22.700001	95.444	-172.4565
23.000000	95.444	-172.8638
23.299999	95.444	-173.2648
23.600000	95.444	-173.6612
24.000000	95.444	-174.1843
24.299999	95.443	-174.5732
24.700001	95.441	-175.0856
25.000000	95.438	-175.4639
25.400000	95.435	-175.9592
25.799999	95.431	-176.4449
26.200001	95.427	-176.9232
26.500000	95.424	-177.2775
26.900000	95.419	-177.7431
27.200001	95.414	-178.0858
27.600000	95.408	-178.5328
28.000000	95.401	-178.9693
28.500000	95.393	-179.5045
29.000000	95.385	179.9678
29.500000	95.375	179.4491
30.000000	95.363	178.9442
30.400000	95.353	178.5515
30.700001	95.346	178.2627
31.100000	95.337	177.8820
31.500000	95.328	177.5034
32.000000	95.316	177.0305
32.500000	95.303	176.5590
33.000000	95.289	176.0917
33.500000	95.274	175.6310
34.000000	95.257	175.1775
34.500000	95.241	174.7315
35.000000	95.223	174.2939
35.500000	95.205	173.8653
36.000000	95.186	173.4458
36.500000	95.168	173.0347
37.000000	95.148	172.6314
37.500000	95.129	172.2355
38.200001	95.101	171.6944
38.700001	95.080	171.3185
39.500000	95.047	170.7361
40.000000	95.026	170.3818
40.599998	95.001	169.9627
41.200001	94.975	169.5488
41.799999	94.948	169.1424
42.500000	94.917	168.6796
43.099998	94.890	168.2901
43.700001	94.863	167.9044
44.400002	94.830	167.4608
45.000000	94.802	167.0894
45.500000	94.778	166.7868
46.200001	94.746	166.3716
46.799999	94.718	166.0216
47.500000	94.685	165.6196
48.200001	94.652	165.2238
48.700001	94.628	164.9449
49.400002	94.594	164.5617
50.000000	94.564	164.2424
50.799999	94.524	163.8308
51.500000	94.489	163.4821
52.200001	94.455	163.1412
53.000000	94.417	162.7588
53.799999	94.379	162.3834
54.500000	94.347	162.0621
55.200001	94.315	161.7482
56.000000	94.281	161.3945
57.000000	94.241	160.9511
58.000000	94.201	160.4977
59.000000	94.158	160.0362
60.000000	94.110	159.5875
60.799999	94.070	159.2467
61.500000	94.035	158.9578
62.200001	93.998	158.6733
63.000000	93.957	158.3531
64.000000	93.904	157.9642
65.000000	93.851	157.5896
66.000000	93.799	157.2252
67.000000	93.749	156.8688
68.000000	93.699	156.5203
69.000000	93.650	156.1785
70.000000	93.601	155.8430
71.000000	93.552	155.5156
72.000000	93.502	155.1993
73.000000	93.454	154.8932
