* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 4, 2021 3:08:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KBEAR KB04
* Measurement: Sep 4
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.7	36.4706
20.299999	96.7	35.7825
20.600000	96.8	35.0834
20.900000	96.8	34.3868
21.200001	96.8	33.7071
21.400000	96.8	33.2673
21.799999	96.9	32.4171
22.000000	96.9	32.0037
22.400000	96.9	31.1902
22.700001	96.9	30.5864
23.000000	96.9	29.9879
23.299999	97.0	29.3998
23.600000	97.0	28.8270
24.000000	97.0	28.0919
24.299999	97.0	27.5600
24.700001	97.0	26.8679
25.000000	97.0	26.3540
25.400000	97.0	25.6706
25.799999	97.0	24.9939
26.200001	97.0	24.3373
26.500000	97.0	23.8661
26.900000	97.0	23.2695
27.200001	97.0	22.8420
27.600000	97.0	22.2876
28.000000	97.0	21.7379
28.500000	97.0	21.0464
29.000000	97.0	20.3535
29.500000	97.0	19.6661
30.000000	97.1	18.9846
30.400000	97.1	18.4402
30.700001	97.1	18.0325
31.100000	97.1	17.4935
31.500000	97.1	16.9665
32.000000	97.1	16.3342
32.500000	97.1	15.7340
33.000000	97.1	15.1565
33.500000	97.1	14.5854
34.000000	97.1	14.0068
34.500000	97.1	13.4216
35.000000	97.1	12.8468
35.500000	97.1	12.3051
36.000000	97.0	11.8046
36.500000	97.0	11.3317
37.000000	97.0	10.8619
37.500000	97.0	10.3794
38.200001	97.0	9.6861
38.700001	97.0	9.1899
39.500000	97.0	8.4078
40.000000	97.0	7.9308
40.599998	97.0	7.3809
41.200001	97.0	6.8643
41.799999	96.9	6.3768
42.500000	96.9	5.8264
43.099998	96.9	5.3583
43.700001	96.9	4.8935
44.400002	96.9	4.3601
45.000000	96.9	3.9092
45.500000	96.8	3.5348
46.200001	96.8	3.0131
46.799999	96.8	2.5737
47.500000	96.8	2.0751
48.200001	96.8	1.5894
48.700001	96.7	1.2487
49.400002	96.7	0.7814
50.000000	96.7	0.3918
50.799999	96.7	-0.1096
51.500000	96.7	-0.5308
52.200001	96.6	-0.9359
53.000000	96.6	-1.3751
53.799999	96.6	-1.7829
54.500000	96.6	-2.1212
55.200001	96.6	-2.4611
56.000000	96.5	-2.8693
57.000000	96.5	-3.4125
58.000000	96.5	-3.9785
59.000000	96.4	-4.5417
60.000000	96.4	-5.0753
60.799999	96.4	-5.4807
61.500000	96.4	-5.8300
62.200001	96.3	-6.1767
63.000000	96.3	-6.5574
64.000000	96.2	-6.9857
65.000000	96.2	-7.3585
66.000000	96.2	-7.6913
67.000000	96.1	-7.9879
68.000000	96.1	-8.2538
69.000000	96.1	-8.5269
70.000000	96.1	-8.8727
71.000000	96.1	-9.3198
72.000000	96.1	-9.7893
73.000000	96.1	-10.1960
74.000000	96.0	-10.5522
75.000000	96.0	-10.9006
76.199997	95.9	-11.3342
77.500000	95.9	-11.8303
78.800003	95.9	-12.3459
80.000000	95.8	-12.8383
81.199997	95.8	-13.3403
82.500000	95.7	-13.8771
83.800003	95.7	-14.3973
85.000000	95.6	-14.8586
86.199997	95.6	-15.2909
87.500000	95.5	-15.7175
88.500000	95.4	-16.0159
90.000000	95.4	-16.4163
91.199997	95.3	-16.7084
92.500000	95.3	-17.0234
93.800003	95.2	-17.3426
95.000000	95.1	-17.6209
96.199997	95.1	-17.8630
97.500000	95.0	-18.0696
98.800003	94.9	-18.2142
100.000000	94.9	-18.2952
101.500000	94.8	-18.3355
103.000000	94.8	-18.3379
104.400002	94.7	-18.3544
106.000000	94.7	-18.4481
107.500000	94.7	-18.6381
109.000000	94.7	-18.9294
110.599998	94.7	-19.3380
112.000000	94.7	-19.7573
113.800003	94.6	-20.3120
115.000000	94.6	-20.6318
117.199997	94.5	-21.0223
118.000000	94.5	-21.1196
120.599998	94.4	-21.4877
122.000000	94.4	-21.7073
124.099998	94.2	-21.9965
125.000000	94.2	-22.1228
126.500000	94.1	-22.3433
128.000000	94.1	-22.5516
131.500000	94.0	-22.9122
132.000000	94.0	-22.9628
134.000000	93.9	-23.2033
136.000000	93.8	-23.4871
138.000000	93.7	-23.7648
140.000000	93.7	-23.9950
143.000000	93.5	-24.2684
145.000000	93.5	-24.4650
147.500000	93.4	-24.7151
150.000000	93.3	-24.9158
152.500000	93.2	-25.0687
155.000000	93.1	-25.1480
157.500000	93.1	-25.1864
160.000000	93.0	-25.2753
162.500000	92.9	-25.4271
165.000000	92.8	-25.5943
167.500000	92.7	-25.7378
170.000000	92.6	-25.8328
172.500000	92.6	-25.8674
175.000000	92.5	-25.8562
177.500000	92.4	-25.8271
180.000000	92.3	-25.8101
182.500000	92.3	-25.8243
185.000000	92.2	-25.8710
187.500000	92.1	-25.9459
190.000000	92.1	-26.0295
192.500000	92.0	-26.0942
195.000000	91.9	-26.1261
197.500000	91.8	-26.1379
200.000000	91.8	-26.1523
203.000000	91.7	-26.1650
206.000000	91.6	-26.1694
209.000000	91.6	-26.1869
212.000000	91.5	-26.2059
214.000000	91.4	-26.1972
218.000000	91.3	-26.0981
220.000000	91.3	-26.0206
224.000000	91.2	-25.8633
227.000000	91.1	-25.7633
230.000000	91.0	-25.6771
233.000000	91.0	-25.5994
236.000000	90.9	-25.5259
240.000000	90.8	-25.4301
243.000000	90.7	-25.3542
247.000000	90.6	-25.2297
250.000000	90.5	-25.1005
254.000000	90.5	-24.8658
258.000000	90.4	-24.6012
262.000000	90.3	-24.3815
265.000000	90.2	-24.2509
269.000000	90.2	-24.0756
272.000000	90.1	-23.9190
276.000000	90.0	-23.6753
280.000000	90.0	-23.4093
285.000000	89.9	-23.0864
290.000000	89.8	-22.8436
295.000000	89.7	-22.6901
300.000000	89.7	-22.5330
304.000000	89.6	-22.3650
307.000000	89.5	-22.2192
311.000000	89.5	-22.0139
315.000000	89.4	-21.8030
320.000000	89.3	-21.5172
325.000000	89.2	-21.1884
330.000000	89.1	-20.8304
335.000000	89.0	-20.4717
340.000000	89.0	-20.1295
345.000000	88.9	-19.7980
350.000000	88.8	-19.4600
