* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 4, 2021 12:22:42 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KBEAR KS1
* Measurement: Sep 4
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.1	50.3833
20.299999	101.2	49.6165
20.600000	101.2	48.8620
20.900000	101.3	48.1236
21.200001	101.3	47.4044
21.400000	101.3	46.9361
21.799999	101.4	46.0228
22.000000	101.4	45.5753
22.400000	101.5	44.6924
22.700001	101.5	44.0370
23.000000	101.6	43.3862
23.299999	101.6	42.7429
23.600000	101.6	42.1107
24.000000	101.7	41.2906
24.299999	101.7	40.6940
24.700001	101.7	39.9196
25.000000	101.8	39.3486
25.400000	101.8	38.5922
25.799999	101.8	37.8372
26.200001	101.9	37.0892
26.500000	101.9	36.5399
26.900000	101.9	35.8316
27.200001	101.9	35.3202
27.600000	102.0	34.6598
28.000000	102.0	34.0105
28.500000	102.0	33.1947
29.000000	102.1	32.3704
29.500000	102.1	31.5558
30.000000	102.1	30.7736
30.400000	102.1	30.1750
30.700001	102.1	29.7383
31.100000	102.2	29.1638
31.500000	102.2	28.5915
32.000000	102.2	27.8755
32.500000	102.2	27.1630
33.000000	102.3	26.4614
33.500000	102.3	25.7760
34.000000	102.3	25.1088
34.500000	102.3	24.4598
35.000000	102.3	23.8275
35.500000	102.3	23.2082
36.000000	102.3	22.5970
36.500000	102.3	21.9915
37.000000	102.4	21.3929
37.500000	102.4	20.8063
38.200001	102.4	20.0116
38.700001	102.4	19.4611
39.500000	102.4	18.5967
40.000000	102.4	18.0650
40.599998	102.4	17.4407
41.200001	102.4	16.8361
41.799999	102.4	16.2513
42.500000	102.4	15.5916
43.099998	102.4	15.0438
43.700001	102.4	14.5109
44.400002	102.4	13.9037
45.000000	102.4	13.3912
45.500000	102.4	12.9662
46.200001	102.4	12.3705
46.799999	102.4	11.8606
47.500000	102.4	11.2725
48.200001	102.4	10.6935
48.700001	102.4	10.2828
49.400002	102.3	9.7119
50.000000	102.3	9.2352
50.799999	102.3	8.6336
51.500000	102.3	8.1372
