* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 26, 2021 1:17:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KBEAR KS2
* Measurement: Jun 26 13:17:03
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	78.119	18.027
20.586	78.117	17.452
20.885	78.113	16.967
21.189	78.084	16.504
21.497	78.058	16.045
21.810	78.049	15.571
22.127	78.042	15.069
22.449	78.027	14.532
22.776	78.015	13.959
23.107	78.008	13.362
23.443	77.994	12.752
23.784	77.983	12.138
24.130	77.979	11.521
24.481	77.982	10.892
24.837	77.981	10.245
25.198	77.965	9.585
25.565	77.954	8.932
25.937	77.948	8.308
26.314	77.938	7.729
26.697	77.936	7.193
27.085	77.928	6.683
27.479	77.908	6.181
27.879	77.899	5.683
28.284	77.879	5.192
28.696	77.864	4.709
29.113	77.859	4.225
29.537	77.841	3.734
29.966	77.817	3.242
30.402	77.789	2.761
30.844	77.769	2.286
31.293	77.767	1.784
31.748	77.760	1.229
32.210	77.743	0.635
32.678	77.701	0.046
33.154	77.677	-0.521
33.636	77.671	-1.102
34.125	77.657	-1.733
34.621	77.635	-2.376
35.125	77.605	-2.937
35.636	77.581	-3.389
36.154	77.581	-3.820
36.680	77.588	-4.322
37.214	77.578	-4.856
37.755	77.542	-5.314
38.304	77.503	-5.691
38.861	77.478	-6.107
39.427	77.427	-6.619
40.000	77.360	-7.139
40.582	77.322	-7.589
41.172	77.293	-8.025
41.771	77.260	-8.531
42.379	77.222	-9.079
42.995	77.192	-9.581
43.620	77.171	-10.031
44.255	77.151	-10.492
44.898	77.122	-10.998
45.552	77.083	-11.508
46.214	77.047	-11.965
46.886	77.014	-12.376
47.568	76.978	-12.819
48.260	76.934	-13.307
48.962	76.869	-13.758
49.674	76.802	-14.170
50.397	76.762	-14.630
51.130	76.726	-15.097
51.874	76.695	-15.485
52.628	76.671	-15.886
53.394	76.624	-16.383
54.170	76.569	-16.857
54.958	76.530	-17.225
55.758	76.502	-17.576
56.569	76.475	-18.000
57.391	76.440	-18.437
58.226	76.401	-18.870
59.073	76.361	-19.413
59.932	76.303	-19.948
60.804	76.238	-20.325
61.688	76.181	-20.724
62.586	76.127	-21.140
63.496	76.088	-21.518
64.420	76.042	-21.970
65.357	75.972	-22.344
66.307	75.914	-22.672
67.272	75.868	-23.110
68.250	75.814	-23.512
69.243	75.763	-23.892
70.250	75.700	-24.319
71.272	75.630	-24.637
72.309	75.567	-25.022
73.360	75.494	-25.309
74.427	75.480	-25.590
75.510	75.410	-26.158
76.608	75.309	-26.155
77.723	75.304	-26.363
78.853	75.246	-27.044
80.000	75.169	-27.387
81.164	75.126	-28.059
82.344	75.041	-28.401
83.542	75.055	-29.279
84.757	74.874	-30.052
85.990	74.837	-29.747
87.241	74.769	-30.268
88.510	74.692	-30.326
89.797	74.576	-30.657
91.103	74.501	-30.804
92.428	74.360	-31.339
93.773	74.313	-31.023
95.137	74.280	-31.815
96.520	74.212	-31.965
97.924	74.136	-32.425
99.349	74.043	-32.721
100.794	73.930	-33.013
102.260	73.853	-33.277
103.747	73.795	-33.389
105.256	73.734	-33.664
106.787	73.610	-33.454
108.340	73.531	-34.026
109.916	73.421	-34.465
111.515	73.378	-34.992
113.137	73.354	-34.817
