* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 26, 2022 1:27:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Little Q R
* Measurement: Little Q R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.899	-168.1386
20.299999	104.894	-168.6509
20.600000	104.884	-169.1550
20.900000	104.870	-169.6517
21.200001	104.857	-170.1413
21.400000	104.848	-170.4637
21.799999	104.835	-171.0980
22.000000	104.830	-171.4095
22.400000	104.824	-172.0209
22.700001	104.820	-172.4691
23.000000	104.818	-172.9091
23.299999	104.816	-173.3418
23.600000	104.814	-173.7681
24.000000	104.812	-174.3270
24.299999	104.808	-174.7390
24.700001	104.801	-175.2783
25.000000	104.793	-175.6750
25.400000	104.780	-176.1941
25.799999	104.766	-176.7033
26.200001	104.752	-177.2039
26.500000	104.741	-177.5737
26.900000	104.723	-178.0590
27.200001	104.708	-178.4168
27.600000	104.686	-178.8854
28.000000	104.664	-179.3453
28.500000	104.638	-179.9094
29.000000	104.614	179.5373
29.500000	104.592	178.9949
30.000000	104.570	178.4644
30.400000	104.554	178.0486
30.700001	104.542	177.7413
31.100000	104.528	177.3369
31.500000	104.514	176.9373
32.000000	104.494	176.4431
32.500000	104.470	175.9539
33.000000	104.445	175.4698
33.500000	104.421	174.9913
34.000000	104.398	174.5191
34.500000	104.377	174.0541
35.000000	104.356	173.5975
35.500000	104.337	173.1501
36.000000	104.320	172.7122
36.500000	104.304	172.2838
37.000000	104.287	171.8646
37.500000	104.265	171.4544
38.200001	104.226	170.8943
38.700001	104.192	170.5037
39.500000	104.131	169.8943
40.000000	104.094	169.5230
40.599998	104.054	169.0863
41.200001	104.018	168.6579
41.799999	103.985	168.2367
42.500000	103.950	167.7545
43.099998	103.922	167.3496
43.700001	103.894	166.9526
44.400002	103.860	166.4989
45.000000	103.829	166.1177
45.500000	103.802	165.8055
46.200001	103.762	165.3768
46.799999	103.727	165.0166
47.500000	103.683	164.6050
48.200001	103.635	164.2029
48.700001	103.598	163.9219
49.400002	103.546	163.5371
50.000000	103.505	163.2156
50.799999	103.456	162.7976
51.500000	103.419	162.4407
52.200001	103.383	162.0916
53.000000	103.339	161.7033
53.799999	103.295	161.3290
54.500000	103.258	161.0142
55.200001	103.225	160.7081
56.000000	103.190	160.3596
57.000000	103.145	159.9128
58.000000	103.094	159.4557
59.000000	103.038	158.9999
60.000000	102.978	158.5528
60.799999	102.928	158.2033
61.500000	102.885	157.9034
62.200001	102.843	157.6088
63.000000	102.798	157.2795
64.000000	102.743	156.8824
65.000000	102.687	156.5036
66.000000	102.632	156.1423
67.000000	102.576	155.7964
68.000000	102.520	155.4631
69.000000	102.460	155.1391
70.000000	102.394	154.8271
71.000000	102.323	154.5382
72.000000	102.254	154.2825
73.000000	102.196	154.0367
74.000000	102.149	153.7576
75.000000	102.105	153.4449
76.199997	102.052	153.0694
77.500000	101.994	152.6728
78.800003	101.937	152.2755
80.000000	101.882	151.9098
81.199997	101.825	151.5395
82.500000	101.759	151.1280
83.800003	101.687	150.7133
85.000000	101.616	150.3434
86.199997	101.541	150.0023
87.500000	101.457	149.6723
88.500000	101.391	149.4447
90.000000	101.295	149.1417
91.199997	101.223	148.9279
92.500000	101.150	148.7102
93.800003	101.082	148.4938
95.000000	101.020	148.2968
96.199997	100.958	148.1055
97.500000	100.887	147.9049
98.800003	100.814	147.7108
100.000000	100.745	147.5382
101.500000	100.661	147.3362
103.000000	100.584	147.1529
104.400002	100.518	146.9920
106.000000	100.445	146.8084
107.500000	100.374	146.6290
109.000000	100.300	146.4338
110.599998	100.218	146.2012
112.000000	100.146	145.9809
113.800003	100.050	145.6973
115.000000	99.984	145.5276
117.199997	99.857	145.3028
118.000000	99.811	145.2520
120.599998	99.672	145.1570
122.000000	99.607	145.1158
124.099998	99.518	145.0365
125.000000	99.481	144.9954
126.500000	99.418	144.9203
128.000000	99.354	144.8398
131.500000	99.195	144.6426
132.000000	99.172	144.6144
134.000000	99.080	144.5057
136.000000	98.988	144.4069
138.000000	98.895	144.3099
140.000000	98.801	144.2094
143.000000	98.668	144.0775
145.000000	98.583	144.0161
147.500000	98.471	143.9634
150.000000	98.353	143.9286
152.500000	98.236	143.9251
155.000000	98.128	143.9663
157.500000	98.030	144.0359
160.000000	97.937	144.0993
162.500000	97.842	144.1451
165.000000	97.737	144.1867
167.500000	97.612	144.2458
170.000000	97.466	144.3520
172.500000	97.307	144.5281
175.000000	97.147	144.7758
177.500000	96.994	145.0878
180.000000	96.856	145.4678
182.500000	96.739	145.9319
185.000000	96.642	146.5019
187.500000	96.560	147.1989
190.000000	96.494	148.0390
192.500000	96.453	149.0117
195.000000	96.450	150.0602
197.500000	96.492	151.0776
200.000000	96.580	151.9260
203.000000	96.730	152.5328
206.000000	96.891	152.5616
209.000000	97.018	152.0464
212.000000	97.082	151.1880
214.000000	97.088	150.5524
218.000000	97.028	149.3898
220.000000	96.973	148.9171
224.000000	96.842	148.1857
227.000000	96.739	147.7863
230.000000	96.636	147.4938
233.000000	96.534	147.2928
236.000000	96.432	147.1584
240.000000	96.295	147.0439
243.000000	96.190	146.9997
247.000000	96.051	147.0109
250.000000	95.949	147.0825
254.000000	95.823	147.2619
258.000000	95.712	147.4882
262.000000	95.611	147.6856
265.000000	95.535	147.8080
269.000000	95.430	147.9797
272.000000	95.351	148.1376
276.000000	95.248	148.3889
280.000000	95.153	148.6671
285.000000	95.050	149.0095
290.000000	94.959	149.2845
295.000000	94.866	149.4881
300.000000	94.763	149.7009
304.000000	94.680	149.9133
307.000000	94.620	150.0941
311.000000	94.540	150.3512
315.000000	94.460	150.6190
320.000000	94.358	150.9791
325.000000	94.263	151.3740
330.000000	94.177	151.7753
335.000000	94.095	152.1508
340.000000	94.013	152.4928
345.000000	93.930	152.8194
350.000000	93.848	153.1545
355.000000	93.771	153.5057
360.000000	93.695	153.8692
365.000000	93.616	154.2407
370.000000	93.536	154.6184
375.000000	93.458	155.0031
382.000000	93.355	155.5529
387.000000	93.286	155.9522
395.000000	93.178	156.6019
400.000000	93.111	157.0127
406.000000	93.033	157.5017
412.000000	92.954	157.9834
418.000000	92.876	158.4744
425.000000	92.790	159.0831
431.000000	92.724	159.6275
