* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 27, 2021 2:07:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KBEAR Neon
* Measurement: Jun 27 14:07:35
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	67.801	52.601
20.586	67.824	52.252
20.885	67.861	52.030
21.189	67.890	51.823
21.497	67.934	51.564
21.810	68.000	51.204
22.127	68.066	50.718
22.449	68.114	50.113
22.776	68.148	49.440
23.107	68.170	48.779
23.443	68.175	48.209
23.784	68.187	47.759
24.130	68.225	47.368
24.481	68.293	46.912
24.837	68.370	46.275
25.198	68.425	45.435
25.565	68.462	44.485
25.937	68.475	43.583
26.314	68.469	42.859
26.697	68.474	42.333
27.085	68.491	41.919
27.479	68.512	41.510
27.879	68.554	41.066
28.284	68.588	40.611
28.696	68.632	40.165
29.113	68.693	39.690
29.537	68.739	39.146
29.966	68.766	38.582
30.402	68.771	38.136
30.844	68.789	37.881
31.293	68.850	37.699
31.748	68.933	37.347
32.210	69.000	36.731
32.678	69.003	36.040
33.154	68.992	35.551
33.636	69.010	35.310
34.125	69.061	35.054
34.621	69.130	34.540
35.125	69.173	33.825
35.636	69.184	33.158
36.154	69.197	32.650
36.680	69.228	32.196
37.214	69.262	31.685
37.755	69.277	31.118
38.304	69.274	30.517
38.861	69.256	29.915
39.427	69.195	29.460
40.000	69.145	29.298
40.582	69.181	29.248
41.172	69.255	28.900
41.771	69.296	28.228
42.379	69.290	27.620
42.995	69.297	27.282
43.620	69.337	26.990
44.255	69.370	26.565
44.898	69.377	26.165
45.552	69.384	25.859
46.214	69.408	25.516
46.886	69.416	25.142
47.568	69.411	24.878
48.260	69.422	24.638
48.962	69.421	24.289
49.674	69.399	23.959
50.397	69.411	23.677
51.130	69.437	23.288
51.874	69.446	22.951
52.628	69.465	22.784
53.394	69.488	22.462
54.170	69.490	22.083
54.958	69.523	21.938
55.758	69.594	21.533
56.569	69.605	20.798
57.391	69.561	20.469
58.226	69.557	20.432
59.073	69.583	20.161
59.932	69.592	19.772
60.804	69.584	19.510
61.688	69.593	19.272
62.586	69.607	18.873
63.496	69.616	18.618
64.420	69.656	18.368
65.357	69.658	17.910
66.307	69.639	17.777
67.272	69.678	17.548
68.250	69.675	17.130
69.243	69.663	17.035
70.250	69.691	16.801
71.272	69.683	16.270
72.309	69.640	16.051
73.360	69.682	15.946
74.427	69.731	15.418
75.510	69.745	15.126
76.608	69.732	14.878
77.723	69.737	15.077
78.853	69.795	14.879
80.000	69.779	14.586
81.164	69.774	14.498
82.344	69.807	14.205
83.542	69.786	13.583
84.757	69.787	13.352
85.990	69.800	12.883
87.241	69.775	12.558
88.510	69.769	12.471
89.797	69.748	12.294
91.103	69.749	12.238
92.428	69.732	12.008
93.773	69.755	11.870
95.137	69.740	11.455
96.520	69.752	11.328
97.924	69.744	11.119
99.349	69.750	11.001
100.794	69.711	10.760
102.260	69.720	10.577
103.747	69.708	10.348
105.256	69.744	10.246
106.787	69.764	10.204
108.340	69.761	10.003
109.916	69.727	9.927
111.515	69.716	9.506
113.137	69.742	9.087
114.783	69.766	8.974
116.452	69.719	8.787
118.146	69.691	8.893
119.865	69.901	12.578
121.608	69.759	8.416
123.377	69.727	8.786
125.171	69.663	8.688
126.992	69.685	8.243
128.839	69.716	8.137
130.713	69.714	8.253
132.615	69.651	8.085
134.543	69.652	7.613
136.500	69.716	7.587
138.486	69.697	7.516
140.500	69.680	7.275
142.544	69.663	7.148
144.617	69.651	7.055
146.721	69.670	6.978
148.855	69.633	6.592
151.020	69.614	6.760
153.217	69.586	6.239
155.445	69.625	6.387
157.706	69.664	6.478
160.000	69.685	6.678
162.327	69.619	6.910
164.688	69.852	6.111
167.084	69.702	6.015
169.514	69.651	5.715
171.980	69.597	5.870
174.481	69.525	5.839
177.019	69.471	5.818
179.594	69.419	5.667
182.206	69.428	5.620
184.856	69.469	5.572
187.545	69.526	5.498
190.273	69.529	5.286
193.041	69.564	5.347
195.849	69.553	5.063
198.697	69.539	4.970
201.587	69.493	5.004
204.520	69.503	5.044
207.494	69.537	4.963
210.512	69.493	4.863
213.574	69.466	4.709
216.681	69.439	4.599
219.833	69.392	4.676
223.030	69.355	4.769
226.274	69.368	4.746
229.565	69.360	4.784
232.905	69.331	4.772
236.292	69.332	4.763
239.729	69.304	4.841
243.216	69.280	4.724
246.754	69.255	4.957
250.343	69.250	4.920
253.984	69.116	5.068
257.678	69.084	5.808
261.426	69.098	6.087
265.229	69.063	6.406
269.087	69.025	7.002
273.001	69.031	7.960
276.972	69.103	8.956
281.000	69.229	9.800
285.088	69.414	10.344
289.234	69.672	10.439
293.441	69.891	9.415
297.710	69.952	8.186
302.040	69.990	7.228
306.433	69.989	6.439
310.890	69.978	5.861
315.412	69.943	5.370
320.000	69.866	4.861
324.655	69.826	4.745
329.377	69.804	4.645
334.168	69.784	4.446
339.028	69.746	4.454
343.959	69.711	4.236
348.962	69.667	4.204
354.038	69.658	4.133
359.188	69.654	4.111
364.412	69.628	4.093
369.713	69.594	4.073
375.090	69.564	4.064
380.546	69.551	4.104
386.081	69.533	4.107
391.697	69.518	4.135
397.395	69.503	4.166
403.175	69.478	4.239
409.039	69.473	4.305
414.989	69.447	4.236
421.025	69.414	4.301
427.149	69.391	4.396
433.362	69.401	4.679
439.665	69.399	4.653
446.060	69.377	4.766
452.548	69.379	4.978
459.131	69.442	4.746
465.809	69.373	4.553
472.584	69.348	4.590
479.458	69.321	4.768
486.432	69.337	4.892
493.507	69.266	4.549
500.686	69.232	5.001
