* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 6, 2021 12:19:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KBEAR Robin
* Measurement: edx L Nov 6
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.3	45.5471
20.299999	107.3	44.8408
20.600000	107.4	44.1491
20.900000	107.4	43.4722
21.200001	107.4	42.8105
21.400000	107.5	42.3778
21.799999	107.5	41.5307
22.000000	107.5	41.1148
22.400000	107.6	40.2943
22.700001	107.6	39.6855
23.000000	107.6	39.0806
23.299999	107.7	38.4800
23.600000	107.7	37.8857
24.000000	107.7	37.1067
24.299999	107.8	36.5350
24.700001	107.8	35.7906
25.000000	107.8	35.2448
25.400000	107.8	34.5310
25.799999	107.9	33.8307
26.200001	107.9	33.1438
26.500000	107.9	32.6382
26.900000	107.9	31.9780
27.200001	107.9	31.4934
27.600000	108.0	30.8604
28.000000	108.0	30.2404
28.500000	108.0	29.4814
29.000000	108.0	28.7404
29.500000	108.0	28.0182
30.000000	108.1	27.3140
30.400000	108.1	26.7615
30.700001	108.1	26.3523
31.100000	108.1	25.8131
31.500000	108.1	25.2811
32.000000	108.1	24.6265
32.500000	108.2	23.9836
33.000000	108.2	23.3513
33.500000	108.2	22.7286
34.000000	108.2	22.1157
34.500000	108.2	21.5137
35.000000	108.2	20.9233
35.500000	108.2	20.3450
36.000000	108.2	19.7785
36.500000	108.2	19.2240
37.000000	108.2	18.6816
37.500000	108.2	18.1510
38.200001	108.2	17.4263
38.700001	108.3	16.9205
39.500000	108.3	16.1307
40.000000	108.3	15.6493
40.599998	108.3	15.0833
41.200001	108.3	14.5289
41.799999	108.3	13.9851
42.500000	108.3	13.3635
43.099998	108.3	12.8413
43.700001	108.2	12.3282
44.400002	108.2	11.7411
45.000000	108.2	11.2477
