* Measurement data measured by REW V5.20.13
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 27, 2022 11:43:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KBEAR Rosefinch L
* Measurement: KBEAR Rosefinch L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.535	20.7357
20.299999	103.535	20.0927
20.600000	103.531	19.4614
20.900000	103.524	18.8395
21.200001	103.517	18.2258
21.400000	103.512	17.8213
21.799999	103.507	17.0244
22.000000	103.506	16.6328
22.400000	103.507	15.8641
22.700001	103.509	15.3010
23.000000	103.511	14.7495
23.299999	103.514	14.2090
23.600000	103.517	13.6792
24.000000	103.520	12.9878
24.299999	103.522	12.4790
24.700001	103.522	11.8118
25.000000	103.518	11.3188
25.400000	103.512	10.6711
25.799999	103.503	10.0361
26.200001	103.493	9.4161
26.500000	103.485	8.9619
26.900000	103.472	8.3700
27.200001	103.461	7.9349
27.600000	103.444	7.3636
28.000000	103.427	6.7995
28.500000	103.408	6.1022
29.000000	103.390	5.4147
29.500000	103.373	4.7401
30.000000	103.356	4.0801
30.400000	103.343	3.5625
30.700001	103.334	3.1801
31.100000	103.323	2.6772
31.500000	103.311	2.1821
32.000000	103.295	1.5742
32.500000	103.275	0.9783
33.000000	103.254	0.3935
33.500000	103.234	-0.1821
34.000000	103.216	-0.7490
34.500000	103.199	-1.3055
35.000000	103.184	-1.8506
35.500000	103.170	-2.3861
36.000000	103.159	-2.9155
36.500000	103.148	-3.4393
37.000000	103.134	-3.9526
37.500000	103.114	-4.4487
38.200001	103.078	-5.1140
38.700001	103.047	-5.5776
39.500000	102.993	-6.3140
40.000000	102.958	-6.7664
40.599998	102.921	-7.2946
41.200001	102.890	-7.8102
41.799999	102.862	-8.3217
42.500000	102.833	-8.9149
43.099998	102.809	-9.4120
43.700001	102.786	-9.8947
44.400002	102.759	-10.4460
45.000000	102.733	-10.9157
45.500000	102.710	-11.3062
46.200001	102.675	-11.8451
46.799999	102.641	-12.2922
47.500000	102.598	-12.7924
48.200001	102.552	-13.2739
48.700001	102.517	-13.6101
49.400002	102.469	-14.0703
50.000000	102.431	-14.4531
50.799999	102.390	-14.9530
51.500000	102.360	-15.3948
52.200001	102.329	-15.8448
53.000000	102.288	-16.3528
53.799999	102.243	-16.8340
54.500000	102.203	-17.2286
55.200001	102.167	-17.6038
56.000000	102.129	-18.0236
57.000000	102.083	-18.5631
58.000000	102.035	-19.1246
59.000000	101.985	-19.6930
60.000000	101.934	-20.2581
60.799999	101.892	-20.6964
61.500000	101.854	-21.0620
62.200001	101.816	-21.4088
63.000000	101.774	-21.7830
64.000000	101.721	-22.2238
65.000000	101.666	-22.6541
66.000000	101.610	-23.0889
67.000000	101.557	-23.5319
68.000000	101.511	-23.9884
69.000000	101.472	-24.4550
70.000000	101.439	-24.9153
71.000000	101.412	-25.3707
72.000000	101.388	-25.8384
73.000000	101.359	-26.3237
74.000000	101.315	-26.7960
75.000000	101.253	-27.1801
76.199997	101.170	-27.5131
77.500000	101.087	-27.8721
78.800003	101.009	-28.3236
80.000000	100.942	-28.8108
81.199997	100.880	-29.3383
82.500000	100.815	-29.9222
83.800003	100.748	-30.4811
85.000000	100.680	-30.9498
86.199997	100.606	-31.3695
87.500000	100.519	-31.7839
88.500000	100.449	-32.0847
90.000000	100.343	-32.5110
91.199997	100.264	-32.8265
92.500000	100.187	-33.1418
93.800003	100.122	-33.4423
95.000000	100.069	-33.7256
96.199997	100.016	-34.0220
97.500000	99.954	-34.3487
98.800003	99.883	-34.6638
100.000000	99.814	-34.9381
101.500000	99.728	-35.2628
103.000000	99.651	-35.5701
104.400002	99.586	-35.8445
106.000000	99.515	-36.1510
107.500000	99.445	-36.4399
109.000000	99.370	-36.7417
110.599998	99.286	-37.0873
112.000000	99.213	-37.4018
113.800003	99.117	-37.7711
115.000000	99.049	-37.9552
117.199997	98.916	-38.1208
118.000000	98.869	-38.1465
120.599998	98.734	-38.3663
122.000000	98.668	-38.6287
124.099998	98.569	-39.0519
125.000000	98.529	-39.2050
126.500000	98.464	-39.4130
128.000000	98.399	-39.5864
131.500000	98.233	-40.0280
132.000000	98.208	-40.0972
134.000000	98.109	-40.3605
136.000000	98.011	-40.5817
138.000000	97.909	-40.7509
140.000000	97.809	-40.8572
143.000000	97.689	-40.8490
145.000000	97.636	-40.7975
147.500000	97.569	-40.8304
150.000000	97.485	-41.0644
152.500000	97.388	-41.4252
155.000000	97.300	-41.7115
157.500000	97.224	-41.8890
160.000000	97.148	-42.0547
162.500000	97.066	-42.2759
165.000000	96.975	-42.5331
167.500000	96.867	-42.7610
170.000000	96.741	-42.9284
172.500000	96.606	-43.0531
175.000000	96.472	-43.1567
177.500000	96.348	-43.2492
180.000000	96.240	-43.3398
182.500000	96.151	-43.4384
185.000000	96.080	-43.5441
187.500000	96.017	-43.6462
190.000000	95.955	-43.7388
192.500000	95.889	-43.8218
195.000000	95.816	-43.8950
197.500000	95.736	-43.9552
200.000000	95.652	-43.9962
203.000000	95.552	-44.0165
206.000000	95.455	-44.0234
209.000000	95.358	-44.0463
212.000000	95.255	-44.0902
214.000000	95.185	-44.1183
218.000000	95.044	-44.1270
220.000000	94.977	-44.1017
224.000000	94.851	-44.0156
227.000000	94.761	-43.9431
230.000000	94.675	-43.8817
233.000000	94.591	-43.8355
236.000000	94.507	-43.8007
240.000000	94.394	-43.7668
243.000000	94.307	-43.7432
247.000000	94.186	-43.6873
250.000000	94.096	-43.6075
254.000000	93.982	-43.4431
258.000000	93.881	-43.2542
262.000000	93.788	-43.1104
265.000000	93.717	-43.0366
269.000000	93.616	-42.9402
272.000000	93.539	-42.8455
276.000000	93.437	-42.6852
280.000000	93.341	-42.4999
285.000000	93.236	-42.2714
290.000000	93.143	-42.1165
295.000000	93.044	-42.0500
300.000000	92.936	-41.9836
304.000000	92.848	-41.8903
307.000000	92.784	-41.8015
311.000000	92.698	-41.6725
315.000000	92.608	-41.5380
320.000000	92.494	-41.3466
325.000000	92.382	-41.1100
330.000000	92.277	-40.8455
335.000000	92.175	-40.5826
340.000000	92.074	-40.3345
345.000000	91.973	-40.0931
350.000000	91.877	-39.8429
355.000000	91.785	-39.5789
360.000000	91.695	-39.3054
365.000000	91.602	-39.0273
370.000000	91.509	-38.7441
375.000000	91.417	-38.4525
382.000000	91.295	-38.0300
387.000000	91.212	-37.7204
395.000000	91.083	-37.2150
400.000000	91.003	-36.8962
406.000000	90.909	-36.5197
412.000000	90.815	-36.1527
418.000000	90.720	-35.7776
425.000000	90.615	-35.3051
431.000000	90.533	-34.8778
437.000000	90.456	-34.4565
444.000000	90.372	-33.9904
450.000000	90.303	-33.6274
455.000000	90.246	-33.3673
462.000000	90.159	-33.0527
468.000000	90.077	-32.7737
475.000000	89.978	-32.3948
482.000000	89.881	-31.9760
487.000000	89.810	-31.6662
494.000000	89.709	-31.2012
500.000000	89.623	-30.7595
508.000000	89.518	-30.1409
515.000000	89.431	-29.6026
522.000000	89.344	-29.0609
530.000000	89.246	-28.4132
538.000000	89.153	-27.7358
545.000000	89.078	-27.1355
552.000000	89.008	-26.5348
560.000000	88.933	-25.8600
