* Measurement data measured by REW V5.19
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Jun 27, 2021 2:59:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KBEAR ST1
* Measurement: Jun 27 14:59:20
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.3 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.291	77.022	-144.892
20.586	77.045	-145.576
20.885	77.070	-146.172
21.189	77.072	-146.769
21.497	77.075	-147.386
21.810	77.092	-148.026
22.127	77.106	-148.688
22.449	77.112	-149.365
22.776	77.121	-150.057
23.107	77.137	-150.769
23.443	77.148	-151.506
23.784	77.159	-152.266
24.130	77.172	-153.033
24.481	77.187	-153.783
24.837	77.198	-154.500
25.198	77.198	-155.188
25.565	77.211	-155.866
25.937	77.237	-156.556
26.314	77.258	-157.267
26.697	77.282	-157.982
27.085	77.291	-158.676
27.479	77.282	-159.332
27.879	77.285	-159.952
28.284	77.279	-160.557
28.696	77.279	-161.163
29.113	77.288	-161.771
29.537	77.284	-162.373
29.966	77.277	-162.967
30.402	77.267	-163.566
30.844	77.264	-164.189
31.293	77.273	-164.841
31.748	77.271	-165.509
32.210	77.262	-166.173
32.678	77.231	-166.821
33.154	77.219	-167.457
33.636	77.222	-168.093
34.125	77.220	-168.735
34.621	77.221	-169.389
35.125	77.220	-170.046
35.636	77.216	-170.686
36.154	77.218	-171.286
36.680	77.227	-171.849
37.214	77.235	-172.408
37.755	77.229	-172.995
38.304	77.206	-173.601
38.861	77.181	-174.194
39.427	77.134	-174.767
40.000	77.086	-175.341
40.582	77.069	-175.919
41.172	77.051	-176.483
41.771	77.027	-177.037
42.379	77.011	-177.614
42.995	77.007	-178.220
43.620	77.001	-178.819
44.255	76.984	-179.381
44.898	76.960	-179.914
45.552	76.936	179.551
46.214	76.917	179.003
46.886	76.889	178.468
47.568	76.854	177.969
48.260	76.823	177.462
48.962	76.776	176.907
49.674	76.715	176.358
50.397	76.681	175.842
51.130	76.664	175.296
51.874	76.643	174.743
52.628	76.614	174.259
53.394	76.574	173.787
54.170	76.540	173.290
54.958	76.520	172.823
55.758	76.500	172.358
56.569	76.478	171.866
57.391	76.452	171.351
58.226	76.411	170.807
59.073	76.365	170.288
59.932	76.330	169.771
60.804	76.281	169.225
61.688	76.222	168.744
62.586	76.182	168.274
63.496	76.147	167.785
64.420	76.111	167.347
65.357	76.068	166.883
66.307	76.014	166.413
67.272	75.972	165.966
68.250	75.932	165.500
69.243	75.884	165.050
70.250	75.829	164.594
71.272	75.766	164.173
72.309	75.704	163.762
73.360	75.654	163.357
74.427	75.627	162.924
75.510	75.585	162.505
76.608	75.533	162.098
77.723	75.480	161.655
78.853	75.427	161.250
80.000	75.380	160.823
81.164	75.327	160.321
82.344	75.276	159.860
83.542	75.213	159.292
84.757	75.163	158.823
85.990	75.088	158.253
87.241	75.004	157.908
88.510	74.925	157.529
89.797	74.836	157.237
91.103	74.755	156.914
92.428	74.690	156.591
93.773	74.614	156.263
95.137	74.569	155.943
96.520	74.510	155.556
97.924	74.440	155.272
99.349	74.359	155.001
100.794	74.258	154.793
102.260	74.182	154.353
103.747	74.111	154.082
105.256	74.054	153.795
106.787	74.049	153.444
108.340	73.926	153.144
109.916	73.850	152.874
111.515	73.736	152.629
113.137	73.694	152.147
114.783	73.603	151.834
116.452	73.497	151.736
118.146	73.377	151.399
119.865	73.360	154.657
121.608	73.278	151.110
123.377	73.171	151.275
125.171	73.047	150.941
126.992	73.006	150.618
128.839	72.929	150.444
130.713	72.853	150.359
132.615	72.739	149.876
134.543	72.611	149.809
136.500	72.573	149.410
138.486	72.493	149.309
140.500	72.394	149.209
142.544	72.293	148.994
144.617	72.173	149.033
146.721	72.080	148.829
148.855	71.996	148.229
151.020	71.918	148.853
153.217	71.942	148.544
155.445	71.702	148.493
157.706	71.637	148.124
160.000	71.729	149.044
162.327	71.560	151.027
164.688	70.599	162.384
167.084	70.899	148.968
169.514	70.616	147.066
171.980	70.983	147.212
174.481	70.811	148.523
177.019	70.545	149.463
179.594	70.367	149.121
182.206	70.237	149.246
184.856	70.187	149.527
187.545	70.098	150.043
190.273	69.727	150.329
193.041	69.624	151.603
195.849	69.570	153.255
198.697	69.366	154.591
201.587	69.541	157.374
204.520	69.956	159.797
207.494	70.388	159.744
210.512	70.626	157.125
213.574	70.636	154.940
216.681	70.567	153.722
219.833	70.354	152.655
223.030	70.256	152.288
226.274	70.111	152.279
229.565	70.011	152.590
232.905	69.839	151.264
236.292	69.779	151.354
239.729	69.653	151.203
243.216	69.543	151.071
246.754	69.421	151.079
250.343	69.286	151.111
253.984	69.156	151.295
257.678	69.062	151.833
261.426	69.011	151.931
265.229	68.917	151.935
269.087	68.804	152.017
273.001	68.690	152.264
276.972	68.598	152.427
281.000	68.488	152.810
285.088	68.403	153.163
289.234	68.357	153.538
293.441	68.300	153.444
297.710	68.191	153.474
302.040	68.087	153.669
306.433	68.003	153.915
310.890	67.924	154.232
315.412	67.834	154.428
320.000	67.702	154.611
324.655	67.607	155.013
329.377	67.528	155.373
334.168	67.436	155.758
339.028	67.369	156.190
343.959	67.254	156.417
348.962	67.153	156.763
354.038	67.081	157.161
359.188	67.007	157.548
364.412	66.918	157.949
369.713	66.817	158.371
