* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 18, 2022 11:23:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ AS16 Pro L
* Measurement: KZ AS16 Pro L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	109.054	-169.4444
20.299999	109.054	-170.0551
20.600000	109.052	-170.6582
20.900000	109.047	-171.2593
21.200001	109.043	-171.8611
21.400000	109.040	-172.2616
21.799999	109.037	-173.0554
22.000000	109.036	-173.4456
22.400000	109.037	-174.2063
22.700001	109.040	-174.7582
23.000000	109.044	-175.2958
23.299999	109.048	-175.8229
23.600000	109.053	-176.3426
24.000000	109.060	-177.0266
24.299999	109.064	-177.5329
24.700001	109.065	-178.1974
25.000000	109.063	-178.6874
25.400000	109.057	-179.3303
25.799999	109.049	-179.9624
26.200001	109.040	179.4178
26.500000	109.032	178.9634
26.900000	109.019	178.3720
27.200001	109.009	177.9363
27.600000	108.994	177.3566
28.000000	108.978	176.7682
28.500000	108.958	176.0201
29.000000	108.936	175.2871
29.500000	108.913	174.6029
30.000000	108.895	173.9667
30.400000	108.888	173.4634
30.700001	108.887	173.0717
31.100000	108.889	172.5194
31.500000	108.888	171.9388
32.000000	108.878	171.2035
32.500000	108.859	170.4929
33.000000	108.838	169.8185
33.500000	108.820	169.1675
34.000000	108.805	168.5255
34.500000	108.791	167.8904
35.000000	108.777	167.2682
35.500000	108.764	166.6620
36.000000	108.754	166.0693
36.500000	108.744	165.4869
37.000000	108.732	164.9135
37.500000	108.715	164.3497
38.200001	108.683	163.5753
38.700001	108.654	163.0292
39.500000	108.601	162.1607
40.000000	108.568	161.6219
40.599998	108.533	160.9830
41.200001	108.501	160.3547
