* Measurement data measured by REW V5.20.11
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 31, 2022 9:06:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ AST 25ohm
* Measurement: AST  25ohm
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	104.145	-162.1775
20.299999	104.164	-162.6620
20.600000	104.182	-163.1442
20.900000	104.199	-163.6207
21.200001	104.215	-164.0849
21.400000	104.226	-164.3839
21.799999	104.250	-164.9559
22.000000	104.263	-165.2318
22.400000	104.296	-165.7778
22.700001	104.325	-166.2009
23.000000	104.356	-166.6526
23.299999	104.386	-167.1383
23.600000	104.412	-167.6509
24.000000	104.436	-168.3493
24.299999	104.446	-168.8539
24.700001	104.451	-169.4673
25.000000	104.454	-169.8723
25.400000	104.460	-170.3482
25.799999	104.472	-170.7836
26.200001	104.491	-171.2155
26.500000	104.507	-171.5518
26.900000	104.529	-172.0215
27.200001	104.544	-172.3873
27.600000	104.561	-172.8862
28.000000	104.572	-173.3888
28.500000	104.581	-174.0071
29.000000	104.582	-174.5942
29.500000	104.580	-175.1368
30.000000	104.580	-175.6415
30.400000	104.582	-176.0343
30.700001	104.585	-176.3310
31.100000	104.588	-176.7342
31.500000	104.591	-177.1439
32.000000	104.592	-177.6533
32.500000	104.592	-178.1492
33.000000	104.593	-178.6333
33.500000	104.595	-179.1150
34.000000	104.597	-179.5987
34.500000	104.599	179.9205
35.000000	104.600	179.4477
35.500000	104.602	178.9799
36.000000	104.603	178.5094
36.500000	104.602	178.0372
37.000000	104.597	177.5784
37.500000	104.589	177.1512
38.200001	104.578	176.6168
38.700001	104.574	176.2669
39.500000	104.574	175.7176
40.000000	104.578	175.3621
40.599998	104.582	174.9116
41.200001	104.585	174.4348
41.799999	104.584	173.9441
42.500000	104.577	173.3743
43.099998	104.568	172.8976
43.700001	104.557	172.4361
44.400002	104.543	171.9241
45.000000	104.533	171.5076
45.500000	104.527	171.1664
46.200001	104.521	170.6804
46.799999	104.518	170.2468
47.500000	104.513	169.7190
48.200001	104.504	169.1722
48.700001	104.493	168.7828
49.400002	104.472	168.2726
50.000000	104.453	167.8902
50.799999	104.433	167.4490
51.500000	104.424	167.0866
52.200001	104.421	166.7175
53.000000	104.422	166.2794
53.799999	104.423	165.8274
54.500000	104.425	165.4243
55.200001	104.425	165.0134
56.000000	104.423	164.5311
57.000000	104.416	163.9158
58.000000	104.402	163.2882
59.000000	104.381	162.6379
60.000000	104.349	162.0041
60.799999	104.319	161.5407
61.500000	104.295	161.1660
62.200001	104.273	160.8121
63.000000	104.252	160.4244
64.000000	104.230	159.9531
65.000000	104.214	159.4863
66.000000	104.203	159.0133
67.000000	104.195	158.5162
68.000000	104.187	157.9833
69.000000	104.178	157.4166
70.000000	104.167	156.8211
71.000000	104.152	156.2099
72.000000	104.131	155.6097
73.000000	104.108	155.0388
74.000000	104.084	154.4932
75.000000	104.059	153.9639
76.199997	104.026	153.3414
77.500000	103.987	152.6638
78.800003	103.944	151.9798
80.000000	103.904	151.3512
81.199997	103.867	150.7234
82.500000	103.829	150.0374
83.800003	103.788	149.3483
85.000000	103.743	148.7246
86.199997	103.691	148.1276
87.500000	103.630	147.5151
88.500000	103.584	147.0650
90.000000	103.519	146.4158
91.199997	103.472	145.9180
92.500000	103.420	145.4183
93.800003	103.364	144.9879
95.000000	103.307	144.6515
96.199997	103.248	144.3480
97.500000	103.183	144.0384
98.800003	103.126	143.7435
100.000000	103.086	143.4780
101.500000	103.057	143.1387
103.000000	103.044	142.7716
104.400002	103.037	142.3743
106.000000	103.024	141.8119
107.500000	103.003	141.1824
109.000000	102.979	140.5108
110.599998	102.953	139.8076
112.000000	102.925	139.2059
113.800003	102.858	138.3873
115.000000	102.787	137.7645
117.199997	102.606	136.4544
118.000000	102.533	135.9918
120.599998	102.366	135.0019
122.000000	102.358	134.7138
124.099998	102.384	134.2839
125.000000	102.384	134.0970
126.500000	102.360	133.7878
128.000000	102.314	133.4449
131.500000	102.190	132.3953
132.000000	102.173	132.2357
134.000000	102.108	131.6266
136.000000	102.040	131.0542
138.000000	101.967	130.4824
140.000000	101.893	129.8975
143.000000	101.782	129.0383
145.000000	101.702	128.5009
147.500000	101.597	127.8652
150.000000	101.502	127.2576
152.500000	101.417	126.6772
155.000000	101.329	126.1653
157.500000	101.242	125.6930
160.000000	101.161	125.1922
162.500000	101.084	124.6562
165.000000	101.009	124.1116
167.500000	100.930	123.5665
170.000000	100.847	123.0102
172.500000	100.758	122.4650
175.000000	100.673	121.9610
177.500000	100.599	121.4755
180.000000	100.531	120.9809
182.500000	100.462	120.4852
185.000000	100.390	119.9907
187.500000	100.316	119.4963
190.000000	100.240	119.0039
192.500000	100.166	118.5048
195.000000	100.097	117.9857
197.500000	100.030	117.4597
200.000000	99.957	116.9828
203.000000	99.859	116.5388
206.000000	99.760	116.1595
