* Measurement data measured by REW V5.20
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), no input selected, L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 3, 2021 11:49:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: KZ AST
* Measurement: Sep 3
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.7	-163.5711
20.299999	102.7	-164.0998
20.600000	102.7	-164.6122
20.900000	102.7	-165.1050
21.200001	102.7	-165.5751
21.400000	102.7	-165.8742
21.799999	102.7	-166.4383
22.000000	102.7	-166.7045
22.400000	102.7	-167.2121
22.700001	102.8	-167.5802
23.000000	102.8	-167.9466
23.299999	102.8	-168.3166
23.600000	102.8	-168.6914
24.000000	102.8	-169.1966
24.299999	102.8	-169.5767
24.700001	102.8	-170.0834
25.000000	102.9	-170.4653
25.400000	102.9	-170.9820
25.799999	102.9	-171.5100
26.200001	102.9	-172.0448
26.500000	102.9	-172.4430
26.900000	102.9	-172.9592
27.200001	102.9	-173.3293
27.600000	102.9	-173.7981
28.000000	102.9	-174.2446
28.500000	102.9	-174.7925
29.000000	102.9	-175.3562
29.500000	102.9	-175.9462
30.000000	102.9	-176.5464
30.400000	102.9	-177.0137
30.700001	102.9	-177.3499
31.100000	102.9	-177.7809
31.500000	102.9	-178.2042
32.000000	102.9	-178.7458
32.500000	102.9	-179.3105
33.000000	102.9	-179.8778
33.500000	102.9	179.5842
34.000000	102.9	179.0903
34.500000	102.9	178.6254
35.000000	102.9	178.1618
35.500000	102.9	177.6817
36.000000	102.9	177.1895
36.500000	102.9	176.7031
37.000000	102.9	176.2390
37.500000	102.8	175.8007
38.200001	102.8	175.2144
38.700001	102.8	174.8003
39.500000	102.8	174.1282
40.000000	102.8	173.7021
40.599998	102.8	173.1920
41.200001	102.8	172.6950
41.799999	102.7	172.2184
42.500000	102.7	171.6826
43.099998	102.7	171.2277
43.700001	102.7	170.7709
44.400002	102.7	170.2386
45.000000	102.7	169.7863
45.500000	102.7	169.4134
46.200001	102.6	168.8980
46.799999	102.6	168.4614
47.500000	102.6	167.9523
48.200001	102.6	167.4417
48.700001	102.5	167.0810
49.400002	102.5	166.5911
50.000000	102.5	166.1880
50.799999	102.5	165.6697
51.500000	102.4	165.2281
52.200001	102.4	164.7945
53.000000	102.4	164.3126
53.799999	102.4	163.8561
54.500000	102.3	163.4816
55.200001	102.3	163.1228
56.000000	102.3	162.7188
57.000000	102.2	162.2132
58.000000	102.2	161.7089
59.000000	102.1	161.2165
60.000000	102.1	160.7613
60.799999	102.0	160.4459
61.500000	102.0	160.2177
62.200001	101.9	160.0416
63.000000	101.9	159.9107
64.000000	101.9	159.8475
65.000000	101.9	159.8535
66.000000	101.9	159.8732
67.000000	101.9	159.8626
68.000000	101.9	159.7458
69.000000	102.0	159.4380
70.000000	102.1	158.9243
71.000000	102.1	158.2634
72.000000	102.1	157.5148
73.000000	102.2	156.7018
74.000000	102.2	155.8498
75.000000	102.2	154.9933
76.199997	102.2	153.9855
77.500000	102.2	152.9282
78.800003	102.1	151.9098
80.000000	102.1	151.0090
81.199997	102.0	150.1470
82.500000	101.9	149.2496
83.800003	101.9	148.3932
85.000000	101.8	147.6566
86.199997	101.7	146.9876
87.500000	101.7	146.3332
88.500000	101.6	145.8677
90.000000	101.5	145.2146
91.199997	101.4	144.7171
92.500000	101.4	144.1948
93.800003	101.3	143.6853
95.000000	101.3	143.2220
96.199997	101.2	142.7632
97.500000	101.1	142.2727
98.800003	101.1	141.7915
100.000000	101.0	141.3593
101.500000	100.9	140.8388
103.000000	100.9	140.3379
104.400002	100.8	139.8795
106.000000	100.8	139.3554
107.500000	100.7	138.8582
109.000000	100.6	138.3524
110.599998	100.6	137.8014
112.000000	100.5	137.3103
113.800003	100.4	136.6764
115.000000	100.4	136.2646
117.199997	100.2	135.5709
118.000000	100.2	135.3450
120.599998	100.1	134.7051
122.000000	100.0	134.3965
124.099998	99.9	133.9282
125.000000	99.9	133.7202
126.500000	99.8	133.3645
128.000000	99.8	133.0002
131.500000	99.6	132.1229
132.000000	99.6	131.9938
134.000000	99.5	131.4711
136.000000	99.5	130.9512
138.000000	99.4	130.4481
140.000000	99.3	129.9666
143.000000	99.2	129.2784
145.000000	99.1	128.8290
147.500000	99.0	128.2709
150.000000	98.9	127.7376
152.500000	98.8	127.2514
155.000000	98.7	126.8175
157.500000	98.5	126.4112
160.000000	98.5	125.9857
162.500000	98.4	125.5233
165.000000	98.3	125.0449
167.500000	98.2	124.5802
170.000000	98.1	124.1531
172.500000	97.9	123.7660
175.000000	97.8	123.3963
177.500000	97.8	123.0240
180.000000	97.7	122.6473
182.500000	97.6	122.2717
185.000000	97.5	121.8978
187.500000	97.4	121.5228
190.000000	97.3	121.1481
192.500000	97.2	120.7801
195.000000	97.1	120.4283
197.500000	97.0	120.1042
200.000000	96.9	119.8132
203.000000	96.8	119.4930
206.000000	96.7	119.1738
209.000000	96.6	118.8328
212.000000	96.5	118.4758
214.000000	96.5	118.2443
218.000000	96.3	117.8424
220.000000	96.2	117.6741
224.000000	96.1	117.3593
227.000000	96.0	117.1133
230.000000	95.9	116.8564
233.000000	95.8	116.5963
236.000000	95.7	116.3354
240.000000	95.6	115.9857
243.000000	95.5	115.7291
247.000000	95.4	115.4188
250.000000	95.3	115.2276
254.000000	95.1	115.0371
258.000000	95.0	114.8774
262.000000	94.9	114.6768
265.000000	94.8	114.4959
269.000000	94.7	114.2596
272.000000	94.6	114.1098
276.000000	94.5	113.9492
280.000000	94.4	113.8160
285.000000	94.3	113.6482
290.000000	94.2	113.4132
295.000000	94.1	113.1000
300.000000	93.9	112.7961
304.000000	93.8	112.5978
307.000000	93.8	112.4709
311.000000	93.7	112.3176
315.000000	93.6	112.1766
320.000000	93.4	112.0327
325.000000	93.3	111.9410
330.000000	93.2	111.8838
335.000000	93.1	111.8324
340.000000	92.9	111.7731
345.000000	92.8	111.7142
350.000000	92.7	111.6727
355.000000	92.6	111.6524
360.000000	92.5	111.6472
365.000000	92.4	111.6531
370.000000	92.3	111.6722
375.000000	92.2	111.7072
382.000000	92.0	111.7796
387.000000	91.9	111.8453
395.000000	91.8	111.9749
400.000000	91.7	112.0690
406.000000	91.6	112.1868
412.000000	91.4	112.3084
418.000000	91.3	112.4503
425.000000	91.2	112.6631
431.000000	91.1	112.8774
437.000000	91.0	113.0958
444.000000	90.9	113.3375
450.000000	90.9	113.5173
455.000000	90.8	113.6315
462.000000	90.7	113.7524
468.000000	90.6	113.8744
475.000000	90.5	114.0776
482.000000	90.4	114.3242
487.000000	90.3	114.5114
494.000000	90.2	114.8029
500.000000	90.2	115.0935
508.000000	90.1	115.5058
515.000000	90.0	115.8591
522.000000	89.9	116.2153
530.000000	89.8	116.6544
538.000000	89.7	117.1281
545.000000	89.6	117.5549
552.000000	89.6	117.9893
560.000000	89.5	118.4850
570.000000	89.4	119.0942
580.000000	89.4	119.7195
590.000000	89.3	120.3761
600.000000	89.2	121.0708
608.000000	89.2	121.6426
615.000000	89.1	122.1450
622.000000	89.1	122.6593
630.000000	89.1	123.2806
640.000000	89.0	124.0986
650.000000	89.0	124.9313
660.000000	89.0	125.7514
670.000000	89.0	126.5015
680.000000	89.0	127.1773
690.000000	89.0	127.8389
700.000000	89.0	128.5318
710.000000	89.0	129.2630
720.000000	89.0	130.0104
730.000000	89.0	130.7620
740.000000	89.0	131.5216
750.000000	89.0	132.2936
762.000000	89.1	133.2375
775.000000	89.1	134.2735
788.000000	89.1	135.3134
800.000000	89.2	136.2852
812.000000	89.3	137.2671
825.000000	89.4	138.2801
838.000000	89.5	139.1763
850.000000	89.5	139.9273
862.000000	89.6	140.6642
875.000000	89.7	141.4792
885.000000	89.8	142.1181
900.000000	89.9	143.0725
912.000000	90.0	143.8313
925.000000	90.1	144.6441
938.000000	90.3	145.4259
950.000000	90.4	146.1073
962.000000	90.5	146.7574
975.000000	90.6	147.4429
988.000000	90.8	148.1193
1000.000000	90.9	148.7438
1015.000000	91.1	149.5387
1030.000000	91.3	150.3248
1044.000000	91.4	150.9822
1060.000000	91.7	151.5744
1075.000000	91.9	151.9966
1090.000000	92.1	152.3422
1106.000000	92.3	152.6514
1120.000000	92.5	152.8816
1138.000000	92.7	153.1396
1150.000000	92.8	153.2967
1172.000000	93.1	153.5719
1180.000000	93.2	153.6704
1206.000000	93.5	153.9158
1220.000000	93.7	153.9437
1241.000000	94.0	153.8653
1250.000000	94.1	153.8128
1265.000000	94.3	153.7249
1280.000000	94.4	153.6466
1315.000000	94.8	153.5055
1320.000000	94.8	153.4854
1340.000000	95.0	153.3973
1360.000000	95.2	153.3102
1380.000000	95.4	153.2520
1400.000000	95.7	153.2369
1430.000000	96.0	153.1805
1450.000000	96.2	153.0281
1475.000000	96.5	152.7392
1500.000000	96.8	152.4161
1525.000000	97.0	152.0969
1550.000000	97.2	151.7892
1575.000000	97.4	151.4725
1600.000000	97.6	151.0597
1625.000000	97.8	150.5051
1650.000000	98.0	149.8604
1675.000000	98.1	149.1821
1700.000000	98.3	148.4874
1725.000000	98.4	147.7739
1750.000000	98.5	147.0662
1775.000000	98.6	146.4063
1800.000000	98.7	145.7863
1825.000000	98.8	145.1360
1850.000000	98.8	144.4210
1875.000000	98.9	143.6674
1900.000000	99.0	142.9229
1925.000000	99.0	142.2343
1950.000000	99.1	141.6225
1975.000000	99.1	141.0569
2000.000000	99.2	140.4876
2030.000000	99.3	139.7746
2060.000000	99.3	139.0291
2090.000000	99.3	138.2473
2120.000000	99.4	137.4563
2140.000000	99.3	136.9689
2180.000000	99.3	136.2144
