* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 25, 2022 3:29:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: DQ6S L
* Measurement: DQ6S L Jan 25
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.788	16.1537
20.299999	107.780	15.4940
20.600000	107.772	14.8457
20.900000	107.763	14.2068
21.200001	107.755	13.5768
21.400000	107.750	13.1623
21.799999	107.738	12.3484
22.000000	107.732	11.9500
22.400000	107.718	11.1715
22.700001	107.708	10.6039
23.000000	107.697	10.0490
23.299999	107.686	9.5043
23.600000	107.674	8.9678
24.000000	107.658	8.2621
24.299999	107.645	7.7388
24.700001	107.625	7.0502
25.000000	107.609	6.5428
25.400000	107.586	5.8819
25.799999	107.562	5.2411
26.200001	107.538	4.6190
26.500000	107.520	4.1619
26.900000	107.496	3.5607
27.200001	107.478	3.1144
27.600000	107.454	2.5248
28.000000	107.428	1.9438
28.500000	107.394	1.2347
29.000000	107.358	0.5474
29.500000	107.322	-0.1198
30.000000	107.285	-0.7701
30.400000	107.255	-1.2786
30.700001	107.232	-1.6521
31.100000	107.201	-2.1382
31.500000	107.168	-2.6088
32.000000	107.124	-3.1692
32.500000	107.078	-3.6854
33.000000	107.031	-4.1366
33.500000	106.988	-4.5116
34.000000	106.957	-4.8283
34.500000	106.941	-5.1390
35.000000	106.937	-5.5029
35.500000	106.939	-5.9583
36.000000	106.936	-6.4989
36.500000	106.924	-7.0887
37.000000	106.903	-7.6860
37.500000	106.873	-8.2669
38.200001	106.824	-9.0415
38.700001	106.786	-9.5682
39.500000	106.719	-10.3613
40.000000	106.675	-10.8192
40.599998	106.621	-11.3259
41.200001	106.570	-11.7900
41.799999	106.522	-12.2235
42.500000	106.471	-12.7054
43.099998	106.429	-13.1070
43.700001	106.389	-13.5057
44.400002	106.344	-13.9752
45.000000	106.304	-14.3787
45.500000	106.269	-14.7090
46.200001	106.221	-15.1620
46.799999	106.180	-15.5533
47.500000	106.133	-16.0283
48.200001	106.082	-16.5165
48.700001	106.043	-16.8623
49.400002	105.988	-17.3327
50.000000	105.939	-17.7215
50.799999	105.875	-18.2183
51.500000	105.821	-18.6302
52.200001	105.768	-19.0188
53.000000	105.710	-19.4319
53.799999	105.656	-19.8131
54.500000	105.613	-20.1252
55.200001	105.575	-20.4290
56.000000	105.537	-20.7992
57.000000	105.485	-21.3342
58.000000	105.417	-21.8738
59.000000	105.340	-22.3239
60.000000	105.269	-22.7240
60.799999	105.217	-23.0608
61.500000	105.170	-23.3790
62.200001	105.119	-23.7042
63.000000	105.055	-24.0518
64.000000	104.974	-24.4260
65.000000	104.896	-24.7605
66.000000	104.821	-25.0787
67.000000	104.750	-25.3824
68.000000	104.683	-25.6912
69.000000	104.618	-26.0225
70.000000	104.552	-26.3611
71.000000	104.485	-26.6815
72.000000	104.417	-26.9722
73.000000	104.349	-27.2329
74.000000	104.281	-27.4678
75.000000	104.213	-27.6835
76.199997	104.134	-27.9305
77.500000	104.052	-28.2272
78.800003	103.972	-28.5859
80.000000	103.897	-28.9459
81.199997	103.825	-29.3176
82.500000	103.746	-29.7250
83.800003	103.662	-30.0946
85.000000	103.581	-30.3477
86.199997	103.505	-30.5273
87.500000	103.428	-30.7007
88.500000	103.369	-30.8408
90.000000	103.281	-31.0648
91.199997	103.209	-31.2476
92.500000	103.130	-31.4398
93.800003	103.052	-31.6219
95.000000	102.980	-31.7852
96.199997	102.909	-31.9479
97.500000	102.833	-32.1182
98.800003	102.756	-32.2701
100.000000	102.685	-32.3872
101.500000	102.600	-32.5067
103.000000	102.517	-32.6161
104.400002	102.441	-32.7261
106.000000	102.355	-32.8642
107.500000	102.275	-32.9870
109.000000	102.197	-33.0897
110.599998	102.118	-33.2008
112.000000	102.046	-33.3364
113.800003	101.950	-33.5838
115.000000	101.885	-33.7864
117.199997	101.773	-34.1896
118.000000	101.733	-34.3220
120.599998	101.593	-34.4607
122.000000	101.516	-34.2891
124.099998	101.410	-33.9382
125.000000	101.366	-33.8186
126.500000	101.291	-33.6862
128.000000	101.218	-33.6235
131.500000	101.061	-33.5728
132.000000	101.040	-33.5647
134.000000	100.951	-33.5294
136.000000	100.858	-33.5013
138.000000	100.763	-33.4683
140.000000	100.672	-33.3939
143.000000	100.555	-33.1905
145.000000	100.486	-33.0302
147.500000	100.406	-32.8322
150.000000	100.327	-32.6453
152.500000	100.249	-32.4807
155.000000	100.169	-32.3359
157.500000	100.094	-32.2090
160.000000	100.022	-32.1238
162.500000	99.951	-32.0923
165.000000	99.874	-32.0974
167.500000	99.791	-32.1000
170.000000	99.704	-32.0651
172.500000	99.616	-31.9846
175.000000	99.532	-31.8773
177.500000	99.452	-31.7611
180.000000	99.375	-31.6422
182.500000	99.298	-31.5224
185.000000	99.222	-31.4041
187.500000	99.147	-31.2875
190.000000	99.072	-31.1661
192.500000	98.998	-31.0327
195.000000	98.926	-30.8824
197.500000	98.854	-30.7130
200.000000	98.785	-30.5215
203.000000	98.708	-30.2653
206.000000	98.639	-30.0029
209.000000	98.573	-29.7635
212.000000	98.505	-29.5491
214.000000	98.458	-29.4071
218.000000	98.360	-29.0875
220.000000	98.312	-28.9090
224.000000	98.224	-28.5543
227.000000	98.163	-28.3135
230.000000	98.102	-28.0895
233.000000	98.040	-27.8708
236.000000	97.978	-27.6537
240.000000	97.894	-27.3679
243.000000	97.830	-27.1523
247.000000	97.742	-26.8405
250.000000	97.677	-26.5671
254.000000	97.595	-26.1399
258.000000	97.526	-25.6895
262.000000	97.467	-25.2904
265.000000	97.423	-25.0299
269.000000	97.362	-24.6920
272.000000	97.315	-24.4221
276.000000	97.255	-24.0354
280.000000	97.202	-23.6340
285.000000	97.147	-23.1490
290.000000	97.101	-22.7438
295.000000	97.049	-22.4298
300.000000	96.985	-22.1240
304.000000	96.929	-21.8463
307.000000	96.887	-21.6208
311.000000	96.833	-21.3083
315.000000	96.779	-20.9882
320.000000	96.711	-20.5647
325.000000	96.644	-20.0999
330.000000	96.585	-19.6100
335.000000	96.533	-19.1241
340.000000	96.485	-18.6616
345.000000	96.439	-18.2233
350.000000	96.393	-17.7977
355.000000	96.346	-17.3782
360.000000	96.300	-16.9634
365.000000	96.255	-16.5502
370.000000	96.209	-16.1338
375.000000	96.164	-15.7108
382.000000	96.104	-15.1081
387.000000	96.063	-14.6736
395.000000	96.002	-13.9749
400.000000	95.967	-13.5387
406.000000	95.928	-13.0250
412.000000	95.890	-12.5253
418.000000	95.851	-12.0227
425.000000	95.807	-11.4072
431.000000	95.776	-10.8627
437.000000	95.751	-10.3288
444.000000	95.728	-9.7363
450.000000	95.713	-9.2686
455.000000	95.701	-8.9235
462.000000	95.677	-8.4948
468.000000	95.648	-8.1243
475.000000	95.610	-7.6486
482.000000	95.574	-7.1454
487.000000	95.549	-6.7835
494.000000	95.513	-6.2592
500.000000	95.483	-5.7801
508.000000	95.451	-5.1317
515.000000	95.427	-4.5854
522.000000	95.402	-4.0497
530.000000	95.373	-3.4207
538.000000	95.349	-2.7727
545.000000	95.331	-2.2056
552.000000	95.317	-1.6425
560.000000	95.304	-1.0134
570.000000	95.289	-0.2566
580.000000	95.273	0.4942
590.000000	95.257	1.2570
600.000000	95.243	2.0415
608.000000	95.237	2.6732
615.000000	95.232	3.2194
622.000000	95.228	3.7697
630.000000	95.224	4.4231
640.000000	95.226	5.2692
650.000000	95.239	6.1183
660.000000	95.264	6.9426
670.000000	95.297	7.6843
680.000000	95.327	8.3397
690.000000	95.348	8.9680
700.000000	95.364	9.6150
710.000000	95.381	10.2896
720.000000	95.401	10.9714
730.000000	95.423	11.6486
740.000000	95.447	12.3231
750.000000	95.472	12.9965
762.000000	95.505	13.8022
775.000000	95.542	14.6678
788.000000	95.580	15.5251
800.000000	95.615	16.3347
812.000000	95.653	17.1910
825.000000	95.707	18.1617
838.000000	95.779	19.1280
850.000000	95.863	19.9456
862.000000	95.953	20.6107
875.000000	96.033	21.1825
885.000000	96.076	21.6268
900.000000	96.131	22.4528
912.000000	96.188	23.2413
925.000000	96.274	24.1117
938.000000	96.378	24.9014
950.000000	96.481	25.5322
962.000000	96.584	26.0878
975.000000	96.693	26.6377
988.000000	96.800	27.1570
1000.000000	96.898	27.6249
1015.000000	97.022	28.2173
1030.000000	97.156	28.8042
1044.000000	97.291	29.2923
1060.000000	97.449	29.7303
1075.000000	97.590	30.0591
1090.000000	97.729	30.3587
1106.000000	97.877	30.6492
1120.000000	98.009	30.8606
1138.000000	98.177	31.0564
1150.000000	98.287	31.1423
1172.000000	98.480	31.2429
1180.000000	98.550	31.2710
1206.000000	98.782	31.2939
1220.000000	98.907	31.2153
1241.000000	99.081	30.9936
1250.000000	99.149	30.8824
1265.000000	99.255	30.6962
1280.000000	99.356	30.5164
1315.000000	99.579	30.1219
1320.000000	99.610	30.0639
1340.000000	99.733	29.8201
1360.000000	99.855	29.5732
1380.000000	99.978	29.3550
1400.000000	100.107	29.1869
1430.000000	100.321	28.9272
1450.000000	100.467	28.6541
1475.000000	100.638	28.2148
1500.000000	100.787	27.7273
1525.000000	100.908	27.2363
1550.000000	101.005	26.7717
1575.000000	101.091	26.3214
1600.000000	101.177	25.7953
1625.000000	101.253	25.1438
1650.000000	101.312	24.4166
1675.000000	101.353	23.6716
1700.000000	101.381	22.9323
1725.000000	101.394	22.2050
1750.000000	101.387	21.5231
1775.000000	101.367	20.9393
1800.000000	101.347	20.4524
1825.000000	101.334	19.9830
1850.000000	101.323	19.4686
1875.000000	101.307	18.9055
1900.000000	101.280	18.3336
1925.000000	101.246	17.8221
1950.000000	101.211	17.4343
1975.000000	101.184	17.1841
2000.000000	101.167	17.0585
2030.000000	101.165	17.0659
2060.000000	101.198	17.1898
2090.000000	101.274	17.2559
2120.000000	101.378	17.0602
2140.000000	101.445	16.7450
2180.000000	101.541	15.7764
2200.000000	101.562	15.1906
2240.000000	101.550	13.9720
2270.000000	101.494	13.1383
2300.000000	101.408	12.4726
2330.000000	101.305	12.0262
2360.000000	101.198	11.7863
2400.000000	101.062	11.7083
2430.000000	100.966	11.8103
2470.000000	100.853	12.1537
2500.000000	100.789	12.5310
2540.000000	100.738	13.1111
2580.000000	100.728	13.6465
2620.000000	100.742	13.9828
2650.000000	100.751	14.0929
2690.000000	100.743	14.1616
2720.000000	100.725	14.2435
2760.000000	100.698	14.4329
2800.000000	100.676	14.6700
2850.000000	100.654	14.9659
2900.000000	100.627	15.2535
2950.000000	100.592	15.6198
3000.000000	100.562	16.0909
3040.000000	100.543	16.5066
3070.000000	100.529	16.8475
3110.000000	100.516	17.3719
3150.000000	100.514	17.9738
3200.000000	100.535	18.7676
3250.000000	100.578	19.5277
3300.000000	100.634	20.2226
3350.000000	100.698	20.8861
3400.000000	100.774	21.5238
3450.000000	100.859	22.1237
3500.000000	100.953	22.7179
3550.000000	101.062	23.3140
3600.000000	101.186	23.8622
3650.000000	101.319	24.3221
3700.000000	101.452	24.7136
3750.000000	101.585	25.0947
3820.000000	101.784	25.6329
3870.000000	101.939	26.0018
3950.000000	102.225	26.4901
4000.000000	102.432	26.6121
4060.000000	102.698	26.4443
4120.000000	102.959	25.9151
4180.000000	103.205	25.0649
4250.000000	103.456	23.7291
4310.000000	103.636	22.3759
4370.000000	103.788	20.8667
4440.000000	103.926	18.8761
4500.000000	104.000	16.9821
4550.000000	104.026	15.3209
4620.000000	104.002	12.9598
4680.000000	103.928	11.0087
4750.000000	103.791	8.9259
4820.000000	103.619	7.0571
4870.000000	103.478	5.8303
4940.000000	103.255	4.2596
5000.000000	103.039	3.0625
5080.000000	102.711	1.7518
5150.000000	102.395	0.9559
5220.000000	102.066	0.4996
5300.000000	101.684	0.3504
5380.000000	101.299	0.5723
5450.000000	100.955	1.1051
5520.000000	100.610	2.0512
5600.000000	100.252	3.6878
5700.000000	99.935	6.1650
5800.000000	99.745	8.3124
5900.000000	99.560	10.0923
6000.000000	99.349	12.0948
6080.000000	99.196	14.0170
6150.000000	99.093	15.8821
6220.000000	99.024	17.8529
6300.000000	98.985	20.1941
6400.000000	98.996	23.2372
6500.000000	99.084	26.3689
6600.000000	99.253	29.5034
6700.000000	99.502	32.5714
6800.000000	99.832	35.5547
6900.000000	100.250	38.4173
7000.000000	100.759	41.0722
7100.000000	101.368	43.4272
7200.000000	102.090	45.4034
7300.000000	102.941	46.8616
7400.000000	103.926	47.5431
7500.000000	105.020	47.0944
7620.000000	106.403	44.4824
7750.000000	107.824	38.2571
7880.000000	108.914	27.9727
8000.000000	109.423	15.6459
8120.000000	109.374	2.6429
8250.000000	108.753	-9.6335
8380.000000	107.725	-18.4614
8500.000000	106.620	-23.4623
