* Measurement data measured by REW V5.20.4
* Source: Mic in at front panel (Pink) (Realtek(R) Audio), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 25, 2022 3:31:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: DQ6S R Jan 25
* Measurement: DQ6S R Jan 25
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.805	21.0217
20.299999	106.804	20.3389
20.600000	106.803	19.6689
20.900000	106.802	19.0106
21.200001	106.801	18.3625
21.400000	106.801	17.9348
21.799999	106.801	17.0886
22.000000	106.801	16.6699
22.400000	106.800	15.8424
22.700001	106.797	15.2325
23.000000	106.793	14.6342
23.299999	106.787	14.0480
23.600000	106.781	13.4739
24.000000	106.770	12.7256
24.299999	106.761	12.1764
24.700001	106.746	11.4593
25.000000	106.735	10.9335
25.400000	106.718	10.2489
25.799999	106.701	9.5829
26.200001	106.683	8.9339
26.500000	106.669	8.4565
26.900000	106.651	7.8311
27.200001	106.636	7.3698
27.600000	106.617	6.7655
28.000000	106.597	6.1741
28.500000	106.571	5.4523
29.000000	106.545	4.7472
29.500000	106.519	4.0559
30.000000	106.493	3.3783
30.400000	106.472	2.8470
30.700001	106.456	2.4557
31.100000	106.435	1.9429
31.500000	106.414	1.4396
32.000000	106.388	0.8217
32.500000	106.361	0.2145
33.000000	106.334	-0.3824
33.500000	106.306	-0.9692
34.000000	106.278	-1.5461
34.500000	106.248	-2.1130
35.000000	106.218	-2.6682
35.500000	106.187	-3.2098
36.000000	106.155	-3.7373
36.500000	106.123	-4.2520
37.000000	106.091	-4.7561
37.500000	106.058	-5.2505
38.200001	106.011	-5.9235
38.700001	105.977	-6.3878
39.500000	105.922	-7.1028
40.000000	105.888	-7.5352
40.599998	105.847	-8.0408
41.200001	105.806	-8.5310
41.799999	105.765	-9.0070
42.500000	105.719	-9.5511
43.099998	105.678	-10.0148
43.700001	105.637	-10.4774
44.400002	105.588	-11.0108
45.000000	105.543	-11.4565
